Connector Type,Тип на конектора
Message,съобщение
"If enabled, the document is marked as seen, the first time a user opens it","Ако е активиран, документът се маркира като видим, когато потребителят го отвори за първи път"
Connected to QZ Tray!,Свързано с QZ тава!
Max Attachments,Максимални прикачени файлове
Add Column,Добавяне на колона
This is an automatically generated reply,Това е автоматично генериран отговор
This Currency is disabled. Enable to use in transactions,Тази валута е деактивирана. Активиране за използване при транзакции
Pyver,Pyver
Fail,Fail
Letter Head,Глава на писмото
Local Fieldname,Локално име на поле
Adds a client custom script to a DocType,Добавя потребителски скрипт на клиента към DocType
All,всичко
Modules HTML,Модули HTML
remove-sign,извадете-знак
Full,пълен
User Cannot Create,Потребителят не може да създаде
You gained {0} point,Получихте точка {0}
"If you set this, this Item will come in a drop-down under the selected parent.","Ако зададете това, този елемент ще се появи в падащото меню под избрания родител."
No Emails,Няма имейли
Following fields are missing:,Липсват следните полета:
resize-full,преоразмеряване-пълен
You don't have permission to access this file,Нямате разрешение за достъп до този файл
changed values for {0},променени стойности за {0}
Project,проект
Shared with user {0} with read access,Споделено с потребител {0} с достъп за четене
Send,изпращам
Show Calendar,Показване на календара
Web Form Fields,Полета за уеб формуляри
_doctype,_doctype
User editable form on Website.,Потребителски редактируема форма на уебсайта.
Permanently Cancel {0}?,Постоянно отменяте {0}?
Option 3,Вариант 3
Totals,Общо
This is a very common password.,Това е много обща парола.
Pending Approval,Изчакване на потвърждение
The document could not be correctly assigned,Документът не може да бъде зададен правилно
Not allowed for {0}: {1},Не е разрешено за {0}: {1}
Personal Data Download Request,Заявка за изтегляне на лични данни
{0} shared this document with {1},{0} сподели този документ с {1}
Select {0},Изберете {0}
Advanced Search,подробно търсене
New password emailed,Новата парола е изпратена по имейл
Will only be shown if section headings are enabled,Ще се показва само ако заглавията на секциите са активирани
Session Expiry Mobile,Изтегляне на мобилни устройства
Email Settings,Настройки за имейл
Welcome to {0},Добре дошли в {0}
Enable Shadows,Активиране на сенките
Delete,Изтрий
{0} criticized on {1},{0} бе критикуван на {1}
This email was sent to {0} and copied to {1},Този имейл бе изпратен на {0} и копиран в {1}
Invalid login or password,Невалидно потребителско име или парола
Social Login Key,Ключ за социална регистрация
Filters saved,Филтрите са запазени
"How should this currency be formatted? If not set, will use system defaults","Как трябва да се форматира тази валута? Ако не е зададен, ще използва системните настройки по подразбиране"
{0}: {1} is set to state {2},{0}: {1} е настроен на състояние {2}
"If enabled, document views are tracked, this can happen multiple times","Ако е активиран, изгледите на документи се проследяват, това може да се случи многократно"
DocField,DocField
Send Print as PDF,Изпращане на печат като PDF
Expiry time of QR Code Image Page,Време на изтичане на страницата с QR код
Global Search,Глобално търсене
Allow Print for Draft,Разрешаване на печат за чернова
Use of sub-query or function is restricted,Използването на под-заявка или функция е ограничено
Database Engine,Двигател за бази данни
Help,Помогне
Configure Chart,Конфигуриране на диаграма
No template found at path: {0},В пътя няма намерен шаблон: {0}
Only Administrator can delete Email Queue,Само администраторът може да изтрие опашката за имейли
Push Update,Push Update
Letter Head Image,Изображение на писмото
Dashboard Chart Source,Източник на таблицата на таблото
darkgrey,тъмно сив
Dashboards,табла за управление
Top {0},Нагоре {0}
{0}: {1} in {2},{0}: {1} в {2}
'In Global Search' not allowed for type {0} in row {1},„В глобално търсене“ не е разрешено за тип {0} в ред {1}
Scheduled To Send,Планирано да се изпрати
"It seems that there is an issue with the server's stripe configuration. In case of failure, the amount will get refunded to your account.","Изглежда, че има проблем с конфигурацията на лентата на сървъра. В случай на неуспех сумата ще бъде възстановена на сметката Ви."
Google Font,Google Шрифт
Client Information,Информация за клиента
"Your subscription expired on {0}. To renew, {1}.","Вашият абонамент изтече на {0}. За да подновите, {1}."
Value To Be Set,"Стойност, която трябва да се зададе"
Snapshot View,Преглед на снимките
IN,ПО
Desktop Background,Фон на работния плот
Connection Name,Име на връзката
Permitted Documents For User,Разрешени документи за потребителя
Download link for your backup will be emailed on the following email address: {0},Връзката за изтегляне за резервно копие ще бъде изпратена по имейл на следния имейл адрес: {0}
Full Page,Пълна страница
Updated {0}: {1},Актуализирано {0}: {1}
Send me a copy,Изпратете ми копие
Blog Post,Блог пост
Workflow Action Name,Име на действие на работния процес
Add Group,Добавяне на група
Mappings,Съответствия
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange","Стилът представлява цвета на бутона: Успех - Зелен, Опасност - Червен, Обратен - Черен, Основен - Тъмно син, Информация - Светлосин, Предупреждение - Оранжев"
Invalid file path: {0},Невалиден път на файл: {0}
Your password has been updated. Here is your new password,Паролата ви бе актуализирана. Ето вашата нова парола
Every Month,Всеки месец
Precision,Прецизност
Last Modified On,Последна промяна е включена
Hide field in Standard Print Format,Скриване на поле в стандартен формат за печат
Show Attachments,Показване на прикачени файлове
Multiple root nodes not allowed.,Не са разрешени няколко коренни възли.
Don't create new records,Не създавайте нови записи
Beginner,начинаещ
"For example: If you want to include the document ID, use {0}","Например: Ако искате да включите идентификатора на документа, използвайте {0}"
{0} has already assigned default value for {1}.,{0} вече е задал стойност по подразбиране за {1}.
fullscreen,цял екран
Allow Import (via Data Import Tool),Разрешаване на импортирането (чрез инструмента за импортиране на данни)
"The task {0}, that you assigned to {1}, has been closed by {2}.","Задачата {0}, която сте задали на {1}, е затворена с {2}."
Show as cc,Показване като cc
Policy,политика
Integrations,интеграции
Hide footer in auto email reports,Скриване на долния колонтитул в автоматичните отчети за имейли
Float,поплавък
Push Insert,Push Insert
Rating,оценка
Email By Document Field,Поле по имейл по документ
Totals Row,Общо ред
Website User,Потребител на уебсайта
For User,За Потребител
Role Profile,Профил на ролята
Connector Name,Име на конектора
Is Active,Е активен
Append To,Добавете към
Invalid Link,невалиден линк
Time Series,Времеви редове
Background Image,Фоново изображение
Top Reviewer,Най-добър рецензент
Restore Original Permissions,Възстановяване на оригиналните разрешения
Please save the report first,"Моля, първо запишете отчета"
Attach Print,Прикачване на печат
Log of Scheduler Errors,Дневник на грешките на планировчика
Text to be displayed for Link to Web Page if this form has a web page. Link route will be automatically generated based on `page_name` and `parent_website_route`,"Текст, който да се показва за връзка към уеб страница, ако този формуляр има уеб страница. Маршрутът на връзката ще се генерира автоматично въз основа на &quot;page_name&quot; и &quot;parent_website_route&quot;"
Template ID,Идентификатор на шаблон
Invalid recipient address,Невалиден адрес на получателя
Duplicate Filter Name,Дублирано име на филтъра
align-center,приведе-център
Customization,персонализиране
New Print Format Name,Име на новия формат за печат
Error while evaluating Notification {0}. Please fix your template.,"Грешка при оценката на известието {0}. Моля, коригирайте шаблона си."
Can Share,Може да споделя
Allow Roles,Разрешаване на роли
Move To Trash,Преместване в кошчето
Back to Desk,Обратно към бюрото
Document Queued,На опашка за документи
PayPal Settings,Настройки на PayPal
Is Folder,Е папка
Print Style,Стил на печат
Defaults,По подразбиране
Forward,напред
Event Participants,Участници в събитието
Email Status,Състояние на имейла
Google Maps integration,Интегриране с Google Карти
Do not edit headers which are preset in the template,"Не редактирайте заглавки, които са предварително зададени в шаблона"
Workflow state represents the current state of a document.,Състоянието на работния процес представлява текущото състояние на документ.
Center,център
Male,Мъжки
Amount Based On Field,Сума въз основа на полето
Allow Edit,Разрешаване на редактиране
Select the label after which you want to insert new field.,"Изберете етикета, след който искате да вмъкнете ново поле."
Gateway Controller,Gateway контролер
New Connection,Нова връзка
New Activity,Нова дейност
Unable to find attachment {0},Не може да се намери прикачен файл {0}
Fields Multicheck,Полета Multicheck
Timestamp,клеймо
Website Theme,Тема на уебсайта
Log of error on automated events (scheduler).,Дневник на грешка при автоматизирани събития (планировчик).
Looks like someone sent you to an incomplete URL. Please ask them to look into it.,"Изглежда, че някой ви е изпратил непълно URL. Моля, помолете ги да разгледат въпроса."
All Images attached to Website Slideshow should be public,"Всички изображения, прикрепени към слайдшоуто на уебсайта, трябва да са публични"
You can only upload upto 5000 records in one go. (may be less in some cases),Можете да качите само до 5000 записа наведнъж. (в някои случаи може да е по-малко)
Template,Шаблон
Personal,персонален
Location,местоположение
No Data,Няма данни
Website Meta Tag,Уебсайт мета тагове
film,филм
{0} Settings not found,{0} Настройките не са намерени
Label is mandatory,Етикетът е задължителен
Webhook Headers,Заглавия на Webhook
"Customized Formats for Printing, Email","Индивидуални формати за печат, имейл"
Markdown,Markdown
Miss,мис
Allow Modules,Разрешаване на модули
Slideshow Name,Име на слайдшоу
Better add a few more letters or another word,По-добре добавете още няколко букви или друга дума
SMS,СМС
share-alt,дял-н
Workflow Action Master,Магистър за действие на работния процес
"Looks like something went wrong during the transaction. Since we haven't confirmed the payment, Paypal will automatically refund you this amount. If it doesn't, please send us an email and mention the Correlation ID: {0}.","Изглежда, че нещо се е объркало по време на транзакцията. Тъй като не сме потвърдили плащането, Paypal автоматично ще ви възстанови тази сума. Ако това не стане, моля, изпратете ни имейл и споменете идентификационния номер на корелацията: {0}."
Message not setup,Съобщението не е настроено
Add code as &lt;script&gt;,Добавете кода като &lt;script&gt;
Refresh Token,Обновяване на маркера
Seems API Key or API Secret is wrong !!!,Изглежда API Key или API Secret е погрешно !!!
Add to table,Добавете към таблицата
'In List View' not allowed for type {0} in row {1},„В изглед към списък“ не е разрешен за тип {0} в ред {1}
List of themes for Website.,Списък на темите за уебсайта.
Random,случаен
Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,Най-малката циркулираща фракция (монета). Например за 1 цент за щатски долари и трябва да бъде въведен като 0.01
Passive,Пасивен
PDF generation failed,Генерирането на PDF е неуспешно
Atleast one field of Parent Document Type is mandatory,Поне едно поле от тип родителски документ е задължително
Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType',Опциите „Тип на динамичната връзка“ трябва да сочат към друго поле за връзки с опции като „DocType“
"If the condition is satisfied user will be rewarded with the points. eg. doc.status == 'Closed'
","Ако условието е удовлетворено, потребителят ще бъде възнаграден с точките. напр. doc.status == &#39;Затворен&#39;"
App not found,Приложението не е намерено
Internal Server Error,Вътрешна грешка на сървъра
Details,детайли
Note,Забележка
Please save the document before removing assignment,"Моля, запазете документа, преди да премахнете заданието"
Recipient,Получател
Geolocation,геолокация
text-width,текст ширина
Letter,писмо
Verification Link,Връзка за проверка
Pay,плащам
Month,месец
"To stop sending repetitive error notifications from the system, we have checked Disabled field in the Auto Repeat document","За да спрете изпращането на повтарящи се известия за грешки от системата, проверихме полето Disabled в документа Auto Repeat"
Add Multiple,Добавяне на няколко
"To add dynamic subject, use jinja tags like

<div><pre><code>{{ doc.name }} Delivered</code></pre></div>","За да добавите динамичен обект, използвайте jinja тагове като <div><pre> <code>{{ doc.name }} Delivered</code> </pre> </div>"
Addresses,адреси
Number of DB Backups,Брой резервни копия на БД
Web Page Link Text,Текст на връзката към уеб страница
You unfollowed this document,Вие пренебрегнахте този документ
cn-north-1,CN-север-1
ca-central-1,ва централен-1
Share With,Сподели с
Field type cannot be changed for {0},Типът поле не може да бъде променен за {0}
Checking one moment,Проверка на един момент
End Time,Крайно време
Search field {0} is not valid,Полето за търсене {0} не е валидно
Have an account? Login,Има акаунт? Влизам
on_trash,on_trash
New Name,Ново име
Introduce your company to the website visitor.,Представете вашата компания на посетителя на сайта.
Activity,Дейност
Deleted DocType,Изтрит DocType
If user is the owner,Ако потребителят е собственик
Set Permissions,Задайте Разрешения
Auto,Автоматичен
Attach Document Print,Прикачване на печат на документ
just now,точно сега
File '{0}' not found,Файлът „{0}“ не е намерен
You do not have enough permissions to complete the action,Нямате достатъчно разрешения за завършване на действието
App {0} is not installed,Приложението {0} не е инсталирано
Show Dashboard,Показване на таблото за управление
Add Contact,Добави контакт
Dropbox Access Secret,Тайната за достъп до Dropbox
This user's data cannot be requested for deletion,Данните за този потребител не могат да бъдат заявявани за изтриване
{0} from {1} to {2} in row #{3},{0} от {1} до {2} в ред # {3}
Export not allowed. You need {0} role to export.,Експортирането не е позволено. За експортиране е необходима ролята на {0}.
User Cannot Search,Потребителят не може да търси
Search...,Търсене...
Delete Data,Изтриване на данни
Edit Format,Редактиране на формат
Source Text,Изходен текст
Fraction,Фракция
Robots.txt,Robots.txt
Preview Message,Преглед на съобщението
Max Attachment Size (in MB),Максимален размер на прикачения файл (в МБ)
Rating: ,Рейтинг:
"If not set, the currency precision will depend on number format","Ако не е зададена, точността на валутата ще зависи от формата на номера"
You don't have the permissions to access this document,Нямате разрешения за достъп до този документ
Reference Party Doctype,Справочна партия Doctype
Button Help,Бутон Помощ
Defines actions on states and the next step and allowed roles.,Определя действия за състояния и следващата стъпка и позволени роли.
Replied,Отговори
Email Rule,Правило за имейл
Ignore XSS Filter,Игнорирайте XSS филтъра
Auto assignment failed: {0},Автоматичното присвояване не бе успешно: {0}
Download Files Backup,Изтеглете резервно копие на файловете
Set,Комплект
Event end must be after start,Краят на събитието трябва да е след старта
{0} to stop receiving emails of this type,"{0}, за да спрете получаването на имейли от този тип"
gave {0} points,даде {0} точки
Daily,ежедневно
Custom?,Персонализиран?
Username,Потребител
Upgrade,Подобряване на
Append To can be one of {0},Прикачване към може да бъде едно от {0}
pencil,молив
Did not add,Не добавих
arrow-right,стрелка надясно
Fetch attached images from document,Извличане на прикачени изображения от документ
Message clipped,Съобщението е подрязано
Completed,завършен
Permissions are automatically applied to Standard Reports and searches.,Разрешенията автоматично се прилагат към стандартните отчети и търсенията.
Open Link,Отвори линк
All fields are necessary to submit the comment.,Всички полета са необходими за представяне на коментара.
Introduction,Въведение
User Tags,Потребителски маркери
"To add dynamic subject, use jinja tags like

<div><pre><code>New {{ doc.doctype }} #{{ doc.name }}</code></pre></div>","За да добавите динамичен обект, използвайте jinja тагове като <div><pre> <code>New {{ doc.doctype }} #{{ doc.name }}</code> </pre> </div>"
Add Child,Добави дете
New,нов
Add all roles,Добавете всички роли
Transaction Hash,Транзакционен хеш
Doc Status,Статус на Doc
Allow Multiple,Разрешаване на няколко
Repeat Header and Footer in PDF,Повторете горния и долния колонтитул в PDF
Redirect URL,URL адрес за пренасочване
{0} rows for {1},{0} реда за {1}
Week,седмица
Sent or Received,Изпратени или получени
The system provides many pre-defined roles. You can add new roles to set finer permissions.,"Системата осигурява много предварително дефинирани роли. Можете да добавяте нови роли, за да зададете по-фини разрешения."
Instructions Emailed,Инструкции по електронна поща
Execution Time: {0} sec,Време за изпълнение: {0} сек
For {0} at level {1} in {2} in row {3},За {0} на ниво {1} в {2} в ред {3}
Receiver Parameter,Параметър на приемника
Default Print Language,Език за печат по подразбиране
Collapsible Depends On,Сгъваема зависи от
Use TLS,Използвайте TLS
Show in Module Section,Показване в секция Модул
LDAP Email Field,Поле за имейл на LDAP
New Comment on {0}: {1},Нов коментар на {0}: {1}
Please setup a message first,"Моля, първо задайте съобщение"
Session Expiry in Hours e.g. 06:00,"Изтичане на сесията в часове, например 06:00"
"If Apply Strict User Permission is checked and User Permission is defined for a DocType for a User, then all the documents where value of the link is blank, will not be shown to that User","Ако Apply Strict User Permission е потвърдено и потребителското разрешение е определено за DocType за потребител, тогава всички документи, при които стойността на връзката е празна, няма да се показва на този потребител"
Webhook URL,Webhook URL
Duplicate name {0} {1},Дублирано име {0} {1}
States,-членки
Logs,Регистри
Standings,Класиране
Token,жетон
Not Published,Не е публикувано
Allow Bulk Edit,Разрешаване на групово редактиране
Footer HTML,HTML от долния колонтитул
Days Before or After,Дни преди или след
Property Setter overrides a standard DocType or Field property,Собственикът на свойство отменя стандартното свойство DocType или Field
us-west-1,ни-запад-1
Start Date Field,Начално поле за дата
Every Week,Всяка седмица
"Your subscription expired on {0}. To renew, please send an email to {1}.","Вашият абонамент изтече на {0}. За да подновите, моля, изпратете имейл на {1}."
fast-forward,превъртане напред
Post Comment,Публикувай коментар
Restart,Рестартирам
Custom Base URL,Потребителски URL адрес
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.","Като най-добра практика не присвоявайте един и същ набор от правила за разрешение на различни роли. Вместо това, задайте няколко Роли на един и същ потребител."
Default,По подразбиране
Permanently delete {0}?,За постоянно изтриване на {0}?
Method,метод
Round Robin,Кръг Робин
Image,Изображение
Now,Сега
Editing Row,Редактиране на ред
"e.g. ""Support"", ""Sales"", ""Jerry Yang""","напр. &quot;Подкрепа&quot;, &quot;Продажби&quot;, &quot;Джери Янг&quot;"
Hostname,Име на хост
Hourly,всеки час
Allow field to remain editable even after submission,Да се разреши полето да може да се редактира дори след подаване
Oops! Something went wrong,Ами сега! Нещо се обърка
Fieldtype,Fieldtype
DocType can not be merged,DocType не може да се обедини
Click on the link below to verify your request,"Кликнете върху връзката по-долу, за да потвърдите заявката си"
Recent years are easy to guess.,През последните години лесно може да се отгатне.
Disable Signup,Деактивиране на регистрацията
Remove Tag,Премахване на маркер
Show failed jobs,Показване на неуспешни работни места
Button,бутон
Most Used,Най-използван
In seconds,За секунди
Gantt,Гант
Help: Field Properties,Помощ: Свойства на полето
Brand HTML,HTML марка
Data Import,Импортиране на данни
Document Type to Track,Тип документ за проследяване
Write,пиша
remove-circle,премахване-кръг
th,тата
chevron-left,шевронна наляво
Predictable substitutions like '@' instead of 'a' don't help very much.,Предсказуемите замествания като &quot;@&quot; вместо &quot;а&quot; не помагат много.
Color,цвят
Row # ,Ред #
volume-up,увеличаване на звука
Cancelled,Отменен
Email has been moved to trash,Имейлът бе преместен в кошчето
No Preview,Без предварителен преглед
Table updated,Таблицата е актуализирана
Another transaction is blocking this one. Please try again in a few seconds.,"Друга транзакция блокира това. Моля, опитайте отново след няколко секунди."
You can use wildcard %,Можете да използвате заместващ знак%
Address Line 1,Адресна линия 1
For Document Type,За тип документ
Data missing in table,Данните липсват в таблицата
Could not identify {0},Не можа да се идентифицира {0}
This form has been modified after you have loaded it,Този формуляр е променен след като сте го заредили
Back to Login,Назад към Вход
Not Set,Не е зададено
Pull,дърпам
Browse,паса
"Fields separated by comma (,) will be included in the ""Search By"" list of Search dialog box","Полетата, разделени със запетая (,), ще бъдат включени в диалоговия прозорец „Търсене по“ от диалоговия прозорец „Търсене“"
Edit Custom HTML,Редактиране на персонализирания HTML
Assignment Rule,Правило за възлагане
Knowledge Base,Знание
Comment Email,Имейл за коментари
Mr,г-н
Not allowed to Import,Не е разрешено импортиране
Please do not change the rows above {0},"Моля, не променяйте редовете над {0}"
GSuite test executed with success. GSuite integration is correctly configured,Тестът GSuite се изпълнява успешно. Интегрирането на GSuite е правилно конфигурирано
Email Group,Група за имейли
Row {0}: Not allowed to disable Mandatory for standard fields,Ред {0}: Не е позволено да деактивирате Задължително за стандартни полета
Braintree Settings,Настройки на Braintree
Show a description below the field,Показване на описание под полето
Cannot send this email. You have crossed the sending limit of {0} emails for this day.,Този имейл не може да бъде изпратен. Пресичали сте ограничението за изпращане от {0} имейла за този ден.
fast-backward,бързо назад
Copyright,Авторско право
Description,описание
Please enable developer mode to create new connection,"Моля, активирайте режима на програмист, за да създадете нова връзка"
Attached To DocType,Прикрепен към DocType
Deleted,Изтрити
Logged Out,Излезли
Updating,Обновяване
Default Incoming,Стандартно входящо
Copy and paste this code into and empty Code.gs in your project at script.google.com,Копирайте и поставете този код в празна Code.gs в проекта си на адрес script.google.com
Recurring,повтарящ се
Invalid Password:,Невалидна парола:
{0} hours ago,Преди {0} часа
Expert,Експерт
Single Types have only one record no tables associated. Values are stored in tabSingles,"Единичните типове имат само един запис, който не е асоцииран. Стойностите се съхраняват в tabSingles"
Clear User Permissions,Изчистване на потребителските разрешения
Self approval is not allowed,Самостоятелното одобрение не е разрешено
You don't have permission to get a report on: {0},Нямате разрешение да получавате отчет за: {0}
Feedback Request,Заявка за обратна връзка
Notify Users On Every Login,Уведомявайте потребителите за всяко влизане
Filter...,Филтър ...
"To format columns, give column labels in the query.","За да форматирате колони, дайте етикети на колони в заявката."
First Success Message,Първо съобщение за успех
{0} is a mandatory field,{0} е задължително поле
Illegal Document Status for {0},Невалиден статус на документ за {0}
Submiting {0},Изпращане на {0}
To and CC,Към и CC
Left this conversation,Напусна този разговор
Inbox,Входящи
Expired,Просрочен
Show tags,Показване на маркерите
Select Role,Изберете Роля
Edit in Full Page,Редактиране на пълната страница
Successfully updated translations,Преводите са успешно актуализирани
Option 2,Вариант 2
Missing parameters for login,Липсващи параметри за вход
Chat Background,Фон за чат
Internal record of document shares,Вътрешен запис на акции в документа
Mandatory field: {0},Задължително поле: {0}
Unable to write file format for {0},Форматът на файла не може да бъде записан за {0}
Top Bar Items,Най-важни елементи от лентата
"No need for symbols, digits, or uppercase letters.","Няма нужда от символи, цифри или главни букви."
Seen By,Видяно от
Update Translations,Актуализиране на преводите
"If checked, users will not see the Confirm Access dialog.","Ако е отметнато, потребителите няма да видят диалоговия прозорец „Потвърждаване на достъп“."
Minimum Password Score,Минимален резултат от паролата
Child Table Mapping,Картиране на детска таблица
Email Account setup please enter your password for: ,"Настройка на имейл акаунт, моля, въведете паролата си за:"
Too many writes in one request. Please send smaller requests,"Твърде много пише в една заявка. Моля, изпращайте по-малки заявки"
Salesforce,Salesforce
Tile,плочка
{0} room must have atmost one user.,Стаята за {0} трябва да има най-много един потребител.
Is Spam,Е спам
Complete Registration,Пълна регистрация
Maintenance User,Потребител за поддръжка
Link to the page you want to open. Leave blank if you want to make it a group parent.,"Връзка към страницата, която искате да отворите. Оставете празно, ако искате да го направите групов родител."
Your organization name and address for the email footer.,Името и адреса на организацията ви за долния колонтитул на имейла.
"Please enter both your email and message so that we \
				can get back to you. Thanks!","Моля, въведете Вашия имейл и съобщение, за да можем да се свържем с Вас. Благодаря!"
Attempting to launch QZ Tray...,Опит за стартиране на QZ Tray ...
"Another {0} with name {1} exists, select another name","Съществува друго {0} с име {1}, изберете друго име"
Offline,Извън линия
Security Settings,Настройки на сигурността
Enable Print Server,Активиране на сървъра за печат
LDAP Not Installed,LDAP не е инсталиран
Dropbox Access Key,Ключ за достъп до Dropbox
Search for anything,Търсете нищо
Table Field,Поле за таблица
CSV,CSV
Set Only Once,Задайте само веднъж
We have received a request for deletion of {0} data associated with: {1},"Получихме заявка за изтриване на {0} данни, свързани с: {1}"
This report was generated {0}.,Този отчет бе генериран {0}.
Document Follow Notification,Документ Следвайте известие
Fieldname,Име на полето
FavIcon,икона на сайта
Will be used in url (usually first name).,Ще се използва в URL адреса (обикновено първо име).
Sum of {0},Сума от {0}
Plan Name,Име на плана
No Label,Няма етикет
Use POST,Използвайте POST
Region,област
"Use a few words, avoid common phrases.","Използвайте няколко думи, избягвайте общи фрази."
Save API Secret: ,Запазване на тайната на API:
"If these instructions where not helpful, please add in your suggestions on GitHub Issues.","Ако тези инструкции не са полезни, моля, добавете предложенията си към GitHub Issues."
folder-close,папка-близо
Pull Update,Издърпайте актуализация
merged {0} into {1},обединени {0} в {1}
Enter url parameter for receiver nos,Въведете URL параметър за приемници
Syntax error in template,Синтактична грешка в шаблона
Please set filters value in Report Filter table.,"Моля, задайте стойността на филтрите в таблицата с филтри за отчети."
Run,тичам
Disable Report,Деактивиране на отчета
Authenticating...,Удостоверява се ...
Timeline Links,Връзки във времевата скала
Complete By,Завършете до
"Sorry, you're not authorized.",За съжаление не сте упълномощени.
Add Total Row,Добави Общ ред
Session Start Failed,Стартирането на сесията не бе успешно
Custom HTML Help,Персонализирана HTML помощ
Preferred Billing Address,Предпочитан адрес за фактуриране
Assigned To,Зададен за
Use Different Email Login ID,Използвайте Идентификатор с различно име за влизане
Please setup default Email Account from Setup &gt; Email &gt; Email Account,"Моля, настройте имейл акаунта по подразбиране от Настройка&gt; Имейл&gt; Имейл акаунт"
"{0}: Cannot set Submit, Cancel, Amend without Write","{0}: Не може да се зададе Изпращане, Отказ, Промяна без запис"
Socketio is not connected. Cannot upload,Socketio не е свързан. Не може да се качи
Write a SELECT query. Note result is not paged (all data is sent in one go).,Напишете SELECT заявка. Забележка Резултатът не е изпратен (всички данни се изпращат наведнъж).
Email,електронна поща
Python Module,Модул Python
Sender Email,Имейл на подателя
Intermediate,Междинен
Module Name,Име на модула
Expiration time,Срок на годност
"Set default format, page size, print style etc.","Задаване на формат по подразбиране, размер на страницата, стил на печат и др."
You cannot like something that you created,"Не можете да харесвате нещо, което сте създали"
Session Expiry,Изтичане на сесията
Auto Name,Автоматично име
Select Attachments,Изберете Прикачени файлове
Please set a printer mapping for this print format in the Printer Settings,"Моля, задайте картографиране на принтера за този формат за печат в настройките на принтера"
Percent,на сто
No {0} found,Не е намерен {0}
Country Name,Име на държава
Import Data from CSV / Excel files.,Импортиране на данни от CSV / Excel файлове.
Version Updated,Версия Актуализирана
Allocated To,Разпределени за
Keep track of all update feeds,Следете всички актуализирани емисии
Email Sync Option,Опция за синхронизиране на имейл
"The task {0}, that you assigned to {1}, has been closed.","Задачата {0}, която сте задали на {1}, е затворена."
Client URLs,URL адреси на клиенти
In Progress,В ход
Links,звена
Email Flag Queue,Опашка за опаковане по имейл
Enable Automatic Backup,Активиране на автоматичното архивиране
{0} appreciation point for {1} {2},Точка на оценяване {0} за {1} {2}
envelope,плик
Administrator,администратор
Has Role,Има роля
If non standard port (e.g. 587),Ако не стандартният порт (напр. 587)
No matching records. Search something new,Няма съответстващи записи. Търсете нещо ново
System Page,Страница на системата
Note: By default emails for failed backups are sent.,Забележка: По подразбиране се изпращат имейли за неуспешни архиви.
Custom DocPerm,Персонализиран DocPerm
Doctype to Assign Tags,Doctype за задаване на маркери
Warehouse,Склад
Dropbox Setup,Настройка на Dropbox
Zero,нула
Add a New Role,Добавете нова роля
{0} already unsubscribed for {1} {2},{0} вече е прекратен абонамент за {1} {2}
Editable Grid,Редактируема мрежа
Export Data,Експортиране на данни
Enable / Disable Domains,Активиране / деактивиране на домейни
Website Slideshow,Слайдшоу на сайта
Icon,икона
Special Characters are not allowed,Не са разрешени специални символи
Remove Section,Премахване на раздел
Go to the document,Отидете в документа
Change Label (via Custom Translation),Промяна на етикета (чрез персонализирания превод)
Name not set via prompt,Името не е зададено чрез подкана
Custom JS,Custom JS
Value,стойност
Base Distinguished Name (DN),Основно име (DN)
Timeline field must be a valid fieldname,Полето Timeline трябва да е валидно име на поле
submitted this document,представи този документ
magnet,магнит
Row Values Changed,Стойностите на реда са променени
Value Based On,На база стойност
Search Term,Термин за търсене
Toggle Grid View,Превключване на изгледа за мрежата
Filter Data,Филтриране на данни
Avatar,въплъщение
A word by itself is easy to guess.,Една дума сама по себе си е лесно да се отгатне.
