Connector Type,कनेक्टर प्रकार
All,सब
Modules HTML,मॉड्यूल HTML
remove-sign,हटाने हस्ताक्षर
Full,पूर्ण
User Cannot Create,उपयोगकर्ता नहीं बना सकते हैं
You gained {0} point,आपने {0} बिंदु प्राप्त किया
"If you set this, this Item will come in a drop-down under the selected parent.","यदि आप इसे सेट करते हैं, तो यह आइटम चयनित माता-पिता के अंतर्गत एक ड्रॉप-डाउन में आएगा।"
No Emails,कोई ईमेल नहीं
Following fields are missing:,निम्नलिखित फ़ील्ड गायब हैं:
resize-full,आकार बदलने भरा
You don't have permission to access this file,आपके पास इस फ़ाइल तक पहुँचने की अनुमति नहीं है
changed values for {0},{0} के लिए परिवर्तित मान
Project,परियोजना
Shared with user {0} with read access,साझा पहुंच के साथ उपयोगकर्ता {0} के साथ साझा किया गया
Send,भेजना
Show Calendar,कैलेंडर दिखाएँ
Web Form Fields,वेब फॉर्म फील्ड्स
_doctype,_doctype
User editable form on Website.,वेबसाइट पर उपयोगकर्ता का संपादन योग्य रूप।
Permanently Cancel {0}?,स्थायी रूप से {0} रद्द करें?
Option 3,विकल्प 3
Totals,योग
This is a very common password.,यह एक बहुत ही सामान्य पासवर्ड है।
Pending Approval,लंबित अनुमोदन
The document could not be correctly assigned,दस्तावेज़ सही ढंग से असाइन नहीं किया जा सका
Not allowed for {0}: {1},{0}: {1} के लिए अनुमति नहीं है
Personal Data Download Request,व्यक्तिगत डेटा डाउनलोड अनुरोध
{0} shared this document with {1},{0} ने इस दस्तावेज़ को {1} के साथ साझा किया
Select {0},{0} का चयन करें
Advanced Search,उन्नत खोज
New password emailed,नया पासवर्ड ईमेल किया गया
Will only be shown if section headings are enabled,केवल तब दिखाया जाएगा जब अनुभाग शीर्षकों को सक्षम किया जाएगा
Session Expiry Mobile,सत्र समाप्ति मोबाइल
Email Settings,ईमेल सेटिंग
Welcome to {0},{0} में आपका स्वागत है
Enable Shadows,छाया सक्षम करें
Delete,हटाना
{0} criticized on {1},{0} पर आलोचना की {1}
This email was sent to {0} and copied to {1},यह ईमेल {0} पर भेजा गया और {1} पर कॉपी किया गया
Invalid login or password,अवैध लॉगइन या पासवर्ड
Social Login Key,सामाजिक लॉगिन कुंजी
Filters saved,फिल्टर बच गए
"How should this currency be formatted? If not set, will use system defaults","इस मुद्रा को कैसे स्वरूपित किया जाना चाहिए? यदि सेट नहीं है, तो सिस्टम डिफॉल्ट का उपयोग करेगा"
{0}: {1} is set to state {2},{0}: {1} को राज्य {2} पर सेट किया जाता है
"If enabled, document views are tracked, this can happen multiple times","यदि सक्षम किया गया है, तो दस्तावेज़ दृश्य ट्रैक किए जाते हैं, यह कई बार हो सकता है"
DocField,DocField
Send Print as PDF,पीडीएफ के रूप में प्रिंट भेजें
Expiry time of QR Code Image Page,क्यूआर कोड छवि पृष्ठ की समाप्ति का समय
Global Search,वैश्विक खोज
Allow Print for Draft,ड्राफ्ट के लिए प्रिंट की अनुमति दें
Use of sub-query or function is restricted,उप-क्वेरी या फ़ंक्शन का उपयोग प्रतिबंधित है
Database Engine,डेटाबेस इंजन
Help,मदद
Configure Chart,चार्ट को कॉन्फ़िगर करें
No template found at path: {0},पथ पर कोई टेम्पलेट नहीं मिला: {0}
Only Administrator can delete Email Queue,केवल व्यवस्थापक ईमेल कतार हटा सकते हैं
Push Update,पुश अपडेट
Letter Head Image,लेटर हेड इमेज
Dashboard Chart Source,डैशबोर्ड चार्ट स्रोत
darkgrey,गहरा भूरा
Dashboards,डैशबोर्ड
Top {0},शीर्ष {0}
{0}: {1} in {2},{0}: {१} {२} में
'In Global Search' not allowed for type {0} in row {1},पंक्ति {1} में टाइप {0} के लिए &#39;ग्लोबल सर्च में&#39; की अनुमति नहीं है
Scheduled To Send,भेजने के लिए अनुसूचित
"It seems that there is an issue with the server's stripe configuration. In case of failure, the amount will get refunded to your account.","ऐसा लगता है कि सर्वर के स्ट्राइप कॉन्फ़िगरेशन के साथ कोई समस्या है। विफलता के मामले में, राशि आपके खाते में वापस कर दी जाएगी।"
Google Font,Google फ़ॉन्ट
Client Information,क्लाइंट की सूचना
"Your subscription expired on {0}. To renew, {1}.","आपकी सदस्यता {0} पर समाप्त हो गई है। नवीनीकरण करने के लिए, {1}।"
Value To Be Set,सेट होने का मूल्य
Snapshot View,स्नैपशॉट दृश्य
IN,में
Desktop Background,संगणक पृष्ठभूमि
Connection Name,कनेक्शन नाम
Permitted Documents For User,उपयोगकर्ता के लिए अनुमत दस्तावेज
Download link for your backup will be emailed on the following email address: {0},आपके बैकअप के लिए डाउनलोड लिंक निम्नलिखित ईमेल पते पर ईमेल किया जाएगा: {0}
Full Page,पूरा पृष्ठ
Updated {0}: {1},अद्यतित {0}: {1}
Send me a copy,मुझे एक कॉपी भेजें
Blog Post,ब्लॉग पोस्ट
Workflow Action Name,वर्कफ़्लो एक्शन नाम
Add Group,समूह जोड़ें
Mappings,मैपिंग
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange","शैली बटन रंग का प्रतिनिधित्व करती है: सफलता - हरा, खतरे - लाल, उलटा - काला, प्राथमिक - गहरा नीला, जानकारी - हल्का नीला, चेतावनी - नारंगी"
Invalid file path: {0},अमान्य फ़ाइल पथ: {0}
Your password has been updated. Here is your new password,आपका पासवर्ड बदला जा चुका है। यहाँ आपका नया पासवर्ड है
Every Month,हर महीने
Precision,शुद्धता
Last Modified On,अंतिम संशोधित पर
Hide field in Standard Print Format,मानक प्रिंट प्रारूप में फ़ील्ड छिपाएँ
Show Attachments,संलग्नक दिखाएं
Multiple root nodes not allowed.,एकाधिक रूट नोड्स की अनुमति नहीं है।
Don't create new records,नए रिकॉर्ड न बनाएं
Beginner,शुरुआती
"For example: If you want to include the document ID, use {0}","उदाहरण के लिए: यदि आप दस्तावेज़ आईडी को शामिल करना चाहते हैं, तो {0} का उपयोग करें"
{0} has already assigned default value for {1}.,{0} ने पहले ही {1} के लिए डिफ़ॉल्ट मान निर्दिष्ट कर दिया है।
fullscreen,पूर्ण स्क्रीन
Allow Import (via Data Import Tool),आयात की अनुमति दें (डेटा आयात उपकरण के माध्यम से)
"The task {0}, that you assigned to {1}, has been closed by {2}.","कार्य {0}, जिसे आपने {1} को सौंपा है, {2} द्वारा बंद कर दिया गया है।"
Show as cc,Cc के रूप में दिखाएँ
Policy,नीति
Integrations,एकीकरण
Hide footer in auto email reports,ऑटो ईमेल रिपोर्ट में पाद छिपाएँ
Float,फ्लोट
Push Insert,सम्मिलित करें धक्का
Rating,रेटिंग
Email By Document Field,दस्तावेज़ फ़ील्ड द्वारा ईमेल करें
Totals Row,टोटल्स रो
Website User,वेबसाइट उपयोगकर्ता
For User,उपयोगकर्ता के लिए
Role Profile,भूमिका प्रोफ़ाइल
Connector Name,कनेक्टर नाम
Is Active,सक्रिय है
Append To,जोङना
Invalid Link,अमान्य लिंक
Time Series,समय श्रृंखला
Background Image,पृष्ठभूमि छवि
Top Reviewer,शीर्ष समीक्षक
Restore Original Permissions,मूल अनुमतियाँ पुनर्स्थापित करें
Please save the report first,कृपया पहले रिपोर्ट सहेजें
Attach Print,प्रिंट संलग्न करें
Log of Scheduler Errors,शेड्यूलर एरर्स का लॉग
Text to be displayed for Link to Web Page if this form has a web page. Link route will be automatically generated based on `page_name` and `parent_website_route`,"यदि इस फ़ॉर्म में वेब पेज है, तो लिंक को वेब पेज के लिए प्रदर्शित किया जा सकता है। लिंक मार्ग स्वतः ही &#39;page_name` और `parent_website_route` के आधार पर जनरेट किया जाएगा"
Template ID,टेम्पलेट आईडी
Invalid recipient address,अमान्य प्राप्तकर्ता का पता
Duplicate Filter Name,डुप्लिकेट फ़िल्टर नाम
align-center,मध्य में संरेखित करें
Customization,अनुकूलन
New Print Format Name,नया प्रिंट प्रारूप नाम
Error while evaluating Notification {0}. Please fix your template.,अधिसूचना {0} का मूल्यांकन करते समय त्रुटि। कृपया अपना खाका ठीक करें।
Can Share,साझा कर सकते हैं
Allow Roles,रोल्स की अनुमति दें
Move To Trash,रद्दी में डालें
Back to Desk,वापस डेस्क पर
Document Queued,दस्तावेज़ पंक्तिबद्ध
PayPal Settings,पेपैल सेटिंग्स
Is Folder,फोल्डर है
Print Style,प्रिंट शैली
Defaults,चूक
Forward,आगे
Event Participants,इवेंट के प्रतिभागी
Email Status,ईमेल की स्थिति
Google Maps integration,गूगल मैप्स एकीकरण
Do not edit headers which are preset in the template,हेडर को संपादित न करें जो टेम्पलेट में पूर्व निर्धारित हैं
Workflow state represents the current state of a document.,वर्कफ़्लो स्थिति किसी दस्तावेज़ की वर्तमान स्थिति का प्रतिनिधित्व करती है।
Center,केंद्र
Male,पुरुष
Amount Based On Field,फ़ील्ड के आधार पर राशि
Allow Edit,संपादित करने की अनुमति दें
Select the label after which you want to insert new field.,उस लेबल का चयन करें जिसके बाद आप नया फ़ील्ड सम्मिलित करना चाहते हैं।
Gateway Controller,गेटवे नियंत्रक
New Connection,नया कनेक्शन
New Activity,नई गतिविधि
Unable to find attachment {0},कुर्की {0} ढूंढने में असमर्थ
Fields Multicheck,फील्ड्स मल्टीचेक
Timestamp,समय-चिह्न
Website Theme,वेबसाइट थीम
Log of error on automated events (scheduler).,स्वचालित घटनाओं (अनुसूचक) पर त्रुटि का लॉग।
Looks like someone sent you to an incomplete URL. Please ask them to look into it.,ऐसा लगता है कि किसी ने आपको एक अपूर्ण URL पर भेजा है। कृपया उन्हें इसे देखने के लिए कहें।
All Images attached to Website Slideshow should be public,वेबसाइट स्लाइड शो से जुड़ी सभी छवियां सार्वजनिक होनी चाहिए
You can only upload upto 5000 records in one go. (may be less in some cases),आप केवल एक बार में 5000 रिकॉर्ड तक अपलोड कर सकते हैं। (कुछ मामलों में कम हो सकता है)
Template,खाका
Personal,निजी
Location,स्थान
No Data,कोई आकड़ा उपलब्ध नहीं है
Website Meta Tag,वेबसाइट मेटा टैग
film,फ़िल्म
{0} Settings not found,{0} सेटिंग्स नहीं मिलीं
Label is mandatory,लेबल अनिवार्य है
Webhook Headers,वेबहूक हेडर
"Customized Formats for Printing, Email","मुद्रण के लिए अनुकूलित प्रारूप, ईमेल"
Markdown,Markdown
Miss,कुमारी र
Allow Modules,मॉड्यूल की अनुमति दें
Slideshow Name,स्लाइड शो का नाम
Better add a few more letters or another word,बेहतर है कि कुछ और अक्षर या दूसरा शब्द जोड़ें
SMS,एसएमएस
share-alt,शेयर alt
Workflow Action Master,वर्कफ़्लो एक्शन मास्टर
"Looks like something went wrong during the transaction. Since we haven't confirmed the payment, Paypal will automatically refund you this amount. If it doesn't, please send us an email and mention the Correlation ID: {0}.","लगता है कि लेन-देन के दौरान कुछ गड़बड़ हो गई। चूंकि हमने भुगतान की पुष्टि नहीं की है, इसलिए पेपैल इस राशि को स्वचालित रूप से आपको वापस कर देगा। यदि ऐसा नहीं होता है, तो कृपया हमें एक ईमेल भेजें और सहसंबंध आईडी का उल्लेख करें: {0}।"
Message not setup,संदेश सेटअप नहीं है
Add code as &lt;script&gt;,&lt;Script&gt; के रूप में कोड जोड़ें
Refresh Token,टोकन वापस करें
Seems API Key or API Secret is wrong !!!,लगता है एपीआई कुंजी या एपीआई गुप्त गलत है !!!
Add to table,तालिका में जोड़ें
'In List View' not allowed for type {0} in row {1},पंक्ति {1} में टाइप {0} के लिए &#39;सूची दृश्य में&#39; की अनुमति नहीं है
List of themes for Website.,वेबसाइट के लिए विषयों की सूची।
Random,बिना सोचे समझे
Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,सबसे छोटा परिचालित अंश इकाई (सिक्का)। उदाहरण के लिए USD के लिए 1 प्रतिशत और इसे 0.01 के रूप में दर्ज किया जाना चाहिए
Passive,निष्क्रिय
PDF generation failed,पीडीएफ पीढ़ी विफल रही
Atleast one field of Parent Document Type is mandatory,मूल दस्तावेज़ प्रकार का कम से कम एक फ़ील्ड अनिवार्य है
Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType',विकल्प &#39;डायनेमिक लिंक&#39; फ़ील्ड का प्रकार &#39;लिंक&#39; के रूप में विकल्पों के साथ किसी अन्य लिंक फ़ील्ड को इंगित करना चाहिए
"If the condition is satisfied user will be rewarded with the points. eg. doc.status == 'Closed'
",यदि हालत संतुष्ट है तो उपयोगकर्ता को अंकों के साथ पुरस्कृत किया जाएगा। जैसे। doc.status == &#39;बंद&#39;
App not found,ऐप नहीं मिला
Internal Server Error,आंतरिक सर्वर त्रुटि
Details,विवरण
Note,ध्यान दें
Please save the document before removing assignment,असाइनमेंट निकालने से पहले डॉक्यूमेंट सेव करें
Recipient,प्राप्त करने वाला
Geolocation,जियोलोकेशन
text-width,पाठ-चौड़ाई
Letter,पत्र
Verification Link,सत्यापन लिंक
Pay,वेतन
Month,महीना
"To stop sending repetitive error notifications from the system, we have checked Disabled field in the Auto Repeat document","सिस्टम से दोहराए गए त्रुटि सूचनाओं को भेजने से रोकने के लिए, हमने ऑटो रिपीट दस्तावेज़ में अक्षम फ़ील्ड की जाँच की है"
Add Multiple,एकाधिक जोड़ें
"To add dynamic subject, use jinja tags like

<div><pre><code>{{ doc.name }} Delivered</code></pre></div>","डायनेमिक विषय जोड़ने के लिए, jinja टैग का उपयोग करें <div><pre> <code>{{ doc.name }} Delivered</code> </pre> </div>"
Addresses,पतों
Number of DB Backups,DB बैकअप की संख्या
Web Page Link Text,वेब पेज लिंक पाठ
You unfollowed this document,आपने इस दस्तावेज़ को अनफ़ॉलो कर दिया
cn-north-1,cn-उत्तर-1
ca-central-1,सीए-मध्य-1
Share With,के साथ शेयर करें
Field type cannot be changed for {0},फ़ील्ड प्रकार को {0} के लिए नहीं बदला जा सकता
Checking one moment,एक-एक पल की जाँच कर रहा है
End Time,अंतिम समय
Search field {0} is not valid,खोज फ़ील्ड {0} मान्य नहीं है
Have an account? Login,खाता होना? लॉग इन करें
on_trash,on_trash
New Name,नया नाम
Introduce your company to the website visitor.,अपनी कंपनी को वेबसाइट विजिटर से मिलवाएं।
Activity,गतिविधि
Deleted DocType,हटाए गए दस्तावेज़
If user is the owner,यदि उपयोगकर्ता स्वामी है
Set Permissions,अनुमतियाँ सेट करें
Auto,ऑटो
Attach Document Print,दस्तावेज़ प्रिंट संलग्न करें
just now,अभी
File '{0}' not found,फ़ाइल &#39;{0}&#39; नहीं मिली
You do not have enough permissions to complete the action,कार्रवाई पूरी करने के लिए आपके पास पर्याप्त अनुमति नहीं है
App {0} is not installed,ऐप {0} इंस्टॉल नहीं है
Show Dashboard,डैशबोर्ड दिखाओ
Add Contact,संपर्क जोड़ें
Dropbox Access Secret,ड्रॉपबॉक्स एक्सेस सीक्रेट
This user's data cannot be requested for deletion,इस उपयोगकर्ता के डेटा को हटाने के लिए अनुरोध नहीं किया जा सकता है
{0} from {1} to {2} in row #{3},{0} से {1} से {2} पंक्ति में # {3}
Export not allowed. You need {0} role to export.,निर्यात की अनुमति नहीं है। आपको निर्यात करने के लिए {0} भूमिका की आवश्यकता है।
User Cannot Search,उपयोगकर्ता खोज नहीं कर सकता
Search...,खोज...
Delete Data,डेटा हटाएं
Edit Format,प्रारूप संपादित करें
Source Text,स्रोत इबारत
Fraction,अंश
Robots.txt,robots.txt
Preview Message,संदेश का पूर्वावलोकन करें
Max Attachment Size (in MB),अधिकतम अनुलग्नक का आकार (एमबी में)
Rating: ,रेटिंग:
"If not set, the currency precision will depend on number format","यदि सेट नहीं किया गया है, तो मुद्रा परिशुद्धता संख्या प्रारूप पर निर्भर करेगी"
You don't have the permissions to access this document,आपके पास इस दस्तावेज़ तक पहुँचने की अनुमति नहीं है
Reference Party Doctype,संदर्भ पार्टी सिद्धांत
Button Help,बटन मदद
Defines actions on states and the next step and allowed roles.,राज्यों पर कार्रवाई और अगले कदम और अनुमत भूमिकाओं को परिभाषित करता है।
Replied,उत्तर दिया
Email Rule,ईमेल नियम
Ignore XSS Filter,XSS फ़िल्टर पर ध्यान न दें
Auto assignment failed: {0},ऑटो असाइनमेंट विफल: {0}
Download Files Backup,फ़ाइलें बैकअप डाउनलोड करें
Set,सेट
Event end must be after start,घटना अंत शुरू होने के बाद होना चाहिए
{0} to stop receiving emails of this type,इस प्रकार के ईमेल प्राप्त करने को रोकने के लिए {0}
gave {0} points,दिया {0} अंक
Daily,रोज
Custom?,कस्टम?
Username,उपयोगकर्ता नाम
Upgrade,अपग्रेड
Append To can be one of {0},परिशिष्ट {0} में से एक हो सकता है
pencil,पेंसिल
Did not add,नहीं जोड़ा
arrow-right,तीर सही
Fetch attached images from document,दस्तावेज़ से संलग्न चित्र प्राप्त करें
Message clipped,मैसेज क्लिप किया गया
Completed,पूरा कर लिया है
Permissions are automatically applied to Standard Reports and searches.,अनुमतियाँ स्वचालित रूप से मानक रिपोर्ट और खोजों पर लागू होती हैं।
Open Link,खुली लिंक
All fields are necessary to submit the comment.,टिप्पणी सबमिट करने के लिए सभी फ़ील्ड आवश्यक हैं।
Introduction,परिचय
User Tags,उपयोगकर्ता टैग
"To add dynamic subject, use jinja tags like

<div><pre><code>New {{ doc.doctype }} #{{ doc.name }}</code></pre></div>","डायनेमिक विषय जोड़ने के लिए, jinja टैग का उपयोग करें <div><pre> <code>New {{ doc.doctype }} #{{ doc.name }}</code> </pre> </div>"
Add Child,बाल जोड़ें
New,नया
Add all roles,सभी भूमिकाएँ जोड़ें
Transaction Hash,लेन-देन हैश
Doc Status,डॉक्टर का दर्जा
Allow Multiple,एकाधिक की अनुमति दें
Repeat Header and Footer in PDF,पीडीएफ में हेडर और फूटर दोहराएं
Redirect URL,रीडायरेक्ट URL
{0} rows for {1},{0} पंक्तियों के लिए {1}
Week,सप्ताह
Sent or Received,भेजा या प्राप्त किया हुआ
The system provides many pre-defined roles. You can add new roles to set finer permissions.,प्रणाली कई पूर्व-निर्धारित भूमिकाएं प्रदान करती है। महीन अनुमतियाँ सेट करने के लिए आप नई भूमिकाएँ जोड़ सकते हैं।
Instructions Emailed,निर्देश ईमेल
Execution Time: {0} sec,निष्पादन समय: {0} सेकंड
For {0} at level {1} in {2} in row {3},{0} स्तर {1} में {2} के लिए पंक्ति {3} में
Receiver Parameter,रिसीवर पैरामीटर
Default Print Language,डिफ़ॉल्ट प्रिंट भाषा
Collapsible Depends On,बंधनेवाला निर्भर करता है
Use TLS,TLS का प्रयोग करें
Show in Module Section,मॉड्यूल अनुभाग में दिखाएं
LDAP Email Field,LDAP ईमेल फ़ील्ड
New Comment on {0}: {1},{0} पर नई टिप्पणी: {1}
Please setup a message first,कृपया पहले संदेश सेट करें
Session Expiry in Hours e.g. 06:00,सत्र समाप्ति समाप्ति घंटे जैसे उदा ०६:००
"If Apply Strict User Permission is checked and User Permission is defined for a DocType for a User, then all the documents where value of the link is blank, will not be shown to that User","यदि लागू सख्त उपयोगकर्ता की अनुमति की जाँच की जाती है और उपयोगकर्ता की अनुमति उपयोगकर्ता के लिए एक DocType के लिए परिभाषित की जाती है, तो सभी दस्तावेज़ जहाँ लिंक का मूल्य रिक्त है, उस उपयोगकर्ता को नहीं दिखाया जाएगा"
Webhook URL,Webhook URL
Duplicate name {0} {1},डुप्लिकेट नाम {0} {1}
States,राज्य अमेरिका
Logs,लॉग्स
Standings,स्टैंडिंग
Token,टोकन
Not Published,प्रकाशित नहीं हुआ
Allow Bulk Edit,बल्क एडिट की अनुमति दें
Footer HTML,पाद लेख HTML
Days Before or After,पहले या बाद के दिन
Property Setter overrides a standard DocType or Field property,प्रॉपर्टी सेटर एक मानक DocType या Field प्रॉपर्टी को ओवरराइड करता है
us-west-1,हमें पश्चिम -1
Start Date Field,प्रारंभ दिनांक फ़ील्ड
Every Week,प्रति सप्ताह
"Your subscription expired on {0}. To renew, please send an email to {1}.","आपकी सदस्यता {0} पर समाप्त हो गई है। नवीनीकृत करने के लिए, कृपया {1} को एक ईमेल भेजें।"
fast-forward,तेजी से आगे बढ़ना
Post Comment,टिप्पणी पोस्ट करें
Restart,पुनः आरंभ करें
Custom Base URL,कस्टम बेस URL
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.","सर्वोत्तम अभ्यास के रूप में, अलग-अलग रोल्स के लिए अनुमति नियम का एक ही सेट असाइन न करें। इसके बजाय, एक ही उपयोगकर्ता के लिए कई भूमिकाएँ निर्धारित करें।"
Default,चूक
Permanently delete {0}?,स्थायी रूप से {0} हटाएं?
Method,तरीका
Round Robin,राउंड रोबिन
Image,छवि
Now,अभी व
Editing Row,संपादन पंक्ति
"e.g. ""Support"", ""Sales"", ""Jerry Yang""","उदाहरण के लिए &quot;सपोर्ट&quot;, &quot;सेल्स&quot;, &quot;जेरी यांग&quot;"
Hostname,होस्ट का नाम
Hourly,प्रति घंटा
Allow field to remain editable even after submission,फ़ील्ड को सबमिट करने के बाद भी संपादन योग्य रहने दें
Oops! Something went wrong,ऊप्स! कुछ गलत हो गया
Fieldtype,क्षेत्र के जैसा
DocType can not be merged,DocType को मर्ज नहीं किया जा सकता है
Click on the link below to verify your request,अपना अनुरोध सत्यापित करने के लिए नीचे दिए गए लिंक पर क्लिक करें
Recent years are easy to guess.,हाल के वर्षों का अनुमान लगाना आसान है।
Disable Signup,साइनअप अक्षम करें
Remove Tag,टेग हटाऔ
Show failed jobs,असफल नौकरियां दिखाएं
Button,बटन
Most Used,सबसे अधिक इस्तेमाल किया गता
In seconds,कुछ लम्हों में
Gantt,गैंट
Help: Field Properties,सहायता: फील्ड गुण
Brand HTML,ब्रांड HTML
Data Import,डेटा आयात
Document Type to Track,दस्तावेज़ प्रकार ट्रैक करने के लिए
Write,लिखो
remove-circle,हटाने सर्कल
th,वें
chevron-left,शेवरॉन-बाएँ
Predictable substitutions like '@' instead of 'a' don't help very much.,&#39;ए&#39; के बजाय &#39;@&#39; जैसे पूर्वनिर्धारित विकल्प बहुत मदद नहीं करते हैं।
Color,रंग
Row # ,पंक्ति #
volume-up,ध्वनि तेज
Cancelled,रद्द
Email has been moved to trash,ईमेल को ट्रैश में ले जाया गया है
No Preview,कोई पूर्वावलोकन
Table updated,तालिका अपडेट की गई
Another transaction is blocking this one. Please try again in a few seconds.,एक अन्य लेनदेन इसे रोक रहा है। कृपया कुछ सेकंड में पुनः प्रयास करें।
You can use wildcard %,आप वाइल्डकार्ड% का उपयोग कर सकते हैं
Address Line 1,पता पंक्ति 1
For Document Type,दस्तावेज़ प्रकार के लिए
Data missing in table,तालिका में डेटा गायब है
Could not identify {0},{0} की पहचान नहीं हो सकी
This form has been modified after you have loaded it,आपके द्वारा लोड किए जाने के बाद इस फॉर्म को संशोधित किया गया है
Back to Login,लॉगिन पर वापस जाएं
Not Set,सेट नहीं
Pull,खींचें
Browse,ब्राउज
"Fields separated by comma (,) will be included in the ""Search By"" list of Search dialog box","अल्पविराम (,) द्वारा अलग किए गए फ़ील्ड खोज संवाद बॉक्स की &quot;खोज द्वारा&quot; सूची में शामिल किए जाएंगे"
Edit Custom HTML,कस्टम HTML संपादित करें
Assignment Rule,असाइनमेंट नियम
Knowledge Base,ज्ञानधार
Comment Email,टिप्पणी ईमेल
Mr,श्री
Not allowed to Import,आयात करने की अनुमति नहीं है
Please do not change the rows above {0},कृपया {0} से ऊपर की पंक्तियों को न बदलें
GSuite test executed with success. GSuite integration is correctly configured,सफलता के साथ निष्पादित जीसुइट परीक्षण। GSuite एकीकरण सही ढंग से कॉन्फ़िगर किया गया है
Email Group,ईमेल समूह
Row {0}: Not allowed to disable Mandatory for standard fields,पंक्ति {0}: मानक क्षेत्रों के लिए अनिवार्य को अक्षम करने की अनुमति नहीं है
Braintree Settings,Braintree सेटिंग्स
Show a description below the field,क्षेत्र के नीचे एक विवरण दिखाएं
Cannot send this email. You have crossed the sending limit of {0} emails for this day.,यह ईमेल नहीं भेजा जा सकता। आपने इस दिन के लिए {0} ईमेल भेजने की सीमा पार कर ली है।
fast-backward,तेजी से पिछड़े
Copyright,कॉपीराइट
Description,विवरण
Please enable developer mode to create new connection,कृपया नया कनेक्शन बनाने के लिए डेवलपर मोड सक्षम करें
Attached To DocType,DocType से जुड़ी
Deleted,हटाए गए
Logged Out,लॉग आउट
Updating,अद्यतन कर रहा है
Default Incoming,डिफ़ॉल्ट आवक
Copy and paste this code into and empty Code.gs in your project at script.google.com,इस कोड को अपने प्रोजेक्ट में script.google.com पर कोड को रिक्त करें और चिपकाएँ
Recurring,आवर्ती
Invalid Password:,अवैध पासवर्ड:
{0} hours ago,{0} घंटे पहले
Expert,विशेषज्ञ
Single Types have only one record no tables associated. Values are stored in tabSingles,"सिंगल टाइप्स में केवल एक रिकॉर्ड होता है, जिसमें कोई टेबल नहीं होती है। मान tabSingles में संग्रहीत किए जाते हैं"
Clear User Permissions,उपयोगकर्ता अनुमतियाँ साफ़ करें
Self approval is not allowed,स्व अनुमोदन की अनुमति नहीं है
You don't have permission to get a report on: {0},आपके पास रिपोर्ट प्राप्त करने की अनुमति नहीं है: {0}
Feedback Request,प्रतिक्रिया का अनुरोध
Notify Users On Every Login,हर लॉगिन पर उपयोगकर्ताओं को सूचित करें
Filter...,फ़िल्टर करें ...
"To format columns, give column labels in the query.","स्तंभों को प्रारूपित करने के लिए, क्वेरी में कॉलम लेबल दें।"
First Success Message,पहला सफलता संदेश
{0} is a mandatory field,{0} एक अनिवार्य क्षेत्र है
Illegal Document Status for {0},{0} के लिए अवैध दस्तावेज़ स्थिति
Submiting {0},सबमिट करना {0}
To and CC,को और सी.सी.
Left this conversation,इस बातचीत को छोड़ दिया
Inbox,इनबॉक्स
Expired,समय सीमा समाप्त
Show tags,टैग्स दिखाएं
Select Role,भूमिका का चयन करें
Edit in Full Page,पूर्ण पृष्ठ में संपादित करें
Successfully updated translations,अनुवाद सफलतापूर्वक किए गए
Option 2,विकल्प 2
Missing parameters for login,लॉगिन के लिए अनुपलब्ध पैरामीटर
Chat Background,चैट पृष्ठभूमि
Internal record of document shares,दस्तावेज़ शेयरों का आंतरिक रिकॉर्ड
Mandatory field: {0},अनिवार्य क्षेत्र: {0}
Unable to write file format for {0},{0} के लिए फ़ाइल प्रारूप लिखने में असमर्थ
Top Bar Items,शीर्ष बार आइटम
"No need for symbols, digits, or uppercase letters.","प्रतीकों, अंकों या बड़े अक्षरों की कोई आवश्यकता नहीं।"
Seen By,द्वारा देखा गया
Update Translations,अनुवाद का अद्यतन करें
"If checked, users will not see the Confirm Access dialog.","यदि जाँच की जाती है, तो उपयोगकर्ता कन्फर्म एक्सेस डायलॉग नहीं देखेंगे।"
Minimum Password Score,न्यूनतम पासवर्ड स्कोर
Child Table Mapping,बाल तालिका मानचित्रण
Email Account setup please enter your password for: ,ईमेल खाता सेटअप के लिए अपना पासवर्ड दर्ज करें:
Too many writes in one request. Please send smaller requests,बहुत सारे एक अनुरोध में लिखते हैं। कृपया छोटे अनुरोध भेजें
Salesforce,बिक्री बल
Tile,टाइल
{0} room must have atmost one user.,{0} कमरे में कम से कम एक उपयोगकर्ता होना चाहिए।
Is Spam,स्पैम है
Complete Registration,पंजीकरण पूर्ण करें
Maintenance User,रखरखाव उपयोगकर्ता
Link to the page you want to open. Leave blank if you want to make it a group parent.,उस पृष्ठ से लिंक करें जिसे आप खोलना चाहते हैं। यदि आप इसे समूह जनक बनाना चाहते हैं तो खाली छोड़ दें।
Your organization name and address for the email footer.,ईमेल पाद लेख के लिए आपका संगठन का नाम और पता।
"Please enter both your email and message so that we \
				can get back to you. Thanks!",कृपया अपना ईमेल और संदेश दोनों दर्ज करें ताकि हम आपको वापस प्राप्त कर सकें। धन्यवाद!
Attempting to launch QZ Tray...,QZ ट्रे लॉन्च करने का प्रयास ...
Offline,ऑफलाइन
Security Settings,सुरक्षा सेटिंग
Enable Print Server,प्रिंट सर्वर को सक्षम करें
