Connector Type,コネクタの種類
Option 3,オプション3
Totals,合計
This is a very common password.,これは非常に一般的なパスワードです。
Pending Approval,承認待ちの
The document could not be correctly assigned,文書を正しく割り当てることができませんでした
Not allowed for {0}: {1},{0}には使用できません：{1}
Personal Data Download Request,個人データダウンロード要求
{0} shared this document with {1},{0}がこの文書を{1}と共有しました
Select {0},{0}を選択
Advanced Search,高度な検索
New password emailed,新しいパスワードをEメールで送信
Will only be shown if section headings are enabled,セクション見出しが有効になっている場合にのみ表示されます
Session Expiry Mobile,セッション期限切れモバイル
Email Settings,メール設定
Welcome to {0},{0}へようこそ
Enable Shadows,影を有効にする
Delete,削除する
{0} criticized on {1},{0}は{1}を批判しました
This email was sent to {0} and copied to {1},このメールは{0}に送信され、{1}にコピーされました
Invalid login or password,無効なログインまたはパスワード
Social Login Key,ソーシャルログインキー
Filters saved,保存したフィルタ
"How should this currency be formatted? If not set, will use system defaults",この通貨はどのようにフォーマットされるべきですか？設定されていない場合、システムデフォルトを使用します
{0}: {1} is set to state {2},{0}：{1}は状態{2}に設定されています
"If enabled, document views are tracked, this can happen multiple times",有効にすると、ドキュメントビューが追跡されます。これは複数回発生する可能性があります。
DocField,DocField
Send Print as PDF,印刷をPDFとして送信
Expiry time of QR Code Image Page,QRコード画像ページの有効期限
Global Search,グローバル検索
Allow Print for Draft,下書きの印刷を許可
Use of sub-query or function is restricted,副問い合わせまたは関数の使用は制限されています
Database Engine,データベースエンジン
Help,助けて
Configure Chart,チャートを設定
No template found at path: {0},パスにテンプレートが見つかりませんでした：{0}
Only Administrator can delete Email Queue,管理者のみがメールキューを削除できます
Push Update,更新をプッシュ
Letter Head Image,レターヘッド画像
Dashboard Chart Source,ダッシュボードチャートのソース
darkgrey,濃い灰色
Dashboards,ダッシュボード
Top {0},トップ{0}
{0}: {1} in {2},{0}：{2}の{1}
'In Global Search' not allowed for type {0} in row {1},「グローバル検索内」は、行{1}のタイプ{0}には使用できません
Scheduled To Send,送信予定
"It seems that there is an issue with the server's stripe configuration. In case of failure, the amount will get refunded to your account.",サーバーのストライプ構成に問題があるようです。失敗した場合、金額はあなたの口座に返金されます。
Google Font,Googleフォント
Client Information,クライアント情報
"Your subscription expired on {0}. To renew, {1}.",あなたの購読は{0}で期限が切れました。更新するには、{1}。
Value To Be Set,設定する値
Snapshot View,スナップショットビュー
IN,に
Desktop Background,デスクトップの背景
Connection Name,接続名
Permitted Documents For User,ユーザーの許可文書
Download link for your backup will be emailed on the following email address: {0},バックアップ用のダウンロードリンクは、次のメールアドレスに送信されます。{0}
Full Page,全ページ
Updated {0}: {1},更新{0}：{1}
Send me a copy,コピーを送ってください
Blog Post,ブログ投稿
Workflow Action Name,ワークフローアクション名
Add Group,グループを追加
Mappings,マッピング
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange",スタイルはボタンの色を表します。成功 - 緑、危険 - 赤、逆 - 黒、一次 - ダークブルー、情報 - ライトブルー、警告 - オレンジ
Invalid file path: {0},無効なファイルパス：{0}
Your password has been updated. Here is your new password,あなたのパスワードは更新されました。これがあなたの新しいパスワードです
Every Month,毎月
Precision,精度
Last Modified On,最終更新日
Hide field in Standard Print Format,標準印刷フォーマットでフィールドを隠す
Show Attachments,添付ファイルを表示
Multiple root nodes not allowed.,複数のルートノードは許可されていません。
Don't create new records,新しいレコードを作成しない
Beginner,初心者
"For example: If you want to include the document ID, use {0}",例えば、文書IDを含めたい場合は、{0}を使用してください。
{0} has already assigned default value for {1}.,{0}は既に{1}のデフォルト値を割り当てています。
fullscreen,全画面表示
Allow Import (via Data Import Tool),インポートを許可する（データインポートツール経由）
"The task {0}, that you assigned to {1}, has been closed by {2}.",{1}に割り当てたタスク{0}は、{2}によってクローズされました。
Show as cc,ccとして表示
Policy,方針
Integrations,統合
Hide footer in auto email reports,自動電子メールレポートでフッターを隠す
Float,浮く
Push Insert,プッシュインサート
Rating,評価
Email By Document Field,ドキュメントフィールドで電子メール送信
Totals Row,合計行
Website User,ウェブサイトユーザー
For User,ユーザー向け
Role Profile,役割プロファイル
Connector Name,コネクタ名
Is Active,アクティブです
Append To,に追加
Invalid Link,無効なリンク
Time Series,時系列
Background Image,背景イメージ
Top Reviewer,トップレビューア
Restore Original Permissions,元の権限を復元する
Please save the report first,最初にレポートを保存してください
Attach Print,印刷を添付
Log of Scheduler Errors,スケジューラエラーのログ
Text to be displayed for Link to Web Page if this form has a web page. Link route will be automatically generated based on `page_name` and `parent_website_route`,このフォームにWebページがある場合にWebページへのリンクに表示されるテキスト。リンクルートは `page_name`と` parent_website_route`に基づいて自動的に生成されます
Template ID,テンプレートID
Invalid recipient address,無効な受信者アドレス
Duplicate Filter Name,フィルター名が重複しています
align-center,中央揃え
Customization,カスタマイズ
New Print Format Name,新しい印刷フォーマット名
Error while evaluating Notification {0}. Please fix your template.,通知{0}の評価中にエラーが発生しました。テンプレートを修正してください。
Can Share,共有できます
Allow Roles,役割を許可
Move To Trash,ゴミ箱へ移動
Back to Desk,机に戻る
Document Queued,ドキュメントキュー
PayPal Settings,PayPal設定
Is Folder,フォルダです
Print Style,印刷スタイル
Defaults,デフォルト
Forward,進む
Event Participants,イベント参加者
Email Status,メールステータス
Google Maps integration,Googleマップの統合
Do not edit headers which are preset in the template,テンプレートにプリセットされているヘッダーを編集しないでください
Workflow state represents the current state of a document.,ワークフローの状態はドキュメントの現在の状態を表します。
Center,センター
Male,男性
Amount Based On Field,フィールドに基づく金額
Allow Edit,編集を許可
Select the label after which you want to insert new field.,新しいフィールドを挿入するラベルを選択してください。
Gateway Controller,ゲートウェイコントローラ
New Connection,新しい接続
New Activity,新しい活動
Unable to find attachment {0},添付ファイル{0}が見つかりません
Fields Multicheck,フィールドマルチチェック
Timestamp,タイムスタンプ
Website Theme,ウェブサイトのテーマ
Log of error on automated events (scheduler).,自動化イベントのエラーログ（スケジューラ）。
Looks like someone sent you to an incomplete URL. Please ask them to look into it.,誰かが不完全なURLにあなたを送ったようです。調べてもらってください。
All Images attached to Website Slideshow should be public,ウェブサイトのスライドショーに添付されたすべての画像は公開されるべきです
You can only upload upto 5000 records in one go. (may be less in some cases),一度に5000レコードまでしかアップロードできません。 （場合によっては少ないかもしれません）
Template,テンプレート
Personal,個人的な
Location,ロケーション
No Data,データなし
Website Meta Tag,ウェブサイトメタタグ
film,膜
{0} Settings not found,{0}設定が見つかりません
Label is mandatory,ラベルは必須です
Webhook Headers,ウェブフックヘッダ
"Customized Formats for Printing, Email",印刷、Eメール用にカスタマイズされたフォーマット
Markdown,値下げ
Miss,ミス
Allow Modules,許可モジュール
Slideshow Name,スライドショー名
Better add a few more letters or another word,さらにいくつかの文字または別の単語を追加する
SMS,SMS
share-alt,共有代替
Workflow Action Master,ワークフローアクションマスタ
"Looks like something went wrong during the transaction. Since we haven't confirmed the payment, Paypal will automatically refund you this amount. If it doesn't, please send us an email and mention the Correlation ID: {0}.",トランザクション中に問題が発生したようです。支払いが確認されていないため、Paypalは自動的にこの金額を返金します。そうでなかったら、私達に電子メールを送り、相関IDを述べなさい：{0}。
Message not setup,メッセージが設定されていません
Add code as &lt;script&gt;,&lt;script&gt;としてコードを追加
Refresh Token,トークンを更新
Seems API Key or API Secret is wrong !!!,APIキーまたはAPIシークレットが間違っているようです。
Add to table,テーブルに追加
'In List View' not allowed for type {0} in row {1},&#39;リストビュー内&#39;は、行{1}のタイプ{0}には使用できません
List of themes for Website.,ウェブサイトのためのテーマのリスト。
Random,ランダム
Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,最小循環分数単位（コイン）例えば、USDでは1セントで0.01と入力します。
Passive,受動的
PDF generation failed,PDFの生成に失敗しました
Atleast one field of Parent Document Type is mandatory,親文書タイプの少なくとも1つのフィールドは必須です
Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType',オプションの &#39;ダイナミックリンク&#39;タイプのフィールドは、オプションが &#39;DocType&#39;の別のリンクフィールドを指す必要があります
"If the condition is satisfied user will be rewarded with the points. eg. doc.status == 'Closed'
",条件が満たされるならば、ユーザーはポイントで報われます。例えば。 doc.status == &#39;終了&#39;
App not found,アプリが見つかりません
Internal Server Error,内部サーバーエラー
Details,詳細
Note,注意
Please save the document before removing assignment,割り当てを削除する前に文書を保存してください
Recipient,受取人
Geolocation,地理位置情報
text-width,テキスト幅
Letter,文字
Verification Link,確認リンク
Pay,支払う
Month,月
"To stop sending repetitive error notifications from the system, we have checked Disabled field in the Auto Repeat document",システムからの繰り返しエラー通知の送信を停止するために、Auto RepeatドキュメントのDisabledフィールドをチェックしました。
Add Multiple,複数追加
"To add dynamic subject, use jinja tags like

<div><pre><code>{{ doc.name }} Delivered</code></pre></div>",動的な件名を追加するには、次のようなjinjaタグを使います。 <div><pre> <code>{{ doc.name }} Delivered</code> </pre> </div>
Addresses,アドレス
Number of DB Backups,DBバックアップ数
Web Page Link Text,Webページのリンクテキスト
You unfollowed this document,この文書のフォローを解除しました
cn-north-1,cn-north-1
ca-central-1,ca-central-1
Share With,と共有する
Field type cannot be changed for {0},{0}のフィールドタイプは変更できません
Checking one moment,一瞬チェック
End Time,終了時間
Search field {0} is not valid,検索フィールド{0}が無効です
Have an account? Login,アカウントを持っています？ログイン
on_trash,on_trash
New Name,新しい名前
Introduce your company to the website visitor.,あなたの会社をウェブサイトの訪問者に紹介してください。
Activity,アクティビティ
Deleted DocType,削除されたDocType
If user is the owner,ユーザーが所有者の場合
Set Permissions,権限を設定する
Auto,自動
Attach Document Print,文書を印刷する
just now,ちょうど今
File '{0}' not found,ファイル &#39;{0}&#39;が見つかりません
You do not have enough permissions to complete the action,操作を完了するための十分な権限がありません
App {0} is not installed,アプリ{0}がインストールされていません
Show Dashboard,ダッシュボードを表示
Add Contact,連絡先を追加
Dropbox Access Secret,Dropboxのアクセス秘密
This user's data cannot be requested for deletion,このユーザーのデータは削除を要求できません
{0} from {1} to {2} in row #{3},行＃{3}の{0}から{1}から{2}へ
Export not allowed. You need {0} role to export.,輸出は許可されていません。エクスポートするには{0}役割が必要です。
User Cannot Search,ユーザーが検索できない
Search...,サーチ...
Delete Data,データを削除
Edit Format,フォーマットを編集
Source Text,原文
Fraction,分数
Robots.txt,Robots.txt
Preview Message,プレビューメッセージ
Max Attachment Size (in MB),最大添付ファイルサイズ（MB）
Rating: ,評価：
"If not set, the currency precision will depend on number format",設定されていない場合、通貨の精度は数値フォーマットによって異なります。
You don't have the permissions to access this document,この文書にアクセスする権限がありません
Reference Party Doctype,参照パーティのDoctype
Button Help,ボタンヘルプ
Defines actions on states and the next step and allowed roles.,状態に対するアクションと次のステップ、および許可されている役割を定義します。
Replied,返信済み
Email Rule,電子メールルール
Ignore XSS Filter,XSSフィルタを無視
Auto assignment failed: {0},自動割り当てに失敗しました：{0}
Download Files Backup,ダウンロードファイルのバックアップ
Set,セット
Event end must be after start,イベント終了は開始後でなければなりません
{0} to stop receiving emails of this type,このタイプの電子メールの受信を停止するには{0}
gave {0} points,{0}ポイントを獲得しました
Daily,毎日
Custom?,カスタム？
Username,ユーザー名
Upgrade,アップグレード
Append To can be one of {0},追加先は{0}のいずれかです。
pencil,鉛筆
Did not add,追加しませんでした
arrow-right,右向き
Fetch attached images from document,文書から添付画像を取得する
Message clipped,切り取られたメッセージ
Completed,完了しました
Permissions are automatically applied to Standard Reports and searches.,権限は、標準レポートと検索に自動的に適用されます。
Open Link,オープンリンク
All fields are necessary to submit the comment.,コメントを送信するためにすべてのフィールドが必要です。
Introduction,前書き
User Tags,ユーザータグ
"To add dynamic subject, use jinja tags like

<div><pre><code>New {{ doc.doctype }} #{{ doc.name }}</code></pre></div>",動的な件名を追加するには、次のようなjinjaタグを使います。 <div><pre> <code>New {{ doc.doctype }} #{{ doc.name }}</code> </pre> </div>
Add Child,子を追加
New,新しい
Add all roles,すべての役割を追加
Transaction Hash,トランザクションハッシュ
Doc Status,ドキュメントステータス
Allow Multiple,複数許可
Repeat Header and Footer in PDF,PDFでヘッダーとフッターを繰り返す
Redirect URL,リダイレクトURL
{0} rows for {1},{1}の{0}行
Week,週間
Sent or Received,送信または受信
The system provides many pre-defined roles. You can add new roles to set finer permissions.,システムには、事前定義された多くの役割があります。より細かい権限を設定するために新しい役割を追加できます。
Instructions Emailed,電子メールによる指示
Execution Time: {0} sec,実行時間：{0}秒
For {0} at level {1} in {2} in row {3},行{3}の{2}のレベル{1}の{0}
Receiver Parameter,受信機パラメータ
Default Print Language,デフォルトの印刷言語
Collapsible Depends On,折りたたみが可能
Use TLS,TLSを使う
Show in Module Section,モジュールセクションに表示
LDAP Email Field,LDAP Eメールフィールド
New Comment on {0}: {1},新しいコメント{0}：{1}
Please setup a message first,最初にメッセージを設定してください
Session Expiry in Hours e.g. 06:00,セッションの有効期限（時間）、例えば06:00
"If Apply Strict User Permission is checked and User Permission is defined for a DocType for a User, then all the documents where value of the link is blank, will not be shown to that User",[厳密なユーザー権限の適用]がオンになっていて、ユーザーのDocTypeに対してユーザー権限が定義されている場合、リンクの値が空白のすべての文書はそのユーザーに表示されません。
Webhook URL,ウェブフックURL
Duplicate name {0} {1},重複した名前{0} {1}
States,州
Logs,ログ
Standings,順位表
Token,トークン
Not Published,未公開
Allow Bulk Edit,一括編集を許可
Footer HTML,フッターHTML
Days Before or After,前後の日数
Property Setter overrides a standard DocType or Field property,プロパティセッターは標準のDocTypeまたはFieldプロパティをオーバーライドします。
us-west-1,us-west-1
Start Date Field,開始日フィールド
Every Week,毎週
"Your subscription expired on {0}. To renew, please send an email to {1}.",あなたの購読は{0}で期限が切れました。更新するには、{1}にメールを送ってください。
fast-forward,早送り
Post Comment,コメントを投稿
Restart,再起動
Custom Base URL,カスタムベースURL
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.",ベストプラクティスとして、同じロールの許可ルールを異なるロールに割り当てないでください。代わりに、同じユーザーに複数の役割を設定してください。
Default,デフォルト
Permanently delete {0}?,{0}を完全に削除しますか？
Method,方法
Round Robin,ラウンドロビン
Image,画像
Now,今
Editing Row,行を編集する
"e.g. ""Support"", ""Sales"", ""Jerry Yang""",例：「サポート」、「セールス」、「ジェリーヤン」
Hostname,ホスト名
Hourly,毎時
Allow field to remain editable even after submission,送信後もフィールドを編集可能なままにする
Oops! Something went wrong,おっとっと！何かがうまくいかなかった
Fieldtype,フィールドタイプ
DocType can not be merged,DocTypeはマージできません
Click on the link below to verify your request,下のリンクをクリックしてリクエストを確認してください。
Recent years are easy to guess.,近年は推測しやすいです。
Disable Signup,登録を無効にする
Remove Tag,タグを削除
Show failed jobs,失敗したジョブを表示
Button,ボタン
Most Used,最も使用
In seconds,すぐに
Gantt,ガント
Help: Field Properties,ヘルプ：フィールドプロパティ
Brand HTML,ブランドHTML
Data Import,データインポート
Document Type to Track,追跡する伝票タイプ
Write,書きます
remove-circle,円を削除
th,番目
chevron-left,シェブロン左
Predictable substitutions like '@' instead of 'a' don't help very much.,&#39;a&#39;の代わりに &#39;@&#39;のような予測可能な代用はあまり役に立ちません。
Color,色
Row # ,行番号
volume-up,ボリュームアップ
Cancelled,キャンセル
Email has been moved to trash,メールはゴミ箱に移動されました
No Preview,プレビューなし
Table updated,テーブル更新
Another transaction is blocking this one. Please try again in a few seconds.,他のトランザクションがこれをブロックしています。数秒後にもう一度お試しください。
You can use wildcard %,ワイルドカード％を使用できます
Address Line 1,住所1
For Document Type,伝票タイプ
Data missing in table,テーブルにデータがありません
Could not identify {0},{0}を識別できませんでした
This form has been modified after you have loaded it,このフォームはロード後に変更されています
Back to Login,ログインに戻る
Not Set,設定されていません
Pull,引く
Browse,ブラウズ
"Fields separated by comma (,) will be included in the ""Search By"" list of Search dialog box",カンマ（、）で区切られたフィールドは、[検索]ダイアログボックスの[検索基準]リストに含まれます。
Edit Custom HTML,カスタムHTMLを編集
Assignment Rule,割り当て規則
Knowledge Base,知識ベース
Comment Email,コメントメール
Mr,氏
Not allowed to Import,インポートできません
Please do not change the rows above {0},{0}より上の行を変更しないでください
GSuite test executed with success. GSuite integration is correctly configured,GSuiteテストは成功しました。 GSuite統合は正しく構成されています
Email Group,メールグループ
Row {0}: Not allowed to disable Mandatory for standard fields,行{0}：標準フィールドの必須の無効化は許可されていません
Braintree Settings,ブレインツリー設定
Show a description below the field,フィールドの下に説明を表示する
Cannot send this email. You have crossed the sending limit of {0} emails for this day.,このメールを送信できません。この日のメール{0}の送信制限を超えました。
fast-backward,早送り
Copyright,著作権
Description,説明
Please enable developer mode to create new connection,開発者モードを有効にして新しい接続を作成してください
Attached To DocType,DocTypeに添付
Deleted,削除済み
Logged Out,ログアウト
Updating,更新中
Default Incoming,デフォルト着信
Copy and paste this code into and empty Code.gs in your project at script.google.com,このコードをコピーして、プロジェクトのscript.google.comの空のCode.gsに貼り付けます。
Recurring,繰り返し
Invalid Password:,無効なパスワード：
{0} hours ago,{0}時間前
Expert,エキスパート
Single Types have only one record no tables associated. Values are stored in tabSingles,単一タイプには、テーブルが関連付けられていないレコードが1つだけあります。値はtabSinglesに格納されています
Clear User Permissions,ユーザー権限の消去
Self approval is not allowed,自己承認はできません
You don't have permission to get a report on: {0},レポートを取得する権限がありません：{0}
Feedback Request,フィードバックリクエスト
Notify Users On Every Login,ログインごとにユーザーに通知する
Filter...,フィルタ...
"To format columns, give column labels in the query.",列をフォーマットするには、クエリに列ラベルを付けます。
First Success Message,最初の成功メッセージ
{0} is a mandatory field,{0}は必須フィールドです
Illegal Document Status for {0},{0}のドキュメントステータスが不正です
Submiting {0},{0}を送信しています
To and CC,とCC
Left this conversation,この会話を離れました
Inbox,受信トレイ
Expired,期限切れ
Show tags,タグを表示
Select Role,役割を選択
Edit in Full Page,全ページで編集
Successfully updated translations,正常に更新された翻訳
Option 2,オプション2
Missing parameters for login,ログイン用のパラメータがありません
Chat Background,チャットの背景
Internal record of document shares,伝票シェアの内部記録
Mandatory field: {0},必須フィールド：{0}
Unable to write file format for {0},{0}のファイル形式を書き込めません
Top Bar Items,トップバー項目
"No need for symbols, digits, or uppercase letters.",記号、数字、または大文字は不要です。
Seen By,で見られる
Update Translations,翻訳を更新する
"If checked, users will not see the Confirm Access dialog.",チェックした場合、ユーザは[Confirm Access]ダイアログを表示しません。
Minimum Password Score,最小パスワードスコア
Child Table Mapping,子テーブルマッピング
Email Account setup please enter your password for: ,Eメールアカウントの設定は、以下のパスワードを入力してください。
Too many writes in one request. Please send smaller requests,1回のリクエストで書き込みが多すぎます。小さい要求を送ってください
Salesforce,Salesforce
Tile,タイル
{0} room must have atmost one user.,{0}の部屋には最大1人のユーザーが必要です。
Is Spam,スパムです
Complete Registration,完全登録
Maintenance User,メンテナンスユーザー
Link to the page you want to open. Leave blank if you want to make it a group parent.,開きたいページへのリンクグループの親にする場合は空白のままにします。
Your organization name and address for the email footer.,電子メールフッターの組織名とアドレス。
"Please enter both your email and message so that we \
				can get back to you. Thanks!",私たちがあなたに戻ることができるようにあなたの電子メールとメッセージの両方を入力してください。ありがとうございます。
Attempting to launch QZ Tray...,QZトレイを起動しようとしています...
"Another {0} with name {1} exists, select another name",{1}という名前の別の{0}が存在します。別の名前を選択してください
Offline,オフライン
Security Settings,セキュリティ設定
Enable Print Server,プリントサーバーを有効にする
LDAP Not Installed,LDAPがインストールされていません
Dropbox Access Key,Dropboxのアクセスキー
Search for anything,何でも検索
Table Field,テーブルフィールド
CSV,CSV
Set Only Once,一度だけ設定
We have received a request for deletion of {0} data associated with: {1},{1}に関連付けられている{0}データの削除要求を受け取りました
This report was generated {0}.,このレポートは生成されました{0}。
Document Follow Notification,伝票フォロー通知
Fieldname,フィールド名
FavIcon,FavIcon
Will be used in url (usually first name).,URLで使用されます（通常はファーストネーム）。
Sum of {0},{0}の合計
Plan Name,プラン名
No Label,ラベルなし
Use POST,POSTを使う
Region,領域
"Use a few words, avoid common phrases.",少数の単語を使用して、一般的なフレーズを避けてください。
Save API Secret: ,APIシークレットを保存：
"If these instructions where not helpful, please add in your suggestions on GitHub Issues.",これらの説明が役に立たない場合は、GitHubの問題に関する提案を追加してください。
folder-close,フォルダを閉じる
Pull Update,プルアップデート
merged {0} into {1},{0}を{1}にマージしました
Enter url parameter for receiver nos,受信機番号のURLパラメータを入力
Syntax error in template,テンプレート内の構文エラー
Please set filters value in Report Filter table.,レポートフィルタテーブルにフィルタ値を設定してください。
Run,実行する
Disable Report,レポートを無効にする
Authenticating...,認証しています...
Timeline Links,タイムラインリンク
Complete By,で完了
"Sorry, you're not authorized.",申し訳ありませんが、あなたは承認されていません。
Add Total Row,合計行を追加
Session Start Failed,セッション開始失敗
Custom HTML Help,カスタムHTMLヘルプ
Preferred Billing Address,希望請求先住所
Assigned To,に割り当てられた
Use Different Email Login ID,別のメールログインIDを使用する
Please setup default Email Account from Setup &gt; Email &gt; Email Account,[設定]&gt; [メール]&gt; [メールアカウント]からデフォルトのメールアカウントを設定してください。
"{0}: Cannot set Submit, Cancel, Amend without Write",{0}：書き込みなしで送信、キャンセル、修正を設定できません
Socketio is not connected. Cannot upload,Socketioは接続されていません。アップロードできません
Write a SELECT query. Note result is not paged (all data is sent in one go).,SELECTクエリを書きます。ノート結果はページングされません（すべてのデータが一度に送信されます）。
Email,Eメール
Python Module,Pythonモジュール
Sender Email,送信者のメールアドレス
Intermediate,中級
Module Name,モジュール名
Expiration time,有効期限
"Set default format, page size, print style etc.",デフォルトフォーマット、ページサイズ、印刷スタイルなどを設定します。
You cannot like something that you created,あなたが作ったものは好きになれません
Session Expiry,セッション期限
Auto Name,オートネーム
Select Attachments,添付ファイルを選択
Please set a printer mapping for this print format in the Printer Settings,プリンタ設定でこの印刷フォーマットのプリンタマッピングを設定してください。
Percent,パーセント
No {0} found,{0}が見つかりません
Country Name,国名
Import Data from CSV / Excel files.,CSV / Excelファイルからデータをインポートします。
Version Updated,更新されたバージョン
Allocated To,割り当て先
Keep track of all update feeds,すべての更新フィードを追跡する
Email Sync Option,メール同期オプション
"The task {0}, that you assigned to {1}, has been closed.",{1}に割り当てたタスク{0}は閉じられました。
Client URLs,クライアントURL
In Progress,進行中
Links,リンク集
Email Flag Queue,メールフラグキュー
Enable Automatic Backup,自動バックアップを有効にする
{0} appreciation point for {1} {2},{1}の評価ポイント{0} {2}
envelope,エンベロープ
Administrator,管理者
Has Role,役割を持っている
If non standard port (e.g. 587),標準以外のポートの場合（587など）
No matching records. Search something new,一致するレコードがありません。何か新しいものを探す
System Page,システムページ
Note: By default emails for failed backups are sent.,注：デフォルトでは、失敗したバックアップに関する電子メールが送信されます。
Custom DocPerm,カスタムDocPerm
Doctype to Assign Tags,タグを割り当てるためのDoctype
Warehouse,倉庫
Dropbox Setup,Dropboxの設定
Zero,ゼロ
Add a New Role,新しい役割を追加する
{0} already unsubscribed for {1} {2},{0}は既に{1}のサブスクリプションを解除しました{2}
Editable Grid,編集可能グリッド
Export Data,データのエクスポート
Enable / Disable Domains,ドメインを有効/無効にする
Website Slideshow,ウェブサイトのスライドショー
Icon,アイコン
Special Characters are not allowed,特殊文字は使用できません
Remove Section,セクションを削除
Go to the document,資料へ
Change Label (via Custom Translation),ラベルの変更（カスタム翻訳による）
Name not set via prompt,プロンプトで設定されていない名前
Custom JS,カスタムJS
Value,値
Base Distinguished Name (DN),基本識別名（DN）
Timeline field must be a valid fieldname,タイムラインフィールドは有効なフィールド名でなければなりません
submitted this document,この文書を提出しました
magnet,磁石
Row Values Changed,変更された行値
Value Based On,に基づく値
Search Term,検索語
Toggle Grid View,グリッド表示の切り替え
Filter Data,フィルターデータ
Avatar,アバター
A word by itself is easy to guess.,単語だけで推測するのは簡単です。
Desktop Icon already exists,デスクトップアイコンは既に存在します
Invalid Email: {0},無効なメールアドレス：{0}
Save As,名前を付けて保存
Cannot update {0},{0}を更新できません
Email Unsubscribe,メール購読解除
Monospace,等幅
Set User Permissions,ユーザー権限を設定する
Created Custom Field {0} in {1},{1}にカスタムフィールド{0}を作成しました
Tuesday,火曜日
User Permission,ユーザー許可
Please Update SMS Settings,SMS設定を更新してください
Comments and Communications will be associated with this linked document,コメントとコミュニケーションはこのリンク文書に関連付けられます
Attached To Name,名前に添付
Steps to verify your login,ログインを確認する手順
Room Type,部屋タイプ
Google Analytics ID,Google Analytics ID
{0} is not a raw printing format.,{0}は生の印刷形式ではありません。
One Last Step,最後の一歩
Restore,リストア
Example Email Address,メールアドレスの例
Open,開いた
Check which Documents are readable by a User,どの文書がユーザーに読み取り可能かを確認する
Root {0} cannot be deleted,ルート{0}は削除できません
Mobile Number,携帯電話番号
Invalid User Name or Support Password. Please rectify and try again.,無効なユーザー名またはサポートパスワード。修正してもう一度やり直してください。
Customize,カスタマイズ
Year,年
Calculate,計算する
"If you think this is unauthorized, please change the Administrator password.",これが不正であると思われる場合は、管理者パスワードを変更してください。
Current Status,現在の状態
Post,役職
Select atleast 1 record for printing,印刷用に少なくとも1レコードを選択
Assigned By,によって割り当てられた
[Label]:[Field Type]/[Options]:[Width],[ラベル]：[フィールドタイプ] / [オプション]：[幅]
Ctrl+Enter to add comment,Ctrl + Enterでコメントを追加
Field {0} is not selectable.,フィールド{0}は選択できません。
Birth Date,誕生日
With Group Indentation,グループインデント付き
Disable Count,カウントを無効にする
Email ID,電子メールID
Incorrect User or Password,誤ったユーザーまたはパスワード
Allow Rename,名前の変更を許可
"Setup of top navigation bar, footer and logo.",トップナビゲーションバー、フッター、ロゴの設定
Address Title is mandatory.,住所のタイトルは必須です。
Must specify a Query to run,実行するクエリを指定する必要があります
Email Queue records.,電子メールキューレコード。
Nothing to update,更新するものはありません
Please enter values for GSuite Access Key and GSuite Access Secret,GSuite Access KeyとGSuite Access Secretの値を入力してください
Please enter valid mobile nos,有効な携帯電話番号を入力してください
Data,データ
Your Country,あなたの国
This link has already been activated for verification.,このリンクは確認のために既に有効化されています。
Enter folder name,フォルダ名を入力
Followed by,に続く
Enter python module or select connector type,Pythonモジュールを入力するか、コネクタタイプを選択してください
Block Modules,ブロックモジュール
Revert Of,元に戻す
Sign Up is disabled,サインアップは無効です
Download Template,ダウンロードテンプレート
Value too big,大きすぎる値
Image View,画像ビュー
Document,資料
Custom Script,カスタムスクリプト
Please specify,ご指定ください
"Hint: Include symbols, numbers and capital letters in the password",ヒント：パスワードに記号、数字、大文字を含める
Sorry! Sharing with Website User is prohibited.,ごめんなさい！ Webサイトユーザーとの共有は禁止されています。
{0} reverted your point on {1},{0}が{1}へのあなたの主張を元に戻しました
&lt;head&gt; HTML,&lt;head&gt; HTML
This role update User Permissions for a user,このロールは、ユーザのユーザ権限を更新します
Theme,テーマ
Show Sidebar,サイドバーを表示
Default Inbox,デフォルトの受信トレイ
Invalid Login Token,無効なログイントークン
First set the name and save the record.,まず名前を設定してレコードを保存します。
eye-open,開眼
Web Link,ウェブリンク
App,アプリ
Eg. smsgateway.com/api/send_sms.cgi,例えば。 smsgateway.com/api/send_sms.cgi
camera,カメラ
Please select Minimum Password Score,最小パスワードスコアを選択してください
Please make sure that there are no empty columns in the file.,ファイルに空の列がないことを確認してください。
Select Module,モジュールを選択
Submitted,送信済み
The user from this field will be rewarded points,このフィールドのユーザーにはポイントが与えられます
Last Name,苗字
1 hour ago,1時間前
on_update_after_submit,on_update_after_submit
If you are updating/overwriting already created records.,すでに作成済みのレコードを更新または上書きしている場合
View List,リストを見る
User can login using Email id or Mobile number,ユーザーはEメールIDまたは携帯電話番号を使用してログインできます
Refreshing,さわやか
"Enter keys to enable login via Facebook, Google, GitHub.",Facebook、Google、GitHubからのログインを有効にするためのキーを入力してください。
Please select another payment method. Stripe does not support transactions in currency '{0}',別の支払い方法を選択してください。ストライプは通貨 &#39;{0}&#39;の取引をサポートしていません
