Connector Type,Type de connecteur
Options,Les options
Error: Document has been modified after you have opened it,Erreur: le document a été modifié après l&#39;avoir ouvert.
Home Address is required,L&#39;adresse du domicile est requise
Contact Us Settings,Contactez-nous Paramètres
Not Descendants Of,Pas des descendants de
Liked By,Aimé par
Configure your google calendar integration,Configurez votre intégration Google Agenda
Email has been marked as spam,L&#39;email a été marqué comme spam
New Password Required.,Nouveau mot de passe requis.
Field,Champ
Client,Client
Will be your login ID,Sera votre identifiant de connexion
Recurring Documents Failed,Échec des documents récurrents
List of backups available for download,Liste des sauvegardes disponibles au téléchargement
Hide Sidebar and Menu,Masquer la barre latérale et le menu
Reference Name,Nom de référence
Create Chart,Créer un graphique
Desk,Bureau
bookmark,signet
Max Length,Longueur maximale
No comments yet. Start a new discussion.,Aucun commentaire pour l&#39;instant. Lancer une nouvelle discussion.
Mandatory,Obligatoire
User {0} cannot be deleted,L&#39;utilisateur {0} ne peut pas être supprimé
Select records for assignment,Sélectionner les enregistrements à assigner
Usage Info,Informations d&#39;utilisation
Primary Color,Couleur primaire
Last Updated By,Dernière mise à jour par
Do not send Emails,Ne pas envoyer d&#39;emails
{0} appreciated your work on {1} with {2} point,{0} a apprécié votre travail sur {1} avec {2} points
{app_title},{app_title}
Cancelling,Annulation
Group Node,Noeud de groupe
Merge with existing,Fusionner avec l&#39;existant
Blog Intro,Blog Intro
New Mention,Nouvelle Mention
Report Name,Nom du rapport
Please refresh to get the latest document.,Veuillez actualiser pour obtenir le dernier document.
Close,Fermer
Insert Above,Insérer ci-dessus
and,et
Webhooks calling API requests into web apps,Webhooks appelant des demandes d&#39;API dans des applications Web
Event,un événement
Access Token URL,URL de jeton d&#39;accès
Please set Dropbox access keys in your site config,Veuillez définir les clés d&#39;accès Dropbox dans la configuration de votre site.
Reset Password Key,Réinitialiser la clé de mot de passe
Modified By,Modifié par
Bio,Bio
"To renew, {0}.","Pour renouveler, {0}."
Folder,Dossier
Perm Level,Niveau de Perm
Page Settings,Paramètres de page
No Permissions Specified,Aucune autorisation spécifiée
1 comment,1 commentaire
ID (name) of the entity whose property is to be set,ID (nom) de l&#39;entité dont la propriété doit être définie
Deleting {0},Suppression {0}
With Letter head,Avec tête de lettre
API Secret,Secret API
on_submit,on_submit
Message,Message
"If enabled, the document is marked as seen, the first time a user opens it","Si activé, le document est marqué comme vu, la première fois qu&#39;un utilisateur l&#39;ouvre"
Connected to QZ Tray!,Connecté à QZ Tray!
Max Attachments,Max pièces jointes
Add Column,Ajouter une colonne
This is an automatically generated reply,Ceci est une réponse générée automatiquement
This Currency is disabled. Enable to use in transactions,Cette devise est désactivée. Activer pour utiliser dans les transactions
Pyver,Pyver
Fail,Échouer
Letter Head,En-tête de lettre
Local Fieldname,Nom de champ local
Adds a client custom script to a DocType,Ajoute un script client personnalisé à un DocType
All,Tout
{0}: Options must be a valid DocType for field {1} in row {2},{0}: les options doivent être un type de document valide pour le champ {1} de la ligne {2}.
Modules HTML,Modules HTML
remove-sign,enlever-signer
Full,Plein
User Cannot Create,L&#39;utilisateur ne peut pas créer
You gained {0} point,Vous avez gagné {0} point
"If you set this, this Item will come in a drop-down under the selected parent.","Si vous définissez cette option, cet élément apparaîtra dans une liste déroulante sous le parent sélectionné."
No Emails,Pas d&#39;emails
Following fields are missing:,Les champs suivants sont manquants:
resize-full,redimensionner
You don't have permission to access this file,Vous n&#39;êtes pas autorisé à accéder à ce fichier
changed values for {0},valeurs modifiées pour {0}
Project,Projet
Shared with user {0} with read access,Partagé avec l&#39;utilisateur {0} avec accès en lecture
Send,Envoyer
Show Calendar,Afficher le calendrier
Web Form Fields,Champs de formulaire Web
_doctype,_doctype
User editable form on Website.,Formulaire modifiable par l&#39;utilisateur sur le site Web.
Permanently Cancel {0}?,Annuler définitivement {0}?
Option 3,Option 3
Totals,Totaux
This is a very common password.,Ceci est un mot de passe très commun.
Pending Approval,Validation en attente
The document could not be correctly assigned,Le document n&#39;a pas pu être attribué correctement
Not allowed for {0}: {1},Non autorisé pour {0}: {1}
Personal Data Download Request,Demande de téléchargement de données personnelles
{0} shared this document with {1},{0} a partagé ce document avec {1}
Select {0},Sélectionnez {0}
Advanced Search,Recherche Avancée
New password emailed,Nouveau mot de passe envoyé par courriel
Will only be shown if section headings are enabled,Ne sera affiché que si les en-têtes de section sont activés
Session Expiry Mobile,Session Expiration Mobile
Email Settings,Paramètres de messagerie
Welcome to {0},Bienvenue à {0}
Enable Shadows,Activer les ombres
Delete,Effacer
{0} criticized on {1},{0} critiqué le {1}
This email was sent to {0} and copied to {1},Cet e-mail a été envoyé à {0} et copié à {1}.
Invalid login or password,Nom d&#39;utilisateur ou mot de passe incorrect
Social Login Key,Clé de connexion sociale
Filters saved,Filtres sauvegardés
"How should this currency be formatted? If not set, will use system defaults","Comment cette devise devrait-elle être formatée? Si non défini, utilisera les valeurs par défaut du système"
{0}: {1} is set to state {2},{0}: {1} est défini sur l&#39;état {2}
"If enabled, document views are tracked, this can happen multiple times","Si activé, les vues de document sont suivies, cela peut arriver plusieurs fois"
DocField,DocField
Send Print as PDF,Envoyer Imprimer en PDF
Expiry time of QR Code Image Page,Heure d&#39;expiration de la page d&#39;image de code QR
Global Search,Recherche globale
Allow Print for Draft,Autoriser l&#39;impression pour le brouillon
Use of sub-query or function is restricted,L&#39;utilisation de la sous-requête ou de la fonction est restreinte
Database Engine,Moteur de base de données
Help,Aidez-moi
Configure Chart,Configurer le graphique
No template found at path: {0},Aucun modèle trouvé dans le chemin: {0}
Only Administrator can delete Email Queue,Seul l&#39;administrateur peut supprimer la file d&#39;attente de courrier électronique
Push Update,Push Update
Letter Head Image,Image en tête de lettre
Dashboard Chart Source,Source du graphique du tableau de bord
darkgrey,gris foncé
Dashboards,Tableaux de bord
Top {0},Top {0}
{0}: {1} in {2},{0}: {1} sur {2}
'In Global Search' not allowed for type {0} in row {1},&quot;Dans la recherche globale&quot; n&#39;est pas autorisé pour le type {0} dans la ligne {1}
Scheduled To Send,Prévu pour envoyer
"It seems that there is an issue with the server's stripe configuration. In case of failure, the amount will get refunded to your account.","Il semble que la configuration de la bande du serveur pose problème. En cas d&#39;échec, le montant sera remboursé sur votre compte."
Google Font,Google Font
Client Information,Informations client
"Your subscription expired on {0}. To renew, {1}.","Votre abonnement a expiré le {0}. Pour renouveler, {1}."
Value To Be Set,Valeur à définir
Snapshot View,Instantané Voir
IN,DANS
Desktop Background,Fond d&#39;écran
Connection Name,Nom de la connexion
Permitted Documents For User,Documents autorisés pour l&#39;utilisateur
Download link for your backup will be emailed on the following email address: {0},Le lien de téléchargement de votre sauvegarde sera envoyé par courrier électronique à l&#39;adresse électronique suivante: {0}.
Full Page,Page entière
Updated {0}: {1},Mis à jour le {0}: {1}
Send me a copy,Envoie-moi une copie
Blog Post,Message de blog
Workflow Action Name,Nom d&#39;action du flux de travail
Add Group,Ajouter un groupe
Mappings,Cartographies
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange","Le style représente la couleur du bouton: Success - Vert, Danger - Rouge, Inverse - Noir, Primaire - Bleu foncé, Info - Bleu clair, Avertissement - Orange"
Invalid file path: {0},Chemin du fichier non valide: {0}
Your password has been updated. Here is your new password,Votre mot de passe a été mis à jour. Voici votre nouveau mot de passe
Every Month,Chaque mois
Precision,Précision
Last Modified On,Dernière modification le
Show Attachments,Afficher les pièces jointes
Multiple root nodes not allowed.,Plusieurs nœuds racine non autorisés.
Don't create new records,Ne créez pas de nouveaux enregistrements
Beginner,Débutant
"For example: If you want to include the document ID, use {0}","Par exemple: Si vous souhaitez inclure l&#39;ID du document, utilisez {0}."
{0} has already assigned default value for {1}.,{0} a déjà attribué la valeur par défaut à {1}.
fullscreen,plein écran
Allow Import (via Data Import Tool),Autoriser l&#39;importation (via l&#39;outil d&#39;importation de données)
"The task {0}, that you assigned to {1}, has been closed by {2}.","La tâche {0}, que vous avez affectée à {1}, a été fermée par {2}."
Show as cc,Afficher en tant que cc
Policy,Politique
Integrations,Intégrations
Hide footer in auto email reports,Masquer le pied de page dans les rapports d&#39;e-mail automatiques
Float,Flotte
Push Insert,Push Insert
Rating,Évaluation
Email By Document Field,Courriel par champ de document
Totals Row,Ligne de totaux
Website User,Utilisateur du site
For User,Pour l&#39;utilisateur
Role Profile,Profil de rôle
Connector Name,Nom du connecteur
Is Active,C&#39;est actif
Append To,Ajouter à
Invalid Link,Lien invalide
Time Series,Des séries chronologiques
Background Image,Image de fond
Top Reviewer,Meilleur critique
Restore Original Permissions,Restaurer les autorisations d&#39;origine
Please save the report first,Sauvegardez d&#39;abord le rapport
Attach Print,Joindre Imprimer
Log of Scheduler Errors,Journal des erreurs du planificateur
Text to be displayed for Link to Web Page if this form has a web page. Link route will be automatically generated based on `page_name` and `parent_website_route`,Texte à afficher pour Lien vers une page Web si ce formulaire comporte une page Web. La route de liaison sera automatiquement générée sur la base de `page_name` et` parent_website_route`
Template ID,ID de modèle
Invalid recipient address,Adresse du destinataire invalide
Duplicate Filter Name,Nom du filtre en double
align-center,aligner au centre
Customization,Personnalisation
New Print Format Name,Nouveau nom du format d&#39;impression
Error while evaluating Notification {0}. Please fix your template.,Erreur lors de l&#39;évaluation de la notification {0}. S&#39;il vous plaît corriger votre modèle.
Can Share,Peut partager
Allow Roles,Autoriser les rôles
Move To Trash,Mettre à la corbeille
Back to Desk,Retour au bureau
Document Queued,Document en file d&#39;attente
PayPal Settings,Paramètres PayPal
Is Folder,Est un dossier
Print Style,Style d&#39;impression
Defaults,Défauts
Forward,Vers l&#39;avant
Event Participants,Participants à l&#39;événement
Email Status,Statut de l&#39;e-mail
Google Maps integration,Intégration de Google Maps
Do not edit headers which are preset in the template,Ne modifiez pas les en-têtes prédéfinis dans le modèle.
Workflow state represents the current state of a document.,L&#39;état du flux de travail représente l&#39;état actuel d&#39;un document.
Center,Centre
Male,Mâle
Amount Based On Field,Montant basé sur le champ
Allow Edit,Autoriser la modification
Select the label after which you want to insert new field.,Sélectionnez l&#39;étiquette après laquelle vous souhaitez insérer un nouveau champ.
Gateway Controller,Contrôleur de passerelle
New Connection,Nouvelle connexion
New Activity,Nouvelle activité
Unable to find attachment {0},Impossible de trouver une pièce jointe {0}
Fields Multicheck,Champs Multicheck
Timestamp,Horodatage
Website Theme,Thème du site
Log of error on automated events (scheduler).,Journal des erreurs sur les événements automatisés (planificateur).
Looks like someone sent you to an incomplete URL. Please ask them to look into it.,On dirait que quelqu&#39;un vous a envoyé à une URL incomplète. S&#39;il vous plaît demandez-leur de se pencher sur la question.
All Images attached to Website Slideshow should be public,Toutes les images attachées au diaporama de site Web doivent être publiques.
You can only upload upto 5000 records in one go. (may be less in some cases),Vous ne pouvez télécharger que 5000 enregistrements en une fois. (peut être moins dans certains cas)
Template,Modèle
Personal,Personnel
Location,Emplacement
No Data,Pas de données
Website Meta Tag,Tag méta de site Web
film,film
{0} Settings not found,{0} Paramètres non trouvés
Label is mandatory,L&#39;étiquette est obligatoire
Webhook Headers,En-têtes Webhook
"Customized Formats for Printing, Email","Formats personnalisés pour impression, email"
Markdown,Réduction
Miss,Mademoiselle
Allow Modules,Autoriser les modules
Slideshow Name,Nom du diaporama
Better add a few more letters or another word,Mieux vaut ajouter quelques lettres ou un autre mot
SMS,SMS
share-alt,share-alt
Workflow Action Master,Flux d&#39;action du maître
"Looks like something went wrong during the transaction. Since we haven't confirmed the payment, Paypal will automatically refund you this amount. If it doesn't, please send us an email and mention the Correlation ID: {0}.","On dirait que quelque chose s&#39;est mal passé lors de la transaction. Comme nous n&#39;avons pas confirmé le paiement, Paypal vous remboursera automatiquement ce montant. Si ce n&#39;est pas le cas, envoyez-nous un email en mentionnant l&#39;ID de corrélation: {0}."
Message not setup,Message non configuré
Add code as &lt;script&gt;,Ajouter le code en tant que &lt;script&gt;
Refresh Token,Refresh Token
Seems API Key or API Secret is wrong !!!,Il semble que la clé de l&#39;API ou le secret de l&#39;API soit faux !!!
Add to table,Ajouter au tableau
'In List View' not allowed for type {0} in row {1},&quot;En mode Liste&quot; non autorisé pour le type {0} dans la ligne {1}
List of themes for Website.,Liste de thèmes pour site Web.
Random,au hasard
Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,"Plus petite unité de fraction en circulation (pièce de monnaie). Par exemple, 1 cent pour USD et doit être entré comme 0.01"
Passive,Passif
PDF generation failed,La génération PDF a échoué
<p>No results found for '</p>,<p> Aucun résultat trouvé pour &#39; </p>
Atleast one field of Parent Document Type is mandatory,Au moins un champ du type de document parent est obligatoire
Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType',Options Le type de champ &#39;Lien dynamique&#39; doit pointer vers un autre champ de lien avec des options comme &#39;DocType&#39;
"If the condition is satisfied user will be rewarded with the points. eg. doc.status == 'Closed'
","Si la condition est satisfaite, l&#39;utilisateur sera récompensé par les points. par exemple. doc.status == &#39;Fermé&#39;"
App not found,App introuvable
Internal Server Error,Erreur Interne du Serveur
Details,Détails
Note,Remarque
Please save the document before removing assignment,Veuillez sauvegarder le document avant de supprimer l&#39;affectation
Recipient,Bénéficiaire
Geolocation,Géolocalisation
text-width,largeur du texte
Letter,Lettre
Verification Link,Lien de vérification
Pay,Payer
Month,Mois
"To stop sending repetitive error notifications from the system, we have checked Disabled field in the Auto Repeat document","Pour arrêter d&#39;envoyer des notifications d&#39;erreur répétitives à partir du système, nous avons coché le champ Désactivé dans le document Répétition automatique."
Add Multiple,Ajouter plusieurs
"To add dynamic subject, use jinja tags like

<div><pre><code>{{ doc.name }} Delivered</code></pre></div>","Pour ajouter un sujet dynamique, utilisez les balises jinja telles que <div><pre> <code>{{ doc.name }} Delivered</code> </pre> </div>"
Addresses,Adresses
Number of DB Backups,Nombre de sauvegardes de la base de données
Web Page Link Text,Texte de lien de page Web
You unfollowed this document,Vous avez non suivi ce document
cn-north-1,cn-north-1
ca-central-1,ca-central-1
Share With,Partager avec
Field type cannot be changed for {0},Le type de champ ne peut pas être modifié pour {0}
Checking one moment,Vérifier un moment
End Time,Heure de fin
Search field {0} is not valid,Le champ de recherche {0} n&#39;est pas valide
Have an account? Login,Avoir un compte? S&#39;identifier
on_trash,on_trash
New Name,Nouveau nom
Introduce your company to the website visitor.,Présentez votre entreprise au visiteur du site.
Activity,Activité
Deleted DocType,DocType supprimé
If user is the owner,Si l&#39;utilisateur est le propriétaire
Set Permissions,Définir les autorisations
Auto,Auto
Attach Document Print,Joindre un document imprimé
just now,juste maintenant
File '{0}' not found,Fichier &#39;{0}&#39; introuvable
You do not have enough permissions to complete the action,Vous n&#39;avez pas assez d&#39;autorisations pour terminer l&#39;action
App {0} is not installed,L&#39;application {0} n&#39;est pas installée
Show Dashboard,Afficher le tableau de bord
Add Contact,Ajouter le contact
Dropbox Access Secret,Secret d&#39;accès Dropbox
This user's data cannot be requested for deletion,Les données de cet utilisateur ne peuvent pas être demandées pour suppression
{0} from {1} to {2} in row #{3},{0} de {1} à {2} à la ligne # {3}
Export not allowed. You need {0} role to export.,Exportation non autorisée. Vous avez besoin du rôle {0} pour exporter.
User Cannot Search,L&#39;utilisateur ne peut pas rechercher
Search...,Chercher...
Delete Data,Suprimmer les données
Edit Format,Modifier le format
Source Text,Texte source
Fraction,Fraction
Robots.txt,Robots.txt
Preview Message,Aperçu du message
Max Attachment Size (in MB),Taille maximale des pièces jointes (en Mo)
Rating: ,Évaluation:
"If not set, the currency precision will depend on number format","Si non défini, la précision de la devise dépendra du format du nombre"
You don't have the permissions to access this document,Vous n&#39;avez pas les permissions pour accéder à ce document
Reference Party Doctype,Doctype du parti de référence
Button Help,Bouton d&#39;aide
Defines actions on states and the next step and allowed roles.,Définit les actions sur les états et l&#39;étape suivante et les rôles autorisés.
Replied,A répondu
Email Rule,Règle de messagerie
Ignore XSS Filter,Ignorer le filtre XSS
Auto assignment failed: {0},L&#39;affectation automatique a échoué: {0}
Download Files Backup,Télécharger des fichiers de sauvegarde
Set,Ensemble
Event end must be after start,La fin de l&#39;événement doit être après le début
{0} to stop receiving emails of this type,{0} pour ne plus recevoir d&#39;e-mails de ce type
gave {0} points,a donné {0} points
Daily,du quotidien
Custom?,Douane?
Username,Nom d&#39;utilisateur
Upgrade,Améliorer
Append To can be one of {0},Ajouter à peut être l&#39;un des {0}
pencil,crayon
Did not add,N&#39;a pas ajouté
arrow-right,flèche droite
Fetch attached images from document,Récupérer les images attachées du document
Message clipped,Message coupé
Completed,Terminé
Permissions are automatically applied to Standard Reports and searches.,Les autorisations sont automatiquement appliquées aux rapports standard et aux recherches.
Open Link,Ouvrir le lien
All fields are necessary to submit the comment.,Tous les champs sont nécessaires pour soumettre le commentaire.
Introduction,introduction
User Tags,Tags utilisateur
"To add dynamic subject, use jinja tags like

<div><pre><code>New {{ doc.doctype }} #{{ doc.name }}</code></pre></div>","Pour ajouter un sujet dynamique, utilisez les balises jinja telles que <div><pre> <code>New {{ doc.doctype }} #{{ doc.name }}</code> </pre> </div>"
Add Child,Ajouter un enfant
New,Nouveau
Add all roles,Ajouter tous les rôles
Transaction Hash,Hachage de transaction
Doc Status,Etat du document
Allow Multiple,Autoriser plusieurs
Repeat Header and Footer in PDF,Répéter l&#39;en-tête et le pied de page en PDF
Redirect URL,URL de redirection
{0} rows for {1},{0} lignes pour {1}
Week,La semaine
Sent or Received,Envoyé ou reçu
The system provides many pre-defined roles. You can add new roles to set finer permissions.,Le système fournit de nombreux rôles prédéfinis. Vous pouvez ajouter de nouveaux rôles pour définir des autorisations plus fines.
Instructions Emailed,Instructions envoyées par courriel
Execution Time: {0} sec,Temps d&#39;exécution: {0} s
For {0} at level {1} in {2} in row {3},Pour {0} au niveau {1} sur {2} à la ligne {3}
Receiver Parameter,Paramètre du récepteur
Default Print Language,Langue d&#39;impression par défaut
Collapsible Depends On,Pliable dépend
Use TLS,Utiliser TLS
Show in Module Section,Afficher dans la section Module
LDAP Email Field,Champ de messagerie LDAP
New Comment on {0}: {1},Nouveau commentaire sur {0}: {1}
Please setup a message first,Veuillez d&#39;abord configurer un message
Session Expiry in Hours e.g. 06:00,"Session expirant en heures, par exemple 06:00"
"If Apply Strict User Permission is checked and User Permission is defined for a DocType for a User, then all the documents where value of the link is blank, will not be shown to that User","Si l&#39;option Appliquer une autorisation utilisateur stricte est cochée et qu&#39;une autorisation utilisateur est définie pour un type de document pour un utilisateur, tous les documents pour lesquels la valeur du lien est vide ne seront pas affichés pour cet utilisateur."
Webhook URL,URL Webhook
Duplicate name {0} {1},Nom dupliqué {0} {1}
States,États
Logs,Les journaux
Standings,Classement
Token,Jeton
Not Published,Non publié
Allow Bulk Edit,Autoriser l&#39;édition en bloc
Footer HTML,Pied de page HTML
Days Before or After,Jours avant ou après
Property Setter overrides a standard DocType or Field property,Property Setter remplace une propriété standard DocType ou Field
us-west-1,us-west-1
Start Date Field,Date de début
Every Week,Toutes les semaines
"Your subscription expired on {0}. To renew, please send an email to {1}.","Votre abonnement a expiré le {0}. Pour renouveler, envoyez un e-mail à {1}."
fast-forward,avance rapide
Post Comment,Poster un commentaire
Restart,Redémarrer
Custom Base URL,URL de base personnalisée
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.","Il est recommandé de ne pas attribuer le même ensemble de règles d’autorisation à différents rôles. Au lieu de cela, définissez plusieurs rôles sur le même utilisateur."
Default,Défaut
Permanently delete {0}?,Supprimer définitivement {0}?
Make {0},Faire {0}
Method,Méthode
Round Robin,Round Robin
Image,Image
Now,À présent
Editing Row,Ligne d&#39;édition
"e.g. ""Support"", ""Sales"", ""Jerry Yang""","par exemple &quot;Support&quot;, &quot;Ventes&quot;, &quot;Jerry Yang&quot;"
Hostname,Nom d&#39;hôte
Hourly,Toutes les heures
Oops! Something went wrong,Oops! Quelque chose a mal tourné
Fieldtype,Type de champ
DocType can not be merged,DocType ne peut pas être fusionné
Click on the link below to verify your request,Cliquez sur le lien ci-dessous pour vérifier votre demande.
Recent years are easy to guess.,Les dernières années sont faciles à deviner.
Disable Signup,Désactiver l&#39;inscription
Remove Tag,Enlever l&#39;étiquette
Show failed jobs,Afficher les travaux en échec
Button,Bouton
Most Used,Plus utilisé
In seconds,En secondes
Gantt,Gantt
Brand HTML,Marque HTML
Data Import,Importation de données
Document Type to Track,Type de document à suivre
Write,Écrire
remove-circle,enlever-cercle
th,th
chevron-left,chevron gauche
Predictable substitutions like '@' instead of 'a' don't help very much.,Des substitutions prévisibles telles que &quot;@&quot; au lieu de &quot;a&quot; n&#39;aident pas beaucoup.
Color,Couleur
Row # ,Rangée #
volume-up,monter le son
Cancelled,Annulé
Email has been moved to trash,Le courrier électronique a été déplacé dans la corbeille
No Preview,Pas de prévisualisation
Table updated,Tableau mis à jour
Another transaction is blocking this one. Please try again in a few seconds.,Une autre transaction bloque celui-ci. Veuillez réessayer dans quelques secondes.
You can use wildcard %,Vous pouvez utiliser un joker%
Address Line 1,Adresse 1
For Document Type,Pour le type de document
Data missing in table,Données manquantes dans la table
Could not identify {0},Impossible d&#39;identifier {0}
This form has been modified after you have loaded it,Ce formulaire a été modifié après l&#39;avoir chargé
Back to Login,Retour connexion
Not Set,Pas encore défini
Pull,tirer
Browse,Feuilleter
"Fields separated by comma (,) will be included in the ""Search By"" list of Search dialog box","Les champs séparés par une virgule (,) seront inclus dans la liste &quot;Rechercher par&quot; de la boîte de dialogue Rechercher"
Edit Custom HTML,Modifier le code HTML personnalisé
Assignment Rule,Règle d&#39;assignation
Knowledge Base,Base de connaissances
Comment Email,Commentaire Email
Mr,m
Not allowed to Import,Non autorisé à importer
Please do not change the rows above {0},Veuillez ne pas modifier les lignes ci-dessus {0}
GSuite test executed with success. GSuite integration is correctly configured,Test GSuite exécuté avec succès. L&#39;intégration de GSuite est correctement configurée
Email Group,Groupe de messagerie
Row {0}: Not allowed to disable Mandatory for standard fields,Ligne {0}: il est interdit de désactiver Obligatoire pour les champs standard.
Braintree Settings,Paramètres Braintree
Cannot send this email. You have crossed the sending limit of {0} emails for this day.,Impossible d&#39;envoyer cet email. Vous avez dépassé la limite d&#39;envoi de {0} emails pour ce jour.
fast-backward,retour rapide
Copyright,droits d&#39;auteur
Description,La description
Please enable developer mode to create new connection,S&#39;il vous plaît activer le mode développeur pour créer une nouvelle connexion
Attached To DocType,Attaché à DocType
Deleted,Supprimé
Logged Out,Déconnecté
Updating,Mise à jour
Default Incoming,Entrant par défaut
Copy and paste this code into and empty Code.gs in your project at script.google.com,Copiez et collez ce code dans Code.gs et videz-le dans votre projet à l&#39;adresse script.google.com.
Recurring,Récurrent
Invalid Password:,Mot de passe incorrect:
{0} hours ago,Il y a {0} heures
Expert,Expert
Single Types have only one record no tables associated. Values are stored in tabSingles,"Les types simples n&#39;ont qu&#39;un seul enregistrement, pas de tables associées. Les valeurs sont stockées dans tabSingles"
Clear User Permissions,Effacer les autorisations utilisateur
Self approval is not allowed,L&#39;auto-approbation n&#39;est pas autorisée
You don't have permission to get a report on: {0},Vous n&#39;êtes pas autorisé à obtenir un rapport sur: {0}
Feedback Request,Demande de feedback
Notify Users On Every Login,Notifier les utilisateurs à chaque connexion
Filter...,Filtre...
"To format columns, give column labels in the query.","Pour formater les colonnes, donnez les étiquettes de colonne dans la requête."
First Success Message,Premier message de réussite
{0} is a mandatory field,{0} est un champ obligatoire
Illegal Document Status for {0},Statut de document illégal pour {0}
Submiting {0},Envoi {0}
To and CC,À et CC
Left this conversation,A quitté cette conversation
Inbox,Boîte de réception
Expired,Expiré
Show tags,Voir les étiquettes
Select Role,Sélectionnez un rôle
Edit in Full Page,Modifier en pleine page
Successfully updated translations,Traductions mises à jour avec succès
Option 2,Option 2
Missing parameters for login,Paramètres manquants pour la connexion
Chat Background,Fond de chat
Internal record of document shares,Enregistrement interne des partages de documents
Mandatory field: {0},Champ obligatoire: {0}
Unable to write file format for {0},Impossible d&#39;écrire le format de fichier pour {0}
Top Bar Items,Meilleurs articles de barre
"No need for symbols, digits, or uppercase letters.","Pas besoin de symboles, de chiffres ou de lettres majuscules."
Seen By,Vu par
Update Translations,Mettre à jour les traductions
"If checked, users will not see the Confirm Access dialog.","Si coché, les utilisateurs ne verront pas la boîte de dialogue Confirmer l&#39;accès."
Minimum Password Score,Score de mot de passe minimum
Child Table Mapping,Cartographie de la table des enfants
Email Account setup please enter your password for: ,"Configuration du compte de messagerie, veuillez entrer votre mot de passe pour:"
Too many writes in one request. Please send smaller requests,Trop d&#39;écrits dans une requête. S&#39;il vous plaît envoyer des demandes plus petites
Salesforce,Salesforce
Tile,Tuile
{0} room must have atmost one user.,La salle {0} doit comporter au maximum un utilisateur.
Is Spam,Est le spam
Complete Registration,Enregistrement complet
Maintenance User,Utilisateur de maintenance
Link to the page you want to open. Leave blank if you want to make it a group parent.,Lien vers la page que vous souhaitez ouvrir. Laissez ce champ vide si vous voulez en faire un parent de groupe.
Your organization name and address for the email footer.,Le nom et l&#39;adresse de votre organisation pour le pied de page de courrier électronique.
"Please enter both your email and message so that we \
				can get back to you. Thanks!",Veuillez entrer votre email et votre message pour que nous puissions vous contacter. Merci!
Attempting to launch QZ Tray...,Tenter de lancer QZ Tray ...
"Another {0} with name {1} exists, select another name","Un autre {0} portant le nom {1} existe, sélectionnez un autre nom."
Offline,Hors ligne
Security Settings,Les paramètres de sécurité
Enable Print Server,Activer le serveur d&#39;impression
LDAP Not Installed,LDAP non installé
Dropbox Access Key,Clé d&#39;accès Dropbox
Search for anything,Recherche de rien
Table Field,Champ de table
CSV,CSV
Set Only Once,Set Only Once
We have received a request for deletion of {0} data associated with: {1},Nous avons reçu une demande de suppression de {0} données associées à: {1}.
This report was generated {0}.,Ce rapport a été généré {0}.
Document Follow Notification,Notification de suivi de document
Fieldname,Nom de domaine
FavIcon,FavIcon
Will be used in url (usually first name).,Sera utilisé dans l&#39;URL (habituellement le prénom).
Sum of {0},Somme de {0}
Plan Name,Nom du plan
No Label,Pas de label
Use POST,Utilisez POST
Region,Région
"Use a few words, avoid common phrases.","Utilisez quelques mots, évitez les expressions courantes."
Save API Secret: ,Enregistrer le secret de l&#39;API:
"If these instructions where not helpful, please add in your suggestions on GitHub Issues.","Si ces instructions ne vous ont pas aidé, veuillez ajouter vos suggestions sur les problèmes liés à GitHub."
folder-close,fermeture de dossier
Pull Update,Tirer la mise à jour
merged {0} into {1},fusionné {0} dans {1}
Enter url parameter for receiver nos,Entrez le paramètre d&#39;URL pour le numéro de destinataire
Syntax error in template,Erreur de syntaxe dans le modèle
Please set filters value in Report Filter table.,Veuillez définir la valeur des filtres dans la table Filtre de rapport.
Run,Courir
Disable Report,Désactiver le rapport
Authenticating...,Authentifier ...
Timeline Links,Liens chronologiques
Complete By,Terminé par
"Sorry, you're not authorized.","Désolé, vous n&#39;êtes pas autorisé."
In Days,En jours
Add Total Row,Ajouter le nombre total de lignes
Session Start Failed,Échec du démarrage de la session
Custom HTML Help,Aide HTML personnalisée
Preferred Billing Address,Adresse de facturation préférée
Assigned To,Assigné à
Use Different Email Login ID,Utiliser un identifiant de connexion différent
"{0}: Cannot set Submit, Cancel, Amend without Write","{0}: impossible de définir les options Envoyer, Annuler, Modifier sans écrire"
Socketio is not connected. Cannot upload,Socketio n&#39;est pas connecté. Impossible de télécharger
Write a SELECT query. Note result is not paged (all data is sent in one go).,Ecrivez une requête SELECT. Le résultat de la note n&#39;est pas paginé (toutes les données sont envoyées en une fois).
Email,Email
Python Module,Module Python
Sender Email,Email de l&#39;expéditeur
Intermediate,Intermédiaire
Module Name,Nom du module
Expiration time,Date d&#39;expiration
"Set default format, page size, print style etc.","Définir le format par défaut, la taille de la page, le style d&#39;impression, etc."
You cannot like something that you created,Vous ne pouvez pas aimer quelque chose que vous avez créé
Session Expiry,Session expirée
