Connector Type,કનેક્ટર પ્રકાર
Workflow State {0} is not allowed,વર્કફ્લો સ્ટેટ {0} ની મંજૂરી નથી
Reference Name,સંદર્ભ નામ
Create Chart,ચાર્ટ બનાવો
Desk,ડેસ્ક
bookmark,બુકમાર્ક
Max Length,મહત્તમ લંબાઈ
No comments yet. Start a new discussion.,હજુ સુધી કોઈ ટિપ્પણીઓ. નવી ચર્ચા શરૂ કરો.
Mandatory,ફરજિયાત
User {0} cannot be deleted,વપરાશકર્તા {0} કાઢી શકાતા નથી
Select records for assignment,સોંપણી માટે રેકોર્ડ્સ પસંદ કરો
Usage Info,વપરાશ માહિતી
Primary Color,પ્રાથમિક રંગ
Last Updated By,છેલ્લે દ્વારા અપડેટ
Do not send Emails,ઇમેઇલ મોકલશો નહીં
{app_title},{app_title}
Cancelling,રદ કરી રહ્યું છે
Group Node,ગ્રુપ નોડ
Merge with existing,અસ્તિત્વમાં સાથે મર્જ કરો
Blog Intro,બ્લોગ પ્રસ્તાવના
New Mention,નવું નોંધ
Report Name,અહેવાલ નામ
Please refresh to get the latest document.,નવીનતમ દસ્તાવેજ મેળવવા માટે તાજું કરો.
Close,બંધ
Insert Above,ઉપર શામેલ કરો
and,અને
Webhooks calling API requests into web apps,વેબ એપ્લિકેશન્સને વેબ એપ્લિકેશન્સમાં વિનંતી કરે છે
Event,ઇવેન્ટ
Access Token URL,ઍક્સેસ ટોકન URL
Please set Dropbox access keys in your site config,કૃપા કરીને તમારી સાઇટ રૂપરેખામાં ડ્રૉપબૉક્સ ઍક્સેસ કી સેટ કરો
Reset Password Key,પાસવર્ડ કી ફરીથી સેટ કરો
Modified By,દ્વારા સુધારેલ
Bio,બાયો
"To renew, {0}.","નવીકરણ કરવા માટે, {0}."
Folder,ફોલ્ડર
Perm Level,પરમ સ્તર
Page Settings,પૃષ્ઠ સેટિંગ્સ
No Permissions Specified,કોઈ પરવાનગીઓ સ્પષ્ટ નથી
1 comment,1 ટિપ્પણી
ID (name) of the entity whose property is to be set,એન્ટિટીની ID (નામ) જેની સંપત્તિ સેટ કરવી છે
Deleting {0},કાઢી નાખવું {0}
With Letter head,લેટર હેડ સાથે
API Secret,API સિક્રેટ
on_submit,પર સબમિટ કરો
Message,સંદેશ
"If enabled, the document is marked as seen, the first time a user opens it","જો સક્ષમ હોય, તો દસ્તાવેજ જોવામાં આવે છે, જ્યારે વપરાશકર્તા તેને ખોલવા માટે પહેલીવાર ચિહ્નિત કરે છે"
Connected to QZ Tray!,ક્યુઝેડ ટ્રે સાથે જોડાયેલ!
Max Attachments,મહત્તમ જોડાણો
Add Column,કૉલમ ઉમેરો
This is an automatically generated reply,આ આપમેળે જનરેટ કરેલ જવાબ છે
This Currency is disabled. Enable to use in transactions,આ કરન્સી અક્ષમ છે. વ્યવહારોમાં ઉપયોગ કરવા માટે સક્ષમ કરો
Pyver,પાઇવર
Fail,નિષ્ફળ
Letter Head,લેટર હેડ
Local Fieldname,સ્થાનિક ફીલ્ડનામ
Adds a client custom script to a DocType,ક્લાઇન્ટ કસ્ટમ સ્ક્રિપ્ટને ડોકટાઇપમાં ઉમેરે છે
All,બધા
Modules HTML,મોડ્યુલો એચટીએમએલ
remove-sign,દૂર કરો
Full,પૂર્ણ
User Cannot Create,વપરાશકર્તા બનાવી શકતા નથી
You gained {0} point,તમે {0} બિંદુ મેળવી
"If you set this, this Item will come in a drop-down under the selected parent.","જો તમે આ સેટ કરો છો, તો આ આઇટમ પસંદ કરેલા માતાપિતા હેઠળ ડ્રોપ ડાઉનમાં આવશે."
No Emails,કોઈ ઇમેઇલ્સ નથી
Following fields are missing:,નીચેના ક્ષેત્રો ખૂટે છે:
resize-full,માપ બદલો
You don't have permission to access this file,તમારી પાસે આ ફાઇલને ઍક્સેસ કરવાની પરવાનગી નથી
changed values for {0},{0} માટે બદલાયેલ મૂલ્યો
Project,પ્રોજેક્ટ
Shared with user {0} with read access,વાંચવાની ઍક્સેસ સાથે {0} વપરાશકર્તા સાથે વહેંચાયેલ
Send,મોકલો
Show Calendar,કૅલેન્ડર બતાવો
Web Form Fields,વેબ ફોર્મ ફીલ્ડ્સ
_doctype,_doctype
User editable form on Website.,વેબસાઇટ પર વપરાશકર્તા સંપાદનયોગ્ય ફોર્મ.
Permanently Cancel {0}?,{0} કાયમી રૂપે રદ કરીએ?
Option 3,વિકલ્પ 3
Totals,ટોટલ્સ
This is a very common password.,આ એક ખૂબ સામાન્ય પાસવર્ડ છે.
Pending Approval,મંજૂરી બાકી હોવી
The document could not be correctly assigned,દસ્તાવેજ યોગ્ય રીતે અસાઇન કરી શકાયું નથી
Not allowed for {0}: {1},{0}: {1} માટે મંજૂરી નથી
Personal Data Download Request,વ્યક્તિગત ડેટા ડાઉનલોડ વિનંતી
{0} shared this document with {1},{0} આ દસ્તાવેજને {1} સાથે શેર કર્યો
Select {0},{0} પસંદ કરો
Advanced Search,અદ્યતન શોધ
New password emailed,નવો પાસવર્ડ ઇમેઇલ કર્યો
Will only be shown if section headings are enabled,ફક્ત વિભાગ બતાવવામાં આવશે કે કેમ વિભાગ શીર્ષકો સક્ષમ છે
Session Expiry Mobile,સત્ર સમાપ્તિ મોબાઈલ
Email Settings,ઇમેઇલ સેટિંગ્સ
Welcome to {0},{0} પર આપનું સ્વાગત છે
Enable Shadows,શેડોઝ સક્ષમ કરો
Delete,કાઢી નાખો
{0} criticized on {1},{0} ની ટીકા {1}
This email was sent to {0} and copied to {1},આ ઇમેઇલ {0} પર મોકલવામાં આવી હતી અને {1} પર કૉપિ કરી હતી
Invalid login or password,અમાન્ય લૉગિન અથવા પાસવર્ડ
Social Login Key,સમાજ લૉગિન કી
Filters saved,ગાળકો સાચવ્યાં
"How should this currency be formatted? If not set, will use system defaults","આ ચલણ કેવી રીતે ફોર્મેટ કરવું જોઈએ? જો સેટ નથી, તો સિસ્ટમ ડિફોલ્ટ્સનો ઉપયોગ કરશે"
{0}: {1} is set to state {2},{0}: {1} એ રાજ્યમાં સુયોજિત છે {2}
"If enabled, document views are tracked, this can happen multiple times","જો સક્ષમ હોય, તો દસ્તાવેજ દૃશ્યો ટ્રૅક કરવામાં આવે છે, આ ઘણી વખત થઈ શકે છે"
DocField,ડોકફિલ્ડ
Send Print as PDF,પીડીએફ તરીકે પ્રિન્ટ મોકલો
Expiry time of QR Code Image Page,ક્યુઆર કોડ ઇમેજ પૃષ્ઠનો સમાપ્તિ સમય
Global Search,વૈશ્વિક શોધ
Allow Print for Draft,ડ્રાફ્ટ માટે પ્રિન્ટની મંજૂરી આપો
Use of sub-query or function is restricted,ઉપ-ક્વેરી અથવા ફંક્શનનો ઉપયોગ પ્રતિબંધિત છે
Database Engine,ડેટાબેઝ એન્જિન
Help,મદદ
Configure Chart,ચાર્ટ રૂપરેખાંકિત કરો
No template found at path: {0},પાથ પર કોઈ નમૂનો મળ્યો નથી: {0}
Only Administrator can delete Email Queue,ફક્ત એડમિનિસ્ટ્રેટર ઇમેઇલ કતાર કાઢી શકે છે
Push Update,પુશ અપડેટ કરો
Letter Head Image,લેટર હેડ ઇમેજ
Dashboard Chart Source,ડેશબોર્ડ ચાર્ટ સ્રોત
darkgrey,કાળી ગ્રે
Dashboards,ડેશબોર્ડ્સ
Top {0},ટોચ {0}
{0}: {1} in {2},{0}: {1} માં {2}
'In Global Search' not allowed for type {0} in row {1},&#39;ગ્લોબલ સર્ચ ઇન&#39; પંક્તિમાં {0} પ્રકાર માટે મંજૂરી નથી {1}
Scheduled To Send,મોકલવા માટે સુનિશ્ચિત
"It seems that there is an issue with the server's stripe configuration. In case of failure, the amount will get refunded to your account.","એવું લાગે છે કે સર્વરની પટ્ટી ગોઠવણી સાથે કોઈ સમસ્યા છે. નિષ્ફળતાના કિસ્સામાં, રકમ તમારા ખાતામાં પરત કરવામાં આવશે."
Google Font,ગૂગલ ફૉન્ટ
Client Information,ક્લાઈન્ટ માહિતી
"Your subscription expired on {0}. To renew, {1}.","તમારી સબ્સ્ક્રિપ્શન {0} પર સમાપ્ત થઈ ગઈ. નવીકરણ કરવા માટે, {1}."
Value To Be Set,સુયોજિત કરવા માટે કિંમત
Snapshot View,સ્નેપશોટ જુઓ
IN,IN
Desktop Background,ડેસ્કટોપ પૃષ્ઠભૂમિ
Connection Name,કનેક્શન નામ
Permitted Documents For User,વપરાશકર્તા માટે પરવાનગી દસ્તાવેજો
Download link for your backup will be emailed on the following email address: {0},તમારા બેકઅપ માટેની લિંક ડાઉનલોડ નીચેની ઇમેઇલ સરનામાં પર ઇમેઇલ કરવામાં આવશે: {0}
Full Page,પૂર્ણ પૃષ્ઠ
Updated {0}: {1},સુધારાશે {0}: {1}
Send me a copy,મને એક કૉપિ મોકલો
Blog Post,બ્લોગ પોસ્ટ
Workflow Action Name,વર્કફ્લો ઍક્શન નામ
Add Group,ગ્રુપ ઉમેરો
Mappings,મેપિંગ્સ
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange","શૈલી બટન રંગનું પ્રતિનિધિત્વ કરે છે: સફળતા - ગ્રીન, ડેન્જર - લાલ, વ્યસ્ત - કાળો, પ્રાથમિક - ડાર્ક વાદળી, માહિતી - પ્રકાશ વાદળી, ચેતવણી - નારંગી"
Invalid file path: {0},અમાન્ય ફાઇલ પાથ: {0}
Your password has been updated. Here is your new password,તમારો પાસવર્ડ અપડેટ કરવામાં આવ્યો છે. તમારો નવો પાસવર્ડ અહીં છે
Every Month,દર મહિને
Precision,ચોકસાઇ
Last Modified On,છેલ્લે સુધારેલ
Hide field in Standard Print Format,સ્ટાન્ડર્ડ પ્રિંટ ફોર્મેટમાં ફીલ્ડ છુપાવો
Show Attachments,જોડાણો બતાવો
Multiple root nodes not allowed.,મલ્ટીપલ રૂટ નોડ્સને મંજૂરી નથી.
Don't create new records,નવો રેકોર્ડ બનાવશો નહીં
Beginner,પ્રારંભિક
"For example: If you want to include the document ID, use {0}","ઉદાહરણ તરીકે: જો તમે દસ્તાવેજ ID શામેલ કરવા માંગો છો, તો {0} નો ઉપયોગ કરો"
{0} has already assigned default value for {1}.,{0} એ પહેલેથી જ {1} માટે ડિફૉલ્ટ મૂલ્ય અસાઇન કર્યું છે.
fullscreen,સંપૂર્ણ સ્ક્રીન
Allow Import (via Data Import Tool),આયાતને મંજૂરી આપો (ડેટા આયાત સાધન દ્વારા)
"The task {0}, that you assigned to {1}, has been closed by {2}.","કાર્ય {0}, જે તમે {1} ને અસાઇન કર્યું છે, {2} દ્વારા બંધ કરવામાં આવ્યું છે."
Show as cc,સીસી તરીકે બતાવો
Policy,નીતિ
Integrations,સંકલન
Hide footer in auto email reports,સ્વતઃ ઇમેઇલ અહેવાલોમાં ફૂટર છુપાવો
Float,ફ્લોટ
Push Insert,દબાણ દાખલ કરો
Rating,રેટિંગ
Email By Document Field,દસ્તાવેજ ક્ષેત્ર દ્વારા ઇમેઇલ
Totals Row,ટૉટલ્સ પંક્તિ
Website User,વેબસાઇટ વપરાશકર્તા
For User,વપરાશકર્તા માટે
Role Profile,રોલ પ્રોફાઇલ
Connector Name,કનેક્ટર નામ
Is Active,સક્રિય છે
Append To,પર જોડો
Invalid Link,અમાન્ય લિંક
Time Series,સમય શ્રેણી
Background Image,પૃષ્ઠભૂમિ છબી
Top Reviewer,ટોચના સમીક્ષક
Restore Original Permissions,મૂળ પરવાનગીઓ પુનઃસ્થાપિત કરો
Please save the report first,કૃપા કરીને પહેલા રિપોર્ટ સાચવો
Attach Print,છાપો જોડો
Log of Scheduler Errors,શેડ્યુલર ભૂલો લોગ
Text to be displayed for Link to Web Page if this form has a web page. Link route will be automatically generated based on `page_name` and `parent_website_route`,જો આ ફોર્મમાં વેબ પેજ હોય તો વેબ પૃષ્ઠ લિંક માટે પ્રદર્શિત થવું. &#39;પૃષ્ઠ_name` અને&#39; parent_website_route` પર આધારિત લિંક લિંક આપમેળે જનરેટ થશે
Template ID,ઢાંચો ID
Invalid recipient address,અમાન્ય પ્રાપ્તકર્તા સરનામું
Duplicate Filter Name,ડુપ્લિકેટ ફિલ્ટર નામ
align-center,ગોઠવણી કેન્દ્ર
Customization,વૈવિધ્યપણું
New Print Format Name,નવું પ્રિન્ટ ફોર્મેટ નામ
Error while evaluating Notification {0}. Please fix your template.,સૂચનનું મૂલ્યાંકન કરતી વખતે ભૂલ {0}. કૃપા કરીને તમારા નમૂનાને ઠીક કરો.
Can Share,શેર કરી શકો છો
Allow Roles,ભૂમિકાઓ મંજૂરી આપો
Move To Trash,ટ્રૅશમાં ખસેડો
Back to Desk,પાછા ડેસ્ક પર
Document Queued,દસ્તાવેજ કતારમાં
PayPal Settings,પેપાલ સેટિંગ્સ
Is Folder,ફોલ્ડર છે
Print Style,પ્રિંટ પ્રકાર
Defaults,ડિફૉલ્ટ્સ
Forward,ફોરવર્ડ
Event Participants,ઘટના ભાગ લેનારાઓ
Email Status,ઇમેઇલ સ્થિતિ
Google Maps integration,ગૂગલ મેપ્સ એકીકરણ
Do not edit headers which are preset in the template,ટેમ્પલેટ્સમાં પ્રીસેટ કરેલ હેડરોને સંપાદિત કરશો નહીં
Workflow state represents the current state of a document.,વર્કફ્લો રાજ્ય એ દસ્તાવેજની વર્તમાન સ્થિતિનું પ્રતિનિધિત્વ કરે છે.
Center,કેન્દ્ર
Male,પુરુષ
Amount Based On Field,ક્ષેત્ર પર આધારિત રકમ
Allow Edit,સંપાદનની મંજૂરી આપો
Select the label after which you want to insert new field.,લેબલ પસંદ કરો કે જેના પછી તમે નવું ક્ષેત્ર દાખલ કરવા માંગો છો.
Gateway Controller,ગેટવે કંટ્રોલર
New Connection,નવું કનેક્શન
New Activity,નવી પ્રવૃત્તિ
Unable to find attachment {0},જોડાણ શોધવા માટે અસમર્થ {0}
Fields Multicheck,ફીલ્ડ્સ મલ્ટિચેક
Timestamp,ટાઇમસ્ટેમ્પ
Website Theme,વેબસાઇટ થીમ
Log of error on automated events (scheduler).,સ્વચાલિત ઇવેન્ટ્સ (શેડ્યૂલર) પર ભૂલનો લૉગ.
Looks like someone sent you to an incomplete URL. Please ask them to look into it.,એવું લાગે છે કે કોઈએ તમને અપૂર્ણ URL પર મોકલ્યું છે. કૃપા કરીને તેને તપાસવા માટે કહો.
All Images attached to Website Slideshow should be public,વેબસાઇટ વેબસાઇટ સાથે જોડાયેલ બધી છબીઓ જાહેર હોવી જોઈએ
You can only upload upto 5000 records in one go. (may be less in some cases),તમે માત્ર એક જ સમયમાં 5000 જેટલા રેકોર્ડ્સ અપલોડ કરી શકો છો. (કેટલાક કિસ્સાઓમાં ઓછું હોઈ શકે છે)
Template,ઢાંચો
Personal,અંગત
Location,સ્થાન
No Data,કોઈ ડેટા નથી
Website Meta Tag,વેબસાઇટ મેટા ટેગ
film,ફિલ્મ
{0} Settings not found,{0} સેટિંગ્સ મળી નથી
Label is mandatory,લેબલ ફરજિયાત છે
Webhook Headers,વેબહેક હેડર્સ
"Customized Formats for Printing, Email","પ્રિન્ટિંગ, ઇમેઇલ માટે કસ્ટમાઇઝ ફોર્મેટ્સ"
Markdown,માર્કડાઉન
Miss,મિસ
Allow Modules,મોડ્યુલો મંજૂરી આપો
Slideshow Name,સ્લાઇડશો નામ
Better add a few more letters or another word,વધુ સારા અક્ષરો અથવા બીજા શબ્દ ઉમેરો
SMS,એસએમએસ
share-alt,શેર-ઑલ્ટ
Workflow Action Master,વર્કફ્લો ઍક્શન માસ્ટર
"Looks like something went wrong during the transaction. Since we haven't confirmed the payment, Paypal will automatically refund you this amount. If it doesn't, please send us an email and mention the Correlation ID: {0}.","એવું લાગે છે કે ટ્રાંઝેક્શન દરમિયાન કંઈક ખોટું થયું છે. અમે ચુકવણીની પુષ્ટિ નથી કરી હોવાથી, પેપલ આપમેળે આ રકમ પરત કરશે. જો તે ન થાય, તો કૃપા કરીને અમને ઇમેઇલ મોકલો અને સહસંબંધ ID નો ઉલ્લેખ કરો: {0}."
Message not setup,સંદેશ સેટઅપ નથી
Add code as &lt;script&gt;,કોડ &lt;script&gt; તરીકે ઉમેરો
Refresh Token,ટોકન તાજું કરો
Seems API Key or API Secret is wrong !!!,API કી અથવા API સિક્રેટ ખોટું છે એવું લાગે છે !!!
Add to table,ટેબલ પર ઉમેરો
'In List View' not allowed for type {0} in row {1},&#39;સૂચિ દૃશ્ય&#39; ને પંક્તિમાં {0} પ્રકાર માટે મંજૂરી નથી {1}
List of themes for Website.,વેબસાઇટ માટે થીમ્સની સૂચિ.
Random,રેન્ડમ
Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,નાના પરિભ્રમણ ભાગ અપૂર્ણાંક (સિક્કો). દા.ત. USD માટે 1 સેંટ અને તે 0.01 જેટલું દાખલ કરવું જોઈએ
Passive,નિષ્ક્રિય
PDF generation failed,પીડીએફ પેઢી નિષ્ફળ
Atleast one field of Parent Document Type is mandatory,પિતૃ દસ્તાવેજ પ્રકારના ઓછામાં ઓછા એક ક્ષેત્ર ફરજિયાત છે
Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType',વિકલ્પો &#39;ડાયનેમિક લિંક&#39; ફીલ્ડના પ્રકારને અન્ય લિંક ફીલ્ડ પર નિર્દેશ કરવો જોઈએ &#39;વિકલ્પો&#39; સાથે &#39;ડૉકટાઇપ&#39;
"If the condition is satisfied user will be rewarded with the points. eg. doc.status == 'Closed'
",જો સ્થિતિ સંતોષાય તો વપરાશકર્તાને પોઇન્ટ્સ સાથે પુરસ્કાર આપવામાં આવશે. દા.ત. doc.status == &#39;બંધ&#39;
App not found,એપ્લિકેશન મળી નથી
Internal Server Error,આંતરિક સર્વર ભૂલ
Details,વિગતો
Note,નૉૅધ
Please save the document before removing assignment,સોંપણી દૂર કરવા પહેલાં દસ્તાવેજ સાચવો
Recipient,મેળવનાર
Geolocation,ભૌગોલિક સ્થાન
text-width,લખાણ પહોળાઈ
Letter,લેટર
Verification Link,ચકાસણી લિંક
Pay,પે
Month,માસ
"To stop sending repetitive error notifications from the system, we have checked Disabled field in the Auto Repeat document","સિસ્ટમમાંથી પુનરાવર્તિત ભૂલ સૂચનાઓ મોકલવાનું રોકવા માટે, અમે ઑટો રીપેટ ડોક્યુમેન્ટમાં નિષ્ક્રિય ફીલ્ડ ચેક કર્યું છે"
Add Multiple,બહુવિધ ઉમેરો
"To add dynamic subject, use jinja tags like

<div><pre><code>{{ doc.name }} Delivered</code></pre></div>","ગતિશીલ વિષય ઉમેરવા માટે, જેમજ ટૅગ્સનો ઉપયોગ કરો <div><pre> <code>{{ doc.name }} Delivered</code> </pre> </div>"
Addresses,સરનામાંઓ
Number of DB Backups,ડીબી બૅકઅપ્સની સંખ્યા
Web Page Link Text,વેબ પેજ લિંક ટેક્સ્ટ
You unfollowed this document,તમે આ દસ્તાવેજનું પાલન કર્યું નથી
cn-north-1,સી.એન.-ઉત્તર -1
ca-central-1,સીએ-સેન્ટ્રલ -1
Share With,સાથે શેર કરો
Field type cannot be changed for {0},{0} માટે ફીલ્ડનો પ્રકાર બદલી શકાતો નથી
Checking one moment,એક ક્ષણ તપાસે છે
End Time,સમાપ્તિ સમય
Search field {0} is not valid,શોધ ક્ષેત્ર {0} માન્ય નથી
Have an account? Login,એક એકાઉન્ટ છે? પ્રવેશ કરો
on_trash,on_trash
New Name,નવું નામ
Introduce your company to the website visitor.,તમારી કંપનીને વેબસાઇટ મુલાકાતીને પરિચય આપો.
Activity,પ્રવૃત્તિ
Deleted DocType,કાઢી નાખેલ ડોકટાઇપ
If user is the owner,જો વપરાશકર્તા માલિક છે
Set Permissions,પરવાનગીઓ સેટ કરો
Auto,ઓટો
Attach Document Print,દસ્તાવેજ છાપ જોડો
just now,હમણાજ
File '{0}' not found,ફાઇલ &#39;{0}&#39; મળી નથી
You do not have enough permissions to complete the action,તમારી પાસે ક્રિયા પૂર્ણ કરવા માટે પર્યાપ્ત પરવાનગીઓ નથી
App {0} is not installed,એપ્લિકેશન {0} ઇન્સ્ટોલ કરેલ નથી
Show Dashboard,બતાવો ડેશબોર્ડ
Add Contact,સંપર્ક ઉમેરો
Dropbox Access Secret,ડ્રૉપબૉક્સ ઍક્સેસ સિક્રેટ
This user's data cannot be requested for deletion,આ વપરાશકર્તાના ડેટાને કાઢી નાખવા માટે વિનંતી કરી શકાતી નથી
Export not allowed. You need {0} role to export.,નિકાસની મંજૂરી નથી. તમારે {0} નિકાસ કરવાની જરૂર છે.
User Cannot Search,વપરાશકર્તા શોધી શકતા નથી
Search...,શોધો ...
Delete Data,ડેટા કાઢી નાખો
Edit Format,ફોર્મેટ સંપાદિત કરો
Source Text,સોર્સ ટેક્સ્ટ
Fraction,અપૂર્ણાંક
Robots.txt,Robots.txt
Preview Message,પૂર્વાવલોકન સંદેશ
Max Attachment Size (in MB),મહત્તમ જોડાણ કદ (MB માં)
Rating: ,રેટિંગ:
"If not set, the currency precision will depend on number format","જો સેટ ન હોય, તો ચલણ ચોકસાઇ સંખ્યા ફોર્મેટ પર આધારિત હશે"
You don't have the permissions to access this document,તમારી પાસે આ દસ્તાવેજને ઍક્સેસ કરવાની પરવાનગી નથી
Reference Party Doctype,રેફરન્સ પાર્ટી ડોક્ટાઇપ
Button Help,બટન મદદ
Defines actions on states and the next step and allowed roles.,રાજ્યો અને આગલા પગલા અને મંજૂરીની ભૂમિકા પર ક્રિયાઓને વ્યાખ્યાયિત કરે છે.
Replied,જવાબ આપ્યો
Email Rule,ઇમેઇલ રૂલ
Ignore XSS Filter,એક્સએસએસ ફિલ્ટર અવગણો
Auto assignment failed: {0},સ્વતઃ સોંપણી નિષ્ફળ: {0}
Download Files Backup,ફાઇલો બેકઅપ ડાઉનલોડ કરો
Set,સેટ કરો
Event end must be after start,ઇવેન્ટનો અંત પ્રારંભ પછી હોવો આવશ્યક છે
{0} to stop receiving emails of this type,{0} આ પ્રકારની ઇમેઇલ્સ પ્રાપ્ત કરવાનું રોકવા
Daily,દૈનિક
Custom?,કસ્ટમ?
Username,વપરાશકર્તા નામ
Upgrade,અપગ્રેડ કરો
Append To can be one of {0},{0} માંનો એક હોઈ શકે છે
pencil,પેન્સિલ
Did not add,ઉમેર્યું નથી
arrow-right,તીર-જમણે
Fetch attached images from document,દસ્તાવેજમાંથી જોડાયેલ છબીઓ મેળવો
Message clipped,સંદેશ ક્લિપ કર્યો
Completed,પૂર્ણ
Permissions are automatically applied to Standard Reports and searches.,માનક રિપોર્ટ્સ અને શોધો પર પરવાનગીઓ આપમેળે લાગુ થાય છે.
Open Link,ઓપન લિંક
All fields are necessary to submit the comment.,ટિપ્પણી સબમિટ કરવા માટે બધા ક્ષેત્રો આવશ્યક છે.
Introduction,પરિચય
User Tags,વપરાશકર્તા ટૅગ્સ
"To add dynamic subject, use jinja tags like

<div><pre><code>New {{ doc.doctype }} #{{ doc.name }}</code></pre></div>","ગતિશીલ વિષય ઉમેરવા માટે, જેમજ ટૅગ્સનો ઉપયોગ કરો <div><pre> <code>New {{ doc.doctype }} #{{ doc.name }}</code> </pre> </div>"
Add Child,બાળ ઉમેરો
New,નવું
Add all roles,બધી ભૂમિકાઓ ઉમેરો
Transaction Hash,ટ્રાંઝેક્શન હેશ
Doc Status,ડૉક સ્થિતિ
Allow Multiple,બહુવિધ મંજૂરી આપો
Repeat Header and Footer in PDF,પીડીએફમાં હેડર અને ફૂટરને પુનરાવર્તિત કરો
Redirect URL,રીડાયરેક્ટ URL
{0} rows for {1},{0} પંક્તિઓ {1} માટે
Week,અઠવાડિયું
Sent or Received,મોકલ્યો અથવા પ્રાપ્ત થયો
The system provides many pre-defined roles. You can add new roles to set finer permissions.,આ સિસ્ટમ ઘણી પૂર્વ નિર્ધારિત ભૂમિકા પૂરી પાડે છે. તમે સારી પરવાનગીઓ સેટ કરવા માટે નવી ભૂમિકા ઉમેરી શકો છો.
Instructions Emailed,સૂચનાઓ ઇમેઇલ
Execution Time: {0} sec,એક્ઝેક્યુશન સમય: {0} સેકંડ
Receiver Parameter,રીસીવર પરિમાણ
Default Print Language,ડિફૉલ્ટ પ્રિંટ ભાષા
Collapsible Depends On,Collapsible પર આધાર રાખે છે
Use TLS,ટીએલએસનો ઉપયોગ કરો
Show in Module Section,મોડ્યુલ વિભાગમાં બતાવો
LDAP Email Field,એલડીએપી ઇમેઇલ ક્ષેત્ર
New Comment on {0}: {1},{0} પર નવી ટિપ્પણી: {1}
Please setup a message first,કૃપા કરીને પહેલા સંદેશ સેટ કરો
Session Expiry in Hours e.g. 06:00,કલાકોમાં સત્ર સમાપ્તિ eg દા.ત. 06:00
"If Apply Strict User Permission is checked and User Permission is defined for a DocType for a User, then all the documents where value of the link is blank, will not be shown to that User","જો સખત વપરાશકર્તા પરવાનગી લાગુ કરાઈ હોય અને વપરાશકર્તા માટે ડોકટાઇપ માટે વપરાશકર્તા પરવાનગીઓ વ્યાખ્યાયિત કરવામાં આવે, તો પછી બધા દસ્તાવેજો જ્યાં લિંકનું મૂલ્ય ખાલી હોય, તે વપરાશકર્તાને બતાવવામાં આવશે નહીં"
Webhook URL,વેબહૂક યુઆરએલ
Duplicate name {0} {1},ડુપ્લિકેટ નામ {0} {1}
States,રાજ્યો
Logs,લોગ
Standings,સ્ટેન્ડિંગ્સ
Token,ટોકન
Not Published,પ્રકાશિત નથી
Allow Bulk Edit,બલ્ક સંપાદનની મંજૂરી આપો
Footer HTML,ફૂટર એચટીએમએલ
Days Before or After,પહેલાં અથવા પછીના દિવસો
Property Setter overrides a standard DocType or Field property,સંપત્તિ સેટર પ્રમાણભૂત ડોકટાઇપ અથવા ફીલ્ડ પ્રોપર્ટીને ઓવરરાઇડ કરે છે
us-west-1,અમને-પશ્ચિમ -1
Start Date Field,પ્રારંભ તારીખ ક્ષેત્ર
Every Week,દર અઠવાડિયે
"Your subscription expired on {0}. To renew, please send an email to {1}.","તમારી સબ્સ્ક્રિપ્શન {0} પર સમાપ્ત થઈ ગઈ. નવીકરણ કરવા માટે, કૃપા કરીને {1} પર એક ઇમેઇલ મોકલો."
fast-forward,ફાસ્ટ ફોરવર્ડ
Post Comment,ટિપ્પણી પોસ્ટ કરો
Restart,ફરી થી શરૂ કરવું
Custom Base URL,કસ્ટમ બેઝ URL
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.","શ્રેષ્ઠ પ્રથા તરીકે, વિવિધ ભૂમિકાઓ માટે પરવાનગી નિયમનો સમાન સેટ અસાઇન કરશો નહીં. તેના બદલે, સમાન વપરાશકર્તાને બહુવિધ ભૂમિકા સેટ કરો."
Default,ડિફૉલ્ટ
Permanently delete {0}?,{0} ને સ્થાયી રૂપે કાઢી નાખીએ?
Method,પદ્ધતિ
Round Robin,રાઉન્ડ રોબિન
Image,છબી
Now,હવે
Editing Row,સંપાદન પંક્તિ
"e.g. ""Support"", ""Sales"", ""Jerry Yang""","દા.ત. &quot;સપોર્ટ&quot;, &quot;સેલ્સ&quot;, &quot;જેરી યાંગ&quot;"
Hostname,યજમાનનામ
Hourly,અવરલી
Allow field to remain editable even after submission,સબમિટ કર્યા પછી પણ ફીલ્ડને સંપાદનયોગ્ય રહેવાની મંજૂરી આપો
Oops! Something went wrong,અરે! કંઈક ખોટું થયું
Fieldtype,ફીલ્ડ ટાઇપ
DocType can not be merged,ડોકટાઇપ મર્જ થઈ શકતા નથી
Click on the link below to verify your request,તમારી વિનંતીને ચકાસવા માટે નીચેની લિંક પર ક્લિક કરો
Recent years are easy to guess.,તાજેતરના વર્ષ અનુમાન લગાવવા માટે સરળ છે.
Disable Signup,સાઇનઅપ અક્ષમ કરો
Remove Tag,ટેગ દૂર કરો
Show failed jobs,નિષ્ફળ નોકરીઓ બતાવો
Button,બટન
Most Used,સૌથી વધુ વપરાયેલ
