th-list,th-liste
Please enter a valid email address.,Vennligst skriv inn en gyldig e-post adresse.
Received,Mottatt
Email Account,Epost konto
Receipient,Mottaker
Count,Telle
User Type,Brukertype
question-sign,Spørsmålet-skilt
Email Sent?,Epost sendt?
"Naming Options:
<ol><li><b>field:[fieldname]</b> - By Field</li><li><b>naming_series:</b> - By Naming Series (field called naming_series must be present</li><li><b>Prompt</b> - Prompt user for a name</li><li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####</li>
<li><b>format:EXAMPLE-{MM}morewords{fieldname1}-{fieldname2}-{#####}</b> - Replace all braced words (fieldnames, date words (DD, MM, YY), series) with their value. Outside braces, any characters can be used.</li></ol>","Navngivningsalternativer: <ol><li> <b>felt: [feltnavn]</b> - etter felt </li><li> <b>naming_series:</b> - Ved Naming Series (feltet heter naming_series må være til stede </li><li> <b>Spør</b> - Spør brukeren om et navn </li><li> <b>[serie]</b> - Serie etter prefiks (skilt med en prikk); for eksempel PRE. ##### </li><li> <b>format: EXAMPLE- {MM} morewords {fieldname1} - {fieldname2} - {#####}</b> - Bytt ut alle braced ordene (feltnavn, datoord (DD, MM, YY), serie) med deres verdi. Utenfor braces, kan noen tegn brukes. </li></ol>"
UID,UID
Entity Name,Entity Name
minus,minus
Advanced,Avansert
Search or Create a New Chat,Søk eller Opprett en ny chat
Token is missing,Token mangler
Only standard DocTypes are allowed to be customized from Customize Form.,Bare standard DocTypes kan tilpasses fra Tilpass formular.
Please ensure that your profile has an email address,Sørg for at profilen din har en e-postadresse
Rgt,RGT
{0} List,{0} Liste
Reverse Icon Color,Omvendt ikonfarge
Permissions at higher levels are Field Level permissions. All Fields have a Permission Level set against them and the rules defined at that permissions apply to the field. This is useful in case you want to hide or make certain field read-only for certain Roles.,"Tillatelser på høyere nivåer er Feltnivå tillatelser. Alle felt har et tillatelsesnivå satt mot dem, og reglene som er definert ved de tillatelsene gjelder for feltet. Dette er nyttig hvis du vil gjemme eller gjøre visse feltbeskyttet for bestemte roller."
Help Articles,Hjelp artikler
LDAP Security,LDAP-sikkerhet
{0} from {1} to {2},{0} fra {1} til {2}
Report cannot be set for Single types,Rapporten kan ikke settes for Enkeltypene
Hide field in form,Skjul felt i skjema
Return to the Verification screen and enter the code displayed by your authentication app,Gå tilbake til verifikasjonsskjermbildet og skriv inn koden som vises av godkjenningsappen din
Spam,spam
Ctrl + Up,Ctrl + Opp
High,Høy
Everyone,alle
User {0} cannot be renamed,Brukeren {0} kan ikke omdøpes
Role,rolle
Bulk Rename,Bulk Rename
thumbs-down,tommel ned
Full Name,Fullt navn
Priority,Prioritet
Stop,Stoppe
Scheduled to send to {0} recipients,Planlagt å sende til {0} mottakere
Beta,Beta
Response,Respons
Postal,Postal
No Permissions set for this criteria.,Ingen tillatelser angitt for dette kriteriet.
API Key,API-nøkkel
{0} is not a valid Workflow State. Please update your Workflow and try again.,{0} er ikke en gyldig arbeidsflytstat. Oppdater arbeidsflyten din og prøv igjen.
Failed to connect to server,Kunne ikke koble til serveren
Email Server,E-postserver
Form Customization,Skjema Tilpasning
backward,bakover
pause,pause
Error in Custom Script,Feil i tilpasset skript
ESC,ESC
_report,_rapportere
You have exceeded the max space of {0} for your plan. {1}.,Du har overskredet maksimal plass på {0} for planen din. {1}.
Ref Report DocType,Ref Rapporter DocType
Space,Rom
User Defaults,Brukerstandarder
Toggle Charts,Bytt diagrammer
You can't set 'Translatable' for field {0},Du kan ikke angi &#39;Oversetterbar&#39; for felt {0}
module name...,modulnavn ...
Row No,Rad nr
Draft,utkast
 Advanced Settings,Avanserte innstillinger
Parent,Parent
align-right,juster-til høyre
Edit Heading,Rediger overskrift
Not allowed from this IP Address,Ikke tillatt fra denne IP-adressen
In points. Default is 9.,I poeng. Standard er 9.
Compact Item Print,Kompakt elementutskrift
User Permissions,Bruker Tillatelser
Excel,utmerke
Print Format {0} is disabled,Utskriftsformat {0} er deaktivert
Is Globally Pinned,Er globalt stiftet
We have received a request from you to download your {0} data associated with: {1},Vi har mottatt en forespørsel fra deg om å laste ned {0} dataene dine knyttet til: {1}
Share {0} with,Del {0} med
"You seem to have written your name instead of your email. \
				Please enter a valid email address so that we can get back.",Du ser ut til å ha skrevet navnet ditt i stedet for din epost. \ Vennligst skriv inn en gyldig e-postadresse slik at vi kan komme tilbake.
Print Style Preview,Forhåndsvisning av utskriftsstil
Submit this document to confirm,Send inn dette dokumentet for å bekrefte
Could not connect to outgoing email server,Kunne ikke koble til utgående e-postserver
"""Parent"" signifies the parent table in which this row must be added",&quot;Forelder&quot; betyr foreldrebordet der denne raden må legges til
Reference Date,Referansedato
No comments yet,ingen kommentarer enda
View Log,Se Logg
mm/dd/yyyy,mm / dd / yyyy
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","Alle mulige arbeidsflytstater og roller i arbeidsflyten. Doksstatus Valg: 0 er &quot;Lagret&quot;, 1 er &quot;Sendt&quot; og 2 er &quot;Avbrutt&quot;"
Revoke,Tilbakekall
Files,filer
Top Performer,Toppspiller
Delivery Status,Leveringsstatus
Half,Halv
List of patches executed,Liste over patcher utført
Insert,Sett inn
This goes above the slideshow.,Dette går over lysbildeserien.
Something went wrong,Noe gikk galt
on_update,on_update
{0} is currently viewing this document,{0} ser for øyeblikket dette dokumentet
{0} {1} already exists,{0} {1} eksisterer allerede
Invalid Login. Try again.,Ugyldig innlogging. Prøv igjen.
Search,Søke
DocType must be Submittable for the selected Doc Event,DocType må være Submitterable for den valgte Doc Event
Confirm Deletion of Data,Bekreft sletting av data
Kanban,Kanban
You need to be logged in to access this page,Du må være logget inn for å få tilgang til denne siden
Review Points,Gjennomgang poeng
Assign to the one who has the least assignments,Tilordne deg den som har minst oppdrag
Column Break,Kolonnebrudd
Query must be a SELECT,Spørringen må være SELECT
Successful,Vellykket
Please attach a file first.,Vennligst legg ved en fil først.
PDF,PDF
