Connector Type,نوع اتصال
Permissions,مجوزها
Export Report: ,گزارش صادرات:
Other,دیگر
Previous,قبلی
ok,خوب
Already in user's To Do list,در حال حاضر در فهرست To Do کاربر
Allow only one session per user,اجازه دهید تنها یک جلسه برای هر کاربر
View this in your browser,این را در مرورگر خود مشاهده کنید
{0} shared this document with everyone,{0} این سند را با همه اشتراک گذاشت
Options,گزینه ها
Error: Document has been modified after you have opened it,خطا: سند بعد از باز شدن آن اصلاح شده است
Home Address is required,آدرس خانه مورد نیاز است
Contact Us Settings,تماس با ما تنظیمات
Not Descendants Of,نه فرزندان
Liked By,دوست داشتنی
Configure your google calendar integration,ادغام تقویم گوگل خود را پیکربندی کنید
Email has been marked as spam,ایمیل به عنوان هرزنامه علامتگذاری شده است
New Password Required.,رمز عبور جدید مورد نیاز است.
Field,رشته
Client,مشتری
Will be your login ID,شناسه ورود شما خواهد شد
Recurring Documents Failed,اسناد پیوسته فوری
List of backups available for download,فهرست پشتیبان گیری موجود برای دانلود
Hide Sidebar and Menu,پنهان کردن نوار کناری و منو
Workflow State {0} is not allowed,State Workflow {0} مجاز نیست
Reference Name,نام مرجع
Create Chart,ایجاد نمودار
Desk,میز مطالعه
bookmark,نشانه
Max Length,بیشترین طول
No comments yet. Start a new discussion.,هنوز نظری ندارید یک بحث جدید شروع کنید.
Mandatory,اجباری
User {0} cannot be deleted,کاربر {0} نمیتواند حذف شود
Select records for assignment,سوابق را برای انتساب انتخاب کنید
Usage Info,اطلاعات استفاده
Primary Color,رنگ اولیه
Last Updated By,آخرین به روز رسانی شده توسط
Do not send Emails,ایمیل را ارسال نکن
{0} appreciated your work on {1} with {2} point,{0} کار شما را با {1} با {2} نقطه به دست آورید
{app_title},{app_title}
Cancelling,لغو کردن
Group Node,گره گروه
Merge with existing,ادغام با موجود است
Blog Intro,معرفی وبلاگ
New Mention,ذکر جدید
Report Name,نام گزارش
Please refresh to get the latest document.,لطفا آخرین سند را دریافت کنید.
Close,نزدیک
Insert Above,بالا وارد کنید
and,و
Webhooks calling API requests into web apps,مدیران وب خواستار درخواست API به برنامه های وب می شوند
Event,رویداد
Access Token URL,URL توالی دسترسی
Please set Dropbox access keys in your site config,لطفا کلیدهای دسترسی Dropbox را در پیکربندی سایت خود تنظیم کنید
Reset Password Key,کلید رمز عبور را بازنشانی کنید
Modified By,تغییر داده شده توسط
Bio,زیستی
"To renew, {0}.",برای تمدید، {0}.
Folder,پوشه
Perm Level,سطح پویا
Page Settings,تنظیمات صفحه
No Permissions Specified,بدون مجوز مشخص شده است
1 comment,1 نظر
ID (name) of the entity whose property is to be set,شناسه (نام) موجودیت که دارایی تعیین می شود
Deleting {0},حذف {0}
With Letter head,با سر نامه
API Secret,API راز
on_submit,on_submit
Message,پیام
"If enabled, the document is marked as seen, the first time a user opens it",اگر فعال باشد، سند به عنوان دیده می شود، اولین بار که یک کاربر آن را باز می کند
Connected to QZ Tray!,متصل به سینی QZ!
Max Attachments,حداکثر فایلهای پیوست
Add Column,اضافه کردن ستون
This is an automatically generated reply,این یک پاسخ به صورت خودکار است
This Currency is disabled. Enable to use in transactions,این ارز غیر فعال است فعال کردن در معاملات استفاده شود
Pyver,پیور
Fail,شکست
Letter Head,سر نامه
Local Fieldname,Fieldname محلی
Adds a client custom script to a DocType,یک اسکریپت سفارشی مشتری را به DocType اضافه می کند
All,همه
Modules HTML,ماژول های HTML
remove-sign,حذف نشانه
Full,پر شده
User Cannot Create,کاربر نمیتواند ایجاد کند
You gained {0} point,شما {0} نقطه را به دست آوردید
"If you set this, this Item will come in a drop-down under the selected parent.",اگر این را تنظیم کنید، این مورد در زیر یک والد انتخاب شده کشویی قرار خواهد گرفت.
No Emails,بدون ایمیل
Following fields are missing:,زمینه های زیر گم شده اند:
resize-full,تغییر اندازه کامل
You don't have permission to access this file,شما اجازه دسترسی به این فایل ندارید
changed values for {0},مقادیر تغییر برای {0}
Project,پروژه
Shared with user {0} with read access,با استفاده از کاربر {0} با دسترسی به خواندن اشتراک گذاشته شده است
Send,ارسال
Show Calendar,نمایش تقویم
Web Form Fields,زمینه های فرم وب
_doctype,_doctype
User editable form on Website.,فرم قابل ویرایش کاربر در وب سایت
Permanently Cancel {0}?,{0} دائما لغو کنید؟
Option 3,گزینه 3
Totals,مجموعها
This is a very common password.,این یک رمز عبور بسیار معمولی است.
Pending Approval,تأیید در انتظار
The document could not be correctly assigned,سند را نمی توان درست کرد
Not allowed for {0}: {1},برای {0} مجاز نیست: {1}
Personal Data Download Request,درخواست داده شخصی برای دریافت اطلاعات
{0} shared this document with {1},{0} این سند را با {1} به اشتراک گذاشت
Select {0},{0} را انتخاب کنید
Advanced Search,جستجوی پیشرفته
New password emailed,رمز عبور جدید ایمیل فرستاده شد
Will only be shown if section headings are enabled,فقط در صورتی نشان داده می شود که عنوان های بخش فعال شوند
Session Expiry Mobile,پایان دوره جلسه تلفن همراه
Email Settings,تنظیمات ایمیل
Welcome to {0},به {0} خوش آمدید
Enable Shadows,فعال کردن سایه ها
Delete,حذف
{0} criticized on {1},{0} در {1} انتقاد کرد
This email was sent to {0} and copied to {1},این ایمیل به {0} فرستاده شد و به {1} کپی شد
Invalid login or password,رمز عبور یا نام کاربری صحیح نمی باشد
Social Login Key,کلید ورود به سیستم اجتماعی
Filters saved,فیلترها ذخیره شده اند
"How should this currency be formatted? If not set, will use system defaults",چطور این ارز باید فرمت شود؟ اگر تنظیم نشده باشد، از پیش فرضهای سیستم استفاده خواهد کرد
{0}: {1} is set to state {2},{0}: {1} به حالت {2} تنظیم شده است
"If enabled, document views are tracked, this can happen multiple times",اگر فعال باشد، نمایش های سند ردیابی می شوند، این می تواند چندین بار اتفاق بیافتد
DocField,DocField
Send Print as PDF,ارسال چاپ به عنوان PDF
Expiry time of QR Code Image Page,زمان انقضای صفحه کد QR کد
Global Search,جستجوی جهانی
Allow Print for Draft,اجازه چاپ برای پیش نویس
Use of sub-query or function is restricted,استفاده از زیر پرس و جو یا تابع محدود شده است
Database Engine,موتور پایگاه داده
Help,کمک
Configure Chart,پیکربندی نمودار
No template found at path: {0},هیچ الگو در مسیر پیدا نشد: {0}
Only Administrator can delete Email Queue,فقط مدیر می تواند صف ایمیل را حذف کند
Push Update,فشار به روز رسانی
Letter Head Image,تصویر سربرگ
Dashboard Chart Source,منبع نمودار داشبورد
darkgrey,خاکستری تیره
Dashboards,داشبورد
Top {0},بالا {0}
{0}: {1} in {2},{0}: {1} در {2}
'In Global Search' not allowed for type {0} in row {1},&#39;در جستجوی جهانی&#39; برای نوع {0} در ردیف {1} مجاز نیست
Scheduled To Send,برنامه ریزی شده برای ارسال
"It seems that there is an issue with the server's stripe configuration. In case of failure, the amount will get refunded to your account.",به نظر می رسد یک مشکل با پیکربندی نوار خط سرور وجود دارد. در صورت خرابی، مبلغ به حساب شما بازپرداخت خواهد شد.
Google Font,قلم گوگل
Client Information,اطلاعات مشتری
"Your subscription expired on {0}. To renew, {1}.",اشتراک شما در تاریخ {0} منقضی شده است. برای تجدید، {1}.
Value To Be Set,ارزش تعیین می شود
Snapshot View,عکس فوری
IN,که در
Desktop Background,پس زمینه دسکتاپ
Connection Name,نام اتصال
Permitted Documents For User,اسناد مجاز برای کاربر
Download link for your backup will be emailed on the following email address: {0},لینک دانلود برای پشتیبان شما بر روی آدرس ایمیل زیر ایمیل فرستاده می شود: {0}
Full Page,صفحه کامل
Updated {0}: {1},به روز شده {0}: {1}
Send me a copy,کپی من را بفرست
Blog Post,پست وبلاگ
Workflow Action Name,نام اثر عملیات کاری
Add Group,اضافه کردن گروه
Mappings,نقشه ها
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange",سبک نشان دهنده رنگ دکمه: موفقیت - سبز، خطر - قرمز، معکوس - سیاه و سفید، اولیه - آبی تیره، اطلاعات - نور آبی، هشدار - نارنجی
Invalid file path: {0},مسیر فایل نامعتبر: {0}
Your password has been updated. Here is your new password,گذرواژه شما به روز شده است در اینجا رمز جدید شما است
Every Month,هر ماه
Precision,دقت
Last Modified On,آخرین ویرایش شده در
Hide field in Standard Print Format,فیلد پنهان در فرمت استاندارد چاپ
Show Attachments,نمایش پیوستها
Multiple root nodes not allowed.,گره های ریشه چندگانه مجاز نیستند
Don't create new records,سوابق جدید ایجاد نکنید
Beginner,مبتدی
"For example: If you want to include the document ID, use {0}",به عنوان مثال: اگر می خواهید شامل شناسه سند، از {0}
{0} has already assigned default value for {1}.,{0} مقدار پیش فرض برای {1} را تعیین کرده است.
fullscreen,تمام صفحه
Allow Import (via Data Import Tool),اجازه وارد کردن (از طریق ابزار وارد کردن داده ها)
"The task {0}, that you assigned to {1}, has been closed by {2}.",وظیفه {0} که شما به {1} اختصاص داده اید، {2} بسته شده است.
Show as cc,نمایش به عنوان سی سی
Policy,سیاست
Integrations,یکپارچگی
Hide footer in auto email reports,پنهان کردن پاورقی در گزارش خودکار ایمیل
Float,شناور
Push Insert,درج قرار دادن
Rating,رتبه بندی
Email By Document Field,ایمیل با فیلد سند
Totals Row,مجموع ردیف
Website User,کاربر سایت
For User,برای کاربر
Role Profile,نقش نمایه
Connector Name,نام اتصال
Is Active,فعال است
Append To,علاوه بر
Invalid Link,پیوند نامعتبر
Time Series,سری زمانی
Background Image,تصویر پس زمینه
Top Reviewer,رقیب بالا
Restore Original Permissions,بازگرداندن مجوزهای اصلی
Please save the report first,لطفا اولین گزارش را ذخیره کنید
Attach Print,پیوست چاپ
Log of Scheduler Errors,ورود خطاهای زمانبندی
Text to be displayed for Link to Web Page if this form has a web page. Link route will be automatically generated based on `page_name` and `parent_website_route`,متن اگر برای این فرم یک صفحه وب نمایش داده شود، برای Link to Web Page نمایش داده می شود. مسیر پیوند به طور خودکار بر اساس صفحه &#39;page_name` و&#39; parent_website_route` ایجاد می شود
Template ID,شناسه الگو
Invalid recipient address,آدرس گیرنده نامعتبر است
Duplicate Filter Name,نام فیلتر تکراری
align-center,خط مرزی
Customization,سفارشی سازی
New Print Format Name,نام فرمت جدید چاپ
Error while evaluating Notification {0}. Please fix your template.,خطا هنگام ارزیابی اعلان {0}. لطفا قالب خود را اصلاح کنید.
Can Share,میتوانید به اشتراک بگذارید
Allow Roles,اجازه دادن به نقش ها
Move To Trash,انتقال به سطل زباله
Back to Desk,بازگشت به میز
Document Queued,مستند در صف
PayPal Settings,تنظیمات پی پال
Is Folder,آیا پوشه است
Print Style,سبک چاپ
Defaults,پیش فرض
Forward,رو به جلو
Event Participants,شرکت کنندگان رویداد
Email Status,وضعیت ایمیل
Google Maps integration,ادغام Google Maps
Do not edit headers which are preset in the template,هدرهایی را که از پیش تعیین شده در قالب استفاده می کنند ویرایش نکنید
Workflow state represents the current state of a document.,وضعیت کار وضعیت حالت کنونی یک سند را نشان می دهد.
Center,مرکز
Male,نر
Amount Based On Field,مقدار بر اساس فیلد
Allow Edit,اجازه ویرایش
Select the label after which you want to insert new field.,برچسب را انتخاب کنید که پس از آن می خواهید فیلد جدید وارد کنید.
Gateway Controller,کنترل دروازه
New Connection,اتصال جدید
New Activity,فعالیت جدید
Unable to find attachment {0},قادر به یافتن پیوست {0}
Fields Multicheck,فیلد های چندگانه
Timestamp,تاریخ تایم
Website Theme,تم وب سایت
Log of error on automated events (scheduler).,ورود خطا در رویدادهای خودکار (برنامه ریز).
Looks like someone sent you to an incomplete URL. Please ask them to look into it.,به نظر می رسد کسی شما را به یک URL ناقص ارسال کرد. لطفا از آنها بخواهید که به آن نگاه کنند.
All Images attached to Website Slideshow should be public,تمام تصاویر پیوست شده به نمایش به صورت وب سایت باید عمومی باشد
You can only upload upto 5000 records in one go. (may be less in some cases),شما فقط می توانید حداکثر 5000 پرونده را در یک بار آپلود کنید. (ممکن است در بعضی موارد کمتر باشد)
Template,قالب
Personal,شخصی
Location,محل
No Data,بدون اطلاعات
Website Meta Tag,متا تگ وب سایت
film,فیلم
{0} Settings not found,{0} تنظیمات یافت نشد
Label is mandatory,برچسب مجاز است
Webhook Headers,سربرگ های Webhook
"Customized Formats for Printing, Email",قالب های سفارشی برای چاپ، ایمیل
Markdown,نشانه گذاری
Miss,از دست دادن
Allow Modules,اجازه ماژول ها
Slideshow Name,نام نمایش اسلاید
Better add a few more letters or another word,چند حرف دیگر یا یک کلمه دیگر را بهتر کنید
SMS,پیامک
share-alt,به اشتراک گذاشتن
Workflow Action Master,کار عملی کارشناسی ارشد
"Looks like something went wrong during the transaction. Since we haven't confirmed the payment, Paypal will automatically refund you this amount. If it doesn't, please send us an email and mention the Correlation ID: {0}.",به نظر می رسد چیزی در جریان معامله اشتباه گرفته شد. از آنجا که ما پرداخت را تایید نکرده ایم، پی پال به صورت خودکار این مبلغ را پرداخت می کند. اگر این کار را نکنید، لطفا به ما یک ایمیل بفرستید و از شناسه همبستگی ذکر کنید: {0}.
Message not setup,پیام تنظیم نشده است
Add code as &lt;script&gt;,کد را به عنوان &lt;script&gt; اضافه کنید
Refresh Token,رونوشت جدید
Seems API Key or API Secret is wrong !!!,به نظر می رسد کلید API یا API راز اشتباه است
Add to table,اضافه کردن به جدول
'In List View' not allowed for type {0} in row {1},&#39;View List&#39; برای نوع {0} در ردیف {1} مجاز نیست
List of themes for Website.,فهرست تم ها برای وب سایت.
Random,تصادفی
Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,کوچکترین واحد کسری گردش (سکه). به عنوان مثال 1 سنت برای USD و آن را باید به عنوان 0.01 وارد کنید
Passive,منفعل
PDF generation failed,نسل PDF شکست خورد
Atleast one field of Parent Document Type is mandatory,یکی از زمینه های اصلی نوع سند اصلی، اجباری است
Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType',گزینه &#39;پیوند پویا&#39; نوع فیلد باید به فیلد لینک دیگر با گزینه هایی به عنوان &#39;DocType&#39; اشاره شود.
"If the condition is satisfied user will be rewarded with the points. eg. doc.status == 'Closed'
",اگر شرط راضی باشد کاربر با نقاط پاداش خواهد شد. به عنوان مثال. doc.status == &#39;بسته شده&#39;
App not found,برنامه یافت نشد
Internal Server Error,خطای سرور داخلی
Details,جزئیات
Note,توجه داشته باشید
Please save the document before removing assignment,قبل از حذف مجوز، سند را ذخیره کنید
Recipient,گیرنده
Geolocation,موقعیت جغرافیایی
text-width,متن عرض
Letter,نامه
Verification Link,پیوند تأیید
Pay,پرداخت
Month,ماه
"To stop sending repetitive error notifications from the system, we have checked Disabled field in the Auto Repeat document",برای جلوگیری از ارسال اعلان های خطای تکراری از سیستم، فیلد غیر فعال در سند Auto Repeat را بررسی کرده ایم
Add Multiple,اضافه کردن چندگانه
"To add dynamic subject, use jinja tags like

<div><pre><code>{{ doc.name }} Delivered</code></pre></div>","برای اضافه کردن موضوع پویا، از برچسبهای jinja مانند <div style=""""><pre style=""""> <code>{{ doc.name }} Delivered</code> </pre> </div>"
Addresses,آدرس
Number of DB Backups,تعداد پشتیبان گیری DB
Web Page Link Text,متن لینک وب سایت
You unfollowed this document,شما این سند را تمدید کردید
cn-north-1,cn-north-1
ca-central-1,ca-central-1
Share With,به اشتراک گذاشتن با
Field type cannot be changed for {0},نوع فیلد برای {0} تغییر نمی کند
Checking one moment,بررسی یک لحظه
End Time,زمان پایان
Search field {0} is not valid,فیلد جستجو {0} معتبر نیست
Have an account? Login,یک حساب کاربری دارید؟ ورود
on_trash,on_trash
New Name,نام جدید
Introduce your company to the website visitor.,معرفی شرکت خود را به بازدید کننده وب سایت.
Activity,فعالیت
Deleted DocType,DocType حذف شده است
If user is the owner,اگر کاربر مالک باشد
Set Permissions,تنظیم مجوزها
Auto,خودکار
Attach Document Print,ضمیمه کردن چاپ سند
just now,همین الان
File '{0}' not found,فایل &#39;{0}&#39; یافت نشد
You do not have enough permissions to complete the action,مجوز کافی برای تکمیل عملی ندارید
App {0} is not installed,برنامه {0} نصب نشده است
Show Dashboard,نمایش داشبورد
Add Contact,افزودن مخاطب
Dropbox Access Secret,Dropbox دسترسی راز
This user's data cannot be requested for deletion,داده های این کاربر را نمی توان برای حذف حذف کرد
{0} from {1} to {2} in row #{3},{0} از {1} تا {2} در ردیف # {3}
Export not allowed. You need {0} role to export.,صادرات مجاز نیست برای صادرات نیاز به {0} نقش دارید.
User Cannot Search,کاربر نمی تواند جستجو کند
Search...,جستجو کردن...
Delete Data,حذف داده ها
Edit Format,فرمت ویرایش
Source Text,متن منبع
Fraction,کسر
Robots.txt,robots.txt
Preview Message,پیش نمایش پیام
Max Attachment Size (in MB),حداکثر اندازه پیوست (در مگابایت)
Rating: ,امتیاز:
"If not set, the currency precision will depend on number format",اگر تنظیم نشده باشد، دقت ارز به فرمت شماره بستگی دارد
You don't have the permissions to access this document,شما برای دسترسی به این سند اجازه دسترسی ندارید
Reference Party Doctype,Doctype حزب مرجع
Button Help,راهنمای دکمه
Defines actions on states and the next step and allowed roles.,اقدامات را در حالت ها و مرحله بعدی تعریف می کند و نقش ها را مجاز می کند.
Replied,پاسخ داد
Email Rule,قانون ایمیل
Ignore XSS Filter,XSS Filter را نادیده بگیرید
Auto assignment failed: {0},انتصاب خودکار انجام نشد: {0}
Download Files Backup,فایل پشتیبان را دانلود کنید
Set,تنظیم
Event end must be after start,پایان رویداد باید پس از شروع باشد
{0} to stop receiving emails of this type,{0} برای جلوگیری از دریافت ایمیل از این نوع
gave {0} points,{0} امتیاز داد
Daily,روزانه
Custom?,سفارشی؟
Username,نام کاربری
Upgrade,ارتقاء
Append To can be one of {0},اضافه کردن به می تواند یکی از {0}
pencil,مداد
Did not add,اضافه کرد
arrow-right,فلش سمت راست
Fetch attached images from document,عکسها را از سند متصل کنید
Message clipped,پیام قطع شد
Completed,تکمیل شده
Permissions are automatically applied to Standard Reports and searches.,مجوز به طور خودکار به گزارش های استاندارد و جستجو اعمال می شود.
Open Link,لینک های باز
All fields are necessary to submit the comment.,همه فیلدها برای ارسال نظر ضروری هستند.
Introduction,معرفی
User Tags,برچسبهای کاربر
"To add dynamic subject, use jinja tags like

<div><pre><code>New {{ doc.doctype }} #{{ doc.name }}</code></pre></div>","برای اضافه کردن موضوع پویا، از برچسبهای jinja مانند <div style=""""><pre style=""""> <code>New {{ doc.doctype }} #{{ doc.name }}</code> </pre> </div>"
Add Child,اضافه کردن کودک
New,جدید
Add all roles,تمام نقشها را اضافه کنید
Transaction Hash,هش تراش
Doc Status,وضعیت داک
Allow Multiple,اجازه چندگانه
Repeat Header and Footer in PDF,سربرگ و پاورقی را در PDF تکرار کنید
Redirect URL,تغییر مسیر URL
{0} rows for {1},{0} ردیف برای {1}
Week,هفته
Sent or Received,فرستاده یا دریافت شده
The system provides many pre-defined roles. You can add new roles to set finer permissions.,این سیستم بسیاری از نقش های پیش تعیین شده را فراهم می کند. شما می توانید نقش های جدیدی را برای تنظیم مجوز های بیشتر اضافه کنید.
Instructions Emailed,دستورالعمل ارسال شده
Execution Time: {0} sec,زمان اجرایی: {0} ثانیه
For {0} at level {1} in {2} in row {3},برای {0} در سطح {1} در {2} در ردیف {3}
Receiver Parameter,پارامتر گیرنده
Default Print Language,زبان چاپ پیش فرض
Collapsible Depends On,پیچیده بستگی دارد
Use TLS,از TLS استفاده کنید
Show in Module Section,نمایش در بخش ماژول
LDAP Email Field,فیلد آدرس ایمیل LDAP
New Comment on {0}: {1},نظر جدید در {0}: {1}
Please setup a message first,لطفا ابتدا پیام را راه اندازی کنید
Session Expiry in Hours e.g. 06:00,پایان جلسه در ساعتها به عنوان مثال 06:00
"If Apply Strict User Permission is checked and User Permission is defined for a DocType for a User, then all the documents where value of the link is blank, will not be shown to that User",اگر اعمال اعمال شدۀ کاربر اعمال شود، مجوز بررسی شده است و مجوز کاربر برای یک DocType برای یک کاربر تعریف شده است، و سپس تمام اسنادی که ارزش لینک آن خالی است، به آن کاربر نشان داده نمی شود
Webhook URL,نشانی اینترنتی وب
Duplicate name {0} {1},نام تکراری {0} {1}
States,ایالت ها
Logs,سیاههها
Standings,جدول رده بندی
Token,نشانه
Not Published,منتشر نشده
Allow Bulk Edit,اجازه ویرایش بلافاصله
Footer HTML,پاورقی HTML
Days Before or After,روز قبل یا بعد
Property Setter overrides a standard DocType or Field property,Setter Property یک ویژگی Standard DocType یا Field را لغو می کند
us-west-1,ما-غرب-1
Start Date Field,فیلد تاریخ شروع
Every Week,هر هفته
"Your subscription expired on {0}. To renew, please send an email to {1}.",اشتراک شما در تاریخ {0} منقضی شده است. برای تجدید، لطفا یک ایمیل به {1} ارسال کنید.
fast-forward,سریع به جلو
Post Comment,ارسال نظر
Restart,راه اندازی مجدد
Custom Base URL,URL اصلی سفارشی
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.",به عنوان بهترین روش، مجموعه قوانین مجوز را به نقش های مختلف اختصاص ندهید. در عوض، چندین نقش را به همان کاربر تنظیم کنید.
Default,پیش فرض
Permanently delete {0}?,{0} همیشه حذف شود؟
Method,روش
Round Robin,درخواست کتبی
Image,تصویر
Now,اکنون
Editing Row,ویرایش ردیف
"e.g. ""Support"", ""Sales"", ""Jerry Yang""",مثلا &quot;پشتیبانی&quot;، &quot;فروش&quot;، &quot;جری یانگ&quot;
Hostname,نام میزبان
Hourly,ساعتی
Allow field to remain editable even after submission,حتی پس از ارسال، زمینه را ویرایش کنید
Oops! Something went wrong,وای! چیزی اشتباه رفت
Fieldtype,Fieldtype
DocType can not be merged,DocType را نمی توان ادغام کرد
Click on the link below to verify your request,برای تأیید درخواست خود، روی لینک زیر کلیک کنید
Recent years are easy to guess.,سالهای گذشته آسان است حدس بزنید
Disable Signup,غیرفعال کردن ثبت نام
Remove Tag,حذف برچسب
Show failed jobs,نمایش مشاغل ناموفق
Button,دکمه
Most Used,بیشترین استفاده شده
In seconds,در عرض چند ثانیه
Gantt,گانت
Help: Field Properties,راهنما: خواص فیلد
Brand HTML,HTML نام تجاری
Data Import,وارد کردن اطلاعات
Document Type to Track,نوع سند برای پیگیری
Write,نوشتن
remove-circle,حذف دایره
th,هفتم
chevron-left,چوون-چپ
Predictable substitutions like '@' instead of 'a' don't help very much.,جایگزینی های پیش بینی شده مانند &quot;@&quot; به جای &quot;a&quot; بسیار کمک نمی کند.
Color,رنگ
Row # ,ردیف #
volume-up,حجم بالا
Cancelled,لغو شد
Email has been moved to trash,ایمیل به سطل زباله منتقل شده است
No Preview,بدون پیش نمایش
Table updated,جدول به روز شد
Another transaction is blocking this one. Please try again in a few seconds.,یکی دیگر از معامله این است که این را مسدود می کند. لطفا چند ثانیه دوباره امتحان کنید
You can use wildcard %,شما می توانید از wildcard٪
Address Line 1,آدرس خط 1
For Document Type,برای نوع سند
Data missing in table,داده های موجود در جدول
Could not identify {0},{0} شناسایی نشد
This form has been modified after you have loaded it,این فرم پس از بارگذاری آن اصلاح شده است
Back to Login,بازگشت به صفحه ورود
Not Set,تنظیم نشده
Pull,کشیدن
Browse,مرور کردن
"Fields separated by comma (,) will be included in the ""Search By"" list of Search dialog box",فیلد های جدا شده توسط کاما (،) در لیست جستجوی جستجوی جعبه جستجو گنجانده شده است
Edit Custom HTML,ویرایش سفارشی HTML
Assignment Rule,قانون تخصیص
Knowledge Base,دانش محور
Comment Email,نظر دادن به ایمیل
Mr,آقای
Not allowed to Import,مجاز به وارد کردن نیست
Please do not change the rows above {0},لطفا ردیف بالا را {0} تغییر ندهید
GSuite test executed with success. GSuite integration is correctly configured,آزمون GSuite با موفقیت اجرا شد. ادغام GSuite به درستی پیکربندی شده است
Email Group,گروه ایمیل
Row {0}: Not allowed to disable Mandatory for standard fields,ردیف {0}: مجاز به غیرفعال کردن اجباری برای فیلدهای استاندارد نیست
Braintree Settings,تنظیمات Braintree
Show a description below the field,یک توضیح را در زیر فیلد نشان دهید
Cannot send this email. You have crossed the sending limit of {0} emails for this day.,نمی توانم این ایمیل را بفرستم شما از حداکثر ارسال {0} ایمیل برای این روز عبور کرده اید.
fast-backward,سریع عقب مانده
Copyright,کپی رایت
Description,شرح
Please enable developer mode to create new connection,لطفا حالت توسعه دهنده را برای ایجاد اتصال جدید فعال کنید
Attached To DocType,متصل به DocType
Deleted,حذف شده
Logged Out,خارج شده است
Updating,در حال بروز رسانی
Default Incoming,پیش فرض ورودی
Copy and paste this code into and empty Code.gs in your project at script.google.com,کد را در Code.gs و کد خالی آن را در پروژه خود در script.google.com کپی و جایگذاری کنید
Recurring,معکوس
Invalid Password:,رمز عبور نامعتبر:
{0} hours ago,{0} ساعت پیش
Expert,کارشناس
Single Types have only one record no tables associated. Values are stored in tabSingles,انواع تنها دارای یک رکورد بدون جداول مرتبط هستند. ارزش ها در tabSingles ذخیره می شوند
Clear User Permissions,پاک کردن مجوز کاربر
Self approval is not allowed,تصویب خود مجاز نیست
You don't have permission to get a report on: {0},شما مجوز دریافت گزارش را ندارید: {0}
Feedback Request,درخواست بازخورد
Notify Users On Every Login,اعلان کاربران در هر ورودی
Filter...,فیلتر کردن ...
"To format columns, give column labels in the query.",برای قالب بندی ستون ها، برچسب های ستون را در query قرار دهید.
First Success Message,پیام موفقیت اول
{0} is a mandatory field,{0} فیلد اجباری است
Illegal Document Status for {0},وضعیت سند غیرقانونی برای {0}
Submiting {0},ارسال {0}
To and CC,به و CC
Left this conversation,این گفتگو را ترک کرد
Inbox,صندوق ورودی
Expired,منقضی شده
Show tags,نمایش برچسب ها
Select Role,انتخاب نقش
Edit in Full Page,ویرایش در صفحه کامل
Successfully updated translations,ترجمه های به روز شده به صورت موفقیت آمیز
Option 2,گزینه 2
Missing parameters for login,پارامترهای گم شده برای ورود
Chat Background,پس زمینه چت
Internal record of document shares,سابقه داخلی سهام سند
Mandatory field: {0},زمینه اجباری: {0}
Unable to write file format for {0},قادر به نوشتن فرمت فایل برای {0}
Top Bar Items,آیتم های برتر
"No need for symbols, digits, or uppercase letters.",برای نمادها، ارقام یا حروف بزرگ نیازی نیست.
Seen By,دیده شده توسط
Update Translations,بهروزرسانی ترجمهها
"If checked, users will not see the Confirm Access dialog.",اگر چک شود، کاربران گفتگو تأیید دسترسی را نخواهند دید.
Minimum Password Score,حداقل امتیاز رمز عبور
Child Table Mapping,نقشه جدول کودکان
Email Account setup please enter your password for: ,برای تنظیم حساب ایمیل، لطفا رمز عبور خود را وارد کنید:
Too many writes in one request. Please send smaller requests,بیش از حد بسیاری در یک درخواست می نویسد. لطفا درخواست های کوچکتر ارسال کنید
Salesforce,Salesforce
Tile,کاشی
{0} room must have atmost one user.,{0} اتاق باید حداقل یک کاربر داشته باشد.
Is Spam,هرزنامه
Complete Registration,ثبت نام کامل
Maintenance User,کاربر تعمیر و نگهداری
Link to the page you want to open. Leave blank if you want to make it a group parent.,پیوند به صفحه ای که می خواهید باز شود. خالی بگذارید اگر میخواهید آن را یک والدین گروه کنید.
Your organization name and address for the email footer.,نام و آدرس سازمان شما برای پاورقی ایمیل.
"Please enter both your email and message so that we \
				can get back to you. Thanks!",لطفا هر دو ایمیل و پیام خود را وارد کنید تا ما بتوانیم به شما بازگردیم با تشکر!
Attempting to launch QZ Tray...,تلاش برای راه اندازی QZ Tray ...
"Another {0} with name {1} exists, select another name",یکی دیگر از {0} با نام {1} وجود دارد، نام دیگری را انتخاب کنید
Offline,آفلاین
Security Settings,تنظیمات امنیتی
Enable Print Server,فعال کردن سرور چاپ
LDAP Not Installed,LDAP نصب نشده است
Dropbox Access Key,کلید دسترسی Dropbox به
Search for anything,جستجو برای هر چیزی
Table Field,فیلد جدول
CSV,CSV
Set Only Once,فقط یک بار تنظیم کنید
We have received a request for deletion of {0} data associated with: {1},ما یک درخواست برای حذف {0} داده های مرتبط با: {1} دریافت کرده ایم
This report was generated {0}.,این گزارش {0} تولید شد
Document Follow Notification,سند پیگیری اعلان
Fieldname,نام زمینه
