Connector Type,Tilslutningstype
hand-up,hånden op
"Always add ""Draft"" Heading for printing draft documents",Tilføj altid &quot;Udkast&quot; Overskrift til udskrivning af udkast til dokumenter
Salutation,Salutation
No default Address Template found. Please create a new one from Setup &gt; Printing and Branding &gt; Address Template.,Ingen standard adresse skabelon fundet. Opret venligst en ny fra Opsætning&gt; Udskrivning og branding&gt; Adresseskabelon.
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,Tilføj Google Analytics ID: f.eks. UA-89XXX57-1. Se venligst hjælp på Google Analytics for at få flere oplysninger.
Permissions,Tilladelser
Export Report: ,Eksportrapport:
Other,Andet
Previous,Tidligere
ok,Okay
Already in user's To Do list,Allerede i brugerens To Do list
Allow only one session per user,Tillad kun én session pr. Bruger
View this in your browser,Se dette i din browser
{0} shared this document with everyone,{0} delte dette dokument med alle
Options,Muligheder
Error: Document has been modified after you have opened it,"Fejl: Dokumentet er blevet ændret, efter at du har åbnet det"
Home Address is required,Hjem Adresse er påkrævet
Contact Us Settings,Kontakt os Indstillinger
Not Descendants Of,Ikke Efterkommere af
Liked By,Kunne lide af
Configure your google calendar integration,Konfigurer din Google Kalender-integration
Email has been marked as spam,E-mail er blevet markeret som spam
New Password Required.,Nyt kodeord er påkrævet.
Field,Mark
Client,Klient
Will be your login ID,Vil være dit login-id
Recurring Documents Failed,Tilbagevendende dokumenter mislykkedes
List of backups available for download,Liste over sikkerhedskopier til rådighed for download
Hide Sidebar and Menu,Skjul sidebjælke og menu
Workflow State {0} is not allowed,Workflow State {0} er ikke tilladt
Reference Name,Referencenavn
Create Chart,Opret diagram
Desk,Skrivebord
bookmark,bogmærke
Max Length,Max længde
No comments yet. Start a new discussion.,Ingen kommentarer endnu. Start en ny diskussion.
Mandatory,Obligatorisk
User {0} cannot be deleted,Bruger {0} kan ikke slettes
Select records for assignment,Vælg optegnelser for tildeling
Usage Info,Brugerinfo
Primary Color,Primær farve
Last Updated By,Sidst opdateret af
Do not send Emails,Send ikke e-mails
{0} appreciated your work on {1} with {2} point,{0} værdsat dit arbejde på {1} med {2} point
{app_title},{APP_TITLE}
Cancelling,Annullering
Group Node,Gruppe Node
Merge with existing,Flet sammen med eksisterende
Blog Intro,Blog Intro
New Mention,Nyt omtale
Report Name,Rapportnavn
Please refresh to get the latest document.,Opdater venligst for at få det seneste dokument.
Close,Tæt
Insert Above,Indsæt ovenfor
and,og
Webhooks calling API requests into web apps,Webhooks kalder API-anmodninger til webapps
Event,Begivenhed
Access Token URL,Adgangstoken URL
Please set Dropbox access keys in your site config,Angiv venligst Dropbox-adgangstaster i dit websted config
Reset Password Key,Nulstil adgangskode nøgle
Modified By,Ændret af
Bio,Bio
"To renew, {0}.","For at forny, {0}."
Folder,Folder
Perm Level,Perm niveau
Page Settings,Sideindstillinger
No Permissions Specified,Ingen tilladelser angivet
1 comment,1 kommentar
ID (name) of the entity whose property is to be set,"ID (navn) for den enhed, hvis ejendom skal indstilles"
Deleting {0},Sletter {0}
With Letter head,Med brevhoved
API Secret,API Secret
on_submit,on_submit
Message,Besked
"If enabled, the document is marked as seen, the first time a user opens it","Hvis den er aktiveret, markeres dokumentet som set, første gang en bruger åbner den"
Connected to QZ Tray!,Tilsluttet QZ Tray!
Max Attachments,Max vedhæftede filer
Add Column,Tilføj kolonne
This is an automatically generated reply,Dette er et automatisk genereret svar
This Currency is disabled. Enable to use in transactions,Denne valuta er deaktiveret. Gør det muligt at bruge i transaktioner
Pyver,Pyver
Fail,Svigte
Letter Head,Brevhoved
Local Fieldname,Lokalt feltnavn
Adds a client custom script to a DocType,Tilføjer et brugerdefineret script til en DocType
All,Alle
Modules HTML,Moduler HTML
remove-sign,fjern-skilt
Full,Fuld
User Cannot Create,Bruger kan ikke oprette
You gained {0} point,Du har fået {0} point
"If you set this, this Item will come in a drop-down under the selected parent.","Hvis du indstiller dette, kommer denne vare i en rullemenu under den valgte forælder."
No Emails,Ingen emails
Following fields are missing:,Følgende felter mangler:
resize-full,resize-fuld
You don't have permission to access this file,Du har ikke tilladelse til at få adgang til denne fil
changed values for {0},ændrede værdier for {0}
Project,Projekt
Shared with user {0} with read access,Delt med bruger {0} med læseadgang
Send,Sende
Show Calendar,Vis kalender
Web Form Fields,Webformularfelter
_doctype,_doctype
User editable form on Website.,Brugerredigerbar formular på hjemmesiden.
Permanently Cancel {0}?,Permanent Annuller {0}?
Option 3,Mulighed 3
Totals,totaler
This is a very common password.,Dette er et meget almindeligt kodeord.
Pending Approval,Afventer godkendelse
The document could not be correctly assigned,Dokumentet kunne ikke tildeles korrekt
Not allowed for {0}: {1},Ikke tilladt for {0}: {1}
Personal Data Download Request,Personoplysninger download anmodning
{0} shared this document with {1},{0} delte dette dokument med {1}
Select {0},Vælg {0}
Advanced Search,Avanceret søgning
New password emailed,Ny adgangskode mailet
Will only be shown if section headings are enabled,"Vil kun vises, hvis afsnit overskrifter er aktiveret"
Session Expiry Mobile,Session Udløb Mobil
Email Settings,Emailindstillinger
Welcome to {0},Velkommen til {0}
Enable Shadows,Aktivér skygger
Delete,Slet
{0} criticized on {1},{0} kritiseret på {1}
This email was sent to {0} and copied to {1},Denne email blev sendt til {0} og kopieret til {1}
Invalid login or password,forkert brugernavn eller kodeord
Social Login Key,Social Login Key
Filters saved,Filtre gemt
"How should this currency be formatted? If not set, will use system defaults","Hvordan skal denne valuta formateres? Hvis den ikke er indstillet, bruger systemet standardindstillinger"
{0}: {1} is set to state {2},{0}: {1} er angivet til tilstand {2}
"If enabled, document views are tracked, this can happen multiple times","Hvis aktiveret, spores dokumentvisninger, dette kan ske flere gange"
DocField,DocField
Send Print as PDF,Send Print som PDF
Expiry time of QR Code Image Page,Udløbstidspunkt for QR Code Image Page
Global Search,Global søgning
Allow Print for Draft,Tillad udskrivning til udkast
Use of sub-query or function is restricted,Brug af underforespørgsel eller funktion er begrænset
Database Engine,Database Engine
Help,Hjælp
Configure Chart,Konfigurer diagram
No template found at path: {0},Ingen skabelon fundet på sti: {0}
Only Administrator can delete Email Queue,Kun administrator kan slette e-mail-kø
Push Update,Tryk opdatering
Letter Head Image,Letter Head Image
Dashboard Chart Source,Dashboard Diagram Kilde
darkgrey,mørkegrå
Dashboards,Dashboards
Top {0},Top {0}
{0}: {1} in {2},{0}: {1} i {2}
'In Global Search' not allowed for type {0} in row {1},&#39;I Global søgning&#39; ikke tilladt for type {0} i række {1}
Scheduled To Send,Planlagt at sende
"It seems that there is an issue with the server's stripe configuration. In case of failure, the amount will get refunded to your account.",Det ser ud som om der er et problem med serverens stribekonfiguration. I tilfælde af fiasko bliver beløbet refunderet til din konto.
Google Font,Google skrifttype
Client Information,Kundeoplysninger
"Your subscription expired on {0}. To renew, {1}.","Dit abonnement udløb på {0}. Forny, {1}."
Value To Be Set,"Værdi, der skal indstilles"
Snapshot View,Snapshot View
IN,I
Desktop Background,Skrivebordsbaggrund
Connection Name,Forbindelsesnavn
Permitted Documents For User,Tilladte dokumenter til bruger
Download link for your backup will be emailed on the following email address: {0},Download link til din backup vil blive sendt på følgende e-mail-adresse: {0}
Full Page,Fuld side
Updated {0}: {1},Opdateret {0}: {1}
Send me a copy,Send mig en kopi
Blog Post,Blogindlæg
Workflow Action Name,Arbejdsgrænsehandlingens navn
Add Group,Tilføj gruppe
Mappings,tilknytninger
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange","Stil repræsenterer knappens farve: Succes - Grøn, Fare - Rød, Omvendt - Sort, Primær - Mørkeblå, Info - Lyseblå, Advarsel - Orange"
Invalid file path: {0},Ugyldig filsti: {0}
Your password has been updated. Here is your new password,Dit kodeord er blevet opdateret. Her er din nye adgangskode
Every Month,Hver måned
Precision,Præcision
Last Modified On,Senest ændret på
Hide field in Standard Print Format,Skjul felt i standard udskriftsformat
Show Attachments,Vis vedhæftede filer
Multiple root nodes not allowed.,Flere rodknudepunkter er ikke tilladt.
Don't create new records,Opret ikke nye poster
Beginner,Nybegynder
"For example: If you want to include the document ID, use {0}","For eksempel: Hvis du vil medtage dokument-id&#39;et, skal du bruge {0}"
{0} has already assigned default value for {1}.,{0} har allerede tildelt standardværdi for {1}.
fullscreen,Fuld skærm
Allow Import (via Data Import Tool),Tillad import (via dataimportværktøj)
"The task {0}, that you assigned to {1}, has been closed by {2}.","Opgaven {0}, som du har tildelt til {1}, er lukket med {2}."
Show as cc,Vis som cc
Policy,Politik
Integrations,integrationer
Hide footer in auto email reports,Skjul footer i auto email rapporter
Float,Flyde
Push Insert,Tryk på Indsæt
Rating,Bedømmelse
Email By Document Field,Email via dokumentfelt
Totals Row,Totals række
Website User,Website bruger
For User,Til bruger
Role Profile,Roll profil
Connector Name,Connector Name
Is Active,Er aktiv
Append To,Tilføj til
Invalid Link,Ugyldig link
Time Series,Tidsserier
Background Image,Baggrundsbillede
Top Reviewer,Topansætter
Restore Original Permissions,Gendan oprindelige tilladelser
Please save the report first,Gem venligst rapporten først
Attach Print,Vedhæft Udskriv
Log of Scheduler Errors,Log of Scheduler Errors
Text to be displayed for Link to Web Page if this form has a web page. Link route will be automatically generated based on `page_name` and `parent_website_route`,"Tekst, der skal vises for Link til webside, hvis denne formular har en webside. Link-ruten genereres automatisk baseret på `page_name` og` parent_website_route`"
Template ID,Skabelon ID
Invalid recipient address,Ugyldig modtageradresse
Duplicate Filter Name,Duplicate Filter Name
align-center,tilslutter-center
Customization,Tilpasning
New Print Format Name,Nyt udskriftsformatnavn
Error while evaluating Notification {0}. Please fix your template.,Fejl under evaluering af meddelelse {0}. Ret venligst din skabelon.
Can Share,Kan dele
Allow Roles,Tillad roller
Move To Trash,Flytte til skrald
Back to Desk,Tilbage til skrivebordet
Document Queued,Dokument i kø
PayPal Settings,PayPal-indstillinger
Is Folder,Er mappe
Print Style,Udskrivningstilstand
Defaults,standarder
Forward,Frem
Event Participants,Eventdeltagere
Email Status,Email Status
Google Maps integration,Integration med Google Maps
Do not edit headers which are preset in the template,"Rediger ikke overskrifter, der er forudindstillet i skabelonen"
Workflow state represents the current state of a document.,Workflow state repræsenterer den aktuelle tilstand af et dokument.
Center,Centrum
Male,Han
Amount Based On Field,Beløb baseret på felt
Allow Edit,Tillad Rediger
Select the label after which you want to insert new field.,"Vælg den etiket, hvorefter du vil indsætte nyt felt."
Gateway Controller,Gateway Controller
New Connection,Ny forbindelse
New Activity,Ny aktivitet
Unable to find attachment {0},Kan ikke finde vedhæftet fil {0}
Fields Multicheck,Felter Multicheck
Timestamp,Tidsstempel
Website Theme,Website tema
Log of error on automated events (scheduler).,Log af fejl på automatiserede hændelser (planlægger).
Looks like someone sent you to an incomplete URL. Please ask them to look into it.,"Det lader til, at nogen sendte dig til en ufuldstændig webadresse. Bed dem om at undersøge det."
All Images attached to Website Slideshow should be public,"Alle billeder, der er knyttet til Website Slideshow, skal være offentlige"
You can only upload upto 5000 records in one go. (may be less in some cases),Du kan kun uploade op til 5000 poster på én gang. (kan være mindre i nogle tilfælde)
Template,Skabelon
Personal,Personlig
Location,Beliggenhed
No Data,Ingen data
Website Meta Tag,Website Meta Tag
film,film
{0} Settings not found,{0} Indstillinger ikke fundet
Label is mandatory,Etiket er obligatorisk
Webhook Headers,Webhook Headers
"Customized Formats for Printing, Email","Tilpassede formater til udskrivning, e-mail"
Markdown,markdown
Miss,Gå glip af
Allow Modules,Tillad moduler
Slideshow Name,Diasshownavn
Better add a few more letters or another word,Bedre tilføje nogle få bogstaver eller et andet ord
SMS,SMS
share-alt,aktie-alt
Workflow Action Master,Workflow Action Master
"Looks like something went wrong during the transaction. Since we haven't confirmed the payment, Paypal will automatically refund you this amount. If it doesn't, please send us an email and mention the Correlation ID: {0}.","Det ser ud som om noget gik galt under transaktionen. Da vi ikke har bekræftet betalingen, betaler Paypal dig automatisk dette beløb. Hvis det ikke gør det, bedes du sende os en mail og angive korrelations-id: {0}."
Message not setup,Meddelelse ikke opsætning
Add code as &lt;script&gt;,Tilføj kode som &lt;script&gt;
Refresh Token,Opdater Token
Seems API Key or API Secret is wrong !!!,Synes API nøgle eller API Hemmelighed er forkert !!!
Add to table,Tilføj til tabel
'In List View' not allowed for type {0} in row {1},&#39;I listevisning&#39; er ikke tilladt for type {0} i række {1}
List of themes for Website.,Liste over temaer til hjemmesiden.
Random,Tilfældig
Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,"Mindste cirkulerende fraktionsenhed (mønt). For eksempel 1 cent for USD og det skal indtastes som 0,01"
Passive,Passiv
PDF generation failed,PDF-generationen mislykkedes
Atleast one field of Parent Document Type is mandatory,I det mindste et felt af parentes dokumenttype er obligatorisk
Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType',Optionens &#39;Dynamic Link&#39; type felt skal pege på et andet linkfelt med indstillinger som &#39;DocType&#39;
"If the condition is satisfied user will be rewarded with the points. eg. doc.status == 'Closed'
","Hvis betingelsen er tilfreds, vil brugeren blive belønnet med pointene. f.eks. doc.status == &#39;Lukket&#39;"
App not found,Appen blev ikke fundet
Internal Server Error,Intern serverfejl
Details,detaljer
Note,Bemærk
Please save the document before removing assignment,"Gem venligst dokumentet, inden du fjerner opgaven"
Recipient,Modtager
Geolocation,Geolocation
text-width,tekst-bredde
Letter,Brev
Verification Link,Verifikationslink
Pay,Betale
Month,Måned
"To stop sending repetitive error notifications from the system, we have checked Disabled field in the Auto Repeat document","For at stoppe med at sende gentagne fejlmeddelelser fra systemet, har vi markeret Deaktiveret felt i Auto Repeat-dokumentet"
Add Multiple,Tilføj flere
"To add dynamic subject, use jinja tags like

<div><pre><code>{{ doc.name }} Delivered</code></pre></div>",For at tilføje dynamisk emne skal du bruge jinja tags som <div><pre> <code>{{ doc.name }} Delivered</code> </pre> </div>
Addresses,Adresser
Number of DB Backups,Antal DB-sikkerhedskopier
Web Page Link Text,Webside Link Text
You unfollowed this document,Du har ikke fulgt dette dokument
cn-north-1,CN-nord-1
ca-central-1,ca-central-1
Share With,Del med
Field type cannot be changed for {0},Feltype kan ikke ændres for {0}
Checking one moment,Kontrollerer et øjeblik
End Time,Sluttid
Search field {0} is not valid,Søgefelt {0} er ikke gyldigt
Have an account? Login,Har du en konto? Log på
on_trash,on_trash
New Name,Nyt navn
Introduce your company to the website visitor.,Introducer din virksomhed til hjemmesiden besøgende.
Activity,Aktivitet
Deleted DocType,Slette DocType
If user is the owner,Hvis brugeren er ejeren
Set Permissions,Indstil Tilladelser
Auto,Auto
Attach Document Print,Vedhæft dokumentudskrivning
just now,lige nu
File '{0}' not found,Fil &#39;{0}&#39; ikke fundet
You do not have enough permissions to complete the action,Du har ikke tilstrækkelige tilladelser til at fuldføre handlingen
App {0} is not installed,App {0} er ikke installeret
Show Dashboard,Vis Dashboard
Add Contact,Tilføj kontakt
Dropbox Access Secret,Dropbox Access Secret
This user's data cannot be requested for deletion,Denne brugers data kan ikke anmodes om til sletning
{0} from {1} to {2} in row #{3},{0} fra {1} til {2} i række # {3}
Export not allowed. You need {0} role to export.,Eksport ikke tilladt. Du har brug for {0} rolle at eksportere.
User Cannot Search,Bruger kan ikke søge
Search...,Søg...
Delete Data,Slet data
Edit Format,Rediger format
Source Text,Kilde Tekst
Fraction,fraktion
Robots.txt,Robots.txt
Preview Message,Forhåndsvisning meddelelse
Max Attachment Size (in MB),Maks. Bilagstørrelse (i MB)
Rating: ,Bedømmelse:
"If not set, the currency precision will depend on number format","Hvis ikke angivet, afhænger valutaens præcision af nummerformat"
You don't have the permissions to access this document,Du har ikke tilladelserne til at få adgang til dette dokument
Reference Party Doctype,Referencetype Doctype
Button Help,Button Hjælp
Defines actions on states and the next step and allowed roles.,Definerer handlinger på stater og det næste trin og tilladt roller.
Replied,svarede
Email Rule,E-mail-regel
Ignore XSS Filter,Ignorer XSS-filter
Auto assignment failed: {0},Automatisk tildeling mislykkedes: {0}
Download Files Backup,Download filer backup
Set,Sæt
Event end must be after start,Event end skal være efter start
{0} to stop receiving emails of this type,{0} for at stoppe modtagelse af e-mails af denne type
gave {0} points,gav {0} point
Daily,Daglige
Custom?,Brugerdefinerede?
Username,Brugernavn
Upgrade,opgradering
Append To can be one of {0},Tilføj til kan være en af {0}
pencil,blyant
Did not add,Tilføjede ikke
arrow-right,pil-højre
Fetch attached images from document,Hent vedhæftede billeder fra dokument
Message clipped,Meddelelse klippet
Completed,afsluttet
Permissions are automatically applied to Standard Reports and searches.,Tilladelser anvendes automatisk til standardrapporter og søgninger.
Open Link,Åben link
All fields are necessary to submit the comment.,Alle felter er nødvendige for at indsende kommentaren.
Introduction,Introduktion
User Tags,Brugermærker
"To add dynamic subject, use jinja tags like

<div><pre><code>New {{ doc.doctype }} #{{ doc.name }}</code></pre></div>",For at tilføje dynamisk emne skal du bruge jinja tags som <div><pre> <code>New {{ doc.doctype }} #{{ doc.name }}</code> </pre> </div>
Add Child,Tilføj barn
New,Ny
Add all roles,Tilføj alle roller
Transaction Hash,Transaktionshash
Doc Status,Doc Status
Allow Multiple,Tillad flere
Repeat Header and Footer in PDF,Gentag overskrift og footer i PDF
Redirect URL,Omdirigeringswebadresse
{0} rows for {1},{0} rækker for {1}
Week,Uge
Sent or Received,Sendt eller modtaget
The system provides many pre-defined roles. You can add new roles to set finer permissions.,Systemet giver mange foruddefinerede roller. Du kan tilføje nye roller til at indstille finere tilladelser.
Instructions Emailed,Instruktioner sendt
Execution Time: {0} sec,Gennemførelsestid: {0} sek
For {0} at level {1} in {2} in row {3},For {0} på niveau {1} i {2} i række {3}
Receiver Parameter,Modtager Parameter
Default Print Language,Standard Udskrivningssprog
Collapsible Depends On,Sammenklappelig afhænger af
Use TLS,Brug TLS
Show in Module Section,Vis i modulafsnit
LDAP Email Field,LDAP Email Field
New Comment on {0}: {1},Ny kommentar på {0}: {1}
Please setup a message first,Indstil først en besked
Session Expiry in Hours e.g. 06:00,Sessionens udløb i timer fx 06:00
"If Apply Strict User Permission is checked and User Permission is defined for a DocType for a User, then all the documents where value of the link is blank, will not be shown to that User","Hvis Anvend Strengt Bruger Tilladelse er markeret, og Bruger Tilladelse er defineret for en DocType til en Bruger, bliver alle de dokumenter, hvor værdien af linket er tom, ikke vist til den bruger"
Webhook URL,Webhook URL
Duplicate name {0} {1},Duplikat navn {0} {1}
States,stater
Logs,Logs
Standings,stillinger
Token,Polet
Not Published,Ikke offentliggjort
Allow Bulk Edit,Tillad Bulk Edit
Footer HTML,Footer HTML
Days Before or After,Dage før eller efter
Property Setter overrides a standard DocType or Field property,Ejendomssætter overstyrer en standard DocType- eller Field-egenskab
us-west-1,os-vest-1
Start Date Field,Startdatafelt
Every Week,Hver uge
"Your subscription expired on {0}. To renew, please send an email to {1}.","Dit abonnement udløb på {0}. For at fornye, send venligst en mail til {1}."
fast-forward,spol frem
Post Comment,Skriv kommentar
Restart,Genstart
Custom Base URL,Brugerdefineret basiswebadresse
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.",Som en god praksis må du ikke tildele samme sæt tilladelsesregel til forskellige roller. I stedet skal du indstille flere roller til den samme bruger.
Default,Standard
Permanently delete {0}?,Permanent slette {0}?
Method,Metode
Round Robin,Runde Robin
Image,Billede
Now,Nu
Editing Row,Redigering af række
"e.g. ""Support"", ""Sales"", ""Jerry Yang""","f.eks. &quot;Support&quot;, &quot;Sales&quot;, &quot;Jerry Yang&quot;"
Hostname,Værtsnavn
Hourly,Hver time
Allow field to remain editable even after submission,"Tillad, at feltet forbliver redigerbart, selv efter indsendelse"
Oops! Something went wrong,Ups! Noget gik galt
Fieldtype,FieldType
DocType can not be merged,DocType kan ikke fusioneres
Click on the link below to verify your request,Klik på linket nedenfor for at bekræfte din anmodning
Recent years are easy to guess.,De seneste år er let at gætte.
Disable Signup,Deaktiver registrering
Remove Tag,Fjern Tag
Show failed jobs,Vis mislykkede job
Button,Knap
Most Used,Mest anvendte
In seconds,Om sekunder
Gantt,Gantt
Help: Field Properties,Hjælp: Feltegenskaber
Brand HTML,Brand HTML
Data Import,Dataimport
Document Type to Track,Dokumenttype til spor
Write,Skrive
remove-circle,fjern-cirkel
th,th
chevron-left,Chevron-venstre
Predictable substitutions like '@' instead of 'a' don't help very much.,Forudsigelige substitutioner som &#39;@&#39; i stedet for &#39;a&#39; hjælper ikke meget.
Color,Farve
Row # ,Række #
volume-up,lydstyrke op
Cancelled,Aflyst
Email has been moved to trash,E-mail er blevet flyttet til papirkurven
No Preview,Ingen forhåndsvisning
Table updated,Tabel opdateret
Another transaction is blocking this one. Please try again in a few seconds.,En anden transaktion blokerer denne. Prøv igen om et par sekunder.
You can use wildcard %,Du kan bruge wildcard%
Address Line 1,Adresse linie 1
For Document Type,For dokumenttype
Data missing in table,Data mangler i tabel
Could not identify {0},Kunne ikke identificere {0}
This form has been modified after you have loaded it,"Denne formular er blevet ændret, efter at du har indlæst den"
Back to Login,Tilbage til login
Not Set,Ikke indstillet
Pull,Trække
Browse,Gennemse
"Fields separated by comma (,) will be included in the ""Search By"" list of Search dialog box","Felter adskilt af komma (,) vil blive inkluderet i listen &quot;Søg efter&quot; i dialogboksen Søg"
Edit Custom HTML,Rediger brugerdefineret HTML
Assignment Rule,Opgaveregel
Knowledge Base,Vidensbase
Comment Email,Kommentar Email
Mr,Hr
Not allowed to Import,Ikke tilladt at importere
Please do not change the rows above {0},Venligst skift ikke rækkerne over {0}
GSuite test executed with success. GSuite integration is correctly configured,GSuite test udført med succes. GSuite integration er korrekt konfigureret
Email Group,Email Group
Row {0}: Not allowed to disable Mandatory for standard fields,Række {0}: Ikke tilladt at deaktivere Obligatorisk for standardfelter
Braintree Settings,Braintree Indstillinger
Show a description below the field,Vis en beskrivelse under feltet
Cannot send this email. You have crossed the sending limit of {0} emails for this day.,Kan ikke sende denne email. Du har krydset afsendelsesgrænsen for {0} e-mails for denne dag.
fast-backward,hurtigt tilbage
Copyright,ophavsret
Description,Beskrivelse
Please enable developer mode to create new connection,Aktivér udviklertilstand for at oprette en ny forbindelse
Attached To DocType,Vedhæftet til DocType
Deleted,slettet
Logged Out,Logget ud
Updating,Opdatering
Default Incoming,Standard indkommende
Copy and paste this code into and empty Code.gs in your project at script.google.com,Kopier og indsæt denne kode i og tøm Code.gs i dit projekt på script.google.com
Recurring,Tilbagevendende
Invalid Password:,Forkert kodeord:
{0} hours ago,{0} timer siden
Expert,Ekspert
Single Types have only one record no tables associated. Values are stored in tabSingles,"Enkeltyper har kun én post, ingen tabeller forbundet. Værdierne gemmes i tabSingles"
Clear User Permissions,Ryd brugerautorisationer
Self approval is not allowed,Selv godkendelse er ikke tilladt
You don't have permission to get a report on: {0},Du har ikke tilladelse til at få en rapport om: {0}
Feedback Request,Feedback anmodning
Notify Users On Every Login,Underret brugere på hver login
Filter...,Filter...
"To format columns, give column labels in the query.","For at formatere kolonner, angiv kolonneetiketter i forespørgslen."
First Success Message,Første succesmeddelelse
{0} is a mandatory field,{0} er et obligatorisk felt
Illegal Document Status for {0},Ulovlig dokumentstatus for {0}
Submiting {0},Indsender {0}
To and CC,Til og CC
Left this conversation,Forladte denne samtale
Inbox,Indbakke
Expired,Udløbet
Show tags,Vis tags
Select Role,Vælg rolle
Edit in Full Page,Rediger i fuld side
Successfully updated translations,Succesfuldt opdaterede oversættelser
Option 2,Mulighed 2
Missing parameters for login,Manglende parametre til login
Chat Background,Chat baggrund
Internal record of document shares,Intern registrering af dokumentaktier
Mandatory field: {0},Obligatorisk felt: {0}
Unable to write file format for {0},Kan ikke skrive filformat til {0}
Top Bar Items,Øverste linjeposter
"No need for symbols, digits, or uppercase letters.","Intet behov for symboler, cifre eller store bogstaver."
Seen By,Set af
Update Translations,Opdater Oversættelser
"If checked, users will not see the Confirm Access dialog.","Hvis markeret, vil brugerne ikke se dialogboksen Bekræft adgang."
Minimum Password Score,Mindste adgangskode score
Child Table Mapping,Børnebordskortlægning
Email Account setup please enter your password for: ,Opsætning af e-mail-konto skal du indtaste dit kodeord for:
Too many writes in one request. Please send smaller requests,For mange skriver i en anmodning. Venligst send mindre anmodninger
Salesforce,Salgsstyrke
Tile,Flise
{0} room must have atmost one user.,{0} Værelset skal have mindst én bruger.
Is Spam,Er spam
Complete Registration,Komplet Registrering
Maintenance User,Vedligeholdelsesbruger
Link to the page you want to open. Leave blank if you want to make it a group parent.,"Link til siden du vil åbne. Forlad det tomt, hvis du vil gøre det til en gruppeforælder."
Your organization name and address for the email footer.,Dit organisations navn og adresse til e-mail-footeren.
"Please enter both your email and message so that we \
				can get back to you. Thanks!","Indtast både din email og besked, så vi kan komme tilbage til dig. Tak!"
Attempting to launch QZ Tray...,Forsøger at starte QZ Tray ...
"Another {0} with name {1} exists, select another name","Der findes en anden {0} med navn {1}, vælg et andet navn"
Offline,Offline
Security Settings,Sikkerhedsindstillinger
Enable Print Server,Aktivér printserver
LDAP Not Installed,LDAP ikke installeret
Dropbox Access Key,Dropbox adgangsnøgle
Search for anything,Søg efter noget
Table Field,Tabelfelt
CSV,CSV
Set Only Once,Indstil kun én gang
We have received a request for deletion of {0} data associated with: {1},Vi har modtaget en anmodning om sletning af {0} data i forbindelse med: {1}
This report was generated {0}.,Denne rapport blev genereret {0}.
Document Follow Notification,Dokument Følg underretning
Fieldname,Feltnavn
FavIcon,favicon
Will be used in url (usually first name).,Vil bruges i url (normalt fornavn).
Sum of {0},Summen af {0}
Plan Name,Plan navn
No Label,Ingen etiket
Use POST,Brug POST
Region,Område
"Use a few words, avoid common phrases.","Brug nogle få ord, undgå fælles sætninger."
Save API Secret: ,Gem API Hemmelighed:
"If these instructions where not helpful, please add in your suggestions on GitHub Issues.","Hvis disse instruktioner ikke er nyttige, skal du tilføje dine forslag til GitHub-problemer."
folder-close,mappe-close
Pull Update,Træk opdatering
merged {0} into {1},fusionerede {0} til {1}
Enter url parameter for receiver nos,Indtast url-parameter for modtager nr
Syntax error in template,Syntaksfejl i skabelon
Please set filters value in Report Filter table.,Angiv filtre værdi i Rapport Filter tabel.
Run,Løb
Disable Report,Deaktiver rapport
Authenticating...,Godkender ...
Timeline Links,Tidslinje Links
Complete By,Udfyld ved
"Sorry, you're not authorized.","Beklager, du er ikke autoriseret."
Add Total Row,Tilføj Total Række
Session Start Failed,Session Start mislykkedes
Custom HTML Help,Brugerdefineret HTML Hjælp
Preferred Billing Address,Foretrukket faktureringsadresse
Assigned To,Tildelt
Use Different Email Login ID,Brug forskellige e-mail-id-id
Please setup default Email Account from Setup &gt; Email &gt; Email Account,Venligst opsæt standard e-mail-konto fra Opsætning&gt; Email&gt; E-mail-konto
"{0}: Cannot set Submit, Cancel, Amend without Write","{0}: Kan ikke indstille Send, Annuller, Ændre uden Skriv"
Socketio is not connected. Cannot upload,Socketio er ikke tilsluttet. Kan ikke uploade
Write a SELECT query. Note result is not paged (all data is sent in one go).,Skriv en SELECT forespørgsel. Note resultat er ikke paged (alle data sendes på én gang).
Email,E-mail
Python Module,Python modul
Sender Email,Afsender Email
Intermediate,Intermediate
Module Name,Modulnavn
Expiration time,Udløbstid
"Set default format, page size, print style etc.","Indstil standardformat, sidestørrelse, udskriftsform osv."
You cannot like something that you created,"Du kan ikke lide noget, du skabte"
Session Expiry,Sessionens udløb
Auto Name,Automatisk navn
Select Attachments,Vælg Vedhæftede filer
Please set a printer mapping for this print format in the Printer Settings,Indstil en printerkortlægning for dette udskriftsformat i Printerindstillinger
Percent,procent
No {0} found,Ingen {0} fundet
Country Name,Landenavn
Import Data from CSV / Excel files.,Importer data fra CSV / Excel-filer.
Version Updated,Version opdateret
Allocated To,Tildelt til
Keep track of all update feeds,Hold styr på alle opdateringsfeeds
Email Sync Option,Email Sync Option
"The task {0}, that you assigned to {1}, has been closed.","Opgaven {0}, som du har tildelt til {1}, er lukket."
