Connector Type,Тип на конектор
Markdown,Markdown
Miss,Госпоѓица
Allow Modules,Дозволи модули
Slideshow Name,Име на слајдшоу
Better add a few more letters or another word,Подобро да додадете уште неколку букви или друг збор
SMS,порака
share-alt,share-alt
Workflow Action Master,Работен акционен мајстор
"Looks like something went wrong during the transaction. Since we haven't confirmed the payment, Paypal will automatically refund you this amount. If it doesn't, please send us an email and mention the Correlation ID: {0}.","Изгледа дека нешто не е во ред за време на трансакцијата. Бидејќи не го потврдивме плаќањето, Paypal автоматски ќе ви ја врати оваа сума. Ако тоа не успее, ве молиме пратете ни е-пошта и споменете Корелација ID: {0}."
Message not setup,Пораката не е подесена
Add code as &lt;script&gt;,Додајте код како &lt;script&gt;
Refresh Token,Освежи го токенот
Seems API Key or API Secret is wrong !!!,Изгледа дека клучот за АПИ или тајните на API е погрешен !!!
Add to table,Додај во табела
'In List View' not allowed for type {0} in row {1},&#39;Во приказот на листа&#39; не е дозволено за внесување {0} во ред {1}
List of themes for Website.,Листа на теми за веб-страница.
Random,Случајно
Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,"Најмала кружна фракција единица (монета). На пр. 1 цент за USD и треба да се внесе како 0,01"
Passive,Пасивно
PDF generation failed,Формирањето PDF не успеа
<p>No results found for '</p>,<p> Не се пронајдени резултати за &#39; </p>
Atleast one field of Parent Document Type is mandatory,Најпосле едно поле за родителски документ е задолжително
Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType',Опции &#39;Тип на поле за динамична врска&#39; мора да посочи на друго поле за врски со опции како &#39;DocType&#39;
"If the condition is satisfied user will be rewarded with the points. eg. doc.status == 'Closed'
","Ако условот е задоволен, корисникот ќе биде награден со точките. на пр. doc.status == &#39;Затворено&#39;"
App not found,Апликацијата не е пронајдена
Internal Server Error,Внатрешна серверска грешка
Details,Детали
Note,Забелешка
Please save the document before removing assignment,Ве молиме снимете го документот пред да ја отстраните задачата
Recipient,Примател
Geolocation,Геолокација
text-width,ширина на текст
Letter,Писмо
Verification Link,Врска за верификација
Pay,Плати
Month,Месец
"To stop sending repetitive error notifications from the system, we have checked Disabled field in the Auto Repeat document","За да престанеме да испраќаме повторувачки известувања за грешки од системот, го проверивме полето Disabled во документот Auto Repeat"
Add Multiple,Додај повеќе
"To add dynamic subject, use jinja tags like

<div><pre><code>{{ doc.name }} Delivered</code></pre></div>","За да додадете динамичен предмет, користете ги џинските ознаки како <div><pre> <code>{{ doc.name }} Delivered</code> </pre> </div>"
Addresses,Адреси
Number of DB Backups,Број на DB резервни копии
Web Page Link Text,Веб-страница линк текст
You unfollowed this document,Го изложивте овој документ
cn-north-1,цн-север-1
ca-central-1,ca-central-1
Share With,Сподели со
Field type cannot be changed for {0},Типот на полето не може да се промени за {0}
Checking one moment,Проверка на еден момент
End Time,Крај време
Search field {0} is not valid,Полето за пребарување {0} не е валидно
Have an account? Login,Имате сметка? Логирај Се
on_trash,on_trash
New Name,Ново име
Introduce your company to the website visitor.,Воведување на вашата компанија на посетителот на веб страната.
Activity,Активност
Deleted DocType,Избришан DocType
If user is the owner,Ако корисникот е сопственик
Set Permissions,Постави дозволи
Auto,Автоматски
Attach Document Print,Прикачи документ за печатење
just now,само сега
File '{0}' not found,Датотеката &quot;{0}&quot; не е пронајдена
You do not have enough permissions to complete the action,Немате доволно дозволи за да го завршите дејството
App {0} is not installed,Апликацијата {0} не е инсталирана
Show Dashboard,Прикажи табла
Add Contact,Додај контакт
Dropbox Access Secret,Dropbox пристапна тајна
This user's data cannot be requested for deletion,Податоците на овој корисник не може да се побараат за бришење
{0} from {1} to {2} in row #{3},{0} од {1} до {2} во ред # {3}
Export not allowed. You need {0} role to export.,Извозот не е дозволен. Ви треба {0} улога за извоз.
User Cannot Search,Корисникот не може да пребарува
Search...,Барај ...
Delete Data,Избриши податоци
Edit Format,Уредете формат
Source Text,Изворен текст
Fraction,Фракција
Robots.txt,Robots.txt
Preview Message,Преглед на пораката
Max Attachment Size (in MB),Максимална големина на прилогот (во MB)
Rating: ,Рејтинг:
"If not set, the currency precision will depend on number format","Ако не е поставена, прецизноста на валутата ќе зависи од формат на број"
You don't have the permissions to access this document,Немате дозволи за пристап до овој документ
Reference Party Doctype,Референтен партиски Doctype
Button Help,Помош за копче
Defines actions on states and the next step and allowed roles.,Ги дефинира активностите за државите и следниот чекор и дозволените улоги.
Replied,Одговорено
Email Rule,Е-пошта правило
Ignore XSS Filter,Игнорирај го филтерот XSS
Auto assignment failed: {0},Автоматската задача не успеа: {0}
Download Files Backup,Преземање датотеки резервна копија
Set,Поставете
Event end must be after start,Крајот на настанот мора да биде по стартот
{0} to stop receiving emails of this type,{0} за да престанат да примаат е-пошта од овој тип
gave {0} points,даде {0} поени
Daily,Дневно
Custom?,Прилагодено?
Username,Корисничко име
Upgrade,Надградба
Append To can be one of {0},Додај Може да биде еден од {0}
pencil,молив
Did not add,Не се додаде
arrow-right,стрелка-десно
Fetch attached images from document,Донеси прикачени слики од документ
Message clipped,Пораката е кликнато
Completed,Завршено
Permissions are automatically applied to Standard Reports and searches.,Дозволите автоматски се применуваат на стандардни извештаи и пребарувања.
Open Link,Отвори врска
All fields are necessary to submit the comment.,Сите полиња се потребни за да го поднесете коментарот.
Introduction,Вовед
User Tags,Кориснички имиња
"To add dynamic subject, use jinja tags like

<div><pre><code>New {{ doc.doctype }} #{{ doc.name }}</code></pre></div>","За да додадете динамичен предмет, користете ги џинските ознаки како <div><pre> <code>New {{ doc.doctype }} #{{ doc.name }}</code> </pre> </div>"
Add Child,Додај дете
New,Ново
Add all roles,Додади ги сите улоги
Transaction Hash,Трансакција Hash
Doc Status,Док статус
Allow Multiple,Дозволи повеќе
Repeat Header and Footer in PDF,Повторете заглавие и подножје во PDF
Redirect URL,URL за пренасочување
{0} rows for {1},{0} редови за {1}
Week,Недела
Sent or Received,Испратена или примена
The system provides many pre-defined roles. You can add new roles to set finer permissions.,Системот обезбедува многу претходно дефинирани улоги. Можете да додадете нови улоги за да поставите попрецизни дозволи.
Instructions Emailed,Инструкции испратени по е-пошта
Execution Time: {0} sec,Време на извршување: {0} сек
For {0} at level {1} in {2} in row {3},За {0} на ниво {1} во {2} по ред {3}
Receiver Parameter,Параметар на приемникот
Default Print Language,Стандарден јазик за печатење
Collapsible Depends On,Завиткува
Use TLS,Користете TLS
Show in Module Section,Покажи во модулот
LDAP Email Field,Поле за е-пошта на LDAP
New Comment on {0}: {1},Нов коментар на {0}: {1}
Please setup a message first,Прво наместете порака
Session Expiry in Hours e.g. 06:00,Истекот на седницата во часови на пр. 06:00
"If Apply Strict User Permission is checked and User Permission is defined for a DocType for a User, then all the documents where value of the link is blank, will not be shown to that User","Ако се провери апликацијата Строга дозвола за корисникот и дефинирана е User Permission за DocType за Корисникот, тогаш сите документи каде вредноста на линкот е празна, нема да бидат прикажани на тој Корисник"
Webhook URL,Веб-URL адреса
Duplicate name {0} {1},Дупликат име {0} {1}
States,Држави
Logs,Логови
Standings,Рангирање
Token,Токен
Not Published,Не е објавено
Allow Bulk Edit,Дозволи масовно уредување
Footer HTML,HTML Footer
Days Before or After,Денови пред или по
Property Setter overrides a standard DocType or Field property,Својството на сопственикот преклопува стандарден објект DocType или Field
us-west-1,нас-запад-1
Start Date Field,Почетно поле за датум
Every Week,Секоја недела
"Your subscription expired on {0}. To renew, please send an email to {1}.","Вашата претплата истече на {0}. За да ја обновите, ве молиме испратете е-пошта до {1}."
fast-forward,брзо напред
Post Comment,остави коментар
Restart,Рестарт
Custom Base URL,Приспособена база на URL
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.","Како најдобра практика, не ги доделувајте истите правила за дозволи на различни улоги. Наместо тоа, поставете повеќе улоги на истиот Корисник."
Default,Стандардно
Permanently delete {0}?,Трајно избришете {0}?
Make {0},Направи {0}
Method,Метод
Round Robin,Тркалезна Робин
Image,Слика
Now,Сега
Editing Row,Уредување ред
"e.g. ""Support"", ""Sales"", ""Jerry Yang""","на пример, &quot;Поддршка&quot;, &quot;Продај&quot;, &quot;Џери Јанг&quot;"
Hostname,Hostname
Hourly,Часовник
Oops! Something went wrong,Упс! Нешто тргна наопаку
Fieldtype,Fieldtype
DocType can not be merged,DocType не може да се спои
Click on the link below to verify your request,Кликнете на линкот подолу за да го потврдите вашето барање
Recent years are easy to guess.,Последните години се лесно да се погоди.
Disable Signup,Оневозможи го пријавувањето
Remove Tag,Отстрани ознака
Show failed jobs,Прикажи неуспешни задачи
Button,Копче
Most Used,Најчесто користени
In seconds,За секунди
Gantt,Gantt
Brand HTML,Бренд HTML
Data Import,Увоз на податоци
Document Type to Track,Тип на документ за песна
Write,Напиши
remove-circle,отстрани-круг
th,ти
chevron-left,Шеврон-лево
Predictable substitutions like '@' instead of 'a' don't help very much.,Предвидните замени како &quot;@&quot; наместо &quot;а&quot; не помагаат многу.
Color,Боја
Row # ,Ред #
volume-up,Јачина на звук нагоре
Cancelled,Откажано
Email has been moved to trash,Е-поштата е преместена во ѓубрето
No Preview,Нема преглед
Table updated,Ажурирана табела
Another transaction is blocking this one. Please try again in a few seconds.,Друга трансакција го блокира овој. Обидете се повторно за неколку секунди.
You can use wildcard %,Можете да користите маска%
Address Line 1,Адреса Линија 1
For Document Type,За тип на документ
Data missing in table,Податоците недостигаат во табелата
Could not identify {0},Не можеше да се идентификува {0}
This form has been modified after you have loaded it,Оваа форма е модифицирана откако ќе ја вчитате
Back to Login,Назад кон најавување
Not Set,Не е поставен
Pull,Повлечете
Browse,Прегледај
"Fields separated by comma (,) will be included in the ""Search By"" list of Search dialog box","Полињата одделени со запирка (,) ќе бидат вклучени во списокот &quot;Пребарување по&quot; од дијалогот за пребарување"
Edit Custom HTML,Измени го прилагодениот HTML
Assignment Rule,Правило на доделување
Knowledge Base,База на знаење
Comment Email,Коментар на е-пошта
Mr,Г-дин
Not allowed to Import,Не е дозволено да внесувате
Please do not change the rows above {0},Ве молиме не менувајте ги редовите погоре од {0}
GSuite test executed with success. GSuite integration is correctly configured,GSuite тестот е извршен со успех. Интегрирањето на GSuite е правилно конфигурирано
Email Group,Група за е-пошта
Row {0}: Not allowed to disable Mandatory for standard fields,Ред {0}: Не е дозволено да се оневозможи задолжително за стандардни полиња
Braintree Settings,Подесувања на Braintree
Cannot send this email. You have crossed the sending limit of {0} emails for this day.,Не може да се испрати оваа е-пошта. Го преминавте лимитот за испраќање на {0} пораки за овој ден.
fast-backward,брзо назад
Copyright,Авторско право
Description,Опис
Please enable developer mode to create new connection,Овозможете го режимот на инвеститорот да креира нова врска
Attached To DocType,Приложени кон DocType
Deleted,Избришани
Logged Out,Најавени се
Updating,Ажурирање
Default Incoming,Стандардна дојдовен
Copy and paste this code into and empty Code.gs in your project at script.google.com,Копирајте го и ставете го овој код во и исправете Code.gs во вашиот проект на script.google.com
Recurring,Повторувачки
Invalid Password:,Невалидна лозинка:
{0} hours ago,{0} часа пред
Expert,Експерт
Single Types have only one record no tables associated. Values are stored in tabSingles,Единствени типови имаат само еден рекорд без поврзани табели. Вредностите се зачувани во tabSingles
Clear User Permissions,Исчисти дозволи за корисници
Self approval is not allowed,Само одобрение не е дозволено
You don't have permission to get a report on: {0},Немате дозвола да добивате извештај за: {0}
Feedback Request,Барање за повратни информации
Notify Users On Every Login,Известете ги корисниците на секое најавување
Filter...,Филтрирај ...
"To format columns, give column labels in the query.","За да форматирате колони, наведете ги етикетите во колоната."
First Success Message,Прва порака за успех
{0} is a mandatory field,{0} е задолжително поле
Illegal Document Status for {0},Статус на нелегален документ за {0}
Submiting {0},Поднесување {0}
To and CC,Да и КК
Left this conversation,Го остави овој разговор
Inbox,Влезно сандаче
Expired,Истечено
Show tags,Прикажи ознаки
Select Role,Изберете Улога
Edit in Full Page,Уреди во целосна страница
Successfully updated translations,Успешно ажурирани преводи
Option 2,Опција 2
Missing parameters for login,Недостасува параметри за најавување
Chat Background,Позадина за разговор
Internal record of document shares,Внатрешен запис за удели на документи
Mandatory field: {0},Задолжително поле: {0}
Unable to write file format for {0},Не може да се напише формат на датотека за {0}
Top Bar Items,Најсодржајниот топните елементи
"No need for symbols, digits, or uppercase letters.","Нема потреба од симболи, бројки или големи букви."
Seen By,Видено од
Update Translations,Ажурирај преводи
"If checked, users will not see the Confirm Access dialog.","Ако е означено, корисниците нема да го видат дијалогот за потврда."
Minimum Password Score,Минимална оценка за лозинка
Child Table Mapping,Мапирање табели со деца
Email Account setup please enter your password for: ,Подесување на е-пошта внесете ја вашата лозинка за:
Too many writes in one request. Please send smaller requests,Премногу пишува во едно барање. Ве молиме пратете помали барања
Salesforce,Salesforce
Tile,Плочка
{0} room must have atmost one user.,{0} соба мора да има барем еден корисник.
Is Spam,Е спам
Complete Registration,Целосна регистрација
Maintenance User,Корисник за одржување
Link to the page you want to open. Leave blank if you want to make it a group parent.,Врска до страната што сакате да ја отворите. Оставете празно ако сакате да го направите групен родител.
Your organization name and address for the email footer.,Името и адресата на вашата организација за етикетата со е-пошта.
"Please enter both your email and message so that we \
				can get back to you. Thanks!","Ве молиме внесете и вашата e-mail порака и порака, за да можеме да се вратиме на вас. Благодарам!"
Attempting to launch QZ Tray...,Обидувајќи се да го лансира QZ послужавник ...
"Another {0} with name {1} exists, select another name","Друга {0} со име {1} постои, изберете друго име"
Offline,Офлајн
Security Settings,Подесувања за безбедност
Enable Print Server,Овозможи серверот за печатење
LDAP Not Installed,LDAP не е инсталиран
Dropbox Access Key,Клуч за пристап на Dropbox
Search for anything,Барајте нешто
Table Field,Табела поле
CSV,CSV
Set Only Once,Поставете само еднаш
We have received a request for deletion of {0} data associated with: {1},Добивме барање за бришење на {0} податоци поврзани со: {1}
This report was generated {0}.,Овој извештај беше генериран {0}.
Document Follow Notification,Документ Следете известување
Fieldname,Име на полето
FavIcon,FavIcon
Will be used in url (usually first name).,Ќе се користи во url (обично прво име).
Sum of {0},Сума на {0}
Plan Name,Име на планот
No Label,Нема етикета
Use POST,Користете POST
Region,Регион
"Use a few words, avoid common phrases.","Користете неколку зборови, избегнувајте заеднички фрази."
Save API Secret: ,Зачувај API Secret:
"If these instructions where not helpful, please add in your suggestions on GitHub Issues.","Ако овие инструкции, каде што не се корисни, ве молиме додадете во вашите предлози за GitHub прашања."
folder-close,папката-затвори
Pull Update,Повлечете го ажурирањето
merged {0} into {1},се спои {0} во {1}
Enter url parameter for receiver nos,Внесете го параметарот на URL-то за приемникот бр
Syntax error in template,Грешка во синтаксата во дефиниција
Please set filters value in Report Filter table.,Внесете вредност на филтерот во табелата Филтер за извештаи.
Run,Стартувај
Disable Report,Оневозможи го извештајот
Authenticating...,Проверка на автентичност ...
Timeline Links,Линкови на временската линија
Complete By,Целосно
"Sorry, you're not authorized.","За жал, не сте овластени."
In Days,Во деновите
Add Total Row,Додај вкупно ред
Session Start Failed,Почетокот на сесијата не успеа
Custom HTML Help,Приспособена HTML Help
Preferred Billing Address,Претпочитана Адреса за фактурирање
Assigned To,Доделен
Use Different Email Login ID,Користете различен идентификациски број за е-пошта
"{0}: Cannot set Submit, Cancel, Amend without Write","{0}: Не можам да го поставам Поднеси, Откажи, Измени без запишување"
Socketio is not connected. Cannot upload,Socketio не е поврзан. Не може да се постави
Write a SELECT query. Note result is not paged (all data is sent in one go).,Напиши барање за пребарување SELECT. Резултатот за белешка не е paged (сите податоци се испраќаат во еден чекор).
Email,Е-пошта
Python Module,Пајтон Модул
Sender Email,Испраќачот е-пошта
Intermediate,Средно
Module Name,Име на модулот
Expiration time,Време на истекување
"Set default format, page size, print style etc.","Поставете стандардниот формат, големина на страница, стил на печатење итн."
You cannot like something that you created,Не може да ви се допадне нешто што сте го создале
Session Expiry,Истекување на сесијата
Auto Name,Автоматско име
Select Attachments,Изберете прилози
Please set a printer mapping for this print format in the Printer Settings,Ве молиме поставете мапирање на печатачот за овој формат за печатење во Printer Settings
Percent,Процент
No {0} found,Не {0} пронајден
Country Name,Име на земја
Import Data from CSV / Excel files.,Увези податоци од CSV / Excel датотеки.
Version Updated,Верзија на ажуриран
Allocated To,Распределени до
Keep track of all update feeds,Следете ги сите ажурирани канали
Email Sync Option,Опција за синхронизација на е-пошта
"The task {0}, that you assigned to {1}, has been closed.","Задача {0}, која сте ја назначиле на {1}, е затворена."
Client URLs,Клиентни URL адреси
In Progress,Во тек
Links,Линкови
Email Flag Queue,Е-маил на редот за е-пошта
Enable Automatic Backup,Овозможи автоматско резервно копирање
{0} appreciation point for {1} {2},{0} точка на благодарност за {1} {2}
envelope,плико
Administrator,Администратор
Has Role,Има улога
If non standard port (e.g. 587),Ако нестандардно пристаниште (пр. 587)
No matching records. Search something new,Нема соодветни записи. Барај нешто ново
System Page,Системска страница
Note: By default emails for failed backups are sent.,Забелешка: Стандардно се испраќаат пораки за неуспешни копии.
Custom DocPerm,Прилагодено DocPerm
Doctype to Assign Tags,Doctype за доделување на ознаки
Warehouse,Магацин
Dropbox Setup,Поставување Dropbox
Zero,Нула
Add a New Role,Додај нова улога
{0} already unsubscribed for {1} {2},{0} веќе отпишан за {1} {2}
Editable Grid,Редактирана мрежа
Export Data,Извозни податоци
Enable / Disable Domains,Овозможи / оневозможи домени
Website Slideshow,Веб-страница слајдшоу
Icon,Икона
Special Characters are not allowed,Специјални знаци не се дозволени
Remove Section,Отстрани го делот
Go to the document,Одете во документот
Change Label (via Custom Translation),Промени ја етикетата (преку сопствен превод)
Name not set via prompt,Името не е поставено преку известување
Custom JS,Прилагодено JS
Value,Вредност
Base Distinguished Name (DN),Основно познато име (DN)
Timeline field must be a valid fieldname,Полето за временската линија мора да биде валидна fieldname
submitted this document,поднесе овој документ
magnet,магнет
Row Values Changed,Се промени вредностите на ред
Value Based On,Врз основа на вредност
Search Term,Термин за пребарување
Toggle Grid View,Вклучи го мрежниот приказ
Filter Data,Филтрирај податоци
Avatar,Аватар
A word by itself is easy to guess.,Еден збор сам по себе е лесно да се погоди.
Desktop Icon already exists,Иконата на работната површина веќе постои
Invalid Email: {0},Неважечка е-пошта: {0}
Save As,Зачувај како
Cannot update {0},Не може да се ажурира {0}
Email Unsubscribe,Е-пошта Отпиши се
Monospace,Monospace
Set User Permissions,Поставете дозволи за корисници
Created Custom Field {0} in {1},Создадено прилагодено поле {0} во {1}
Tuesday,вторник
User Permission,Корисничка дозвола
Please Update SMS Settings,Ве молиме да ги ажурирате пораките за SMS
Comments and Communications will be associated with this linked document,Коментарите и комуникациите ќе бидат поврзани со овој поврзан документ
Attached To Name,Закачено за име
Steps to verify your login,Чекори за да го потврдите вашето најавување
Room Type,Вид на соба
Google Analytics ID,ИД на Google Анализа
{0} is not a raw printing format.,{0} не е формат на сирово печатење.
One Last Step,Еден последен чекор
Restore,Врати
Example Email Address,Пример-мејл адреса
Open,Отвори
Check which Documents are readable by a User,Проверете кои документи може да ги чита корисникот
Root {0} cannot be deleted,Root {0} не може да се избрише
Mobile Number,Мобилен број
Invalid User Name or Support Password. Please rectify and try again.,Неважечко корисничко име или лозинка за поддршка. Ве молиме поправете и обидете се повторно.
Customize,Прилагоди
Year,Година
Communication Link,Комуникациски линк
Calculate,Пресметај
"If you think this is unauthorized, please change the Administrator password.","Ако мислите дека ова е неовластено, молам, измени ја администраторската лозинка."
Current Status,Сегашен статус
Post,Пост
Select atleast 1 record for printing,Изберете барем 1 запис за печатење
Assigned By,Доделени од
[Label]:[Field Type]/[Options]:[Width],[Етикета]: [Тип на поле] / [Опции]: [Ширина]
Ctrl+Enter to add comment,Ctrl + Enter за да додадете коментар
Field {0} is not selectable.,Полето {0} не може да се одбере.
Birth Date,Датум на раѓање
With Group Indentation,Со група внесување
Disable Count,Оневозможи го бројот
Email ID,Е-маил проект
Incorrect User or Password,Неточен корисник или лозинка
Allow Rename,Дозволи преименување
"Setup of top navigation bar, footer and logo.","Поставување на врвот лента за навигација, подножје и лого."
{0}: Options required for Link or Table type field {1} in row {2},{0}: Опции потребни за полето Поврзување или табела {1} во ред {2}
Address Title is mandatory.,Насловот на адресата е задолжителен.
Must specify a Query to run,Мора да наведете барање за пребарување
Email Queue records.,Евиденција на е-пошта.
Nothing to update,Нема ништо да се ажурира
Please enter values for GSuite Access Key and GSuite Access Secret,Внесете вредности за GSuite Access Key и GSuite Access Secret
Please enter valid mobile nos,Ве молиме внесете валиден мобилен број
Data,Податоци
Your Country,Твојата земја
This link has already been activated for verification.,Оваа врска веќе е активирана за верификација.
Enter folder name,Внесете име на папка
Followed by,Следен од
Enter python module or select connector type,Внесете го модулот за питон или изберете тип на конектор
Block Modules,Блок модули
Revert Of,Врати
Sign Up is disabled,Пријавувањето е оневозможено
Download Template,Преземи Шаблон
Value too big,Вредноста е преголема
Image View,Поглед на слика
Document,Документ
Custom Script,Прилагодено скрипта
Please specify,Ве молиме наведете
"Hint: Include symbols, numbers and capital letters in the password","Совет: Вклучете симболи, броеви и големи букви во лозинката"
Sorry! Sharing with Website User is prohibited.,За жал! Споделување со Корисникот на Интернет е забрането.
{0} reverted your point on {1},{0} ја вратил вашата точка {1}
&lt;head&gt; HTML,&lt;head&gt; HTML
This role update User Permissions for a user,Оваа улога ги ажурира корисничките дозволи за корисникот
Theme,Тема
Show Sidebar,Прикажи ја страничната лента
Default Inbox,Стандардно сандаче
Invalid Login Token,Невалиден најавен знак
First set the name and save the record.,Прво поставете го името и зачувајте го рекордот.
eye-open,отворен за очи
Web Link,Веб линк
App,App
Eg. smsgateway.com/api/send_sms.cgi,На пр. smsgateway.com/api/send_sms.cgi
camera,камера
Please select Minimum Password Score,Ве молиме изберете Минимална лозинка
Please make sure that there are no empty columns in the file.,Ве молиме проверете дали во датотеката нема празни колони.
Select Module,Изберете Модул
Submitted,Поднесено
The user from this field will be rewarded points,Корисникот од ова поле ќе биде награден поени
Last Name,Презиме
1 hour ago,Пред 1 час
on_update_after_submit,on_update_after_submit
If you are updating/overwriting already created records.,Ако го ажурирате / пребришете веќе креираните записи.
View List,Прикажи листа
User can login using Email id or Mobile number,Корисникот може да се логира со користење на Email id или Mobile number
Refreshing,Освежувачки
"Enter keys to enable login via Facebook, Google, GitHub.","Внесете клучеви за да овозможите најавување преку Фејсбук, Google, GitHub."
Please select another payment method. Stripe does not support transactions in currency '{0}',Изберете друг начин на плаќање. Стрип не поддржува трансакции во валута &#39;{0}&#39;
Not enough permission to see links,Нема доволно дозвола за да ги видите линковите
Add / Update,Додај / ажурирај
Please correct the,Те молам поправете
Top Bar Item,Точка на врвот
Role Permissions Manager,Управник за дозволи за улоги
There were errors. Please report this.,Имаше грешки. Ве молиме пријавете го ова.
Female,Женски
OTP Issuer Name,ОТП Име на издавачот
Add to To Do,Додај за да се направи
Ref DocType,Ref DocType
Permission Error,Грешка во дозволата
Create and manage newsletter,Креирање и управување со билтенот
Repeat Till,Повторете до
File not attached,Датотеката не е прикачена
changed value of {0},променета вредност на {0}
Create New,Креирај нова
{0} is required,{0} е потребно
Custom Fields can only be added to a standard DocType.,Прилагодените полиња можат да се додадат само во стандарден DocType.
Standard roles cannot be disabled,Стандардните улоги не можат да бидат оневозможени
Checksum Version,Верзија за проверка
Category Description,Категорија Опис
Next actions,Следни акции
"Filter must have 4 values (doctype, fieldname, operator, value): {0}","Филтерот мора да има 4 вредности (докт, име на поле, оператор, вредност): {0}"
Domain,Домен
Karma,Карма
Rounded Corners,Заоблени катчиња
Remote ID,Далечен идентификатор
Shared with everyone,Муабет со сите
Disabled,Исклучено
Cannot delete {0},Не може да се избрише {0}
HTML,HTML
Linked With,Поврзан со
Name Case,Name Case
Error in Notification: {},Грешка во известувањето: {}
Gateway Settings,Поставувања за портата
Module Not Found,Модул не е пронајден
Custom Role,Прилагодена улога
View Settings,Погледнете ги подесувањата
JavaScript,JavaScript
You can't set 'Options' for field {0},Не можете да поставите &#39;Опции&#39; за полето {0}
Disable Prepared Report,Оневозможи подготвен извештај
Export All {0} rows?,Извоз ги сите {0} редови?
star-empty,ѕвезда-празна
Created On,Создаден на
Half Day,Половина ден
Default Sending,Стандардно испраќање
View document,Прикажи документ
Notify if unreplied for (in mins),Известувајте дали е неопходно за (во мините)
arrow-left,стрелка-лево
Starts on,Почнува
Set Number of Backups,Постави број на резервни копии
Link Expired,Линкот е истечен
Incorrect value: {0} must be {1} {2},Неточна вредност: {0} мора да биде {1} {2}
Yandex.Mail,Yandex.Mail
Edit Auto Email Report Settings,Уредете ги подесувањата за автоматско е-пошта
Please set filters,Ве молиме поставете филтри
Delete this record to allow sending to this email address,Избришете го овој запис за да дозволите испраќање на оваа адреса на е-пошта
Note Seen By,Забелешка: Види
arrow-up,стрелка-нагоре
Social,Социјална
Custom Fields cannot be added to core DocTypes.,Прилагодените полиња не можат да се додадат во основни DocTypes.
Printing,Печатење
Direct,Директно
Send unsubscribe message in email,Испратете ја пораката за пораки во е-пошта
Ignore attachments over this size,Игнорирај ги прилозите над оваа големина
briefcase,чанта
The resource you are looking for is not available,Ресурсот што го барате не е достапен
Heading,Наслов
** Failed: {0} to {1}: {2},** Не успеа: {0} до {1}: {2}
File too big,Датотеката е преголема
Select All,Селектирај се
Is,Е
Data Migration,Миграција на податоци
Reset,Ресетирај
Email Addresses,Е-мејл адреси
Allow saving if mandatory fields are not filled,Дозволи зачувување ако задолжителни полиња не се пополнети
The first user will become the System Manager (you can change this later).,Првиот корисник ќе стане Системски менаџер (може да го промените ова подоцна).
Chat,Разговор
Email Domain,Домен за е-пошта
ap-south-1,ап-југ-1
Import Status,Увозен статус
Pages in Desk (place holders),Страници во биро (носители)
hdd,hdd
Visit,Посетете
"LDAP Search String needs to end with a placeholder, eg sAMAccountName={0}","Лозинката за пребарување LDAP треба да заврши со заштитен знак, на пр. SAMAccountName = {0}"
Navbar Style,Навбар стил
Track Seen,Следи го видеото
Page Name,Името на страницата
Knowledge Base Contributor,Соработник на базата на знаење
This document is currently queued for execution. Please try again,Овој документ е во ред во очекување за извршување. Обидете се повторно
Total,Вкупно
Property,Сопственост
Client Credentials,Сертификати на клиенти
Ignored: {0} to {1},Игнориран: {0} до {1}
Logged in,Најавен
Email Account added multiple times,Е-поштата е додадена повеќе пати
eu-west-2,eu-west-2
Check Request URL,Проверете УРЛ-адреса
About,За
Custom Translations,Прилагодени преводи
Sr,Ср
"Language, Date and Time settings","Поставки за јазик, датум и време"
none of,ниту еден од
Page,Страница
plus-sign,плус-знак
Cannot Update: Incorrect / Expired Link.,Не може да се ажурира: Неточна / истекна линк.
Yellow,Жолта
Number of columns for a field in a Grid (Total Columns in a grid should be less than 11),Број на колони за поле во мрежа (Вкупно колони во решетка треба да бидат помали од 11)
Frequency,Фреквенција
{0} not found,{0} не е пронајден
{0} logged in,{0} најавени
Nothing to show,Ништо да се покаже
Local Primary Key,Локален примарен клуч
SMS Gateway URL,URL адреса на СМС
query-report,извештај за пребарување
New Kanban Board,Нов канбански одбор
Date,Датум
Communication Type,Тип на комуникација
Parent Table,Табела за родители
Show Full Error and Allow Reporting of Issues to the Developer,Покажи целосна грешка и дозволете известување за проблемите до развивачот
"This field will appear only if the fieldname defined here has value OR the rules are true (examples): 
myfield
eval:doc.myfield=='My Value'
eval:doc.age&gt;18",Ова поле ќе се појави само ако полето дефинирано тука има вредност ИЛИ правилата се точни (примери): myfield eval: doc.myfield == &#39;My Value&#39; eval: doc.age&gt; 18
chevron-right,Шеврон-десно
Only users involved in the document are listed,Наброени се само корисници кои се вклучени во документот
Dashboard,Табла
Sample,Пример
Value Change,Промена на вредноста
Calendar,Календар
Format Data,Форматирај податоци
Translate {0},Преведи {0}
