Connector Type,Typ konektora
Salutation,pozdravenie
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,"Pridať ID služby Google Analytics: napr. UA-89XXX57-1. Ak chcete získať viac informácií, vyhľadajte pomoc v nástroji Google Analytics."
Permissions,oprávnenie
Export Report: ,Exportovať prehľad:
Other,ostatné
Previous,predchádzajúca
ok,ok
Already in user's To Do list,Už v zozname úloh používateľa
Allow only one session per user,Povoliť iba jednu reláciu na používateľa
View this in your browser,Zobraziť vo svojom prehliadači
{0} shared this document with everyone,{0} zdieľa tento dokument s každým
Options,možnosti
Error: Document has been modified after you have opened it,Chyba: Dokument bol upravený po jeho otvorení
Home Address is required,Vyžaduje sa adresa domov
Contact Us Settings,Kontaktujte nás Nastavenia
Not Descendants Of,Nie potomkov
Liked By,Páči sa
Configure your google calendar integration,Konfigurácia integrácie kalendára v službe Google
Email has been marked as spam,E-mail bol označený ako spam
New Password Required.,Vyžaduje sa nové heslo.
Field,Lúka
Client,Zákazník
Will be your login ID,Bude to vaše prihlasovacie ID
Recurring Documents Failed,Nepodarilo sa opakujúce sa dokumenty
List of backups available for download,Zoznam dostupných záloh
Hide Sidebar and Menu,Skryť bočný panel a ponuku
Reference Name,Referenčný názov
Create Chart,Vytvoriť graf
Desk,stôl
bookmark,záložka
Max Length,Maximálna dĺžka
No comments yet. Start a new discussion.,Zatiaľ žiadne komentáre. Začať novú diskusiu.
Mandatory,povinné
User {0} cannot be deleted,Používateľ {0} sa nedá odstrániť
Select records for assignment,Vyberte záznamy pre priradenie
Usage Info,Informácie o použití
Primary Color,Primárna farba
Last Updated By,Posledná aktualizácia
Do not send Emails,Neposielajte e-maily
{0} appreciated your work on {1} with {2} point,{0} ocenilo vašu prácu na mieste {1} s bodom {2}
{app_title},{Aplikácia APP_TITLE}
Cancelling,zrušenie
Group Node,Uzol skupiny
Merge with existing,Zlúčenie s existujúcimi
Blog Intro,Blog Úvod
New Mention,Nová zmienka
Report Name,Názov prehľadu
Please refresh to get the latest document.,"Ak chcete získať najnovší dokument, obnovte ho."
Close,Zavrieť
Insert Above,Vložiť vyššie
and,a
Webhooks calling API requests into web apps,Webhooks volania žiadostí o API do webových aplikácií
Event,udalosť
Access Token URL,Prístup k adrese URL tokenu
Please set Dropbox access keys in your site config,Nastavte prístupové kľúče Dropbox vo vašej konfigurácii stránok
Reset Password Key,Obnoviť heslo
Modified By,Upravené podľa
Bio,Bio
"To renew, {0}.","Ak chcete obnoviť, {0}."
Folder,zložka
Perm Level,Perm Level
Page Settings,Nastavenia stránky
No Permissions Specified,Nie sú špecifikované žiadne povolenia
1 comment,1 komentár
ID (name) of the entity whose property is to be set,"ID (názov) subjektu, ktorého majetok sa má nastaviť"
Deleting {0},Odstránenie {0}
With Letter head,S hlavičkou listov
API Secret,API Secret
on_submit,on_submit
Message,správa
"If enabled, the document is marked as seen, the first time a user opens it","Ak je táto možnosť povolená, dokument sa označí ako videný pri prvom otvorení používateľa"
Connected to QZ Tray!,Pripojené k QZ Tray!
Max Attachments,Max Prílohy
Add Column,Pridať stĺpec
This is an automatically generated reply,Toto je automaticky generovaná odpoveď
This Currency is disabled. Enable to use in transactions,Táto mena je zakázaná. Povoliť použitie v transakciách
Pyver,Pyver
Fail,zlyhať
Letter Head,Letter Head
Local Fieldname,Názov miestneho poľa
Adds a client custom script to a DocType,Pridá vlastný skript klienta do dokumentu DocType
All,všetko
{0}: Options must be a valid DocType for field {1} in row {2},{0}: Možnosti musia byť platným DocType pre pole {1} v riadku {2}
Modules HTML,Moduly HTML
remove-sign,remove-znamenia
Full,plne
User Cannot Create,Používateľ sa nedá vytvoriť
You gained {0} point,Získali ste bod {0}
"If you set this, this Item will come in a drop-down under the selected parent.","Ak nastavíte túto položku, táto položka sa zobrazí v rozbaľovacej ponuke pod vybratým rodičom."
No Emails,Žiadne e-maily
Following fields are missing:,Chýbajú nasledujúce polia:
resize-full,veľkosť-full
You don't have permission to access this file,Nemáte povolenie na prístup k tomuto súboru
changed values for {0},zmenené hodnoty pre {0}
Project,projekt
Shared with user {0} with read access,Zdieľané s používateľom {0} s prístupom na čítanie
Send,odoslať
Show Calendar,Zobraziť kalendár
Web Form Fields,Polia webového formulára
_doctype,_doctype
User editable form on Website.,Formulár upraviteľný používateľom na webových stránkach.
Permanently Cancel {0}?,Trvale zrušiť {0}?
Option 3,Možnosť 3. \ T
Totals,súčty
This is a very common password.,Toto je veľmi bežné heslo.
Pending Approval,Čaká na schválenie
The document could not be correctly assigned,Dokument sa nedal správne priradiť
Not allowed for {0}: {1},Nie je povolené pre {0}: {1}
Personal Data Download Request,Požiadavka na prevzatie osobných údajov
{0} shared this document with {1},{0} zdieľa tento dokument s {1}
Select {0},Vyberte možnosť {0}
Advanced Search,pokročilé vyhľadávanie
New password emailed,Nové heslo e-mailom
Will only be shown if section headings are enabled,"Zobrazia sa len vtedy, keď sú povolené nadpisy sekcií"
Session Expiry Mobile,Session Expiry Mobile
Email Settings,Nastavenia e-mailu
Welcome to {0},Vitajte v {0}
Enable Shadows,Povoliť tiene
Delete,vymazať
{0} criticized on {1},{0} kritizované {1}
This email was sent to {0} and copied to {1},Tento e-mail bol odoslaný na číslo {0} a skopírovaný na číslo {1}
Invalid login or password,Nesprávne používateľské meno alebo heslo
Social Login Key,Sociálny prihlasovací kľúč
Filters saved,Filtre boli uložené
"How should this currency be formatted? If not set, will use system defaults","Ako by sa táto mena mala formátovať? Ak nie je nastavené, použije predvolené nastavenia systému"
{0}: {1} is set to state {2},{0}: {1} je nastavené na {2}
"If enabled, document views are tracked, this can happen multiple times","Ak je táto možnosť povolená, zobrazia sa zobrazenia dokumentov, čo sa môže stať viackrát"
DocField,DocField
Send Print as PDF,Odoslať ako PDF
Expiry time of QR Code Image Page,Čas vypršania QR kódu Image Page
Global Search,Globálne vyhľadávanie
Allow Print for Draft,Povoliť tlač konceptu
Use of sub-query or function is restricted,Použitie sub-dotazu alebo funkcie je obmedzené
Database Engine,Databázový stroj
Help,Pomoc
Configure Chart,Konfigurácia grafu
No template found at path: {0},Na ceste sa nenašla žiadna šablóna: {0}
Only Administrator can delete Email Queue,Frontu elektronickej pošty môže odstrániť iba správca
Push Update,Push Update
Letter Head Image,Obrázok hlavy
Dashboard Chart Source,Dashboard Graf Zdroj
darkgrey,tmavošedý
Dashboards,dashboardy
Top {0},Top {0}
{0}: {1} in {2},{0}: {1} v {2}
'In Global Search' not allowed for type {0} in row {1},„V globálnom vyhľadávaní“ nie je povolené pre typ {0} v riadku {1}
Scheduled To Send,Plánované odoslanie
"It seems that there is an issue with the server's stripe configuration. In case of failure, the amount will get refunded to your account.","Zdá sa, že existuje problém s konfiguráciou pruhu servera. V prípade zlyhania bude suma vrátená na váš účet."
Google Font,Písmo Google
Client Information,Informácie o klientovi
"Your subscription expired on {0}. To renew, {1}.","Vaše predplatné vypršalo dňa {0}. Obnoviť, {1}."
Value To Be Set,"Hodnota, ktorá má byť nastavená"
Snapshot View,Zobrazenie snímky
IN,IN
Desktop Background,Pozadie pracovnej plochy
Connection Name,Názov pripojenia
Permitted Documents For User,Povolené dokumenty pre používateľa
Download link for your backup will be emailed on the following email address: {0},Odkaz na stiahnutie pre vašu zálohu bude odoslaný e-mailom na nasledujúcu e-mailovú adresu: {0}
Full Page,Úplná stránka
Updated {0}: {1},Aktualizované {0}: {1}
Send me a copy,Pošlite mi kópiu
Blog Post,Príspevok v blogu
Workflow Action Name,Názov akcie pracovného toku
Add Group,Pridať skupinu
Mappings,mapovanie
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange","Štýl predstavuje farbu tlačidla: Úspech - zelená, nebezpečenstvo - červená, inverzná - čierna, primárna - tmavo modrá, informácia - svetlo modrá, výstraha - oranžová"
Invalid file path: {0},Neplatná cesta k súboru: {0}
Your password has been updated. Here is your new password,Vaše heslo bolo aktualizované. Tu je vaše nové heslo
Every Month,Každý mesiac
Precision,presnosť
Last Modified On,Posledná zmena zapnutá
Show Attachments,Zobraziť prílohy
Multiple root nodes not allowed.,Nie je povolené viacero koreňových uzlov.
Don't create new records,Nevytvárajte nové záznamy
Beginner,začiatočník
"For example: If you want to include the document ID, use {0}","Napríklad: Ak chcete zahrnúť ID dokumentu, použite {0}"
{0} has already assigned default value for {1}.,{0} už priradil predvolenú hodnotu pre {1}.
fullscreen,celá obrazovka
Allow Import (via Data Import Tool),Povoliť import (prostredníctvom nástroja na import údajov)
"The task {0}, that you assigned to {1}, has been closed by {2}.","Úloha {0}, ktorú ste priradili {1}, bola zatvorená {2}."
Show as cc,Zobraziť ako cc
Policy,politika
Integrations,integrácia
Hide footer in auto email reports,Skryť pätu v automatických e-mailových prehľadoch
Float,Plavák
Push Insert,Stlačte Insert
Rating,Rating
Email By Document Field,Pole E-mail podľa dokumentu
Totals Row,Celkový súčet
Website User,Užívateľ webových stránok
For User,Pre používateľa
Role Profile,Profil úlohy
Connector Name,Názov konektora
Is Active,Je aktívny
Append To,Pripojiť k
Invalid Link,Neplatný odkaz
Time Series,Časové rady
Background Image,Obrázok na pozadí
Top Reviewer,Top Reviewer
Restore Original Permissions,Obnoviť pôvodné povolenia
Please save the report first,Najprv uložte prehľad
Attach Print,Pripojiť tlač
Log of Scheduler Errors,Protokol chýb plánovača
Text to be displayed for Link to Web Page if this form has a web page. Link route will be automatically generated based on `page_name` and `parent_website_route`,"Text, ktorý sa má zobraziť pre prepojenie na webovú stránku, ak má tento formulár webovú stránku. Linka linky bude automaticky generovaná na základe `page_name` a` parent_website_route`"
Template ID,ID šablóny
Invalid recipient address,Neplatná adresa príjemcu
Duplicate Filter Name,Názov duplicitného filtra
align-center,ALIGN-centrum
Customization,prispôsobenie
New Print Format Name,Nový názov tlačového formátu
Error while evaluating Notification {0}. Please fix your template.,Chyba pri vyhodnocovaní oznámenia {0}. Opravte svoju šablónu.
Can Share,Môže zdieľať
Allow Roles,Povoliť role
Move To Trash,Presunúť do koša
Back to Desk,Späť na Pracovný stôl
Document Queued,Document Queued
PayPal Settings,Nastavenia služby PayPal
Is Folder,Je priečinok
Print Style,Štýl tlače
Defaults,predvolené
Forward,vpred
Event Participants,Účastníci podujatia
Email Status,Stav e-mailu
Google Maps integration,Integrácia služby Mapy Google
Do not edit headers which are preset in the template,"Neupravujte hlavičky, ktoré sú prednastavené v šablóne"
Workflow state represents the current state of a document.,Stav pracovného toku predstavuje aktuálny stav dokumentu.
Center,centrum
Male,Muž
Amount Based On Field,Množstvo založené na poli
Allow Edit,Povoliť úpravu
Select the label after which you want to insert new field.,"Vyberte štítok, po ktorom chcete vložiť nové pole."
Gateway Controller,Ovládač brány
New Connection,Nové pripojenie
New Activity,Nová aktivita
Unable to find attachment {0},Nepodarilo sa nájsť prílohu {0}
Fields Multicheck,Pole Multicheck
Timestamp,Časová značka
Website Theme,Téma webových stránok
Log of error on automated events (scheduler).,Záznam chyby na automatizovaných udalostiach (plánovač).
Looks like someone sent you to an incomplete URL. Please ask them to look into it.,"Zdá sa, že vám niekto odoslal neúplnú adresu URL. Prosím, požiadajte ich, aby sa na to pozreli."
All Images attached to Website Slideshow should be public,Všetky obrázky pripojené k prezentácii webových stránok by mali byť verejné
You can only upload upto 5000 records in one go. (may be less in some cases),Môžete nahrať až 5000 záznamov naraz. (v niektorých prípadoch môže byť menej)
Template,šablóna
Personal,osobné
Location,umiestnenia
No Data,Žiadne dáta
Website Meta Tag,Webová stránka Meta Tag
film,film
{0} Settings not found,{0} Nastavenia neboli nájdené
Label is mandatory,Označenie je povinné
Webhook Headers,Záhlavia Webhook
"Customized Formats for Printing, Email","Prispôsobené formáty pre tlač, e-mail"
Markdown,markdown
Miss,Chýbať
Allow Modules,Povoliť moduly
Slideshow Name,Názov prezentácie
Better add a few more letters or another word,Lepšie pridajte niekoľko ďalších písmen alebo iného slova
SMS,SMS
share-alt,share-alt
Workflow Action Master,Master akcie akcie
"Looks like something went wrong during the transaction. Since we haven't confirmed the payment, Paypal will automatically refund you this amount. If it doesn't, please send us an email and mention the Correlation ID: {0}.","Vyzerá to, že sa počas transakcie niečo pokazilo. Keďže sme platbu nepotvrdili, Paypal vám túto sumu automaticky vráti. Ak tomu tak nie je, pošlite nám e-mail a uveďte ID korelácie: {0}."
Message not setup,Správa nie je nastavená
Add code as &lt;script&gt;,Pridajte kód ako &lt;script&gt;
Refresh Token,Obnoviť Token
Seems API Key or API Secret is wrong !!!,"Zdá sa, že API kľúč alebo API tajné je nesprávne !!!"
Add to table,Pridať do tabuľky
'In List View' not allowed for type {0} in row {1},&#39;V zobrazení zoznamu&#39; nie je povolené pre typ {0} v riadku {1}
List of themes for Website.,Zoznam tém pre webové stránky.
Random,náhodný
Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,"Najmenšia jednotka cirkulujúcej frakcie (mince). Pre napr. 1 cent pre USD a treba ho zadať ako 0,01"
Passive,pasívny
PDF generation failed,Generovanie PDF zlyhalo
<p>No results found for '</p>,<p> Nenašli sa žiadne výsledky pre výraz „ </p>
Atleast one field of Parent Document Type is mandatory,Povinné je minimálne jedno pole Typ rodičovského dokumentu
Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType',Možnosti Pole „Dynamické prepojenie“ musí ukazovať na iné pole s možnosťami ako „DocType“
"If the condition is satisfied user will be rewarded with the points. eg. doc.status == 'Closed'
","Ak je podmienka splnená, užívateľ bude odmenený bodmi. eg. doc.status == &#39;Zatvorené&#39;"
App not found,Aplikácia sa nenašla
Internal Server Error,Interná chyba servera
Details,podrobnosti
Note,Poznámka
Please save the document before removing assignment,Pred odstránením priradenia dokument uložte
Recipient,príjemcu
Geolocation,Geolocation
text-width,text-šírka
Letter,písmeno
Verification Link,Overovacie prepojenie
Pay,platiť
Month,mesiac
"To stop sending repetitive error notifications from the system, we have checked Disabled field in the Auto Repeat document","Ak chcete zastaviť odosielanie opakovaných oznámení o chybách zo systému, v dokumente Auto Repeat sme v poli Auto Repeat označili políčko Disabled"
Add Multiple,Pridať viac
"To add dynamic subject, use jinja tags like

<div><pre><code>{{ doc.name }} Delivered</code></pre></div>","Ak chcete pridať dynamický predmet, použite značky jinja <div><pre> <code>{{ doc.name }} Delivered</code> </pre> </div>"
Addresses,Adresy
Number of DB Backups,Počet záloh DB
Web Page Link Text,Text odkazu na webovú stránku
You unfollowed this document,Tento dokument ste sledovali
cn-north-1,CN-sever-1
ca-central-1,ca-stredná-1
Share With,Zdieľať s
Field type cannot be changed for {0},Typ poľa nie je možné zmeniť pre {0}
Checking one moment,Kontrola jedného okamihu
End Time,Čas ukončenia
Search field {0} is not valid,Vyhľadávacie pole {0} nie je platné
Have an account? Login,Mať účet? Prihlásiť sa
on_trash,on_trash
New Name,Nový názov
Introduce your company to the website visitor.,Predstavte svoju spoločnosť návštevníkom stránky.
Activity,aktivita
Deleted DocType,Odstránené dokumenty DocType
If user is the owner,Ak je vlastníkom používateľ
Set Permissions,Nastaviť povolenia
Auto,auto
Attach Document Print,Pripojiť tlač dokumentu
just now,práve teraz
File '{0}' not found,Súbor &#39;{0}&#39; sa nenašiel
You do not have enough permissions to complete the action,Na dokončenie akcie nemáte dostatok povolení
App {0} is not installed,Aplikácia {0} nie je nainštalovaná
Show Dashboard,Zobraziť informačný panel
Add Contact,Pridať kontakt
Dropbox Access Secret,Dropbox Access Secret
This user's data cannot be requested for deletion,Údaje o používateľovi nie je možné požadovať na vymazanie
{0} from {1} to {2} in row #{3},{0} od {1} do {2} v riadku # {3}
Export not allowed. You need {0} role to export.,Export nie je povolený. Na export musíte mať rolu {0}.
User Cannot Search,Používateľ sa nedá vyhľadať
Search...,Vyhľadávanie...
Delete Data,Vymazať údaje
Edit Format,Upraviť formát
Source Text,Zdrojový text
Fraction,zlomok
Robots.txt,robots.txt
Preview Message,Náhľad správy
Max Attachment Size (in MB),Max. Veľkosť prílohy (v MB)
Rating: ,hodnotenie:
"If not set, the currency precision will depend on number format","Ak nie je nastavená, presnosť meny závisí od formátu čísla"
You don't have the permissions to access this document,Nemáte povolenia na prístup k tomuto dokumentu
Reference Party Doctype,Referenčná strana Doctype
Button Help,Tlačidlo Pomocník
Defines actions on states and the next step and allowed roles.,Definuje akcie na stavoch a ďalší krok a povolené role.
Replied,odpovedala
Email Rule,Pravidlo pre e-mail
Ignore XSS Filter,Ignorovať filter XSS
Auto assignment failed: {0},Automatické priradenie zlyhalo: {0}
Download Files Backup,Zálohovanie súborov
Set,nastaviť
Event end must be after start,Koniec udalosti musí byť po štarte
{0} to stop receiving emails of this type,{0} zastaviť prijímanie e-mailov tohto typu
gave {0} points,dal {0} bodov
Daily,denná
Custom?,Zvyk?
Username,užívateľské meno
Upgrade,upgrade
Append To can be one of {0},Pripojiť k môže byť {0}
pencil,ceruzka
Did not add,Nepridali
arrow-right,Šípka-right
Fetch attached images from document,Načítajte obrázky z dokumentu
Message clipped,Správa bola orezaná
Completed,dokončený
Permissions are automatically applied to Standard Reports and searches.,Povolenia sa automaticky aplikujú na štandardné prehľady a vyhľadávania.
Open Link,Otvoriť odkaz
All fields are necessary to submit the comment.,Všetky polia sú potrebné na odoslanie komentára.
Introduction,úvod
User Tags,Používateľské značky
"To add dynamic subject, use jinja tags like

<div><pre><code>New {{ doc.doctype }} #{{ doc.name }}</code></pre></div>","Ak chcete pridať dynamický predmet, použite značky jinja <div><pre> <code>New {{ doc.doctype }} #{{ doc.name }}</code> </pre> </div>"
Add Child,Pridať dieťa
New,Nový
Add all roles,Pridať všetky role
Transaction Hash,Transakcia Hash
Doc Status,Stav dokumentu
Allow Multiple,Povoliť viac
Repeat Header and Footer in PDF,Zopakujte hlavičku a pätu v PDF
Redirect URL,Adresa URL presmerovania
{0} rows for {1},{0} riadkov pre {1}
Week,týždeň
Sent or Received,Odoslané alebo prijaté
The system provides many pre-defined roles. You can add new roles to set finer permissions.,Systém poskytuje mnoho preddefinovaných rolí. Môžete pridať nové roly na nastavenie jemnejších povolení.
Instructions Emailed,Pokyny E-mailom
Execution Time: {0} sec,Čas realizácie: {0} sec
For {0} at level {1} in {2} in row {3},Pre {0} na úrovni {1} v {2} v rade {3}
Receiver Parameter,Parameter prijímača
Default Print Language,Predvolený jazyk tlače
Collapsible Depends On,Skladacia závisí od
Use TLS,Použite TLS
Show in Module Section,Zobraziť v časti Modul
LDAP Email Field,Pole LDAP Email
New Comment on {0}: {1},Nový komentár k {0}: {1}
Please setup a message first,Najprv nastavte správu
Session Expiry in Hours e.g. 06:00,"Ukončenie relácie v hodinách, napr"
"If Apply Strict User Permission is checked and User Permission is defined for a DocType for a User, then all the documents where value of the link is blank, will not be shown to that User","Ak je začiarknuté políčko Použiť prísne používateľské oprávnenie a pre používateľa je pre používateľa zadané povolenie používateľa, všetky dokumenty, v ktorých je hodnota odkazu prázdna, sa tomuto používateľovi nezobrazia"
Webhook URL,Webhook URL
Duplicate name {0} {1},Duplicitný názov {0} {1}
States,states
Logs,protokoly
Standings,poradie
Token,žetón
Not Published,Nezverejnené
Allow Bulk Edit,Povoliť hromadnú úpravu
Footer HTML,Päta HTML
Days Before or After,Dni pred alebo po
Property Setter overrides a standard DocType or Field property,Property Setter prepíše štandardnú vlastnosť DocType alebo Field
us-west-1,us-západ-1
Start Date Field,Pole Dátum začiatku
Every Week,Každý týždeň
"Your subscription expired on {0}. To renew, please send an email to {1}.","Vaše predplatné vypršalo dňa {0}. Ak chcete obnoviť, pošlite e-mail na adresu {1}."
fast-forward,rýchlo vpred
Post Comment,Odoslať komentár
Restart,Reštart
Custom Base URL,Vlastná základná adresa URL
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.",Ako najlepšiu prax neprideľujte rovnaké pravidlo povolenia rôznym rolám. Namiesto toho nastavte viacero rolí na toho istého používateľa.
Default,štandardné
Permanently delete {0}?,Trvalo odstrániť {0}?
Make {0},Značka {0}
Method,metóda
Round Robin,Kolo Robin
Image,obraz
Now,teraz
Editing Row,Úprava riadka
"e.g. ""Support"", ""Sales"", ""Jerry Yang""","napr. „Podpora“, „Predaj“, „Jerry Yang“"
Hostname,Meno hosťa
Hourly,hodinový
Oops! Something went wrong,Och! Niečo sa pokazilo
Fieldtype,Fieldtype
DocType can not be merged,DocType nie je možné zlúčiť
Click on the link below to verify your request,"Ak chcete overiť svoju žiadosť, kliknite na odkaz uvedený nižšie"
Recent years are easy to guess.,Posledné roky sa dajú ľahko odhadnúť.
Disable Signup,Zakázať registráciu
Remove Tag,Odstrániť značku
Show failed jobs,Zobraziť neúspešné úlohy
Button,gombík
Most Used,Najpoužívanejšie
In seconds,V sekundách
Gantt,Gantt
Brand HTML,Značka HTML
Data Import,Import údajov
Document Type to Track,Typ dokumentu na sledovanie
Write,zapísať
remove-circle,remove-kruh
th,th
chevron-left,krokva-left
Predictable substitutions like '@' instead of 'a' don't help very much.,Predpovedateľné substitúcie ako &#39;@&#39; namiesto &#39;a&#39; moc nepomôžu.
Color,farba
Row # ,Riadok #
volume-up,zvýšiť hlasitosť
Cancelled,zrušený
Email has been moved to trash,E-mail bol presunutý do koša
No Preview,Žiadny náhľad
Table updated,Tabuľka bola aktualizovaná
Another transaction is blocking this one. Please try again in a few seconds.,Ďalšia transakcia blokuje túto transakciu. Skúste to znova o niekoľko sekúnd.
You can use wildcard %,Môžete použiť zástupný znak%
Address Line 1,Riadok adresy 1
For Document Type,Pre Typ dokumentu
Data missing in table,Údaje chýbajú v tabuľke
Could not identify {0},Nepodarilo sa identifikovať {0}
This form has been modified after you have loaded it,Tento formulár bol upravený po jeho načítaní
Back to Login,Späť na Prihlásenie
Not Set,Nie je nastavené
Pull,Ťahať
Browse,prezerať
"Fields separated by comma (,) will be included in the ""Search By"" list of Search dialog box","Polia oddelené čiarkou (,) budú zahrnuté do zoznamu &quot;Hľadať podľa&quot; v dialógovom okne Hľadať"
Edit Custom HTML,Upraviť vlastné HTML
Assignment Rule,Pravidlo priradenia
Knowledge Base,Vedomostná základňa
Comment Email,E-mail s komentárom
Mr,Pán
Not allowed to Import,Nie je povolené importovať
Please do not change the rows above {0},Neupravujte riadky nad hodnotou {0}
GSuite test executed with success. GSuite integration is correctly configured,GSuite test vykonávaný s úspechom. Integrácia GSuite je správne nakonfigurovaná
Email Group,E-mailová skupina
Row {0}: Not allowed to disable Mandatory for standard fields,Riadok {0}: Nie je povolené zakázať povinné pre štandardné polia
Braintree Settings,Nastavenia Braintree
Cannot send this email. You have crossed the sending limit of {0} emails for this day.,Tento e-mail nie je možné odoslať. Pre tento deň ste prekročili limit odosielania e-mailov {0}.
fast-backward,vzad
Copyright,copyright
Description,popis
Please enable developer mode to create new connection,"Ak chcete vytvoriť nové pripojenie, povoľte režim vývojára"
Attached To DocType,Pripojené k DocType
Deleted,vypúšťa
Logged Out,Odhlasený
Updating,aktualizácie
Default Incoming,Predvolený vstup
Copy and paste this code into and empty Code.gs in your project at script.google.com,Skopírujte a prilepte tento kód do prázdneho kódu Code.gs vo vašom projekte na adrese script.google.com
Recurring,opakujúce sa
Invalid Password:,Nesprávne heslo:
{0} hours ago,{0} hodín
Expert,odborník
Single Types have only one record no tables associated. Values are stored in tabSingles,Jednotlivé typy nemajú len jeden záznam bez priradených tabuliek. Hodnoty sú uložené v záložkách tabSingles
Clear User Permissions,Vymazať povolenia používateľa
Self approval is not allowed,Vlastné schválenie nie je povolené
You don't have permission to get a report on: {0},Nemáte povolenie na získanie prehľadu o: {0}
Feedback Request,Požiadavka na spätnú väzbu
Notify Users On Every Login,Upozorniť používateľov na každé prihlásenie
Filter...,Filter ...
"To format columns, give column labels in the query.","Ak chcete formátovať stĺpce, zadajte v dotaze označenia stĺpcov."
First Success Message,Prvá správa o úspechu
{0} is a mandatory field,{0} je povinné pole
Illegal Document Status for {0},Stav nelegálneho dokumentu pre {0}
Submiting {0},Odoslanie {0}
To and CC,To a CC
Left this conversation,Túto konverzáciu opustili
Inbox,Doručená pošta
Expired,vypršala
Show tags,Zobraziť značky
Select Role,Vyberte Role
Edit in Full Page,Upraviť na celú stránku
Successfully updated translations,Preklady boli úspešne aktualizované
Option 2,Možnosť č
Missing parameters for login,Chýbajúce parametre pre prihlásenie
Chat Background,Pozadie konverzácie
Internal record of document shares,Interný záznam akcií dokumentu
Mandatory field: {0},Povinné pole: {0}
Unable to write file format for {0},Nepodarilo sa zapísať formát súboru pre {0}
Top Bar Items,Položky hornej lišty
"No need for symbols, digits, or uppercase letters.","Nie sú potrebné symboly, číslice ani veľké písmená."
Seen By,Videný
Update Translations,Aktualizovať preklady
"If checked, users will not see the Confirm Access dialog.","Ak je začiarknuté, používatelia nebudú vidieť dialógové okno Potvrdiť prístup."
Minimum Password Score,Minimálne skóre hesla
Child Table Mapping,Mapovanie detskej tabuľky
Email Account setup please enter your password for: ,Nastavenie e-mailového účtu zadajte svoje heslo pre:
Too many writes in one request. Please send smaller requests,Príliš veľa píše v jednej žiadosti. Pošlite menšie požiadavky
Salesforce,Salesforce
Tile,dlaždice
{0} room must have atmost one user.,{0} miestnosť musí mať jednu osobu.
Is Spam,Je spam
Complete Registration,Kompletná registrácia
Maintenance User,Používateľ údržby
Link to the page you want to open. Leave blank if you want to make it a group parent.,"Prepojenie na stránku, ktorú chcete otvoriť. Nechajte prázdne, ak chcete, aby bol rodičom skupiny."
Your organization name and address for the email footer.,Názov vašej organizácie a adresa pre pätu e-mailu.
"Please enter both your email and message so that we \
				can get back to you. Thanks!","Zadajte svoj e-mail a správu, aby sme sa k vám mohli vrátiť. Vďaka!"
Attempting to launch QZ Tray...,Pokus o spustenie zásobníka QZ ...
"Another {0} with name {1} exists, select another name","Iný {0} s menom {1} existuje, vyberte iné meno"
Offline,offline
Security Settings,Bezpečnostné nastavenia
Enable Print Server,Povoliť tlačový server
LDAP Not Installed,LDAP nie je nainštalovaný
Dropbox Access Key,Prístupový kľúč Dropbox
Search for anything,Vyhľadajte čokoľvek
Table Field,Pole tabuľky
CSV,CSV
Set Only Once,Nastaviť len raz
We have received a request for deletion of {0} data associated with: {1},Dostali sme žiadosť o vymazanie údajov {0} súvisiacich s: {1}
This report was generated {0}.,Tento prehľad bol vygenerovaný {0}.
Document Follow Notification,Oznámenie o dodržiavaní dokumentu
Fieldname,Názov poľa
FavIcon,favicon
Will be used in url (usually first name).,Použije sa v url (zvyčajne krstné meno).
Sum of {0},Súčet {0}
Plan Name,Názov plánu
No Label,Bez označenia
Use POST,Použiť POST
Region,kraj
"Use a few words, avoid common phrases.","Použite pár slov, vyhnite sa bežným frázam."
Save API Secret: ,Uložiť tajné rozhranie API:
"If these instructions where not helpful, please add in your suggestions on GitHub Issues.","Ak tieto pokyny nie sú nápomocné, pridajte prosím svoje návrhy na problémy GitHub."
folder-close,Zložka-close
Pull Update,Vytiahnite aktualizáciu
merged {0} into {1},zlúčil {0} do {1}
Enter url parameter for receiver nos,Zadajte parameter url pre prijímače č
Syntax error in template,Chyba syntaxe v šablóne
Please set filters value in Report Filter table.,Nastavte hodnotu filtrov v tabuľke Filter prehľadov.
Run,beh
Disable Report,Vypnúť prehľad
Authenticating...,Overovanie ...
Timeline Links,Odkazy časovej osi
Complete By,Dokončiť podľa
"Sorry, you're not authorized.","Je nám ľúto, nie ste autorizovaný."
In Days,V dňoch
Add Total Row,Pridať celkový riadok
Session Start Failed,Spustenie relácie zlyhalo
Custom HTML Help,Vlastná nápoveda HTML
Preferred Billing Address,Preferovaná fakturačná adresa
Assigned To,Priradený
Use Different Email Login ID,Použiť iné prihlasovacie ID e-mailu
"{0}: Cannot set Submit, Cancel, Amend without Write","{0}: Nie je možné nastaviť Odoslať, Zrušiť, Zmeniť bez zápisu"
