Connector Type,Liittimen tyyppi
Data Migration Plan Mapping,Tiedonsiirtosuunnitelman kartoitus
Sales User,Myyntikäyttäjä
"Change field properties (hide, readonly, permission etc.)","Muuta kenttäominaisuuksia (piilottaa, lukea vain, lupa jne.)"
Field Name,Kenttä nimi
Font Size,Fonttikoko
Date and Number Format,Päivämäärä ja numeromuoto
Exception,poikkeus
Single DocTypes cannot be customized.,Yksittäisiä DocTypes-ohjelmia ei voi muokata.
Knowledge Base Editor,Knowledge Base -editori
Precision should be between 1 and 6,Tarkkuuden tulisi olla 1 - 6
Row {0}: Not allowed to enable Allow on Submit for standard fields,Rivi {0}: Ei sallita Salli lähetyksessä standardikentille
Daily Event Digest is sent for Calendar Events where reminders are set.,"Daily Event Digest lähetetään kalenteritapahtumiin, joissa on muistutuksia."
Not allowed for {0}: {1} in Row {2}. Restricted field: {3},Ei sallittu {0}: {1} rivillä {2}. Rajoitettu kenttä: {3}
Blue,Sininen
In Valid Request,Virheellinen pyyntö
Page not found,Sivua ei löydetty
Authorization Code,Valtuutuskoodi
Search Fields,Hae kentät
Module Path,Moduulin polku
In Grid View,Ruudukkonäkymässä
hand-up,käsi ylös
"Always add ""Draft"" Heading for printing draft documents",Lisää aina &quot;Luonnos&quot; -otsikko asiakirjojen tulostamiseen
Salutation,Tervehdys
No default Address Template found. Please create a new one from Setup &gt; Printing and Branding &gt; Address Template.,Ei oletushakemistomallia. Luo uusi asetus Setup&gt; Printing and Branding&gt; Address Template.
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,Lisää Google Analytics -tunnus: esim. UA-89XXX57-1. Saat lisätietoja Google Analyticsin ohjeista.
Permissions,käyttöoikeudet
Export Report: ,Vie raportti:
Other,muut
Previous,Edellinen
ok,kunnossa
Already in user's To Do list,Jo käyttäjän tehtäväluettelossa
Allow only one session per user,Salli vain yksi istunto per käyttäjä
View this in your browser,Tarkastele tätä selaimessasi
{0} shared this document with everyone,{0} jakoi tämän asiakirjan kaikkien kanssa
Options,vaihtoehdot
Error: Document has been modified after you have opened it,Virhe: Asiakirjaa on muutettu sen avaamisen jälkeen
Home Address is required,Kotiosoite vaaditaan
Contact Us Settings,Ota yhteyttä Asetukset
Not Descendants Of,Ei jälkeläisiä
Liked By,Halunnut
Configure your google calendar integration,Määritä Google-kalenterin integrointi
Email has been marked as spam,Sähköposti on merkitty roskapostiksi
New Password Required.,Uusi salasana vaaditaan.
Field,Ala
Client,Asiakas
Will be your login ID,Tulee kirjautumistunnuksesi
Recurring Documents Failed,Toistuvat asiakirjat epäonnistuivat
List of backups available for download,Luettelo ladattavista varmuuskopioista
Hide Sidebar and Menu,Piilota sivupalkki ja valikko
Workflow State {0} is not allowed,Työnkulun tila {0} ei ole sallittua
Reference Name,Viitenimi
Create Chart,Luo kaavio
Desk,Vastaanotto
bookmark,kirjanmerkki
Max Length,Maksimi pituus
No comments yet. Start a new discussion.,Ei vielä kommentteja. Aloita uusi keskustelu.
Mandatory,Pakollinen
User {0} cannot be deleted,Käyttäjää {0} ei voi poistaa
Select records for assignment,Valitse tietueet tehtäväksi
Usage Info,Käyttötiedot
Primary Color,Ensisijainen väri
Last Updated By,Viimeksi päivitetty
Do not send Emails,Älä lähetä sähköpostia
{0} appreciated your work on {1} with {2} point,{0} arvosti työtäsi {1} {2} -pisteellä
{app_title},{APP_TITLE}
Cancelling,peruuttaminen
Group Node,Ryhmäsolmu
Merge with existing,Yhdistä olemassa oleviin
Blog Intro,Blogi Intro
New Mention,Uusi maininta
Report Name,Raportin nimi
Please refresh to get the latest document.,Päivitä saat uusimman asiakirjan.
Close,kiinni
Insert Above,Aseta yläpuolelle
and,ja
Webhooks calling API requests into web apps,Webhooks kutsuu API-pyyntöjä web-sovelluksiksi
Event,Tapahtuma
Access Token URL,Käytä tunnuksen URL-osoitetta
Please set Dropbox access keys in your site config,Aseta Dropbox-käyttöavaimet sivustosi asetuksiin
Reset Password Key,Nollaa salasana
Modified By,Muokannut
Bio,Bio
"To renew, {0}.",Uudistaa {0}.
Folder,Kansio
Perm Level,Perm-taso
Page Settings,Sivun asetukset
No Permissions Specified,Ei oikeuksia määritetty
1 comment,1 kommentti
ID (name) of the entity whose property is to be set,"Tunnus (nimi) sen yksikön, jonka ominaisuus on asetettava"
Deleting {0},{0} poistaminen
With Letter head,Kirjaimella
API Secret,API-salaisuus
on_submit,on_submit
Message,Viesti
"If enabled, the document is marked as seen, the first time a user opens it","Jos tämä on käytössä, asiakirja on merkitty nähtynä, kun käyttäjä avaa ensimmäisen kerran"
Connected to QZ Tray!,Liitetty QZ-kasettiin!
Max Attachments,Max Liitteet
Add Column,Lisää sarake
This is an automatically generated reply,Tämä on automaattisesti luotu vastaus
This Currency is disabled. Enable to use in transactions,Tämä valuutta on poistettu käytöstä. Ota käyttöön tapahtumissa
Pyver,Pyver
Fail,epäonnistua
Letter Head,Kirje pää
Local Fieldname,Paikallinen kentänimi
Adds a client custom script to a DocType,Lisää asiakaskomentosarjan DocTypeen
All,Kaikki
Modules HTML,Moduulit HTML
remove-sign,poista-merkki
Full,Koko
User Cannot Create,Käyttäjä ei voi luoda
You gained {0} point,Sait {0} pisteen
"If you set this, this Item will come in a drop-down under the selected parent.","Jos asetat tämän, tämä kohta tulee pudotusvalikkoon valitun vanhemman alla."
No Emails,Ei sähköpostiviestejä
Following fields are missing:,Seuraavat kentät puuttuvat:
resize-full,kokoa täynnä
You don't have permission to access this file,Sinulla ei ole lupaa käyttää tätä tiedostoa
changed values for {0},muutti arvoja {0}
Project,projekti
Shared with user {0} with read access,Jaettu käyttäjän {0} kanssa lukukäytöllä
Send,Lähettää
Show Calendar,Näytä kalenteri
Web Form Fields,Web-lomakekentät
_doctype,_doctype
User editable form on Website.,Käyttäjän muokattavissa oleva lomake verkkosivustolla.
Permanently Cancel {0}?,Peruuta {0} pysyvästi?
Option 3,Vaihtoehto 3
Totals,Summat
This is a very common password.,Tämä on hyvin yleinen salasana.
Pending Approval,Odottaa hyväksyntää
The document could not be correctly assigned,Asiakirjaa ei voitu määrittää oikein
Not allowed for {0}: {1},Ei sallittu {0}: {1}
Personal Data Download Request,Henkilötietojen latauspyyntö
{0} shared this document with {1},{0} jakoi tämän asiakirjan {1}
Select {0},Valitse {0}
Advanced Search,Tarkennettu Haku
New password emailed,Uusi salasana lähetetään sähköpostitse
Will only be shown if section headings are enabled,"Näytetään vain, jos osion otsikot ovat käytössä"
Session Expiry Mobile,Istunnon päättyminen Mobile
Email Settings,Sähköpostiasetukset
Welcome to {0},Tervetuloa {0}
Enable Shadows,Ota varjot käyttöön
Delete,Poistaa
{0} criticized on {1},{0} arvosteltu {1}
This email was sent to {0} and copied to {1},Tämä sähköposti lähetettiin osoitteeseen {0} ja kopioitiin {1}
Invalid login or password,väärä käyttäjätunnus tai salasana
Social Login Key,Sosiaalinen kirjautumistunnus
Filters saved,Suodattimet on tallennettu
"How should this currency be formatted? If not set, will use system defaults","Miten tämä valuutta tulisi alustaa? Jos asetusta ei ole asetettu, käytetään järjestelmän oletusarvoja"
{0}: {1} is set to state {2},{0}: {1} on asetettu tilaan {2}
"If enabled, document views are tracked, this can happen multiple times","Jos tämä on käytössä, asiakirjanäkymiä seurataan, tämä voi tapahtua useita kertoja"
DocField,DocField
Send Print as PDF,Lähetä tulostus PDF-muodossa
Expiry time of QR Code Image Page,QR-koodikuvan sivun vanhentumisaika
Global Search,Global Search
Allow Print for Draft,Salli tulostus vedoksi
Use of sub-query or function is restricted,Sub-kyselyn tai toiminnon käyttö on rajoitettu
Database Engine,Tietokannan moottori
Help,auta
Configure Chart,Määritä kaavio
No template found at path: {0},Reitillä ei löytynyt mallia: {0}
Only Administrator can delete Email Queue,Vain järjestelmänvalvoja voi poistaa sähköpostiviestin
Push Update,Push-päivitys
Letter Head Image,Letter Head Image
Dashboard Chart Source,Dashboard Chart Source
darkgrey,tummanharmaa
Dashboards,mittaristot
Top {0},Ylös {0}
{0}: {1} in {2},{0}: {1} {2}
'In Global Search' not allowed for type {0} in row {1},&#39;In Global Search&#39; ei ole sallittu tyypissä {0} rivillä {1}
Scheduled To Send,Ajastettu lähetettäväksi
"It seems that there is an issue with the server's stripe configuration. In case of failure, the amount will get refunded to your account.","Näyttää siltä, että palvelimen raitakokoonpanossa on ongelma. Jos vika ei onnistu, summa palautetaan tilillesi."
Google Font,Google-fontti
Client Information,Asiakastiedot
"Your subscription expired on {0}. To renew, {1}.",Tilaus päättyi {0}. Uudistaa {1}.
Value To Be Set,Asetettava arvo
Snapshot View,Yksittäiskuvanäkymä
IN,SISÄÄN
Desktop Background,Työpöydän tausta
Connection Name,Yhteyden nimi
Permitted Documents For User,Käyttäjän sallitut asiakirjat
Download link for your backup will be emailed on the following email address: {0},Varmuuskopion latauslinkki lähetetään sähköpostitse seuraavaan sähköpostiosoitteeseen: {0}
Full Page,Täysi sivu
Updated {0}: {1},Päivitetty {0}: {1}
Send me a copy,Lähetä minulle kopio
Blog Post,Blogipostaus
Workflow Action Name,Työnkulun toiminnan nimi
Add Group,Lisää ryhmä
Mappings,kartoituksia
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange","Tyyli edustaa painikkeen väriä: menestys - vihreä, vaara - punainen, käänteinen - musta, ensisijainen - tummansininen, Info - vaaleansininen, varoitus - oranssi"
Invalid file path: {0},Virheellinen tiedoston polku: {0}
Your password has been updated. Here is your new password,Salasanasi on päivitetty. Tässä on uusi salasana
Every Month,Joka kuukausi
Precision,Tarkkuus
Last Modified On,Viimeksi muokattu
Hide field in Standard Print Format,Piilota kenttä tavallisessa tulostusmuodossa
Show Attachments,Näytä liitteet
Multiple root nodes not allowed.,Useita root-solmuja ei sallita.
Don't create new records,Älä luo uusia tietueita
Beginner,Aloittelija
"For example: If you want to include the document ID, use {0}","Esimerkiksi: Jos haluat lisätä asiakirjan tunnuksen, käytä {0}"
{0} has already assigned default value for {1}.,{0} on jo määrittänyt oletusarvon {1}.
fullscreen,koko näyttö
Allow Import (via Data Import Tool),Salli tuonti (Data Import Tool)
"The task {0}, that you assigned to {1}, has been closed by {2}.",{2}: n {1} määrittämä tehtävä on suljettu {2}.
Show as cc,Näytä kuin cc
Policy,politiikka
Integrations,integraatiot
Hide footer in auto email reports,Piilota alatunniste automaattisissa sähköpostiraporteissa
Float,Kellua
Push Insert,Push Insert
Rating,luokitus
Email By Document Field,Sähköposti asiakirjan kentän kautta
Totals Row,Yht. Riv
Website User,Verkkosivuston käyttäjä
For User,Käyttäjälle
Role Profile,Rooliprofiili
Connector Name,Liittimen nimi
Is Active,On aktiivinen
Append To,Liitä
Invalid Link,Linkki ei toimi
Time Series,Aikasarja
Background Image,Taustakuva
Top Reviewer,Suosituin arvioija
Restore Original Permissions,Palauta alkuperäiset käyttöoikeudet
Please save the report first,Tallenna raportti ensin
Attach Print,Liitä tulostus
Log of Scheduler Errors,Ajastimen virheiden loki
Text to be displayed for Link to Web Page if this form has a web page. Link route will be automatically generated based on `page_name` and `parent_website_route`,"Linkki Web-sivulle näytettävä teksti, jos lomakkeella on Web-sivu. Linkkireitti luodaan automaattisesti `page_name`: n ja` parent_website_route`: n perusteella"
Template ID,Mallin tunnus
Invalid recipient address,Virheellinen vastaanottajan osoite
Duplicate Filter Name,Monista suodattimen nimi
align-center,Kohdista-keskus
Customization,Räätälöinti
New Print Format Name,Uusi tulostusmuoto
Error while evaluating Notification {0}. Please fix your template.,Virhe arvioitaessa ilmoitusta {0}. Korjaa malli.
Can Share,Voi jakaa
Allow Roles,Salli roolit
Move To Trash,Siirtää roskakoriin
Back to Desk,Takaisin työpöydälle
Document Queued,Asiakirjan jonossa
PayPal Settings,PayPalin asetukset
Is Folder,Onko kansio
Print Style,Tulosta tyyli
Defaults,Oletukset
Forward,Eteenpäin
Event Participants,Tapahtuman osanottajat
Email Status,Sähköpostin tila
Google Maps integration,Google Mapsin integrointi
Do not edit headers which are preset in the template,"Älä muokkaa otsakkeita, jotka on asetettu malliin"
Workflow state represents the current state of a document.,Työnkulun tila edustaa asiakirjan nykyistä tilaa.
Center,Keskusta
Male,Uros
Amount Based On Field,Määrä perustuu kenttään
Allow Edit,Salli muokkaus
Select the label after which you want to insert new field.,"Valitse tarra, jonka jälkeen haluat lisätä uuden kentän."
Gateway Controller,Gateway-ohjain
New Connection,Uusi yhteys
New Activity,Uusi toiminta
Unable to find attachment {0},Liitteen {0} löytäminen ei onnistu
Fields Multicheck,Kentät Multicheck
Timestamp,Aikaleima
Website Theme,Verkkosivuston teema
Log of error on automated events (scheduler).,Virhe automatisoiduissa tapahtumissa (ajoittaja).
Looks like someone sent you to an incomplete URL. Please ask them to look into it.,"Näyttää siltä, että joku lähetti sinulle epätäydellisen URL-osoitteen. Pyydä heitä tutkimaan sitä."
All Images attached to Website Slideshow should be public,Kaikkien Web-diaesitykseen liitettyjen kuvien tulisi olla julkisia
You can only upload upto 5000 records in one go. (may be less in some cases),Voit ladata vain 5000 tietuetta yhdellä kertaa. (voi olla joissakin tapauksissa vähemmän)
Template,Sapluuna
Personal,henkilökohtainen
Location,Sijainti
No Data,Ei dataa
Website Meta Tag,Verkkosivujen metatunniste
film,elokuva
{0} Settings not found,{0} Asetuksia ei löytynyt
Label is mandatory,Tarra on pakollinen
Webhook Headers,Webhook-otsikot
"Customized Formats for Printing, Email","Mukautetut tulostusmuodot, sähköposti"
Markdown,hinnanalennus
Miss,neiti
Allow Modules,Salli moduulit
Slideshow Name,Diaesityksen nimi
Better add a few more letters or another word,Lisää pari muuta kirjainta tai muuta sanaa
SMS,tekstiviesti
share-alt,osake-alt
Workflow Action Master,Workflow Action Master
"Looks like something went wrong during the transaction. Since we haven't confirmed the payment, Paypal will automatically refund you this amount. If it doesn't, please send us an email and mention the Correlation ID: {0}.","Näyttää siltä, että jokin tapahtui väärin tapahtuman aikana. Koska emme ole vahvistaneet maksua, Paypal palauttaa tämän summan automaattisesti. Jos näin ei ole, lähetä meille sähköpostia ja mainitse vastaavuustunnus: {0}."
Message not setup,Viesti ei ole asetettu
Add code as &lt;script&gt;,Lisää koodi &lt;script&gt;
Refresh Token,Päivitä token
Seems API Key or API Secret is wrong !!!,Näyttää API-avaimen tai API-salaisuuden olevan väärin!
Add to table,Lisää taulukkoon
'In List View' not allowed for type {0} in row {1},&#39;In List View&#39; ei ole sallittu tyypille {0} rivillä {1}
List of themes for Website.,Luettelo verkkosivuston teemoista.
Random,satunnainen
Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,"Pienin kiertävä fraktioyksikkö (kolikko). Esimerkiksi 1 senttiä dollaria kohden ja se tulee syöttää 0,01"
Passive,Passiivinen
PDF generation failed,PDF-sukupolvi epäonnistui
Atleast one field of Parent Document Type is mandatory,Atleastin yksi asiakirjatyypin kenttä on pakollinen
Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType',"Vaihtoehtojen Dynamic Link -tyypin kentän on osoitettava toiseen linkkikenttään, jossa on vaihtoehtoja &quot;DocType&quot;"
"If the condition is satisfied user will be rewarded with the points. eg. doc.status == 'Closed'
","Jos ehto on tyytyväinen, käyttäjä palkitaan pisteillä. esimerkiksi. doc.status == &#39;Suljettu&#39;"
App not found,Sovellusta ei löytynyt
Internal Server Error,Sisäinen palvelinvirhe
Details,Yksityiskohdat
Note,Huomautus
Please save the document before removing assignment,Tallenna asiakirja ennen poistamisen poistamista
Recipient,vastaanottaja
Geolocation,Geolocation
text-width,text-leveys
Letter,kirjain
Verification Link,Vahvistuslinkki
Pay,Maksaa
Month,Kuukausi
"To stop sending repetitive error notifications from the system, we have checked Disabled field in the Auto Repeat document",Voit lopettaa toistuvien virheilmoitusten lähettämisen järjestelmästä valitsemalla Auto Repeat -asiakirjassa Disabled-kentän
Add Multiple,Lisää useita
"To add dynamic subject, use jinja tags like

<div><pre><code>{{ doc.name }} Delivered</code></pre></div>","Jos haluat lisätä dynaamista kohdetta, käytä jinja-tunnisteita <div><pre> <code>{{ doc.name }} Delivered</code> </pre> </div>"
Addresses,osoitteet
Number of DB Backups,DB-varmuuskopioiden määrä
Web Page Link Text,Web-sivun linkin teksti
You unfollowed this document,Olet poistanut tämän asiakirjan
cn-north-1,cn-pohjois-1
ca-central-1,ca-Keski-1
Share With,Jakaa
Field type cannot be changed for {0},Kenttätyyppiä ei voi muuttaa {0}
Checking one moment,Tarkistetaan yksi hetki
End Time,Loppu aika
Search field {0} is not valid,Hakukenttä {0} ei ole kelvollinen
Have an account? Login,On tili? Kirjaudu sisään
on_trash,on_trash
New Name,Uusi nimi
Introduce your company to the website visitor.,Esittele yrityksesi verkkosivuston kävijälle.
Activity,aktiviteetti
Deleted DocType,Poistettu DocType
If user is the owner,Jos käyttäjä on omistaja
Set Permissions,Aseta käyttöoikeudet
Auto,Auto
Attach Document Print,Liitä asiakirjan tulostus
just now,juuri nyt
File '{0}' not found,Tiedostoa &#39;{0}&#39; ei löytynyt
You do not have enough permissions to complete the action,"Sinulla ei ole tarpeeksi oikeuksia, kun haluat suorittaa toiminnon"
App {0} is not installed,Sovellusta {0} ei ole asennettu
Show Dashboard,Näytä kojelauta
Add Contact,Lisää yhteystieto
Dropbox Access Secret,Dropbox Access Secret
This user's data cannot be requested for deletion,Tämän käyttäjän tietoja ei voi pyytää poistettavaksi
Export not allowed. You need {0} role to export.,Vienti ei ole sallittua. Tarvitset {0} roolin vientiin.
User Cannot Search,Käyttäjä ei voi etsiä
Search...,Hae...
Delete Data,Poista tiedot
Edit Format,Muokkaa muotoa
Source Text,Lähdeteksti
Fraction,jae
Robots.txt,robots.txt
Preview Message,Esikatselu
Max Attachment Size (in MB),Suurin liitetiedoston koko (MB)
Rating: ,Arvostelu:
"If not set, the currency precision will depend on number format","Jos sitä ei ole asetettu, valuutan tarkkuus riippuu numeromuodosta"
You don't have the permissions to access this document,Sinulla ei ole oikeuksia käyttää tätä asiakirjaa
Reference Party Doctype,Viittauspuoli Doctype
Button Help,Painikkeen ohje
Defines actions on states and the next step and allowed roles.,Määrittää toimet tiloihin ja seuraavaan vaiheeseen ja sallittuihin rooleihin.
Replied,vastasi
Email Rule,Sähköposti sääntö
Ignore XSS Filter,Ohita XSS-suodatin
Auto assignment failed: {0},Automaattinen määritys epäonnistui: {0}
Download Files Backup,Lataa tiedostojen varmuuskopio
Set,Sarja
Event end must be after start,Tapahtuman lopussa on oltava käynnistyksen jälkeen
{0} to stop receiving emails of this type,{0} lopettaa tämän tyyppisten sähköpostiviestien vastaanottamisen
gave {0} points,antoi {0} pistettä
Daily,Päivittäin
Custom?,Custom?
Username,Käyttäjätunnus
Upgrade,parantaa
Append To can be one of {0},Liitä kohteeseen voi olla {0}
pencil,lyijykynä
Did not add,Ei lisätty
arrow-right,arrow-right
Fetch attached images from document,Hae liitteenä olevat kuvat dokumentista
Message clipped,Viesti leikattu
Completed,valmistunut
Permissions are automatically applied to Standard Reports and searches.,Käyttöoikeuksia käytetään automaattisesti vakioraportteihin ja hakuihin.
Open Link,Avaa linkki
All fields are necessary to submit the comment.,Kaikki kentät ovat tarpeen kommentin lähettämiseksi.
Introduction,esittely
User Tags,Käyttäjän tunnisteet
"To add dynamic subject, use jinja tags like

<div><pre><code>New {{ doc.doctype }} #{{ doc.name }}</code></pre></div>","Jos haluat lisätä dynaamista kohdetta, käytä jinja-tunnisteita <div><pre> <code>New {{ doc.doctype }} #{{ doc.name }}</code> </pre> </div>"
Add Child,Lisää lapsi
New,Uusi
Add all roles,Lisää kaikki roolit
Transaction Hash,Transaction Hash
Doc Status,Doc-tila
Allow Multiple,Salli useita
Repeat Header and Footer in PDF,Toista otsikko ja alatunniste PDF-muodossa
Redirect URL,Uudelleenohjaus-URL-osoite
{0} rows for {1},{0} riviä {1}
Week,Viikko
Sent or Received,Lähetetty tai vastaanotettu
The system provides many pre-defined roles. You can add new roles to set finer permissions.,Järjestelmä tarjoaa monia ennalta määriteltyjä rooleja. Voit lisätä uusia rooleja tarkempien oikeuksien määrittämiseen.
Instructions Emailed,Ohjeet lähetetään sähköpostitse
Execution Time: {0} sec,Suoritusaika: {0} sek
For {0} at level {1} in {2} in row {3},{0} tasolla {1} {2} rivillä {3}
Receiver Parameter,Vastaanottimen parametri
Default Print Language,Tulostuksen oletuskieli
Collapsible Depends On,Kokoontaitettava riippuu
Use TLS,Käytä TLS: ää
Show in Module Section,Näytä moduuliosassa
LDAP Email Field,LDAP-sähköpostikenttä
New Comment on {0}: {1},Uusi kommentti {0}: {1}
Please setup a message first,Aseta ensin viesti
Session Expiry in Hours e.g. 06:00,Istunnon päättyminen tunneissa esim. 06:00
"If Apply Strict User Permission is checked and User Permission is defined for a DocType for a User, then all the documents where value of the link is blank, will not be shown to that User","Jos käyttäjälle on valittuna Käytä tiukkaa käyttäjän lupaa ja määritetty DocType-käyttöoikeus, kaikki asiakirjat, joissa linkin arvo on tyhjä, ei näy kyseiselle käyttäjälle"
Webhook URL,Webhook-URL-osoite
Duplicate name {0} {1},Kaksoisnimi {0} {1}
States,valtiot
Logs,lokit
Standings,sijoitukset
Token,symbolinen
Not Published,Ei julkaistu
Allow Bulk Edit,Salli joukkomäärän muokkaus
Footer HTML,Alatunniste HTML
Days Before or After,Päiviä ennen tai jälkeen
Property Setter overrides a standard DocType or Field property,Ominaisuussetteri ohittaa tavallisen DocType- tai Field-ominaisuuden
us-west-1,us-länsi-1
Start Date Field,Aloituspäivän kenttä
Every Week,Joka viikko
"Your subscription expired on {0}. To renew, please send an email to {1}.","Tilaus päättyi {0}. Jos haluat uusia, lähetä sähköpostia osoitteeseen {1}."
fast-forward,pikakelaus eteenpäin
Post Comment,Lähetä Kommentti
Restart,Uudelleenkäynnistää
Custom Base URL,Mukautettu perus-URL-osoite
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.","Parhaana käytäntönä, älä määritä samaa lupasääntöä eri rooleille. Aseta sen sijaan useampi rooli samalle käyttäjälle."
Default,oletusarvo
Permanently delete {0}?,Poista {0} pysyvästi?
Method,Menetelmä
Round Robin,Pyöreä Robin
Image,Kuva
Now,Nyt
Editing Row,Rivin muokkaaminen
"e.g. ""Support"", ""Sales"", ""Jerry Yang""","esim. &quot;Tuki&quot;, &quot;Myynti&quot;, &quot;Jerry Yang&quot;"
Hostname,hostname
Hourly,tunti-
Allow field to remain editable even after submission,Salli kenttä pysyä muokattavana myös jättämisen jälkeen
Oops! Something went wrong,Oho! Jotain meni pieleen
Fieldtype,Fieldtype
DocType can not be merged,DocTypeä ei voi yhdistää
Click on the link below to verify your request,Vahvista pyyntösi napsauttamalla alla olevaa linkkiä
Recent years are easy to guess.,Viime vuosina on helppo arvata.
Disable Signup,Poista kirjaus käytöstä
Remove Tag,Poista tägi
Show failed jobs,Näytä epäonnistuneet työt
Button,nappi
Most Used,Eniten käytetty
In seconds,Sekunneissa
Gantt,Gantt
Help: Field Properties,Ohje: Kenttäominaisuudet
Brand HTML,Tuotemerkki HTML
Data Import,Tietojen tuonti
Document Type to Track,Asiakirjan tyyppi raidalle
Write,Kirjoittaa
remove-circle,poistaa ympyrän
th,th
chevron-left,Chevron-vasen
Predictable substitutions like '@' instead of 'a' don't help very much.,"Ennustettavissa olevat korvaukset, kuten &#39;@&#39; &#39;a&#39;: n sijaan, eivät auta kovinkaan paljon."
Color,Väri
Row # ,Rivi #
volume-up,ääni kovemmalle
Cancelled,peruttu
Email has been moved to trash,Sähköposti on siirretty roskakoriin
No Preview,Ei esikatselua
Table updated,Taulukko on päivitetty
Another transaction is blocking this one. Please try again in a few seconds.,Toinen tapahtuma estää tämän. Yritä uudelleen muutaman sekunnin kuluttua.
You can use wildcard %,Voit käyttää metakorttia%
Address Line 1,Osoiterivi 1
For Document Type,Asiakirjan tyyppi
Data missing in table,Tiedot puuttuvat taulukosta
Could not identify {0},{0} ei voitu tunnistaa
This form has been modified after you have loaded it,Tätä lomaketta on muutettu sen lataamisen jälkeen
Back to Login,Takaisin sisäänkirjautumiseen
Not Set,Ei valittu
Pull,Vedä
Browse,selailla
"Fields separated by comma (,) will be included in the ""Search By"" list of Search dialog box","Kentät, jotka on erotettu pilkulla (,), sisällytetään Search-valintaikkunan &quot;Search By&quot; -luetteloon"
Edit Custom HTML,Muokkaa mukautettua HTML-koodia
Assignment Rule,Määrittelysääntö
Knowledge Base,Tietopohja
Comment Email,Kommentti Sähköposti
Mr,Herra
Not allowed to Import,Ei sallittu tuoda
Please do not change the rows above {0},Älä muuta {0} yläpuolella olevia rivejä
GSuite test executed with success. GSuite integration is correctly configured,GSuite-testi suoritetaan onnistuneesti. GSuite-integrointi on määritetty oikein
Email Group,Sähköpostiryhmä
Row {0}: Not allowed to disable Mandatory for standard fields,Rivi {0}: Ei ole sallittua poistaa pakollisia standardikentillä
Braintree Settings,Braintree-asetukset
Show a description below the field,Näytä kentän alla oleva kuvaus
Cannot send this email. You have crossed the sending limit of {0} emails for this day.,Tätä sähköpostia ei voi lähettää. Olet ylittänyt {0} sähköpostiviestien lähetysrajan tälle päivälle.
fast-backward,Nopeasti taaksepäin
Copyright,tekijänoikeus
Description,Kuvaus
Please enable developer mode to create new connection,Luo kehitystila luomaan uusi yhteys
Attached To DocType,Liitteenä DocType
Deleted,poistettu
Logged Out,Kirjautunut ulos
Updating,päivittäminen
Default Incoming,Oletus saapuva
Copy and paste this code into and empty Code.gs in your project at script.google.com,Kopioi ja liitä koodi koodiin ja tyhjennä projektin koodit script.google.com
Recurring,toistuva
Invalid Password:,Väärä salasana:
{0} hours ago,{0} tuntia sitten
Expert,Asiantuntija
Single Types have only one record no tables associated. Values are stored in tabSingles,Yksittäisillä tyypeillä ei ole yhtään taulukkoa. Arvot tallennetaan välilehtiSingles
Clear User Permissions,Tyhjennä käyttäjäoikeudet
Self approval is not allowed,Itsehyväksyntä ei ole sallittua
You don't have permission to get a report on: {0},Sinulla ei ole lupaa saada raporttia osoitteesta: {0}
Feedback Request,Palautuspyyntö
Notify Users On Every Login,Ilmoita käyttäjille jokaisesta kirjautumisesta
Filter...,Suodattaa...
"To format columns, give column labels in the query.","Jos haluat muotoilla sarakkeita, anna kyselyn sarakkeen tarrat."
First Success Message,Ensimmäinen menestysviesti
{0} is a mandatory field,{0} on pakollinen kenttä
Illegal Document Status for {0},Laiton asiakirjan tila {0}
Submiting {0},Lähettäminen {0}
To and CC,To CC ja CC
Left this conversation,Poisti tämän keskustelun
Inbox,Saapuneet
Expired,Vanhentunut
Show tags,Näytä tunnisteet
Select Role,Valitse Role
Edit in Full Page,Muokkaa koko sivulla
Successfully updated translations,Käännökset päivitetty onnistuneesti
Option 2,Vaihtoehto 2
Missing parameters for login,Puuttuvat parametrit kirjautumiseen
Chat Background,Chat-tausta
Internal record of document shares,Asiakirjaosakkeiden sisäinen kirjaus
Mandatory field: {0},Pakollinen kenttä: {0}
Unable to write file format for {0},Tiedoston muotoa {0} ei voi kirjoittaa
Top Bar Items,Suosituimmat palkit
"No need for symbols, digits, or uppercase letters.","Ei tarvita symboleja, numeroita tai isoja kirjaimia."
Seen By,Nähnyt
Update Translations,Päivitä käännökset
"If checked, users will not see the Confirm Access dialog.","Jos tämä on valittuna, käyttäjät eivät näe Vahvista pääsy -valintaikkunaa."
Minimum Password Score,Salasanan vähimmäispisteet
Child Table Mapping,Lapsitaulukon kartoitus
Email Account setup please enter your password for: ,Sähköpostitilin määrittäminen Anna salasana:
Too many writes in one request. Please send smaller requests,Liian monta kirjoittaa yhdessä pyynnössä. Lähetä pienempiä pyyntöjä
Salesforce,Myyntivoima
Tile,Laatta
{0} room must have atmost one user.,{0} huoneessa on oltava yksi käyttäjä.
Is Spam,Onko roskapostia
Complete Registration,Täydellinen rekisteröinti
