Connector Type,Цоннецтор Типе
Open a dialog with mandatory fields to create a new record quickly,Отворите дијалог са обавезним пољима да бисте брзо креирали нови запис
"Select target = ""_blank"" to open in a new page.",Изаберите таргет = &quot;_бланк&quot; да бисте отворили нову страницу.
Portal Menu,Изборник портала
Landing Page,Почетне странице
Please sign-up or login to begin,Пријавите се или се пријавите да бисте започели
"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.","Опције контакта, као што су &quot;Продајни упит, упит за подршку&quot; итд. Свака на новој линији или одвојене зарезима."
Verfication Code,Верифицатион Цоде
{0} already unsubscribed,{0} је већ отказано
Route History,Историја руте
italic,италиц
{0} must be one of {1},{0} мора бити једна од {1}
Style Settings,Стиле Сеттингс
New message from {0},Нова порука од {0}
Organizational Unit,Организациона јединица
Please save the Newsletter before sending,Сачувајте билтен пре слања
Custom Field,Прилагођено поље
Desktop,Десктоп
PayPal payment gateway settings,Поставке ПаиПал гатеваи-а за плаћање
"Assign one by one, in sequence","Доделите једну по једну, редом"
Set New Password,Поставите нову лозинку
Registered but disabled,"Регистрован, али онемогућен"
Chat Type,Тип чаврљања
Cannot delete standard field. You can hide it if you want,Стандардно поље није могуће избрисати. Можете га сакрити ако желите
Disable Auto Refresh,Онемогући аутоматско освежавање
Show more details,Прикажи више детаља
Mark as Read,Означи као прочитано
Can Read,Може да чита
Restrict IP,Рестрицт ИП
Total Subscribers,Тотал Субсцриберс
Fold must come before a Section Break,Фолд се мора појавити пре паузе одељења
Publishable Key,Публисхабле Кеи
Blog Category,Блог Цатегори
e.g.:,на пример:
Communication,Комуникација
Soft-Bounced,Софт-Боунцед
Time Series Based On,Временске серије засноване на
Please enter the password,Унесите лозинку
{0} is an invalid email address in 'Recipients',{0} је неважећа адреса е-поште у &#39;Приматељи&#39;
Naming Series mandatory,Серија именовања је обавезна
Repeat this Event,Поновите овај догађај
Authorized,Овлашћено
1 weeks ago,Пре 1 недељу
Fetch Images,Фетцх Имагес
Thursday,Четвртак
Payment Gateway Name,Име Гатеваи плаћања
Energy Point Log,Енерги Поинт Лог
Enable Auto Reply,Омогући аутоматски одговор
3 months,3 месеца
"Help: To link to another record in the system, use ""#Form/Note/[Note Name]"" as the Link URL. (don't use ""http://"")","Помоћ: Да бисте се повезали на други запис у систему, користите &quot;# Форм / Ноте / [Ноте Наме]&quot; као УРЛ везе. (немојте користити &quot;хттп: //&quot;)"
"If non standard port (e.g. 587). If on Google Cloud, try port 2525.","Ако није стандардни порт (нпр. 587). Ако је на Гоогле Цлоуд-у, покушајте са портом 2525."
Please check your email for verification,Проверите своју е-пошту ради верификације
Event and other calendars.,Догађаји и други календари.
Header HTML,ХТМЛ заглавља
All customizations will be removed. Please confirm.,Све прилагодбе ће бити уклоњене. Молим потврдите.
Compose Email,Саставити емаил
ap-southeast-1,ап-југоисток-1
Key,Кључ
Track milestones for any document,Пратите прекретнице за било који документ
Insert Style,Инсерт Стиле
"For currency {0}, the minimum transaction amount should be {1}","За валуту {0}, минимални износ трансакције треба да буде {1}"
Customizations Reset,Прилагодбе Ресет
qrcode,крцоде
Seen,Сеен
Output,Оутпут
Web Form Field,Поље Веб Форм
Not Allowed: Disabled User,Није дозвољено: онемогућен корисник
Run Script Test,Покрени тест скрипте
"Clearing end date, as it cannot be in the past for published pages.","Брисање датума завршетка, јер не може бити у прошлости за објављене странице."
Database Name,Назив базе података
Integration Request Service,Интегратион Рекуест Сервице
Field Description,Опис поља
Login Id is required,Потребан је ИД за пријаву
Chat Message,Цхат порука
Service,Сервице
Blog Introduction,Блог Интродуцтион
Send Notifications To,Сенд Нотифицатионс То
Thank you for your message,Хвала вам за вашу поруку
In Hours,Ин Хоурс
Value for {0} cannot be a list,Вредност за {0} не може бити листа
Align Labels to the Right,Поравнајте ознаке са десне стране
Enter Form Type,Унесите тип обрасца
Send Email for Successful Backup,Пошаљите е-пошту за успјешно сигурносно копирање
Your Name,Твоје име
Click table to edit,Кликните табелу да бисте је уредили
Expire Notification On,Искључи обавештење
Allow page break inside tables,Дозволи прелом странице унутар табела
Data Migration Plan Mapping,Мапирање плана миграције података
Sales User,Салес Усер
"Change field properties (hide, readonly, permission etc.)","Промени својства поља (сакриј, само за читање, дозволу итд.)"
Field Name,Име поља
Font Size,Величина фонта
Date and Number Format,Формат датума и броја
Exception,Изузетак
Single DocTypes cannot be customized.,Сингле ДоцТипес се не могу прилагодити.
Knowledge Base Editor,Уредник базе знања
Precision should be between 1 and 6,Прецизност треба да буде између 1 и 6
Row {0}: Not allowed to enable Allow on Submit for standard fields,Ред {0}: Није дозвољено да омогући Аллов он Субмит за стандардна поља
Daily Event Digest is sent for Calendar Events where reminders are set.,Дневни преглед догађаја се шаље за догађаје у календару где су подешени подсетници.
Not allowed for {0}: {1} in Row {2}. Restricted field: {3},Није дозвољено за {0}: {1} у реду {2}. Ограничено поље: {3}
Blue,Плави
In Valid Request,Неважећи Упит
Page not found,Страница није пронађена
Authorization Code,код за дозволу
Search Fields,Сеарцх Фиелдс
Module Path,Модуле Патх
In Grid View,У приказу мреже
hand-up,дам
"Always add ""Draft"" Heading for printing draft documents",Увек додајте наслов &quot;Драфт&quot; за штампање нацрта докумената
Salutation,Поздрав
No default Address Template found. Please create a new one from Setup &gt; Printing and Branding &gt; Address Template.,Није пронађен подразумевани предложак адресе. Креирајте нови из Подешавања&gt; Штампање и брендирање&gt; Предложак адресе.
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,Додајте ИД Гоогле Аналитицс: нпр. УА-89КСКСКС57-1. Више информација потражите у помоћи за Гоогле Аналитицс.
Permissions,Дозволе
Export Report: ,Извештај о извозу:
Other,Друго
Previous,Претходна
ok,У реду
Already in user's To Do list,Већ у листи корисника
Allow only one session per user,Дозволи само једну сесију по кориснику
View this in your browser,Погледајте ово у свом претраживачу
{0} shared this document with everyone,{0} дели овај документ са свима
Options,Опције
Error: Document has been modified after you have opened it,Грешка: Документ је измењен након што сте га отворили
Home Address is required,Потребна је кућна адреса
Contact Us Settings,Цонтацт Ус Сеттингс
Not Descendants Of,Нот Десцендантс Оф
Liked By,Ликед Би
Configure your google calendar integration,Конфигуришите интеграцију Гоогле календара
Email has been marked as spam,Е-пошта је означена као нежељена пошта
New Password Required.,Потребна је нова лозинка.
Field,Фиелд
Client,Цлиент
Will be your login ID,Биће ваш ИД за пријаву
Recurring Documents Failed,Понављани документи нису успели
List of backups available for download,Листа резервних копија доступних за преузимање
Hide Sidebar and Menu,Сакриј бочну траку и мени
Workflow State {0} is not allowed,Стање тока посла {0} није дозвољено
Reference Name,Референце Наме
Create Chart,Цреате Цхарт
Desk,Радни сто
bookmark,боокмарк
Max Length,Максимална дужина
No comments yet. Start a new discussion.,Још увек нема коментара. Започните нову дискусију.
Mandatory,Обавезно
User {0} cannot be deleted,Корисник {0} се не може избрисати
Select records for assignment,Изаберите записе за доделу
Usage Info,Инфо о употреби
Primary Color,Примари Цолор
Last Updated By,Последњи пут ажурирано
Do not send Emails,Не шаљите е-поруке
{0} appreciated your work on {1} with {2} point,{0} је ценио ваш рад на {1} са тачком {2}
{app_title},{апп_титле}
Cancelling,Отказивање
Group Node,Гроуп Ноде
Merge with existing,Споји се са постојећим
Blog Intro,Блог Интро
New Mention,Нев Ментион
Report Name,Име извештаја
Please refresh to get the latest document.,Освежите да бисте добили најновији документ.
Close,Близу
Insert Above,Инсерт Абове
and,и
Webhooks calling API requests into web apps,Вебхоок зове АПИ захтеве у веб апликације
Event,Евент
Access Token URL,Приступите токен УРЛ-у
Please set Dropbox access keys in your site config,Молимо вас да поставите Дропбок приступне кључеве у конфигурацију вашег сајта
Reset Password Key,Ресетуј лозинку
Modified By,Модификована
Bio,Био
"To renew, {0}.","Да бисте обновили, {0}."
Folder,Фолдер
Perm Level,Перм Левел
Page Settings,Поставке странице
No Permissions Specified,Но Пермиссионс Специфиед
1 comment,1 коментар
ID (name) of the entity whose property is to be set,ИД (име) ентитета чија се имовина поставља
Deleting {0},Брисање {0}
With Letter head,Са главом писма
API Secret,АПИ Сецрет
on_submit,он_субмит
Message,Порука
"If enabled, the document is marked as seen, the first time a user opens it","Ако је омогућено, документ је означен као виђен, први пут када га корисник отвори"
Connected to QZ Tray!,Повезан на КЗ Траи!
Max Attachments,Мак Аттацхментс
Add Column,Додај колону
This is an automatically generated reply,Ово је аутоматски генерисан одговор
This Currency is disabled. Enable to use in transactions,Ова валута је онемогућена. Омогући употребу у трансакцијама
Pyver,Пивер
Fail,Фаил
Letter Head,Леттер Хеад
Local Fieldname,Лоцал Фиелднаме
Adds a client custom script to a DocType,Додаје прилагођени скрипт клијента у ДоцТипе
All,Све
Modules HTML,Модули ХТМЛ
remove-sign,ремове-сигн
Full,Фулл
User Cannot Create,Корисник не може да креира
You gained {0} point,Добили сте {0} тачку
"If you set this, this Item will come in a drop-down under the selected parent.","Ако поставите ово, ова ставка ће се појавити у падајућем менију испод изабраног родитеља."
No Emails,Но Емаилс
Following fields are missing:,Недостају следећа поља:
resize-full,ресизе-фулл
You don't have permission to access this file,Немате дозволу за приступ овој датотеци
changed values for {0},промењене вредности за {0}
Project,Пројекат
Shared with user {0} with read access,Дељено са корисником {0} са приступом за читање
Send,Сенд
Show Calendar,Прикажи календар
Web Form Fields,Поља Веб Форма
_doctype,_доцтипе
User editable form on Website.,Образац за уређивање корисника на Веб локацији.
Permanently Cancel {0}?,Трајно Откажи {0}?
Option 3,Опција 3
Totals,Укупно
This is a very common password.,Ово је врло уобичајена лозинка.
Pending Approval,Чека одобрење
The document could not be correctly assigned,Документ није могао бити правилно додељен
Not allowed for {0}: {1},Није дозвољено за {0}: {1}
Personal Data Download Request,Захтев за преузимање личних података
{0} shared this document with {1},{0} дели овај документ са {1}
Select {0},Изаберите {0}
Advanced Search,Напредна претрага
New password emailed,Послата је нова лозинка
Will only be shown if section headings are enabled,Приказује се само ако су заглавља секција омогућена
Session Expiry Mobile,Сессион Екпири Мобиле
Email Settings,Подешавања е-поште
Welcome to {0},Добро дошли у {0}
Enable Shadows,Енабле Схадовс
Delete,Обриши
{0} criticized on {1},{0} критиковано {1}
This email was sent to {0} and copied to {1},Ова е-порука послата је на {0} и копирана у {1}
Invalid login or password,Погрешна пријава или лозинка
Social Login Key,Социал Логин Кеи
Filters saved,Филтри су сачувани
"How should this currency be formatted? If not set, will use system defaults","Како би се та валута требала форматирати? Ако није постављено, користиће подразумеване вредности система"
{0}: {1} is set to state {2},{0}: {1} је постављен на стање {2}
"If enabled, document views are tracked, this can happen multiple times","Ако је омогућено, прикази докумената се прате, што се може десити више пута"
DocField,ДоцФиелд
Send Print as PDF,Сенд Принт ас ПДФ
Expiry time of QR Code Image Page,Време истека КР Цоде Имаге Паге
Global Search,Глобал Сеарцх
Allow Print for Draft,Дозволи штампање за скицу
Use of sub-query or function is restricted,Употреба под-упита или функције је ограничена
Database Engine,Датабасе Енгине
Help,Помоћ
Configure Chart,Цонфигуре Цхарт
No template found at path: {0},На путу није пронађен предложак: {0}
Only Administrator can delete Email Queue,Само администратор може избрисати ред чекања за е-пошту
Push Update,Пусх Упдате
Letter Head Image,Слика слова
Dashboard Chart Source,Изворни графикон контролне табле
darkgrey,тамно сива
Dashboards,Дасхбоардс
Top {0},Врх {0}
{0}: {1} in {2},{0}: {1} у {2}
'In Global Search' not allowed for type {0} in row {1},&quot;У глобалном претраживању&quot; није дозвољено за тип {0} у реду {1}
Scheduled To Send,Планирано слање
"It seems that there is an issue with the server's stripe configuration. In case of failure, the amount will get refunded to your account.","Изгледа да постоји проблем са конфигурацијом траке сервера. У случају неуспјеха, износ ће бити враћен на ваш рачун."
Google Font,Гоогле Фонт
Client Information,Информације о клијенту
"Your subscription expired on {0}. To renew, {1}.","Ваша претплата је истекла на {0}. Да бисте обновили, {1}."
Value To Be Set,Вредност коју треба поставити
Snapshot View,Приказ снимка
IN,ИН
Desktop Background,Десктоп позадина
Connection Name,Име везе
Permitted Documents For User,Дозвољени документи за корисника
Download link for your backup will be emailed on the following email address: {0},Веза за преузимање резервне копије биће послата на следећу е-адресу: {0}
Full Page,Цела страна
Updated {0}: {1},Ажурирано {0}: {1}
Send me a copy,Пошаљи ми копију
Blog Post,Блог пост
Workflow Action Name,Назив акције радног тока
Add Group,Додај групу
Mappings,Маппингс
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange","Стил представља боју дугмади: Успјех - Зелена, Опасност - Црвена, Инверзна - Црна, Примарна - Тамно плава, Инфо - Светло плава, Упозорење - Наранџаста"
Invalid file path: {0},Неважећа путања датотеке: {0}
Your password has been updated. Here is your new password,Ваша лозинка је ажурирана. Ево ваше нове лозинке
Every Month,Сваког месеца
Precision,Прецисион
Last Modified On,Ласт Модифиед Он
Hide field in Standard Print Format,Сакриј поље у стандардном формату за штампање
Show Attachments,Прикажи прилоге
Multiple root nodes not allowed.,Више коријенских чворова није дозвољено.
Don't create new records,Не правите нове записе
Beginner,Бегиннер
"For example: If you want to include the document ID, use {0}","На пример: ако желите да укључите ИД документа, користите {0}"
{0} has already assigned default value for {1}.,{0} је већ доделио подразумевану вредност за {1}.
fullscreen,цео екран
Allow Import (via Data Import Tool),Дозволи увоз (помоћу алата за увоз података)
"The task {0}, that you assigned to {1}, has been closed by {2}.","Задатак {0}, који сте додијелили {1}, затворен је за {2}."
Show as cc,Прикажи као цц
Policy,Политика
Integrations,Интегратионс
Hide footer in auto email reports,Сакриј подножје у аутоматским извештајима о е-пошти
Float,Пловак
Push Insert,Пусх Инсерт
Rating,Ратинг
Email By Document Field,Поље е-поште по документу
Totals Row,Тоталс Ров
Website User,Вебсите Усер
For User,За корисника
Role Profile,Профил улоге
Connector Name,Цоннецтор Наме
Is Active,Активан
Append To,Аппенд То
Invalid Link,Неважећа веза
Time Series,Временске серије
Background Image,Позадинска слика
Top Reviewer,Топ Ревиевер
Restore Original Permissions,Врати изворне дозволе
Please save the report first,Прво сачувајте извештај
Attach Print,Аттацх Принт
Log of Scheduler Errors,Дневник грешака планера
Text to be displayed for Link to Web Page if this form has a web page. Link route will be automatically generated based on `page_name` and `parent_website_route`,Текст који ће се приказати за везу на веб страницу ако овај образац има веб страницу. Путања везе ће се аутоматски генерисати на основу `паге_наме` и` парент_вебсите_роуте`
Template ID,ИД предлошка
Invalid recipient address,Неважећа адреса примаоца
Duplicate Filter Name,Име дуплираног филтера
align-center,алигн-центер
Customization,Цустомизатион
New Print Format Name,Име новог формата за штампање
Error while evaluating Notification {0}. Please fix your template.,Грешка приликом оцењивања обавештења {0}. Поправите свој предложак.
Can Share,Цан Схаре
Allow Roles,Дозволи улоге
Move To Trash,Пошаљи у ђубре
Back to Desk,Назад на радни сто
Document Queued,Доцумент Куеуед
PayPal Settings,ПаиПал Сеттингс
Is Folder,Ис Фолдер
Print Style,Принт Стиле
Defaults,Дефаултс
Forward,Напријед
Event Participants,Евент Партиципантс
Email Status,Статус е-поште
Google Maps integration,Гоогле Мапс интеграција
Do not edit headers which are preset in the template,Немојте уређивати заглавља која су унапред постављена у шаблону
Workflow state represents the current state of a document.,Стање тока посла представља тренутно стање документа.
Center,Центар
Male,Мушки
Amount Based On Field,Износ на основу поља
Allow Edit,Дозволи измени
Select the label after which you want to insert new field.,Изаберите ознаку након које желите да убаците ново поље.
Gateway Controller,Гатеваи Цонтроллер
New Connection,Нова веза
New Activity,Нова активност
Unable to find attachment {0},Није могуће пронаћи прилог {0}
Fields Multicheck,Фиелдс Мултицхецк
Timestamp,Тиместамп
Website Theme,Вебсите Тхеме
Log of error on automated events (scheduler).,Пријавите грешку на аутоматизованим догађајима (планер).
Looks like someone sent you to an incomplete URL. Please ask them to look into it.,Изгледа да вас је неко послао на некомплетан УРЛ. Замолите их да погледају.
All Images attached to Website Slideshow should be public,Све слике приложене Слидесхову веб-локације требају бити јавне
You can only upload upto 5000 records in one go. (may be less in some cases),Можете да поставите само 5000 записа у једном покрету. (у неким случајевима може бити мање)
Template,Темплате
Personal,Лични
Location,Локација
No Data,Нема података
Website Meta Tag,Вебсите Мета Таг
film,филм
{0} Settings not found,{0} Поставке нису пронађене
Label is mandatory,Ознака је обавезна
Webhook Headers,Вебхоок Хеадерс
"Customized Formats for Printing, Email","Прилагођени формати за штампање, е-пошта"
Markdown,Маркдовн
Miss,Госпођица
Allow Modules,Аллов Модулес
Slideshow Name,Слидесхов Наме
Better add a few more letters or another word,Боље додајте још неколико слова или неку другу ријеч
SMS,СМС
share-alt,схаре-алт
Workflow Action Master,Мастер активности за радни ток
"Looks like something went wrong during the transaction. Since we haven't confirmed the payment, Paypal will automatically refund you this amount. If it doesn't, please send us an email and mention the Correlation ID: {0}.","Изгледа да је нешто пошло по злу током трансакције. Пошто нисмо потврдили уплату, Паипал ће вам аутоматски вратити овај износ. Ако се то не догоди, пошаљите нам е-пошту и наведите ИД корелације: {0}."
Message not setup,Порука није подешена
Add code as &lt;script&gt;,Додајте код као &lt;сцрипт&gt;
Refresh Token,Рефресх Токен
Seems API Key or API Secret is wrong !!!,Изгледа да је АПИ кључ или АПИ тајна погрешна!
Add to table,Додај у табелу
'In List View' not allowed for type {0} in row {1},&quot;У приказу листе&quot; није дозвољено за тип {0} у реду {1}
List of themes for Website.,Листа тема за вебсајт.
Random,Рандом
Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,Најмања јединица за циркулацију (новчић). За нпр. 1 цент за УСД и треба га унети као 0.01
Passive,Пасивно
PDF generation failed,ПДФ генерација није успела
Atleast one field of Parent Document Type is mandatory,У најмању руку једно поље типа родитељског документа је обавезно
Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType',Опција &quot;Динамиц Линк&quot; тип поља мора да показује на друго поље везе са опцијама као &quot;ДоцТипе&quot;
"If the condition is satisfied user will be rewarded with the points. eg. doc.status == 'Closed'
","Ако је услов задовољан, корисник ће бити награђен бодовима. на пример. доц.статус == &#39;Затворено&#39;"
App not found,Апликација није пронађена
Internal Server Error,Интерна грешка сервера
Details,Детаљи
Note,Белешка
Please save the document before removing assignment,Сачувајте документ пре уклањања задатка
Recipient,Прималац
Geolocation,Геолоцатион
text-width,ширина текста
Letter,Леттер
Verification Link,Веза за потврду
Pay,Плати
Month,Месец дана
"To stop sending repetitive error notifications from the system, we have checked Disabled field in the Auto Repeat document","Да бисте зауставили слање обавештења о грешкама које се понављају из система, означили смо поље Дисаблед у Ауто Репеат документу"
Add Multiple,Адд Мултипле
"To add dynamic subject, use jinja tags like

<div><pre><code>{{ doc.name }} Delivered</code></pre></div>","Да бисте додали динамични предмет, користите јиња тагове као <div><pre> <code>{{ doc.name }} Delivered</code> </pre> </div>"
Addresses,Адресе
Number of DB Backups,Број резервних копија ДБ-а
Web Page Link Text,Текст везе веб странице
You unfollowed this document,Прекршили сте овај документ
cn-north-1,цн-нортх-1
ca-central-1,ца-централ-1
Share With,Учешће у
Field type cannot be changed for {0},Врста поља не може да се промени за {0}
Checking one moment,Провјеравам један тренутак
End Time,Време завршетка
Search field {0} is not valid,Поље за претрагу {0} није важеће
Have an account? Login,Имате налог? Пријавите се
on_trash,он_трасх
New Name,Ново име
Introduce your company to the website visitor.,Представите своју компанију посетиоцу сајта.
Activity,Активност
Deleted DocType,Избрисано ДоцТипе
If user is the owner,Ако је корисник власник
Set Permissions,Сет Пермиссионс
Auto,Ауто
Attach Document Print,Приложите штампање документа
just now,управо сада
File '{0}' not found,Датотека &#39;{0}&#39; није пронађена
You do not have enough permissions to complete the action,Немате довољно дозвола да бисте довршили радњу
App {0} is not installed,Апликација {0} није инсталирана
Show Dashboard,Прикажи контролну таблу
Add Contact,Додај контакт
Dropbox Access Secret,Дропбок Аццесс Сецрет
This user's data cannot be requested for deletion,Подаци овог корисника не могу се тражити за брисање
{0} from {1} to {2} in row #{3},{0} од {1} до {2} у реду # {3}
Export not allowed. You need {0} role to export.,Извоз није дозвољен. Потребно је {0} улога за извоз.
User Cannot Search,Корисник не може да тражи
Search...,Претрага...
Delete Data,Обриши податке
Edit Format,Уреди формат
Source Text,Изворни текст
Fraction,Фрацтион
Robots.txt,Роботс.ткт
Preview Message,Превиев Мессаге
Max Attachment Size (in MB),Максимална величина прилога (у МБ)
Rating: ,Оцена:
"If not set, the currency precision will depend on number format","Ако није постављено, прецизност валуте ће зависити од формата бројева"
You don't have the permissions to access this document,Немате дозволе за приступ овом документу
Reference Party Doctype,Референце Парти Доцтипе
Button Help,Дугме Помоћ
Defines actions on states and the next step and allowed roles.,Дефинише радње на стање и следећи корак и дозвољене улоге.
Replied,Одговорено
Email Rule,Емаил Руле
Ignore XSS Filter,Игноришите КССС филтер
Auto assignment failed: {0},Аутоматско додјељивање није успјело: {0}
Download Files Backup,Довнлоад Филес Бацкуп
Set,Комплет
Event end must be after start,Крај догађаја мора бити након почетка
{0} to stop receiving emails of this type,{0} да бисте престали да примате е-поруке ове врсте
gave {0} points,дао {0} бодова
Daily,Даили
Custom?,Обичај?
Username,Корисничко име
Upgrade,Упграде
Append To can be one of {0},Додај на може бити један од {0}
pencil,оловка
Did not add,Није додао
arrow-right,стрелица-десно
Fetch attached images from document,Набавите приложене слике из документа
Message clipped,Мессаге цлиппед
Completed,Завршено
Permissions are automatically applied to Standard Reports and searches.,Дозволе се аутоматски примењују на стандардне извештаје и претраживања.
Open Link,Отвори линк
All fields are necessary to submit the comment.,Сва поља су неопходна за слање коментара.
Introduction,Увод
User Tags,Корисничке ознаке
"To add dynamic subject, use jinja tags like

<div><pre><code>New {{ doc.doctype }} #{{ doc.name }}</code></pre></div>","Да бисте додали динамични предмет, користите јиња тагове као <div><pre> <code>New {{ doc.doctype }} #{{ doc.name }}</code> </pre> </div>"
Add Child,Адд Цхилд
New,Нев
Add all roles,Додајте све улоге
Transaction Hash,Трансакција Хасх
Doc Status,Статус статуса
Allow Multiple,Аллов Мултипле
Repeat Header and Footer in PDF,Поновите заглавље и подножје у ПДФ-у
Redirect URL,УРЛ преусмеравања
{0} rows for {1},{0} редова за {1}
Week,Недеља
Sent or Received,Послато или Примљено
The system provides many pre-defined roles. You can add new roles to set finer permissions.,Систем обезбеђује многе унапред дефинисане улоге. Можете да додате нове улоге да бисте поставили финије дозволе.
Instructions Emailed,Инструцтионс Емаилед
Execution Time: {0} sec,Време извршења: {0} сец
For {0} at level {1} in {2} in row {3},За {0} на нивоу {1} у {2} у реду {3}
Receiver Parameter,Параметар пријемника
Default Print Language,Дефаулт Принт Лангуаге
Collapsible Depends On,Цоллапсибле Зависи од
Use TLS,Користите ТЛС
Show in Module Section,Прикажи у секцији Модул
LDAP Email Field,Поље за ЛДАП е-пошту
New Comment on {0}: {1},Нови коментар на {0}: {1}
Please setup a message first,Прво поставите поруку
Session Expiry in Hours e.g. 06:00,"Истек сесије у сатима, нпр. 06:00"
"If Apply Strict User Permission is checked and User Permission is defined for a DocType for a User, then all the documents where value of the link is blank, will not be shown to that User","Ако се потврди Аппли Стрицт Усер Пермиссион (Дозвола за стриктне кориснике) и дефинише Усер Пермиссион (Дозвола за корисника) за ДоцТипе за корисника, онда сви документи где је вредност везе празна, неће бити приказани том кориснику"
Webhook URL,Вебхоок УРЛ
Duplicate name {0} {1},Дупли назив {0} {1}
States,државе
Logs,Логс
Standings,Стандингс
Token,Токен
Not Published,Нот Публисхед
Allow Bulk Edit,Аллов Булк Едит
Footer HTML,Фоотер ХТМЛ
Days Before or After,Дани пре или после
Property Setter overrides a standard DocType or Field property,Подешавач својстава надјачава стандардно својство ДоцТипе или Фиелд
us-west-1,ус-запад-1
Start Date Field,Поље Датум почетка
Every Week,Сваке недеље
"Your subscription expired on {0}. To renew, please send an email to {1}.","Ваша претплата је истекла на {0}. Да бисте обновили, пошаљите е-поруку на {1}."
fast-forward,убрзај
Post Comment,Постави коментар
Restart,Поново покренути
Custom Base URL,Прилагођена основна УРЛ адреса
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.","Као најбоља пракса, не додељујте исти скуп правила дозвола различитим улогама. Уместо тога, поставите више улога на истог корисника."
Default,Уобичајено
Permanently delete {0}?,Трајно брисање {0}?
Method,Метход
Round Robin,Разигравање
Image,Слика
Now,Сада
Editing Row,Едитинг Ров
"e.g. ""Support"", ""Sales"", ""Jerry Yang""","нпр. &quot;Подршка&quot;, &quot;Продаја&quot;, &quot;Јерри Ианг&quot;"
Hostname,Хостнаме
Hourly,Хоурли
Allow field to remain editable even after submission,Дозволи поље може да се уређује чак и након слања
Oops! Something went wrong,Упс! Нешто није у реду
Fieldtype,Фиелдтипе
DocType can not be merged,ДоцТипе се не може спојити
Click on the link below to verify your request,Кликните на везу испод да бисте потврдили свој захтев
Recent years are easy to guess.,Последњих година је лако погодити.
Disable Signup,Онемогући пријаву
Remove Tag,Склони етикету
Show failed jobs,Прикажи неуспеле послове
Button,Буттон
Most Used,Највише користе
In seconds,У секундама
Gantt,Гантт
Help: Field Properties,Помоћ: Својства поља
Brand HTML,Бранд ХТМЛ
Data Import,Увоз података
Document Type to Track,Врста документа за праћење
Write,Врите
remove-circle,ремове-цирцле
th,тх
chevron-left,Цхеврон-лефт
Predictable substitutions like '@' instead of 'a' don't help very much.,Предвидљиве замене као &#39;@&#39; уместо &#39;а&#39; не помажу много.
Color,Боја
Row # ,Ред број #
volume-up,појачавање звука
Cancelled,Отказано
Email has been moved to trash,Е-пошта је премјештена у смеће
No Preview,Но Превиев
Table updated,Табле упдатед
Another transaction is blocking this one. Please try again in a few seconds.,Друга трансакција блокира ову. Покушајте поново за неколико секунди.
You can use wildcard %,Можете користити замјенски знак%
Address Line 1,Адреса Линија 1
For Document Type,За тип документа
Data missing in table,Недостају подаци у табели
Could not identify {0},Није могуће идентификовати {0}
This form has been modified after you have loaded it,Овај образац је измењен након што сте га учитали
Back to Login,Повратак на пријаву
Not Set,Није подешено
Pull,Повуци
Browse,Бровсе
"Fields separated by comma (,) will be included in the ""Search By"" list of Search dialog box","Поља одвојена зарезом (,) биће укључена у дијалог за претрагу &quot;Претраживање по&quot;"
Edit Custom HTML,Уређивање прилагођеног ХТМЛ-а
Assignment Rule,Ассигнмент Руле
Knowledge Base,База знања
Comment Email,Емаил за коментар
Mr,господин
Not allowed to Import,Није дозвољено увоз
Please do not change the rows above {0},Немојте мењати редове изнад {0}
GSuite test executed with success. GSuite integration is correctly configured,ГСУите тест је успјешно изведен. ГСуите интеграција је исправно конфигурисана
Email Group,Емаил Гроуп
Row {0}: Not allowed to disable Mandatory for standard fields,Ред {0}: Није дозвољено онемогућити Обавезно за стандардна поља
Braintree Settings,Браинтрее Сеттингс
Show a description below the field,Прикажи опис испод поља
Cannot send this email. You have crossed the sending limit of {0} emails for this day.,Није могуће послати ову поруку е-поште. Прешли сте ограничење слања од {0} е-порука за овај дан.
fast-backward,брзо назад
Copyright,Ауторско право
Description,Опис
Please enable developer mode to create new connection,Омогућите режим за програмере да бисте креирали нову везу
Attached To DocType,Аттацхед То ДоцТипе
Deleted,Избрисан
Logged Out,Одјављени
Updating,Ажурирање
Default Incoming,Дефаулт Инцоминг
Copy and paste this code into and empty Code.gs in your project at script.google.com,Копирајте и налепите овај код у празан Цоде.гс у свом пројекту на сцрипт.гоогле.цом
Recurring,Рецурринг
Invalid Password:,Неисправна лозинка:
{0} hours ago,{0} пре сата
Expert,Екперт
Single Types have only one record no tables associated. Values are stored in tabSingles,Појединачни типови имају само један запис без придружених табела. Вредности су сачуване у табсинглес
Clear User Permissions,Брисање корисничких дозвола
Self approval is not allowed,Само одобрење није дозвољено
You don't have permission to get a report on: {0},Немате дозволу да добијете извештај о: {0}
Feedback Request,Захтев за повратну информацију
Notify Users On Every Login,Обавести кориснике о свакој пријави
Filter...,Филтрирај ...
