Connector Type,connector အမျိုးအစား
Webhooks calling API requests into web apps,ကို web app များကိုသို့ API ကိုတောင်းဆိုမှုများတောင်းဆို Webhooks
Event,အဖြစ်အပျက်
Access Token URL,Access ကိုတိုကင် URL ကို
Please set Dropbox access keys in your site config,သင့်ရဲ့ site ကို config ကိုအတွက် Dropbox ကို access ကိုသော့သတ်မှတ်ပေးပါ
Reset Password Key,Password ကို Key ကို Reset
Modified By,အားဖြင့်ပြုပြင်ထားသော
Bio,ဇီဝ
"To renew, {0}.",{0} သက်တမ်းတိုးဖို့ရန်။
Folder,ဖိုငျတှဲ
Perm Level,Perm အဆင့်
Page Settings,စာမကျြနှာကိုဆက်တင်
No Permissions Specified,ဖော်ပြထားခြင်းမရှိပါခွင့်ပြုချက်များ
1 comment,1 မှတ်ချက်
ID (name) of the entity whose property is to be set,အဘယ်သူ၏ပစ္စည်းဥစ္စာပိုင်ဆိုင်မှုကိုသတ်မှတ်ခံရဖို့ဖြစ်ပါတယ် entity ၏ ID ကို (အမည်)
Deleting {0},{0} ဖျက်ခြင်း
With Letter head,ပေးစာဦးခေါင်းနှင့်အတူ
API Secret,API ကိုလြှို့ဝှကျ
on_submit,on_submit
Message,မက်ဆေ့ခ်ျကို
"If enabled, the document is marked as seen, the first time a user opens it","enabled လျှင်, စာရွက်စာတမ်းကိုတှေ့မွငျအဖြစ်မှတ်သားသည်ပထမဦးဆုံးအကြိမ်အသုံးပြုသူတစ်ဦးကဖွင့်လှစ်"
Connected to QZ Tray!,QZ Tray ထဲကချိတ်ဆက်ထားပြီး!
Max Attachments,မက်စ်ပူးတွဲပါ
Add Column,ကော်လံ Add
This is an automatically generated reply,ဒါကတစ်ဦးအလိုအလျှောက်ထုတ်ပေးပြန်ကြားချက်ဖြစ်ပါသည်
This Currency is disabled. Enable to use in transactions,ဤသည်ငွေကြေးပိတ်ထားသည်။ ငွေကြေးလွှဲပြောင်းမှုမှာသုံးစွဲဖို့ Enable
Pyver,Pyver
Fail,ဆုံးရှုံး
Letter Head,ပေးစာဌာနမှူး
Local Fieldname,ဒေသခံ Fieldname
Adds a client custom script to a DocType,တစ်ဦး DOCTYPE မှတစ်ဦးကို client ထုံးစံ script ကိုထပ်ဖြည့်
All,အားလုံး
Modules HTML,modules က HTML
remove-sign,ကိုဖယ်ရှား-နိမိတ်လက္ခဏာ
Full,ပြည့်သော
User Cannot Create,အသုံးပြုသူကိုဖန်တီးမပေးနိုင်
You gained {0} point,သင် {0} အမှတ်ရရှိခဲ့
"If you set this, this Item will come in a drop-down under the selected parent.",သင်ဤသတ်မှတ်ပါကယခု Item drop-down ရွေးချယ်ထားသောမိဘအောက်မှာအတွက်လာပါလိမ့်မယ်။
No Emails,အဘယ်သူမျှမထားတဲ့အီးမေးလ်
Following fields are missing:,အောက်ပါကွက်လပ်များကိုပျောက်ဆုံးနေ:
resize-full,ဆိုဒ်ပြောင်းရန်-အပြည့်အဝ
You don't have permission to access this file,သင်ဤဖိုင်တွင်ဝင်ရောက်ဖို့ခွင့်ပြုချက်ရှိသည်မဟုတ်ကြဘူး
changed values for {0},{0} များအတွက်တန်ဖိုးများပြောင်းလဲသွား
Project,စီမံကိန်း
Shared with user {0} with read access,ဖတ်ပြီးသား access ကိုအတူအသုံးပြုသူ {0} အတူဝေမျှ
Send,ပေးပို့
Show Calendar,Show ကိုပြက္ခဒိန်
Web Form Fields,Web ကို Form ကို Fields
_doctype,_doctype
User editable form on Website.,ဝက်ဘ်ဆိုက်ပေါ်တွင်အသုံးပြုသူပြုပြင်နိုင်သည့်ပုံစံ။
Permanently Cancel {0}?,အမြဲတမ်း {0} Cancel?
Option 3,option 3
Totals,စုစုပေါင်းများ
This is a very common password.,ဤအရာသည်အလွန်ဘုံစကားဝှက်ဖြစ်ပါတယ်။
Pending Approval,ဆိုင်းငံ့ထားအတည်ပြုချက်
The document could not be correctly assigned,စာရွက်စာတမ်းမှန်ကန်စွာတာဝန်ပေးမရနိုင်ခြင်း
Not allowed for {0}: {1},{1}: {0} အဘို့အခွင့်မပြုထား
Personal Data Download Request,ပုဂ္ဂိုလ်ရေးဒေတာများကိုဒေါင်းလုပ်တောင်းဆိုခြင်း
{0} shared this document with {1},{0} {1} နှင့်အတူဤစာရွက်စာတမ်း shared
Select {0},{0} ကို Select လုပ်ပါ
Advanced Search,advanced Search
New password emailed,စကားဝှက်အသစ်မေးလ်ပို့ပေး
Will only be shown if section headings are enabled,အပိုင်းခေါင်းစဉ် enabled လျှင်သာပြသပါလိမ့်မည်
Session Expiry Mobile,session Expiry မိုဘိုင်း
Email Settings,အီးမေးလ်ဆက်တင်များ
Welcome to {0},{0} မှလှိုက်လှဲစွာကြိုဆိုပါသည်
Enable Shadows,Shadows Enable
Delete,ဖျက်ပစ်ပါ
{0} criticized on {1},{0} {1} အပေါ်ဝေဖန်
This email was sent to {0} and copied to {1},ဤသည်ကိုအီးမေးလ် {0} မှစလှေတျတျောနဲ့ {1} မှကူးယူခဲ့သည်
Invalid login or password,မှားနေသောရဲ့ login သို့မဟုတ်စကားဝှက်ကို
Social Login Key,လူမှုဝင်မည် Key ကို
Filters saved,ကယ်တင်ခြင်းသို့ရောက်သောစိစစ်မှုများ
"How should this currency be formatted? If not set, will use system defaults","ဘယ်လိုကဒီငွေကြေးကိုချပ်သင့်သနည်း သတ်မှတ်မထားလျှင်, system ကိုမူလပုံစံများကိုအသုံးပြုရန်ပါလိမ့်မယ်"
{0}: {1} is set to state {2},{0}: {1} ပြည်နယ် {2} ဟုသတ်မှတ်ထား
"If enabled, document views are tracked, this can happen multiple times","enabled, စာရွက်စာတမ်းအမြင်များခြေရာခံနေတယ်ဆိုရင်, ဒီအကြိမ်ပေါင်းများစွာဖွစျနိုငျ"
DocField,DocField
Send Print as PDF,PDF ဖိုင်အဖြစ်ပုံနှိပ်ပါ Send
Expiry time of QR Code Image Page,QR Code ကို Image ကို &#39;s Page ၏သက်တမ်းကုန်ဆုံးအချိန်
Global Search,ကမ္ဘာလုံးဆိုင်ရာရှာရန်
Allow Print for Draft,မူကြမ်းများအတွက်ပုံနှိပ်ပါ Allow
Use of sub-query or function is restricted,Sub-query ကိုသို့မဟုတ် function ကိုအသုံးပြုခြင်းကန့်သတ်တာဖြစ်ပါတယ်
Database Engine,ဒေတာဘေ့စအင်ဂျင်
Help,ကူညီပါ
Configure Chart,ဇယားကို configure
No template found at path: {0},လမ်းကြောင်းမှာမတွေ့ရှိပါ template ကို: {0}
Only Administrator can delete Email Queue,သာအုပ်ချုပ်ရေးမှူးအီးမေးလ်တန်းစီဖျက်ပစ်နိုင်ပါတယ်
Push Update,Update ကို Push
Letter Head Image,ပေးစာဌာနမှူးပုံရိပ်
Dashboard Chart Source,Dashboard ကိုဇယားရင်းမြစ်
darkgrey,darkgrey
Dashboards,Dashboard
Top {0},ထိပ်တန်း {0}
{0}: {1} in {2},{0}: {1} {2} အတွက်
'In Global Search' not allowed for type {0} in row {1},&#39;&#39; ဂလိုဘယ်ရှာရန်ခုနှစ်တွင် &#39;&#39; အတန်းများတွင်အမျိုးအစား {0} အဘို့အခွင့်မပြုထား {1}
Scheduled To Send,Send ရန်စီစဉ်ထား
"It seems that there is an issue with the server's stripe configuration. In case of failure, the amount will get refunded to your account.","ဒါဟာဆာဗာ၏အစင်း configuration နဲ့အတူပြဿနာရှိကွောငျးပုံရသည်။ ကျရှုံးခြင်း၏အမှု၌, ပမာဏကိုသင့်အကောင့်ပြန်အမ်းရပါလိမ့်မယ်။"
Google Font,Google ကဖောင့်
Client Information,client သတင်းအချက်အလက်
"Your subscription expired on {0}. To renew, {1}.",သင့်စာရင်းပေးသွင်းထား {0} အပေါ်ကုန်ဆုံး။ {1} သက်တမ်းတိုးဖို့ရန်။
Value To Be Set,Value ကို Set ခံရရန်
Snapshot View,လျှပ်တစ်ပြက်ကြည့်ရန်
IN,IN
Desktop Background,desktop ကိုနောက်ခံ
Connection Name,connection အမည်
Permitted Documents For User,အသုံးပြုသူသည်ခွင့်ပြုစာရွက်စာတမ်းများ
Download link for your backup will be emailed on the following email address: {0},{0}: အရန်သင့်သိမ်းဆည်းဘို့ download link ကိုအောက်ပါအီးမေးလ်လိပ်စာပေါ်မေးလ်ပို့ပေးပါလိမ့်မည်
Full Page,အပြည့်အဝစာမျက်နှာ
Updated {0}: {1},နောက်ဆုံးရေးသားချိန် {0}: {1}
Send me a copy,ငါ့ကိုမိတ္တူပေးပို့ပါ
Blog Post,ဘလော့ Post ကို
Workflow Action Name,လုပ်ငန်းအသွားအလာလှုပ်ရှားမှုအမည်
Add Group,Group မှ Add
Mappings,မြေပုံချထားပုံများ
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange","စတိုင်ခလုတ်ကိုအရောင်ကိုကိုယ်စားပြု: အောင်မြင်မှု - အစိမ်းရောင်, အန္တရာယ် - အနီရောင်, inverse - က Black, မူလတန်း - အမှောင်အပြာရောင်, အင်ဖို - အလင်းအပြာရောင်, သတိပေးခြင်း - လိမ္မော်ရောင်"
Invalid file path: {0},မှားနေသောဖိုင်လမ်းကြောင်း: {0}
Your password has been updated. Here is your new password,သင့်ရဲ့စကားဝှက်ကို updated ခဲ့တာဖြစ်ပါတယ်။ ဤတွင်သင့်ရဲ့စကားဝှက်အသစ်ဖြစ်ပါသည်
Every Month,လစဉ်လတိုင်း
Precision,စေ့စပ်သေချာခြင်း
Last Modified On,နောက်ဆုံးတွင်ပြင်ဆင်ထားသော
Hide field in Standard Print Format,စံပုံနှိပ်ပါစီစဉ်ဖွဲ့စည်းမှုပုံစံအတွက်လယ်ကွင်း Hide
Show Attachments,Show ကိုပူးတွဲပါ
Multiple root nodes not allowed.,ခွင့်မပြုအကွိမျမြားစှာအမြစ် node များ။
Don't create new records,အသစ်သောမှတ်တမ်းများဖန်တီးမထားပါနဲ့
Beginner,အစပြုသူ
"For example: If you want to include the document ID, use {0}",ဥပမာ: သင်စာရွက်စာတမ်း ID ကိုထည့်သွင်းရန်လိုလျှင် {0} ကိုသုံးပါ
{0} has already assigned default value for {1}.,{0} ပြီးသား {1} များအတွက် default value ကိုတာဝန်ပေးထားသည်။
fullscreen,မျက်နှာပြင်အပြည့်
Allow Import (via Data Import Tool),(ဒေတာများကိုတင်သွင်း Tool ကိုမှတဆင့်) ကိုတင်သွင်းခွင့်ပြုပါ
"The task {0}, that you assigned to {1}, has been closed by {2}.","သငျသညျ {1}, {2} အားဖြင့်ပိတ်သိမ်းလိုက်ပါပြီဖို့တာဝန်သောအလုပ်တခုကို {0}, ။"
Show as cc,cc အဖြစ်ပြရန်
Policy,ပေါ်လစီ
Integrations,Integrated
Hide footer in auto email reports,အော်တိုအီးမေးလ်ကအစီရင်ခံစာများတွင်အောက်ခြေ Hide
Float,မြော
Push Insert,push ကို Insert
Rating,rating
Email By Document Field,စာရွက်စာတမ်းဖျော်ဖြေမှုအားဖြင့်အီးမေးလ်ပို့ရန်
Totals Row,စုစုပေါင်းများ Row
Website User,ဝက်ဘ်ဆိုက်အသုံးပြုသူ
For User,အသုံးပြုသူများအတွက်
Role Profile,အခန်းက္ပကိုယ်ရေးဖိုင်
Connector Name,connector အမည်
Is Active,Active ကို Is
Append To,ရန်ဖြည့်စွက်
Invalid Link,မှားနေသော Link ကို
Time Series,အချိန်စီးရီး
Background Image,နောက်ခံပုံရိပ်
Top Reviewer,ထိပ်တန်းပြန်လည်ဆန်းစစ်ခြင်း
Restore Original Permissions,မူရင်းခွင့်ပြုချက်များ Restore
Please save the report first,ပထမဦးဆုံးအစီရင်ခံစာကိုကယ်တင်ပေးပါ
Attach Print,ပုံနှိပ်ပါပူးတွဲ
Log of Scheduler Errors,Scheduler ကိုအမှား၏ log
Text to be displayed for Link to Web Page if this form has a web page. Link route will be automatically generated based on `page_name` and `parent_website_route`,စာသားမဤပုံစံဝဘ်စာမျက်နှာရှိပါတယ်လျှင်က်ဘ် &#39;s Page Link ကိုများအတွက်ပြသခံရဖို့။ Link ကိုလမ်းကြောင်းအလိုအလြောကျ `page_name` နှင့်` parent_website_route` အပေါ်အခြေခံပြီးထုတ်ပေးပါလိမ့်မည်
Template ID,template ID ကို
Invalid recipient address,မှားနေသောလက်ခံရရှိသူလိပ်စာ
Duplicate Filter Name,မိတ္တူပွား Filter ကိုအမည်
align-center,align-စင်တာ
Customization,customization
New Print Format Name,နယူးပရင့်ထုတ်ရန် Format ကိုအမည်
Error while evaluating Notification {0}. Please fix your template.,သတိပေးချက် {0} အကဲဖြတ်နေစဉ်အမှား။ သင့်ရဲ့ template ကို fix ပေးပါ။
Can Share,Share နိုင်သလား
Allow Roles,အခန်းကဏ္ဍ Allow
Move To Trash,အမှိုက်ပုံးထဲရန်ရွှေ့
Back to Desk,နောက်ကျော Desk မှ
Document Queued,စာရွက်စာတမ်း Queued
PayPal Settings,PayPal က Settings များ
Is Folder,Folder ကို Is
Print Style,ပုံနှိပ်ပါစတိုင်
Defaults,Defaults ကို
Forward,ရှေ့သို့
Event Participants,အဖြစ်အပျက်ပါဝင်
Email Status,အီးမေးလ်ပို့ရန်အခြေအနေ
Google Maps integration,Google Maps ကိုပေါင်းစည်းမှု
Do not edit headers which are preset in the template,အဆိုပါ template ကိုအတွက်ကြိုတင်ပြင်ထားတဲ့ခေါင်းစီးတည်းဖြတ်မနေပါနဲ့
Workflow state represents the current state of a document.,လုပ်ငန်းအသွားအလာပြည်နယ်တစ်ဦးစာရွက်စာတမ်း၏လက်ရှိပြည်နယ်ကိုကိုယ်စားပြုသည်။
Center,အလယ်ဗဟို
Male,အထီး
Amount Based On Field,ဖျော်ဖြေမှုတွင် အခြေခံ. ငွေပမာဏ
Allow Edit,Edit ကို Allow
Select the label after which you want to insert new field.,သငျသညျသစ်ကိုလယ်ပြင်ထည့်သွင်းလိုသည့်ပြီးနောက်တံဆိပ်ကိုရွေးချယ်ပါ။
Gateway Controller,gateway မှာ Controller
New Connection,နယူးကော်နက်ရှင်
New Activity,နယူးလှုပ်ရှားမှု
Unable to find attachment {0},ပူးတွဲမှု {0} ကိုရှာဖွေနိုင်ခြင်း
Fields Multicheck,fields Multicheck
Timestamp,Timestamp
Website Theme,ဝဘ်ဆိုဒ် Theme
Log of error on automated events (scheduler).,automated ဖြစ်ရပ်များ (ဇယား) အပေါ်အမှား၏ log ။
Looks like someone sent you to an incomplete URL. Please ask them to look into it.,သင်တစ်ဦးမပြည့်စုံ URL ကိုစလှေတျတစ်စုံတစ်ဦးနဲ့တူလှပါတယ်။ စကြည့်ဖို့သူတို့ကိုမမေးပါ။
All Images attached to Website Slideshow should be public,ဝဘ်ဆိုဒ်လိုက်ရှိုးတွဲအားလုံးပုံများအများပြည်သူဖြစ်သင့်
You can only upload upto 5000 records in one go. (may be less in some cases),သငျသညျတစ်ဦးတည်းသာသွားလာရင်းအတွက် 5000 မှတ်တမ်းများနူန်းကျော်ကျော် upload တင်လို့ရပါတယ်။ (အချို့ကိစ္စများတွင်လျော့နည်းဖြစ်နိုင်သည်)
Template,template
Personal,ပုဂ္ဂိုလ်ရေး
Location,တည်နေရာ
No Data,အဘယ်သူမျှမဒေတာများ
Website Meta Tag,ဝဘ်ဆိုဒ်တွင် Meta Tag ကို
film,ရုပ်ရှင်
{0} Settings not found,{0} က Settings မတွေ့ရှိ
Label is mandatory,တံဆိပ်မဖြစ်မနေဖြစ်ပါသည်
Webhook Headers,Webhook header
"Customized Formats for Printing, Email","ပုံနှိပ်, အီးမေးလ်များအတွက်စိတ်ကြိုက် Formats"
Markdown,Markdown
Miss,လွမ်း
Allow Modules,မော်ဂျူးများ Allow
Slideshow Name,စလိုက်ရှိုးအမည်
Better add a few more letters or another word,ပိုကောင်းအနည်းငယ်ပိုပြီးအက္ခရာများသို့မဟုတ်အခြားစကားလုံး add
SMS,စာတို
share-alt,ရှယ်ယာ-alt +
Workflow Action Master,လုပ်ငန်းအသွားအလာလှုပ်ရှားမှုမာစတာ
"Looks like something went wrong during the transaction. Since we haven't confirmed the payment, Paypal will automatically refund you this amount. If it doesn't, please send us an email and mention the Correlation ID: {0}.","တစ်ခုခုအရောင်းအဝယ်စဉ်အတွင်းမှားသွားဟန်တူပါသည်။ ကျနော်တို့ကငွေပေးချေမှုကိုအတည်ပြုကြပြီမဟုတ်ကတည်းက Paypal ကိုအလိုအလျောက်သင်ဤငွေပမာဏကိုပြန်အမ်းမည်ဖြစ်သည်။ ကမလျှင်, ညမညသဘောတရား ID ကိုကျွန်တော်တို့ကိုအီးမေးလ်တစ်စောင်ပေးပို့နှင့်ဖော်ပြထားခြင်းကျေးဇူးပြုပြီး: {0} ။"
Message not setup,မက်ဆေ့ခ်ျကိုမပေး setup ကို
Add code as &lt;script&gt;,&lt;script ကို&gt; အဖြစ်ကုဒ် Add
Refresh Token,Refresh တိုကင်
Seems API Key or API Secret is wrong !!!,API သော့သို့မဟုတ် API ကိုလြှို့ဝှကျကမှားပုံရသည် !!!
Add to table,စားပွဲသို့ပေါင်းထည့်ရန်
'In List View' not allowed for type {0} in row {1},&#39;&#39; List ကိုကြည့်ရန်ခုနှစ်တွင် &#39;&#39; အတန်းများတွင်အမျိုးအစား {0} အဘို့အခွင့်မပြုထား {1}
List of themes for Website.,ဝက်ဘ်ဆိုက်အဘို့အ themes များစာရင်း။
Random,အမှတ်မဲ့ဖြစ်သော
Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,အသေးဆုံးပျံ့နှံ့နေတဲ့အစိတ်အပိုင်းယူနစ် (အကြွေစေ့) ။ အမေရိကန်ဒေါ်လာဘို့ဥပမာ 1 ရာခိုင်နှုန်းအဘို့နှင့်က 0.01 အဖြစ်ထဲသို့ဝင်ရပါမည်
Passive,မလှုပ်မရှားနေသော
PDF generation failed,PDF ကိုမျိုးဆက်ပျက်ကွက်
Atleast one field of Parent Document Type is mandatory,မိဘစာရွက်စာတမ်းအမျိုးအစား၏ Atleast တဦးတည်းကိုလယ်မဖြစ်မနေဖြစ်ပါသည်
Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType',လယ်ပြင်၌ရှိသော Options ကို &#39;&#39; Dynamic Link ကို &#39;&#39; type ကို &#39;&#39; DOCTYPE &#39;&#39; အဖြစ်ရွေးချယ်မှုများနှင့်အတူအခြား Link ကိုကွင်းဆင်းဖို့ညွှန်ပြရမယ်
"If the condition is satisfied user will be rewarded with the points. eg. doc.status == 'Closed'
",အခြေအနေကိုကျေနပ်လျှင်အသုံးပြုသူအချက်များနှင့်အတူဆုခခြဲ့ပါလိမ့်မည်။ ဥပမာ။ doc.status == &#39;&#39; ပိတ် &#39;&#39;
App not found,App ကိုမတွေ့ရှိ
Internal Server Error,အတွင်းဆာဗာမှားယွင်းမှု
Details,အသေးစိတ်
Note,မှတ်စု
Please save the document before removing assignment,တာဝနျကိုမဖယ်ရှားမီစာရွက်စာတမ်းကယ်တင်ပေးပါ
Recipient,လက်လံသူ
Geolocation,geolocation
text-width,text-width ကို
Letter,အက္ခရာ
Verification Link,verification Link ကို
Pay,အခပေး
Month,လ
"To stop sending repetitive error notifications from the system, we have checked Disabled field in the Auto Repeat document",စနစ်ကနေထပ်တလဲလဲအမှားအကြောင်းကြားစာများပေးပို့ခြင်းရပ်တန့်ဖို့ကျနော်တို့အော်တိုထပ်ခါတလဲလဲစာရွက်စာတမ်းများတွင်မသန်စွမ်းလယ်ကို check လုပ်ထားကြပါပြီ
Add Multiple,အကွိမျမြားစှာ Add
"To add dynamic subject, use jinja tags like

<div><pre><code>{{ doc.name }} Delivered</code></pre></div>",ပြောင်းလဲနေသောဘာသာရပ်ထည့်ရန်တူ jinja tags များကိုသုံးပါ <div><pre> <code>{{ doc.name }} Delivered</code> </pre> </div>
Addresses,လိပ်စာများ
Number of DB Backups,DB Backups တွေကိုအရေအတွက်
Web Page Link Text,Web ကို &#39;s Page Link ကိုစာသား
You unfollowed this document,သငျသညျဤစာရွက်စာတမ်း unfollowed
cn-north-1,CN-မြောက်ဘက်-1
ca-central-1,ca ကို-အလယ်ပိုင်း-1
Share With,ဝေမျှမယ်နှင့်အတူ
Field type cannot be changed for {0},field type ကို {0} ဘို့မပြောင်းနိုင်ပါ
Checking one moment,တဦးတည်းယခုအချိန်တွင်ကိုစစ်ဆေးခြင်း
End Time,အဆုံးအချိန်
Search field {0} is not valid,ရှာရန်လယ်ကွင်း {0} တရားဝင်မဟုတ်ပါဘူး
Have an account? Login,အကောင့်တစ်ခုရှိပါသလား? လော့ဂ်အင်
on_trash,on_trash
New Name,နယူးအမည်
Introduce your company to the website visitor.,ဝက်ဘ်ဆိုက်ဧည့်ရန်သင့်ကုမ္ပဏီမိတ်ဆက်ပေး။
Activity,လှုပ်ရှားမှု
Deleted DocType,Deleted DOCTYPE
If user is the owner,အသုံးပြုသူပိုင်ရှင်ဖြစ်တယ်ဆိုရင်
Set Permissions,set ခွင့်ပြုချက်များ
Auto,အော်တို
Attach Document Print,စာရွက်စာတမ်းပုံနှိပ်ပါပူးတွဲ
just now,အခုလေးတင်
File '{0}' not found,ဖိုင်မှတ်တမ်း &#39;&#39; {0} &#39;&#39; မတွေ့ရှိ
You do not have enough permissions to complete the action,သင့်အနေဖြင့်အရေးယူဖြည့်စွက်ဖို့လုံလောက်တဲ့ခွင့်ပြုချက်မရှိပါ
App {0} is not installed,App ကို {0} မတပ်ဆင်ရသေးတာဖြစ်ပါတယ်
Show Dashboard,Show ကို Dashboard ကို
Add Contact,ဆက်သွယ်ရန် Add
Dropbox Access Secret,Dropbox ကို Access ကိုလြှို့ဝှကျ
This user's data cannot be requested for deletion,ဤအသုံးပြုသူသည်ရဲ့ဒေတာကိုပယ်ဖျက်ဘို့မေတ္တာရပ်ခံမရနိုင်
{0} from {1} to {2} in row #{3},{0} {1} ကနေ {2} မှအတန်း # အတွက် {3}
Export not allowed. You need {0} role to export.,ပို့ကုန်ခွင့်မပြု။ သငျသညျတင်ပို့ဖို့ {0} အခန်းကဏ္ဍလိုအပ်ပါတယ်။
User Cannot Search,အသုံးပြုသူရှာရန်မရပါ
Search...,ရှာရန် ...
Delete Data,ဒေတာများကိုဖျက်ပစ်ပါ
Edit Format,Edit ကို Format ကို
Source Text,source စာသား
Fraction,အစိတ်အပိုင်း
Robots.txt,robots.txt
Preview Message,preview ကို Message
Max Attachment Size (in MB),(ကို MB အတွက်) မက်စ်နှောင်ကြိုး Size ကို
Rating: ,rating:
"If not set, the currency precision will depend on number format","သတ်မှတ်မထားလျှင်, ငွေကြေးတိကျစွာအရေအတွက်ကိုပုံစံပေါ်တွင်မူတည်ပါလိမ့်မယ်"
You don't have the permissions to access this document,သငျသညျဤစာရွက်စာတမ်းဝင်ရောက်ဖို့ခွင့်ပြုချက်ရှိသည်မဟုတ်ကြဘူး
Reference Party Doctype,ကိုးကားစရာပါတီ DOCTYPE
Button Help,button ကိုအကူအညီ
Defines actions on states and the next step and allowed roles.,ပြည်နယ်နှင့်လာမည့်ခြေလှမ်းနှင့်ခွင့်ပြုခဲ့အခန်းကဏ္ဍအပေါ်လုပ်ရပ်များအဖြစ်သတ်မှတ်ပါတယ်။
Replied,replied
Email Rule,အီးမေးလ်ပို့ရန်နည်းဥပဒေ
Ignore XSS Filter,XSS Filter ကိုလျစ်လျူရှုပါ
Auto assignment failed: {0},အော်တိုတာဝနျကိုမအောင်မြင်ပါ: {0}
Download Files Backup,ဖိုင်တွေကို Backup ကို Download လုပ်ပါ
Set,အစုံ
Event end must be after start,အဖြစ်အပျက်အဆုံးက start ပြီးနောက်ဖြစ်ရမည်
{0} to stop receiving emails of this type,{0} ဒီအမျိုးအစားအီးမေးလ်များကိုလက်ခံရရှိရပ်တန့်ရန်
gave {0} points,{0} ရမှတ်ပေးခဲ့တယ်
Daily,နေ့စဉ်
Custom?,custom?
Username,username
Upgrade,upgrade
Append To can be one of {0},{0} ၏တဦးတည်းရှိနိုင်ပါသည်စေရန်ဖြည့်စွက်
pencil,ခဲတံ
Did not add,add မပြုခဲ့
arrow-right,မြှားညာ
Fetch attached images from document,စာရွက်စာတမ်းကနေပူးတွဲပုံရိပ်တွေဆွဲယူ
Message clipped,စာကျန်သေးသည်
Completed,ပြီးစီး
Permissions are automatically applied to Standard Reports and searches.,ခွင့်ပြုချက်ကိုအလိုအလျောက်နျ Standard အစီရင်ခံစာများနှင့်ရှာဖွေမှုများကိုအသုံးချနေကြသည်။
Open Link,ပွင့်လင်း Link ကို
All fields are necessary to submit the comment.,အားလုံးလယ်ကွင်းမှတ်ချက်တင်ပြရန်လိုအပ်သောဖြစ်ကြသည်။
Introduction,နိဒါန်း
User Tags,အသုံးပြုသူ Tags:
"To add dynamic subject, use jinja tags like

<div><pre><code>New {{ doc.doctype }} #{{ doc.name }}</code></pre></div>",ပြောင်းလဲနေသောဘာသာရပ်ထည့်ရန်တူ jinja tags များကိုသုံးပါ <div><pre> <code>New {{ doc.doctype }} #{{ doc.name }}</code> </pre> </div>
Add Child,ကလေး Add
New,နယူး
Add all roles,အားလုံးအခန်းကဏ္ဍ Add
Transaction Hash,ငွေသွင်းငွေထုတ် Hash
Doc Status,doc အခြေအနေ
Allow Multiple,အကွိမျမြားစှာ Allow
Repeat Header and Footer in PDF,PDF ဖိုင်အတွက် Header ကိုနှင့် Footer Repeat
Redirect URL,URL ကို redirect
{0} rows for {1},{1} များအတွက် {0} အတန်း
Week,ရက်သတ္တပတ်
Sent or Received,Sent သို့မဟုတ်ရရှိထားသည့်
The system provides many pre-defined roles. You can add new roles to set finer permissions.,အဆိုပါစနစ်အားအများအပြား Pre-defined အခန်းကဏ္ဍသည်။ သငျသညျအသေးစိတ်ခွင့်ပြုချက်တင်ထားရန်အသစ်သောအခန်းကဏ္ဍထည့်သွင်းနိုင်ပါတယ်။
Instructions Emailed,ညွှန်ကြားချက်များမေးလ်ပို့ပေး
Execution Time: {0} sec,execution အချိန်: {0} စက္က
For {0} at level {1} in {2} in row {3},{2} အတန်းအတွက် {3} အတွက် {1} အဆင့်မှာ {0} များအတွက်
Receiver Parameter,receiver Parameter
Default Print Language,default ပါပုံနှိပ်ဘာသာစကားများ
Collapsible Depends On,ခေါက်ပေါ်မှာမူတည်ပါတယ်
Use TLS,TLS ကိုသုံးပါ
Show in Module Section,Module Section မှာ Show ကို
LDAP Email Field,LDAP အီးမေးလ်ဖျော်ဖြေမှု
New Comment on {0}: {1},{0} အပေါ်နယူးမှတ်ချက်: {1}
Please setup a message first,ကျေးဇူးပြု. setup ကိုပထမဦးဆုံးသတင်းစကား
Session Expiry in Hours e.g. 06:00,06:00 ဥပမာနာရီအတွက် session Expiry
"If Apply Strict User Permission is checked and User Permission is defined for a DocType for a User, then all the documents where value of the link is blank, will not be shown to that User","Apply တင်းကျပ်အသုံးပြုသူခွင့်ပြုချက် check လုပ်ထားသည်နှင့်အသုံးပြုသူတို့၏ခွင့်ပြုချက်တစ်အသုံးပြုသူများအတွက် DOCTYPE များအတွက်သတ်မှတ်ထားသောလျှင်, ထိုလင့်ခ်၏တန်ဖိုးကိုအလွတ်ရှိရာအားလုံးစာရွက်စာတမ်းများ, ထိုအသုံးပြုသူပြလိမ့်မည်မဟုတ်"
Webhook URL,Webhook URL ကို
Duplicate name {0} {1},{0} {1} name ကို Duplicate
States,စတိတ်
Logs,logs
Standings,ရပ်တည်မှု
Token,တိုကင်
Not Published,Published မဟုတ်
Allow Bulk Edit,အစုလိုက် Edit ကို Allow
Footer HTML,footer က HTML
Days Before or After,မတိုင်မှီသို့မဟုတ်ပြီးနောက်နေ့ရက်များ
