Connector Type,커넥터 유형
Daily Event Digest is sent for Calendar Events where reminders are set.,미리 알림이 설정된 일정 이벤트에 대해 일별 이벤트 다이제스트가 전송됩니다.
Not allowed for {0}: {1} in Row {2}. Restricted field: {3},행 {2}에서 {0} : {1}에 대해 허용되지 않습니다. 제한된 필드 : {3}
Blue,푸른
In Valid Request,잘못된 요청
Page not found,페이지를 찾을 수 없음
Authorization Code,인증 코드
Search Fields,검색 필드
Module Path,모듈 경로
In Grid View,그리드보기에서
hand-up,최대 손
"Always add ""Draft"" Heading for printing draft documents",초안 문서 인쇄시 항상 &quot;초안&quot;제목 추가
Salutation,인사말
No default Address Template found. Please create a new one from Setup &gt; Printing and Branding &gt; Address Template.,기본 주소 템플릿이 없습니다. 설정&gt; 인쇄 및 브랜딩&gt; 주소 템플릿에서 새 것을 만드십시오.
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,Google 애널리틱스 ID 추가 : 예. UA-89XXX57-1. 자세한 내용은 Google 웹 로그 분석에서 도움말을 검색하십시오.
Permissions,권한
Export Report: ,보고서 내보내기 :
Other,다른
Previous,너무 이른
ok,승인
Already in user's To Do list,이미 사용자의 To Do 목록에 있음
Allow only one session per user,사용자 당 하나의 세션 만 허용
View this in your browser,브라우저에서 이것을보십시오
{0} shared this document with everyone,{0}이 문서를 모든 사람과 공유했습니다.
Options,옵션
Error: Document has been modified after you have opened it,오류 : 문서를 연 후에 수정되었습니다.
Home Address is required,집 주소는 필수입니다.
Contact Us Settings,연락처
Not Descendants Of,후손이 아닌
Liked By,좋아하는
Configure your google calendar integration,Google 캘린더 통합 구성
Email has been marked as spam,이메일이 스팸으로 표시되었습니다.
New Password Required.,새 암호가 필요합니다.
Field,들
Client,고객
Will be your login ID,로그인 ID가됩니다.
Recurring Documents Failed,반복되는 문서 실패
List of backups available for download,다운로드 가능한 백업 목록
Hide Sidebar and Menu,사이드 바 및 메뉴 숨기기
Workflow State {0} is not allowed,워크 플로 상태 {0}이 (가) 허용되지 않습니다.
Reference Name,참조 이름
Create Chart,차트 만들기
Desk,책상
bookmark,서표
Max Length,최대 길이
No comments yet. Start a new discussion.,아직 코멘트가 없습니다. 새로운 토론을 시작하십시오.
Mandatory,필수
User {0} cannot be deleted,사용자 {0}은 (는) 삭제할 수 없습니다.
Select records for assignment,과제에 대한 레코드 선택
Usage Info,사용 정보
Primary Color,원색
Last Updated By,마지막으로 업데이트 한 사람
Do not send Emails,이메일을 보내지 마십시오.
{0} appreciated your work on {1} with {2} point,{0}이 (가) {1}에 대한 귀하의 노력을 {2} 점으로 평가했습니다.
{app_title},{app_title}
Cancelling,취소 중
Group Node,그룹 노드
Merge with existing,기존 항목과 병합
Blog Intro,블로그 소개
New Mention,새로운 언급
Report Name,보고서 이름
Please refresh to get the latest document.,최신 문서를 보려면 새로 고침하십시오.
Close,닫기
Insert Above,위에 삽입
and,과
Webhooks calling API requests into web apps,웹 애플 리케이션에 API 요청을 호출하는 Webhooks
Event,행사
Access Token URL,액세스 토큰 URL
Please set Dropbox access keys in your site config,사이트 구성에 보관 용 액세스 키를 설정하십시오.
Reset Password Key,비밀번호 재설정 키
Modified By,수정 자
Bio,바이오
"To renew, {0}.",갱신하려면 {0}.
Folder,폴더
Perm Level,페름 레벨
Page Settings,페이지 설정
No Permissions Specified,사용 권한이 지정되지 않았습니다.
1 comment,댓글 1 개
ID (name) of the entity whose property is to be set,특성이 설정 될 엔티티의 ID (이름)
Deleting {0},{0} 삭제 중
With Letter head,편지 머리
API Secret,API Secret
on_submit,on_submit
Message,메시지
"If enabled, the document is marked as seen, the first time a user opens it",사용하도록 설정하면 사용자가 처음 열 때 문서가 표시된 것으로 표시됩니다.
Connected to QZ Tray!,QZ 트레이에 연결되었습니다!
Max Attachments,최대 첨부 파일
Add Column,열 추가
This is an automatically generated reply,자동 생성 된 답장입니다.
This Currency is disabled. Enable to use in transactions,통화가 사용 중지되었습니다. 트랜잭션에서 사용하도록 설정
Pyver,파이버
Fail,실패
Letter Head,편지 머리
Local Fieldname,로컬 필드 이름
Adds a client custom script to a DocType,DocType에 클라이언트 사용자 정의 스크립트를 추가합니다.
All,모든
Modules HTML,모듈 HTML
remove-sign,사인 제거
Full,완전한
User Cannot Create,사용자가 만들 수 없음
You gained {0} point,당신은 {0} 점을 얻었습니다.
"If you set this, this Item will come in a drop-down under the selected parent.",이 항목을 설정하면이 항목이 선택한 상위 항목 아래의 드롭 다운 목록에 나타납니다.
No Emails,이메일 없음
Following fields are missing:,다음 입력란이 누락되었습니다.
resize-full,크기를 조정하다
You don't have permission to access this file,이 파일에 액세스 할 수있는 권한이 없습니다.
changed values for {0},{0}에 대해 변경된 값
Project,계획
Shared with user {0} with read access,읽기 권한이있는 {0} 사용자와 공유 됨
Send,보내다
Show Calendar,캘린더 표시
Web Form Fields,웹 양식 필드
_doctype,_doctype
User editable form on Website.,웹 사이트에서 사용자가 편집 할 수있는 양식.
Permanently Cancel {0}?,영구적으로 {0}을 취소 하시겠습니까?
Option 3,옵션 3
Totals,합계
This is a very common password.,이것은 매우 일반적인 암호입니다.
Pending Approval,승인 대기 중
The document could not be correctly assigned,문서를 올바르게 할당 할 수 없습니다.
Not allowed for {0}: {1},{0}에는 사용할 수 없습니다 : {1}
Personal Data Download Request,개인 데이터 다운로드 요청
{0} shared this document with {1},{0}이 (가)이 문서를 {1}과 공유했습니다.
Select {0},{0}을 (를) 선택하십시오.
Advanced Search,고급 검색
New password emailed,새 비밀번호를 이메일로 보냈습니다.
Will only be shown if section headings are enabled,섹션 제목이 활성화 된 경우에만 표시됩니다.
Session Expiry Mobile,세션 만료 모바일
Email Settings,이메일 설정
Welcome to {0},{0}에 오신 것을 환영합니다.
Enable Shadows,그림자 사용
Delete,지우다
{0} criticized on {1},{0}이 (가) {1}에 대해 비판했습니다.
This email was sent to {0} and copied to {1},이 이메일은 {0} (으)로 전송되어 {1} (으)로 복사되었습니다.
Invalid login or password,로그인 또는 비밀번호가 틀립니다
Social Login Key,소셜 로그인 키
Filters saved,저장된 필터
"How should this currency be formatted? If not set, will use system defaults",이 통화는 어떻게 형식화되어야합니까? 설정하지 않으면 시스템 기본값을 사용합니다.
{0}: {1} is set to state {2},{0} : {1}은 {2} 상태로 설정됩니다.
"If enabled, document views are tracked, this can happen multiple times",이 기능을 사용하면 문서 뷰가 추적되며 여러 번 발생할 수 있습니다.
DocField,DocField
Send Print as PDF,PDF로 인쇄 보내기
Expiry time of QR Code Image Page,QR 코드 만료일 이미지 페이지
Global Search,글로벌 검색
Allow Print for Draft,임시 보관 용으로 인쇄 허용
Use of sub-query or function is restricted,하위 쿼리 또는 기능의 사용이 제한됩니다.
Database Engine,데이터베이스 엔진
Help,도움
Configure Chart,차트 구성
No template found at path: {0},경로에 템플릿이 없습니다 : {0}
Only Administrator can delete Email Queue,관리자 만 전자 메일 대기열을 삭제할 수 있습니다.
Push Update,푸시 업데이트
Letter Head Image,레터 헤드 이미지
Dashboard Chart Source,대시 보드 차트 소스
darkgrey,어두운 회색
Dashboards,대시 보드
Top {0},상위 {0}
{0}: {1} in {2},{0} : {2}의 {1}
'In Global Search' not allowed for type {0} in row {1},{1} 행의 {0} 유형에는 &#39;전체 검색에서&#39;가 허용되지 않습니다.
Scheduled To Send,보내기 예정
"It seems that there is an issue with the server's stripe configuration. In case of failure, the amount will get refunded to your account.",서버의 스트라이프 구성에 문제가있는 것으로 보입니다. 실패한 경우 귀하의 계좌로 환불됩니다.
Google Font,Google 글꼴
Client Information,고객 정보
"Your subscription expired on {0}. To renew, {1}.",구독이 {0}에 만료되었습니다. 갱신하려면 {1}.
Value To Be Set,설정 값
Snapshot View,스냅 샷보기
IN,에서
Desktop Background,데스크탑 바탕 화면
Connection Name,연결 이름
Permitted Documents For User,사용자에 대해 허용 된 문서
Download link for your backup will be emailed on the following email address: {0},백업을위한 다운로드 링크는 다음 이메일 주소로 이메일로 전송됩니다 : {0}
Full Page,전체 페이지
Updated {0}: {1},{0} 업데이트 됨 : {1}
Send me a copy,나에게 사본을 보내라.
Blog Post,블로그 게시물
Workflow Action Name,워크 플로 작업 이름
Add Group,그룹 추가
Mappings,매핑
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange","스타일은 단추 색상을 나타냅니다. 성공 - 녹색, 위험 - 빨간색, 역 검정 - 기본 - 진한 파란색, 정보 - 연한 파란색, 경고 - 주황색"
Invalid file path: {0},잘못된 파일 경로 : {0}
Your password has been updated. Here is your new password,비밀번호가 업데이트되었습니다. 다음은 새로운 암호입니다.
Every Month,매 달
Precision,정도
Last Modified On,마지막으로 수정 된 날짜
Hide field in Standard Print Format,표준 인쇄 형식의 필드 숨기기
Show Attachments,첨부 파일 표시
Multiple root nodes not allowed.,여러 루트 노드가 허용되지 않습니다.
Don't create new records,새 레코드를 만들지 마라.
Beginner,초보자
"For example: If you want to include the document ID, use {0}",예 : 문서 ID를 포함하려면 {0}을 사용하십시오.
{0} has already assigned default value for {1}.,{0}에 이미 {1}에 대한 기본값이 지정되었습니다.
fullscreen,전체 화면
Allow Import (via Data Import Tool),가져 오기 허용 (데이터 가져 오기 도구 사용)
"The task {0}, that you assigned to {1}, has been closed by {2}.",{1}에 할당 한 작업 {0}이 (가) {2} (으)로 마감되었습니다.
Show as cc,참조로 표시
Policy,정책
Integrations,통합
Hide footer in auto email reports,자동 전자 메일 보고서에서 바닥 글 숨기기
Float,흙손
Push Insert,밀어 넣기 삽입
Rating,평가
Email By Document Field,문서 필드로 이메일 보내기
Totals Row,총계 행
Website User,웹 사이트 사용자
For User,사용자 용
Role Profile,역할 프로필
Connector Name,커넥터 이름
Is Active,활성
Append To,추가 할 대상
Invalid Link,유효하지 않은 링크
Time Series,시계열
Background Image,배경 이미지
Top Reviewer,최고 평론가
Restore Original Permissions,원본 권한 복원
Please save the report first,보고서를 먼저 저장하십시오.
Attach Print,인쇄물 첨부
Log of Scheduler Errors,스케줄러 오류 로그
Text to be displayed for Link to Web Page if this form has a web page. Link route will be automatically generated based on `page_name` and `parent_website_route`,이 양식에 웹 페이지가있는 경우 Link to Web Page에 표시 할 텍스트입니다. 링크 경로는`page_name`과`parent_website_route`에 따라 자동으로 생성됩니다.
Template ID,템플릿 ID
Invalid recipient address,수신자 주소가 잘못되었습니다.
Duplicate Filter Name,중복 필터 이름
align-center,정렬 중심
Customization,사용자 정의
New Print Format Name,새 인쇄 형식 이름
Error while evaluating Notification {0}. Please fix your template.,알림 {0}을 평가하는 중 오류가 발생했습니다. 템플릿을 수정하십시오.
Can Share,공유 가능
Allow Roles,역할 허용
Move To Trash,휴지통으로 이동
Back to Desk,데스크로 돌아 가기
Document Queued,대기중인 문서
PayPal Settings,PayPal 설정
Is Folder,폴더인가?
Print Style,인쇄 스타일
Defaults,기본값
Forward,앞으로
Event Participants,이벤트 참가자
Email Status,이메일 상태
Google Maps integration,Google지도 통합
Do not edit headers which are preset in the template,템플릿에 미리 설정된 머리글은 편집하지 마십시오.
Workflow state represents the current state of a document.,워크 플로 상태는 문서의 현재 상태를 나타냅니다.
Center,센터
Male,남성
Amount Based On Field,필드에 근거한 금액
Allow Edit,수정 허용
Select the label after which you want to insert new field.,새 필드를 삽입하려는 레이블을 선택하십시오.
Gateway Controller,게이트웨이 컨트롤러
New Connection,새로운 연결
New Activity,새로운 활동
Unable to find attachment {0},첨부 파일 {0}을 (를) 찾을 수 없습니다.
Fields Multicheck,필드 멀티 체크
Timestamp,타임 스탬프
Website Theme,웹 사이트 테마
Log of error on automated events (scheduler).,자동화 된 이벤트에 대한 오류 로그 (스케줄러).
Looks like someone sent you to an incomplete URL. Please ask them to look into it.,누군가가 당신을 불완전한 URL로 보낸 것 같습니다. 그것들을 들여다 보도록 요청하십시오.
All Images attached to Website Slideshow should be public,웹 사이트 슬라이드 쇼에 첨부 된 모든 이미지는 공개되어야합니다.
You can only upload upto 5000 records in one go. (may be less in some cases),한 번에 최대 5000 개의 레코드 만 업로드 할 수 있습니다. (어떤 경우에는 더 적을 수도 있음)
Template,주형
Personal,개인적인
Location,위치
No Data,데이터 없음
Website Meta Tag,웹 사이트 메타 태그
film,필름
{0} Settings not found,{0} 설정을 찾을 수 없습니다.
Label is mandatory,라벨은 필수 항목입니다.
Webhook Headers,Webhook 헤더
"Customized Formats for Printing, Email","인쇄, 전자 메일에 대한 사용자 정의 형식"
Markdown,가격 인하
Miss,미스
Allow Modules,모듈 허용
Slideshow Name,슬라이드 쇼 이름
Better add a few more letters or another word,몇 개의 글자 또는 다른 단어를 더 잘 추가하십시오.
SMS,SMS
share-alt,share-alt
Workflow Action Master,워크 플로 작업 마스터
"Looks like something went wrong during the transaction. Since we haven't confirmed the payment, Paypal will automatically refund you this amount. If it doesn't, please send us an email and mention the Correlation ID: {0}.","거래하는 동안 문제가 생긴 것 같습니다. 우리가 지불을 확인하지 않았기 때문에, 페이팔은 자동으로 당신 에게이 금액을 환불합니다. 그렇지 않으면 이메일을 보내시고 상관 ID : {0}을 언급하십시오."
Message not setup,메시지가 설정되지 않았습니다.
Add code as &lt;script&gt;,&lt;script&gt;로 코드 추가
Refresh Token,토큰 새로 고침
Seems API Key or API Secret is wrong !!!,API 키 또는 API 비밀번호가 틀린 것 같습니다!
Add to table,표에 추가
'In List View' not allowed for type {0} in row {1},{1} 행의 {0} 유형에 대해 &#39;목록보기에서&#39;허용되지 않습니다.
List of themes for Website.,웹 사이트 테마 목록.
Random,랜덤
Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,가장 작은 순환 분수 단위 (동전). 예를 들어 USD의 경우 1 센트이며 0.01로 입력해야합니다.
Passive,수동태
PDF generation failed,PDF 생성에 실패했습니다.
Atleast one field of Parent Document Type is mandatory,적어도 하나의 상위 문서 유형 필드는 필수 항목입니다.
Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType',옵션 &#39;Dynamic Link&#39;유형의 필드는 &#39;DocType&#39;과 같은 옵션으로 다른 링크 필드를 가리켜 야합니다.
"If the condition is satisfied user will be rewarded with the points. eg. doc.status == 'Closed'
",조건이 충족되면 사용자는 포인트로 보상 받게됩니다. 예 : doc.status == &#39;닫힘&#39;
App not found,앱을 찾을 수 없음
Internal Server Error,인터넷 서버 오류
Details,세부
Note,노트
Please save the document before removing assignment,과제를 삭제하기 전에 문서를 저장하십시오.
Recipient,수신자
Geolocation,지리적 위치
text-width,텍스트 너비
Letter,편지
Verification Link,인증 링크
Pay,지불
Month,달
"To stop sending repetitive error notifications from the system, we have checked Disabled field in the Auto Repeat document",시스템에서 반복적 인 오류 알림을 보내지 않으려면 자동 반복 문서에서 사용 안 함 필드를 선택했습니다
Add Multiple,여러 항목 추가
"To add dynamic subject, use jinja tags like

<div><pre><code>{{ doc.name }} Delivered</code></pre></div>",동적 제목을 추가하려면 다음과 같은 jinja 태그를 사용하십시오. <div><pre> <code>{{ doc.name }} Delivered</code> </pre> </div>
Addresses,구애
Number of DB Backups,DB 백업 수
Web Page Link Text,웹 페이지 링크 텍스트
You unfollowed this document,이 문서를 팔로우 해제했습니다.
cn-north-1,CN- 북쪽 - 1
ca-central-1,중부 표준시 - 1
Share With,와 주
Field type cannot be changed for {0},{0}에 대해 필드 유형을 변경할 수 없습니다.
Checking one moment,한 순간 확인하기
End Time,종료 시간
Search field {0} is not valid,검색 필드 {0}이 (가) 유효하지 않습니다.
Have an account? Login,계정이있다? 로그인
on_trash,on_trash
New Name,새 이름
Introduce your company to the website visitor.,귀사를 웹 사이트 방문자에게 소개하십시오.
Activity,활동
Deleted DocType,삭제 된 DocType
If user is the owner,사용자가 소유자 인 경우
Set Permissions,권한 설정
Auto,자동
Attach Document Print,문서 첨부 인쇄
just now,방금
File '{0}' not found,&#39;{0}&#39;파일을 찾을 수 없습니다
You do not have enough permissions to complete the action,작업을 완료 할 수있는 권한이 없습니다.
App {0} is not installed,앱 {0}이 (가) 설치되지 않았습니다.
Show Dashboard,대시 보드 표시
Add Contact,주소록에 추가
Dropbox Access Secret,보관 용 액세스 비밀
This user's data cannot be requested for deletion,이 사용자의 데이터를 삭제할 수 없습니다.
{0} from {1} to {2} in row #{3},행 {3}의 {1}에서 {2}까지의 {0}
Export not allowed. You need {0} role to export.,내보내기가 허용되지 않습니다. 내보내려면 {0} 역할이 필요합니다.
User Cannot Search,사용자가 검색 할 수 없음
Search...,수색...
Delete Data,데이터 삭제
Edit Format,형식 편집
Source Text,원본 텍스트
Fraction,분수
Robots.txt,Robots.txt
Preview Message,메시지 미리보기
Max Attachment Size (in MB),최대 첨부 파일 크기 (MB)
Rating: ,평가:
"If not set, the currency precision will depend on number format",설정되지 않은 경우 통화 정밀도는 숫자 형식에 따라 달라집니다.
You don't have the permissions to access this document,이 문서에 액세스 할 수있는 권한이 없습니다.
Reference Party Doctype,참조 파티의 Doctype
Button Help,버튼 도움말
Defines actions on states and the next step and allowed roles.,상태와 다음 단계 및 허용 된 역할에 대한 작업을 정의합니다.
Replied,회신
Email Rule,이메일 규칙
Ignore XSS Filter,XSS 필터 무시
Auto assignment failed: {0},자동 할당 실패 : {0}
Download Files Backup,파일 백업 다운로드
Set,세트
Event end must be after start,이벤트 종료는 시작 후이어야합니다.
{0} to stop receiving emails of this type,이 유형의 이메일 수신을 중지하려면 {0}
gave {0} points,준 {0} 점
Daily,매일
Custom?,관습?
Username,사용자 이름
Upgrade,업그레이드
Append To can be one of {0},추가 대상은 {0} 중 하나 일 수 있습니다.
pencil,연필
Did not add,추가하지 않았습니다.
arrow-right,화살표 오른쪽
Fetch attached images from document,문서에서 첨부 된 이미지 가져 오기
Message clipped,메시지가 잘린 상태
Completed,완료 됨
Permissions are automatically applied to Standard Reports and searches.,권한은 자동으로 표준 보고서 및 검색에 적용됩니다.
Open Link,링크 열기
All fields are necessary to submit the comment.,의견을 제출하려면 모든 입력란이 필요합니다.
Introduction,소개
User Tags,사용자 태그
"To add dynamic subject, use jinja tags like

<div><pre><code>New {{ doc.doctype }} #{{ doc.name }}</code></pre></div>",동적 제목을 추가하려면 다음과 같은 jinja 태그를 사용하십시오. <div><pre> <code>New {{ doc.doctype }} #{{ doc.name }}</code> </pre> </div>
Add Child,하위 추가
New,새로운
Add all roles,모든 역할 추가
Transaction Hash,트랜잭션 해시
Doc Status,문서 상태
Allow Multiple,복수 허용
Repeat Header and Footer in PDF,PDF로 머리말과 꼬리말 반복하기
Redirect URL,리디렉션 URL
{0} rows for {1},{1}의 {0} 행
Week,주
Sent or Received,보낸 사람 또는받은 사람
The system provides many pre-defined roles. You can add new roles to set finer permissions.,이 시스템은 많은 사전 정의 된 역할을 제공합니다. 새 역할을 추가하여보다 세밀한 권한을 설정할 수 있습니다.
Instructions Emailed,이메일로받은 지침
Execution Time: {0} sec,실행 시간 : {0} 초
For {0} at level {1} in {2} in row {3},{3} 행의 {2}에있는 {1} 레벨의 {0}
Receiver Parameter,수신기 매개 변수
Default Print Language,기본 인쇄 언어
Collapsible Depends On,접을 수 있음
Use TLS,TLS 사용
Show in Module Section,모듈 섹션에 표시
LDAP Email Field,LDAP 전자 메일 필드
New Comment on {0}: {1},{0}에 대한 새로운 댓글 : {1}
Please setup a message first,먼저 메시지를 설정하십시오.
Session Expiry in Hours e.g. 06:00,세션 만료 시간 (예 : 06:00)
"If Apply Strict User Permission is checked and User Permission is defined for a DocType for a User, then all the documents where value of the link is blank, will not be shown to that User",엄격한 사용자 권한 적용이 선택되어 있고 사용자의 DocType에 대한 사용자 권한이 정의되어 있으면 링크 값이 비어있는 모든 문서가 해당 사용자에게 표시되지 않습니다
Webhook URL,Webhook URL
Duplicate name {0} {1},중복 이름 {0} {1}
States,주
Logs,로그
Standings,순위
Token,토큰
Not Published,게시되지 않음
Allow Bulk Edit,대량 수정 허용
Footer HTML,꼬리말 HTML
Days Before or After,전후의 일
Property Setter overrides a standard DocType or Field property,Property Setter는 표준 DocType 또는 Field 속성을 재정의합니다.
us-west-1,우리 - 서 - 1
Start Date Field,시작 날짜 필드
Every Week,매주
"Your subscription expired on {0}. To renew, please send an email to {1}.",구독이 {0}에 만료되었습니다. 갱신하려면 {1} (으)로 이메일을 보내주십시오.
fast-forward,빨리 감기
Post Comment,댓글 달기
Restart,재시작
Custom Base URL,사용자 정의 기본 URL
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.",다른 역할에 동일한 권한 집합을 할당하지 않는 것이 좋습니다. 대신 여러 역할을 동일한 사용자로 설정하십시오.
Default,태만
Permanently delete {0}?,{0}을 (를) 영구적으로 삭제 하시겠습니까?
Method,방법
Round Robin,라운드 로빈
Image,영상
Now,지금
Editing Row,행 수정 중
"e.g. ""Support"", ""Sales"", ""Jerry Yang""","예 : &quot;Support&quot;, &quot;Sales&quot;, &quot;Jerry Yang&quot;"
Hostname,호스트 이름
Hourly,매시간
Allow field to remain editable even after submission,제출 한 후에도 입력란을 편집 가능 상태로 유지하도록 허용
Oops! Something went wrong,죄송합니다. 문제가 발생했습니다.
Fieldtype,필드 유형
DocType can not be merged,DocType은 병합 할 수 없습니다.
Click on the link below to verify your request,요청을 확인하려면 아래 링크를 클릭하십시오.
Recent years are easy to guess.,최근 몇 년은 쉽게 추측 할 수 있습니다.
Disable Signup,가입 해제
Remove Tag,태그 제거
Show failed jobs,실패한 작업 표시
Button,단추
Most Used,가장 많이 사용
In seconds,초 만에
Gantt,간트
Help: Field Properties,도움말 : 필드 속성
Brand HTML,브랜드 HTML
Data Import,데이터 가져 오기
Document Type to Track,추적 할 문서 유형
Write,쓰다
remove-circle,원 삭제
th,일
chevron-left,쉐브론 - 왼쪽
Predictable substitutions like '@' instead of 'a' don't help very much.,&#39;a&#39;대신 &#39;@&#39;와 같은 예측 가능한 대체 코드는별로 도움이되지 않습니다.
Color,색깔
Row # ,행 #
volume-up,볼륨 업
Cancelled,취소 된
Email has been moved to trash,이메일이 휴지통으로 이동되었습니다.
No Preview,미리보기 없음
Table updated,표가 업데이트되었습니다.
Another transaction is blocking this one. Please try again in a few seconds.,다른 트랜잭션이이 트랜잭션을 차단합니다. 몇 초 후에 다시 시도하십시오.
You can use wildcard %,와일드 카드 %
Address Line 1,주소 라인 1
For Document Type,문서 유형
Data missing in table,표에 누락 된 데이터
Could not identify {0},{0}을 (를) 식별 할 수 없습니다.
This form has been modified after you have loaded it,이 양식을로드 한 후에 수정되었습니다.
Back to Login,로그인으로 돌아 가기
Not Set,설정되지 않음
Pull,손잡이
Browse,검색
"Fields separated by comma (,) will be included in the ""Search By"" list of Search dialog box","쉼표 (,)로 구분 된 필드는 검색 대화 상자의 &quot;검색 기준&quot;목록에 포함됩니다"
Edit Custom HTML,사용자 정의 HTML 편집
Assignment Rule,배정 규칙
Knowledge Base,기술 자료
Comment Email,댓글 이메일
Mr,씨
Not allowed to Import,가져 오기 허용 안 됨
Please do not change the rows above {0},{0} 위의 행을 변경하지 마십시오.
GSuite test executed with success. GSuite integration is correctly configured,성공과 함께 GSuite 테스트가 실행되었습니다. GSuite 통합이 올바르게 구성되었습니다.
Email Group,이메일 그룹
Row {0}: Not allowed to disable Mandatory for standard fields,행 {0} : 사용 불가능 표준 필드에 필수
Braintree Settings,Braintree 설정
Show a description below the field,입력란 아래에 설명을 표시하십시오.
Cannot send this email. You have crossed the sending limit of {0} emails for this day.,이 이메일을 보낼 수 없습니다. 오늘 {0} 개의 이메일 전송 제한을 초과했습니다.
fast-backward,빨리 뒤로
Copyright,저작권
Description,기술
Please enable developer mode to create new connection,새 연결을 만들려면 개발자 모드를 사용하도록 설정하십시오.
Attached To DocType,DocType에 첨부 됨
Deleted,삭제됨
Logged Out,로그 아웃 됨
Updating,업데이트 중
Default Incoming,기본 수신
Copy and paste this code into and empty Code.gs in your project at script.google.com,이 코드를 복사하여 script.google.com의 프로젝트에있는 빈 Code.gs에 붙여 넣으십시오.
Recurring,되풀이
Invalid Password:,잘못된 비밀번호:
{0} hours ago,{0} 시간 전
Expert,전문가
Single Types have only one record no tables associated. Values are stored in tabSingles,단일 유형에는 테이블이 연관되지 않은 레코드가 하나만 있습니다. 값은 tabSingles에 저장됩니다.
Clear User Permissions,사용자 권한 지우기
Self approval is not allowed,자체 승인은 허용되지 않습니다.
You don't have permission to get a report on: {0},{0}에 대한 보고서를 얻을 수있는 권한이 없습니다.
Feedback Request,피드백 요청
Notify Users On Every Login,로그인 할 때마다 사용자에게 알림
Filter...,필터...
"To format columns, give column labels in the query.",열의 서식을 지정하려면 쿼리에서 열 레이블을 지정하십시오.
First Success Message,첫 번째 성공 메시지
{0} is a mandatory field,{0}은 (는) 필수 입력란입니다.
Illegal Document Status for {0},{0}에 대한 문서 상태가 불법입니다.
Submiting {0},{0} 제출 중
To and CC,받는 사람 및 참조
Left this conversation,이 대화를 그만 뒀다.
Inbox,받은 편지함
Expired,만료 됨
Show tags,태그 표시
Select Role,역할 선택
Edit in Full Page,전체 페이지에서 편집
Successfully updated translations,번역본을 성공적으로 업데이트했습니다.
Option 2,옵션 2
Missing parameters for login,로그인에 누락 된 매개 변수
Chat Background,채팅 배경
Internal record of document shares,문서 공유의 내부 기록
Mandatory field: {0},필수 입력란 : {0}
Unable to write file format for {0},{0}의 파일 형식을 쓸 수 없습니다.
Top Bar Items,상단 바 항목
"No need for symbols, digits, or uppercase letters.","기호, 숫자 또는 대문자가 필요 없습니다."
Seen By,본 사람
Update Translations,번역 업데이트
"If checked, users will not see the Confirm Access dialog.",선택하면 액세스 확인 대화 상자가 표시되지 않습니다.
Minimum Password Score,최소 암호 점수
Child Table Mapping,하위 테이블 매핑
Email Account setup please enter your password for: ,이메일 계정 설정 암호를 입력하십시오 :
Too many writes in one request. Please send smaller requests,하나의 요청에 쓰기가 너무 많습니다. 작은 요청을 보내주십시오.
Salesforce,영업
Tile,타일
{0} room must have atmost one user.,{0} 회의실에는 최대 한 명의 사용자가 있어야합니다.
Is Spam,스팸
Complete Registration,완전한 등록
Maintenance User,유지 보수 사용자
Link to the page you want to open. Leave blank if you want to make it a group parent.,열려고하는 페이지로 연결하십시오. 그룹 부모로 만들려면 비워 둡니다.
Your organization name and address for the email footer.,이메일 바닥 글에 대한 조직 이름 및 주소.
"Please enter both your email and message so that we \
				can get back to you. Thanks!",\ 다시 연락 할 수 있도록 이메일과 메시지를 모두 입력하십시오. 감사!
Attempting to launch QZ Tray...,QZ 트레이를 시작하려고 시도 중 ...
"Another {0} with name {1} exists, select another name",이름이 {1} 인 다른 {0}이 (가) 존재합니다. 다른 이름을 선택하십시오.
Offline,오프라인
Security Settings,보안 설정
Enable Print Server,인쇄 서버 활성화
LDAP Not Installed,LDAP가 설치되지 않음
Dropbox Access Key,보관 용 계정 액세스 키
Search for anything,아무것도 검색
Table Field,표 필드
CSV,CSV
Set Only Once,한 번만 설정
We have received a request for deletion of {0} data associated with: {1},{0} 데이터와 관련된 데이터 삭제 요청이 접수되었습니다 : {1}
This report was generated {0}.,이 보고서는 {0} 생성되었습니다.
Document Follow Notification,문서 Follow Notification
Fieldname,분야 명
FavIcon,FavIcon
Will be used in url (usually first name).,URL (일반적으로 이름)에 사용됩니다.
Sum of {0},{0}의 합
Plan Name,계획 이름
No Label,라벨 없음
Use POST,POST 사용
Region,부위
"Use a few words, avoid common phrases.",몇 마디로 일반 어구를 피하십시오.
Save API Secret: ,API 비밀번호 저장 :
"If these instructions where not helpful, please add in your suggestions on GitHub Issues.",이 지침이 도움이되지 않으면 GitHub 문제에 대한 제안을 추가하십시오.
folder-close,폴더 닫기
Pull Update,당겨 업데이트
merged {0} into {1},{0}을 (를) {1}에 병합했습니다.
Enter url parameter for receiver nos,수신기 번호에 url 매개 변수를 입력하십시오.
Syntax error in template,템플릿의 구문 오류
